Symbol,Date,Close,High,Low,Open,Volume
RF,2006-01-02,34.16,34.33,33.88,34.12,0
RF,2006-01-03,34.49,34.54,33.7,34.2,1584300
RF,2006-01-04,34.55,34.61,34.35,34.42,801600
RF,2006-01-05,34.87,34.93,34.55,34.62,1552500
RF,2006-01-06,34.91,34.96,34.61,34.95,992200
RF,2006-01-09,35.12,35.16,34.72,34.91,1256100
RF,2006-01-10,35.06,35.15,34.84,34.92,1143600
RF,2006-01-11,34.76,34.9,34.01,34.02,1870000
RF,2006-01-12,34.24,34.75,34.14,34.75,1354700
RF,2006-01-13,34.71,34.71,34.22,34.34,1050900
RF,2006-01-16,34.71,34.71,34.22,34.34,0
RF,2006-01-17,34.38,34.49,34.205,34.48,939100
RF,2006-01-18,34.61,34.68,34.24,34.3,1168500
RF,2006-01-19,34.87,35.15,34.37,34.61,2333300
RF,2006-01-20,33.63,34.96,33.63,34.94,2069200
RF,2006-01-23,33.54,33.8,33.5,33.6,1446500
RF,2006-01-24,33.59,33.73,33.53,33.55,1421700
RF,2006-01-25,33.55,33.7,33.37,33.62,1172200
RF,2006-01-26,33.9,33.97,33.68,33.9,1230000
RF,2006-01-27,34.1,34.29,33.62,33.82,1285800
RF,2006-01-30,33.39,33.82,33.35,33.72,1206700
RF,2006-01-31,33.18,33.55,33.18,33.35,1811300
RF,2006-02-01,33.51,33.54,32.98,32.98,1606400
RF,2006-02-02,33.36,33.52,33.2,33.45,1013600
RF,2006-02-03,33.13,33.43,33.07,33.1,904100
RF,2006-02-06,33.29,33.42,33.02,33.06,768200
RF,2006-02-07,33.13,33.38,32.89,33.25,1179600
RF,2006-02-08,33.44,33.46,32.99,33.09,756600
RF,2006-02-09,33.55,33.77,33.25,33.44,847200
RF,2006-02-10,33.82,33.94,33.3,33.57,945500
RF,2006-02-13,33.8,33.89,33.666,33.82,645100
RF,2006-02-14,34.37,34.54,33.78,33.8,1000599
RF,2006-02-15,34.56,34.74,34.27,34.3,1597600
RF,2006-02-16,34.89,34.89,34.52,34.8,920600
RF,2006-02-17,34.87,34.93,34.75,34.9,810500
RF,2006-02-20,34.87,34.93,34.75,34.9,0
RF,2006-02-21,34.61,35.0,34.57,34.95,1203100
RF,2006-02-22,35.21,35.24,34.69,34.7,1320200
RF,2006-02-23,34.93,35.24,34.93,35.2,1077700
RF,2006-02-24,35.08,35.2,34.77,34.92,808700
RF,2006-02-27,35.25,35.44,35.05,35.18,654500
RF,2006-02-28,34.78,35.23,34.6,35.05,1069300
RF,2006-03-01,34.95,35.0,34.75,34.79,822400
RF,2006-03-02,34.63,34.76,34.4,34.45,921100
RF,2006-03-03,34.43,34.74,34.36,34.41,811400
RF,2006-03-06,34.29,34.5,34.01,34.45,896700
RF,2006-03-07,34.55,34.59,34.16,34.24,647400
RF,2006-03-08,34.77,34.9,34.36,34.44,840100
RF,2006-03-09,34.51,34.89,34.48,34.75,855500
RF,2006-03-10,34.9,35.0,34.46,34.5,729700
RF,2006-03-13,35.1,35.2,34.97,35.0,1530700
RF,2006-03-14,35.56,35.62,35.0,35.1,1108100
RF,2006-03-15,35.74,35.9,35.31,35.5,1183600
RF,2006-03-16,35.9,36.0,35.7,35.92,1273100
RF,2006-03-17,36.02,36.12,35.89,36.05,1907700
RF,2006-03-20,36.31,36.32,35.95,36.15,1503300
RF,2006-03-21,36.13,36.21,35.95,36.2,1742500
RF,2006-03-22,36.12,36.19,35.87,36.19,1190200
RF,2006-03-23,35.95,36.12,35.81,36.12,879700
RF,2006-03-24,35.88,35.94,35.67,35.79,570200
RF,2006-03-27,35.78,35.89,35.72,35.79,589100
RF,2006-03-28,35.5,35.82,35.36,35.71,885800
RF,2006-03-29,35.47,35.63,35.2,35.63,999900
RF,2006-03-30,35.12,35.58,35.04,35.42,1465900
RF,2006-03-31,35.17,35.45,35.12,35.17,1153200
RF,2006-04-03,35.16,35.61,35.15,35.42,1330300
RF,2006-04-04,35.54,35.7,35.15,35.2,1168300
RF,2006-04-05,35.25,35.66,35.13,35.65,1171400
RF,2006-04-06,35.16,35.19,34.86,35.15,1301700
RF,2006-04-07,34.86,35.45,34.81,35.25,1341900
RF,2006-04-10,35.46,35.52,34.9,34.9,1251300
RF,2006-04-11,35.06,35.53,34.93,35.51,1227800
RF,2006-04-12,35.21,35.27,34.86,35.04,1033099
RF,2006-04-13,35.36,35.43,35.06,35.11,1100000
RF,2006-04-14,35.36,35.43,35.06,35.11,0
RF,2006-04-17,35.58,35.9,35.28,35.43,1879900
RF,2006-04-18,35.85,35.93,34.86,35.0,1953200
RF,2006-04-19,35.57,35.89,35.46,35.8,1373500
RF,2006-04-20,35.6,35.75,35.33,35.37,1536000
RF,2006-04-21,35.71,35.78,35.52,35.75,1279800
RF,2006-04-24,35.68,35.82,35.43,35.67,1056900
RF,2006-04-25,35.49,35.7,35.28,35.69,941200
RF,2006-04-26,35.86,35.95,35.65,35.65,1425800
RF,2006-04-27,36.1,36.28,35.25,35.25,1222600
RF,2006-04-28,36.51,36.62,35.97,35.98,1479400
RF,2006-05-01,35.98,36.62,35.88,36.45,1282400
RF,2006-05-02,35.99,36.16,35.82,35.98,813100
RF,2006-05-03,35.95,35.98,35.644,35.88,824500
RF,2006-05-04,36.09,36.27,36.09,36.2,755100
RF,2006-05-05,36.34,36.47,36.23,36.28,1003100
RF,2006-05-08,36.42,36.66,36.35,36.35,796900
RF,2006-05-09,36.49,36.59,36.42,36.45,651500
RF,2006-05-10,36.35,36.53,36.18,36.44,643200
RF,2006-05-11,35.87,36.24,35.64,36.2,891800
RF,2006-05-12,35.68,36.07,35.62,35.89,898600
RF,2006-05-15,36.13,36.33,35.6,35.85,1852000
RF,2006-05-16,36.17,36.35,35.94,36.35,1087900
RF,2006-05-17,35.88,36.17,35.8,35.9,2227000
RF,2006-05-18,35.57,36.02,35.38,35.38,1297400
RF,2006-05-19,35.76,36.0,35.67,35.95,1441900
RF,2006-05-22,35.78,36.03,35.57,35.7,1075600
RF,2006-05-23,35.65,35.97,35.62,35.85,1191400
RF,2006-05-24,35.53,35.91,35.18,35.6,2103600
RF,2006-05-25,34.44,36.6,34.35,36.6,7443800
RF,2006-05-26,34.38,34.79,34.18,34.5,2623700
RF,2006-05-29,34.38,34.79,34.18,34.5,0
RF,2006-05-30,33.78,34.38,33.78,34.26,1973700
RF,2006-05-31,33.85,34.06,33.4,33.98,3200400
RF,2006-06-01,34.31,34.36,33.87,33.9,2652200
RF,2006-06-02,34.34,34.5,34.25,34.35,2440000
RF,2006-06-05,33.94,34.34,33.93,34.28,1589800
RF,2006-06-06,33.83,34.0,33.62,34.0,2093400
RF,2006-06-07,34.0,34.27,33.83,33.98,1604800
RF,2006-06-08,34.07,34.15,33.61,33.89,1446600
RF,2006-06-09,34.1,34.32,33.83,34.0,1105200
RF,2006-06-12,33.92,34.24,33.85,34.1,964000
RF,2006-06-13,33.66,34.11,33.59,33.92,1464600
RF,2006-06-14,33.27,33.84,32.82,33.58,1802600
RF,2006-06-15,33.77,33.77,33.19,33.32,1104700
RF,2006-06-16,33.77,33.87,33.63,33.73,1559800
RF,2006-06-19,33.54,33.94,33.49,33.8,1381800
RF,2006-06-20,33.59,33.88,33.49,33.62,1333600
RF,2006-06-21,33.53,33.76,33.45,33.5,878900
RF,2006-06-22,33.37,33.54,33.22,33.43,926500
RF,2006-06-23,32.89,33.1793,32.74,33.13,1241700
RF,2006-06-26,33.04,33.05,32.78,32.95,943900
RF,2006-06-27,32.69,33.15,32.66,33.06,821600
RF,2006-06-28,32.93,33.05,32.75,32.9,1049000
RF,2006-06-29,33.33,33.39,32.8,32.93,1533500
RF,2006-06-30,33.12,33.48,33.1,33.48,1416800
RF,2006-07-03,33.6,33.63,33.14,33.35,988700
RF,2006-07-04,33.6,33.63,33.14,33.35,0
RF,2006-07-05,33.18,33.49,33.07,33.43,1324300
RF,2006-07-06,33.22,33.23,33.06,33.18,1108600
RF,2006-07-07,33.28,33.6,33.1,33.22,1094100
RF,2006-07-10,33.35,33.48,33.26,33.33,876500
RF,2006-07-11,33.48,33.5,33.01,33.3,911900
