Symbol,Date,Close,High,Low,Open,Volume
RHI,2006-01-02,37.89,38.09,37.5,37.99,0
RHI,2006-01-03,37.48,37.85,36.9,37.79,611700
RHI,2006-01-04,37.41,37.73,37.16,37.73,525700
RHI,2006-01-05,37.54,37.79,37.26,37.49,659200
RHI,2006-01-06,38.23,38.33,37.45,37.78,533500
RHI,2006-01-09,38.53,38.87,38.27,38.29,339300
RHI,2006-01-10,39.55,39.57,38.48,38.54,580500
RHI,2006-01-11,39.55,39.81,39.45,39.78,921700
RHI,2006-01-12,39.58,39.72,39.24,39.6,423600
RHI,2006-01-13,39.43,39.8,39.41,39.48,365300
RHI,2006-01-16,39.43,39.8,39.41,39.48,0
RHI,2006-01-17,37.56,38.54,37.06,38.53,1440900
RHI,2006-01-18,37.85,38.07,37.53,37.56,570400
RHI,2006-01-19,38.12,38.68,37.82,37.88,788900
RHI,2006-01-20,36.81,38.12,36.62,38.12,754200
RHI,2006-01-23,36.58,37.26,36.45,36.86,773500
RHI,2006-01-24,37.43,37.67,36.6,36.77,853300
RHI,2006-01-25,37.94,38.04,36.75,37.51,1431100
RHI,2006-01-26,38.36,38.62,37.47,38.5,1595200
RHI,2006-01-27,36.15,37.36,35.89,36.25,3595000
RHI,2006-01-30,36.99,37.68,36.6,37.26,1852300
RHI,2006-01-31,36.53,37.1,36.27,36.99,1638200
RHI,2006-02-01,37.18,37.41,36.55,36.55,1280000
RHI,2006-02-02,36.96,37.2,36.6,37.18,663000
RHI,2006-02-03,36.32,36.9,36.21,36.9,472100
RHI,2006-02-06,36.05,36.39,35.85,36.0,814500
RHI,2006-02-07,36.0,36.63,35.95,36.3,652500
RHI,2006-02-08,36.49,36.58,35.25,35.9,813400
RHI,2006-02-09,36.25,36.83,36.18,36.56,549100
RHI,2006-02-10,35.95,36.22,35.74,36.09,832800
RHI,2006-02-13,36.16,36.27,35.7,35.95,832800
RHI,2006-02-14,36.56,36.65,35.99,36.21,620800
RHI,2006-02-15,36.9,36.94,36.32,36.69,736000
RHI,2006-02-16,36.81,37.13,36.39,37.0,559300
RHI,2006-02-17,37.25,37.43,36.92,36.95,635500
RHI,2006-02-20,37.25,37.43,36.92,36.95,0
RHI,2006-02-21,35.72,36.4,30.0,30.0,1527900
RHI,2006-02-22,36.87,37.0,35.8,35.8,1805600
RHI,2006-02-23,36.46,36.94,36.2,36.79,786800
RHI,2006-02-24,36.68,36.91,36.5,36.66,315300
RHI,2006-02-27,37.03,37.25,36.79,36.79,443900
RHI,2006-02-28,35.92,37.015,35.92,36.9,1094200
RHI,2006-03-01,37.15,37.15,35.59,35.92,1221300
RHI,2006-03-02,36.57,36.88,36.37,36.81,620500
RHI,2006-03-03,36.44,36.76,36.12,36.2,615600
RHI,2006-03-06,36.1,36.55,36.0,36.32,969200
RHI,2006-03-07,35.47,36.04,35.2,36.04,1186400
RHI,2006-03-08,35.81,35.84,35.32,35.48,663900
RHI,2006-03-09,35.82,36.25,35.65,35.88,477100
RHI,2006-03-10,36.2,36.52,35.62,35.83,375500
RHI,2006-03-13,36.7,36.76,36.14,36.25,628300
RHI,2006-03-14,37.6,37.83,36.6,36.65,754700
RHI,2006-03-15,38.28,38.32,37.67,37.73,573700
RHI,2006-03-16,38.04,38.7,38.04,38.48,642800
RHI,2006-03-17,38.37,38.54,37.71,38.04,701000
RHI,2006-03-20,38.35,38.64,38.25,38.45,492200
RHI,2006-03-21,37.81,38.66,37.75,38.62,681200
RHI,2006-03-22,38.87,38.95,37.9,37.9,568800
RHI,2006-03-23,39.39,39.44,38.97,39.0,910800
RHI,2006-03-24,39.36,39.5,39.06,39.46,423500
RHI,2006-03-27,38.95,39.32,38.8624,39.32,704800
RHI,2006-03-28,39.05,39.16,38.68,39.0,985100
RHI,2006-03-29,39.27,39.47,38.88,39.05,716800
RHI,2006-03-30,38.35,38.63,37.62,38.4,1939600
RHI,2006-03-31,38.61,38.85,38.21,38.4,873400
RHI,2006-04-03,38.64,39.16,38.54,38.64,519800
RHI,2006-04-04,39.1,39.38,38.34,38.72,924900
RHI,2006-04-05,38.81,39.24,38.64,39.18,794400
RHI,2006-04-06,38.78,38.9,38.59,38.84,546100
RHI,2006-04-07,38.91,39.25,38.71,39.0,753600
RHI,2006-04-10,38.31,39.0,38.19,38.98,654000
RHI,2006-04-11,38.05,38.25,37.63,38.25,911000
RHI,2006-04-12,38.07,38.39,37.84,38.1,391700
