Symbol,Date,Close,High,Low,Open,Volume
RHT,2006-01-02,27.26,27.85,27.22,27.65,0
RHT,2006-01-03,28.05,28.15,27.12,27.15,4941737
RHT,2006-01-04,28.8,28.83,27.8,27.98,4530544
RHT,2006-01-05,29.05,29.79,28.8,28.8,5756632
RHT,2006-01-06,30.08,30.082,29.15,29.41,4180214
RHT,2006-01-09,29.62,30.26,29.36,30.26,4506728
RHT,2006-01-10,30.47,30.97,29.4,29.4,4707003
RHT,2006-01-11,30.82,31.05,30.08,30.45,3122317
RHT,2006-01-12,29.89,30.8,29.77,30.66,3007642
RHT,2006-01-13,28.84,29.44,28.43,29.33,14368262
RHT,2006-01-16,28.84,29.44,28.43,29.33,0
RHT,2006-01-17,29.27,29.28,28.14,28.25,5089403
RHT,2006-01-18,28.9,29.06,28.27,28.27,3182237
RHT,2006-01-19,29.24,29.34,28.85,29.135,2027418
RHT,2006-01-20,28.59,30.11,28.52,29.67,5087540
RHT,2006-01-23,27.92,28.74,27.72,28.74,3817486
RHT,2006-01-24,27.2,28.009,26.7,27.91,5238377
RHT,2006-01-25,27.31,27.57,26.51,27.22,6445275
RHT,2006-01-26,28.32,28.56,27.46,27.64,4496169
RHT,2006-01-27,28.26,29.03,28.25,28.61,2739784
RHT,2006-01-30,28.66,29.04,27.85,28.14,3714863
RHT,2006-01-31,28.871,29.06,27.92,28.52,3678146
RHT,2006-02-01,29.22,29.71,28.37,28.46,3323269
RHT,2006-02-02,28.08,29.48,28.0,29.215,3657141
RHT,2006-02-03,28.32,28.64,27.49,28.03,2823553
RHT,2006-02-06,28.2,28.68,28.13,28.54,2700995
RHT,2006-02-07,27.04,28.13,26.52,28.1,5006520
RHT,2006-02-08,27.36,27.5,26.65,27.13,2687396
RHT,2006-02-09,26.89,27.7,26.74,27.43,3744211
RHT,2006-02-10,26.5,26.94,26.06,26.9,2954920
RHT,2006-02-13,26.55,26.73,26.06,26.15,2648229
RHT,2006-02-14,26.3,27.09,26.25,26.565,2714766
RHT,2006-02-15,25.99,26.28,25.8,26.23,2706939
RHT,2006-02-16,25.55,25.97,25.25,25.88,4656495
RHT,2006-02-17,25.09,25.5,24.92,25.42,3679876
RHT,2006-02-20,25.09,25.5,24.92,25.42,0
RHT,2006-02-21,25.05,25.24,24.85,25.0,2381466
RHT,2006-02-22,25.32,25.35,24.78,25.0,3126611
RHT,2006-02-23,26.5,26.82,25.25,25.25,4403038
RHT,2006-02-24,26.43,26.75,26.2,26.5,1412915
RHT,2006-02-27,26.45,26.91,26.15,26.41,2221323
RHT,2006-02-28,26.87,26.95,26.2,26.33,2208168
RHT,2006-03-01,28.14,28.36,26.92,26.945,4679141
RHT,2006-03-02,28.25,28.99,27.89,28.38,3205505
RHT,2006-03-03,29.01,29.28,28.0,28.0,3186362
RHT,2006-03-06,28.48,29.07,28.2,29.0,1863870
RHT,2006-03-07,27.57,28.34,27.2,28.305,1702461
RHT,2006-03-08,27.97,28.21,27.35,27.36,2075346
RHT,2006-03-09,27.2,28.49,27.19,28.08,2007507
RHT,2006-03-10,27.3,27.56,26.48,26.88,2315634
RHT,2006-03-13,27.46,27.78,27.26,27.26,1078934
RHT,2006-03-14,27.34,27.46,26.95,27.43,2074118
RHT,2006-03-15,27.7,27.82,27.248,27.44,2363959
RHT,2006-03-16,28.49,28.97,27.71,27.85,3618592
