Symbol,Date,Close,High,Low,Open,Volume
RJF,2006-01-02,25.1133,25.28,25.02,25.28,0
RJF,2006-01-03,25.6667,25.72,24.4733,25.2133,731700
RJF,2006-01-04,26.0467,26.2,25.6067,25.62,674700
RJF,2006-01-05,26.2067,26.2667,25.8,25.96,655650
RJF,2006-01-06,26.2467,26.66,26.1533,26.3,554400
RJF,2006-01-09,26.52,26.6333,26.2867,26.2867,495600
RJF,2006-01-10,26.6533,26.6667,26.0333,26.1933,520800
RJF,2006-01-11,26.5533,26.86,26.5333,26.6533,333600
RJF,2006-01-12,25.7867,26.24,25.2533,25.5,1024049
RJF,2006-01-13,25.9667,25.9667,25.72,25.7867,408900
RJF,2006-01-16,25.9667,25.9667,25.72,25.7867,0
RJF,2006-01-17,25.7333,26.0467,25.48,25.9333,647100
RJF,2006-01-18,25.74,25.82,25.4333,25.6667,358800
RJF,2006-01-19,26.4467,26.5533,25.8,25.8,448200
RJF,2006-01-20,25.9,26.4467,25.8133,26.4467,579750
RJF,2006-01-23,26.0733,26.3933,25.7467,25.7533,583200
RJF,2006-01-24,26.7,26.8333,26.08,26.08,584850
RJF,2006-01-25,27.5133,27.66,26.6333,26.8333,1079400
RJF,2006-01-26,28.18,28.5,27.5467,27.5467,603600
RJF,2006-01-27,27.94,28.3667,27.7267,28.3333,910350
RJF,2006-01-30,27.8333,28.06,27.7667,28.0,990600
RJF,2006-01-31,28.3733,28.3733,27.4533,27.5667,654450
RJF,2006-02-01,28.1733,28.5533,28.0533,28.2067,734400
RJF,2006-02-02,28.3267,28.4867,28.0333,28.18,458100
RJF,2006-02-03,28.3867,29.0,28.12,28.1667,553500
RJF,2006-02-06,28.46,28.6933,28.3467,28.3533,592050
RJF,2006-02-07,28.6667,29.3001,28.5001,28.5001,585300
RJF,2006-02-08,29.24,29.3267,28.5867,28.6667,505950
RJF,2006-02-09,29.1867,29.7,29.1867,29.24,422700
RJF,2006-02-10,29.0333,29.32,28.6,29.22,385500
RJF,2006-02-13,28.9267,29.4,28.88,28.9667,226500
RJF,2006-02-14,29.0,29.32,28.6,28.9667,483450
RJF,2006-02-15,29.5133,29.5133,29.0,29.0867,451650
RJF,2006-02-16,29.98,30.0133,29.5267,29.6,270450
RJF,2006-02-17,30.1333,30.2333,29.74,30.12,544200
RJF,2006-02-20,30.1333,30.2333,29.74,30.12,0
RJF,2006-02-21,30.02,30.0333,29.6,30.0267,587550
RJF,2006-02-22,31.04,31.2,30.06,30.0667,895050
RJF,2006-02-23,30.8667,31.4467,30.6733,30.8733,437100
RJF,2006-02-24,31.1267,31.3667,30.8733,30.8733,450750
RJF,2006-02-27,29.8067,30.2,29.6467,30.0,1196250
RJF,2006-02-28,28.6533,29.8067,28.5,29.8067,1019849
RJF,2006-03-01,29.44,29.5067,28.6333,28.82,649200
RJF,2006-03-02,29.2133,29.5333,29.0267,29.44,550350
RJF,2006-03-03,29.24,29.3733,29.1,29.2133,543300
RJF,2006-03-06,28.9333,29.6667,28.8467,29.24,596250
RJF,2006-03-07,28.2933,28.7,28.2,28.7,782100
RJF,2006-03-08,28.6867,28.8667,28.16,28.2,542700
RJF,2006-03-09,28.4733,28.8,28.4667,28.6867,328350
RJF,2006-03-10,28.84,29.12,28.4133,28.4267,265950
RJF,2006-03-13,28.6667,29.1867,28.5,29.0067,520350
RJF,2006-03-14,29.5133,29.6,28.8467,28.92,419700
RJF,2006-03-15,29.6533,29.9133,29.3467,29.48,333750
RJF,2006-03-16,29.66,30.0267,29.6067,29.7333,287550
RJF,2006-03-17,29.7733,29.8333,29.5734,29.6867,389850
RJF,2006-03-20,29.6867,29.88,29.5,29.6067,310650
RJF,2006-03-21,29.4333,29.6,29.3467,29.6,823650
RJF,2006-03-22,29.6467,29.76,28.92,29.2333,416850
RJF,2006-03-23,28.87,29.31,28.81,29.3,382700
RJF,2006-03-24,29.0,29.12,28.62,28.8,674700
RJF,2006-03-27,29.44,29.52,29.05,29.05,445100
RJF,2006-03-28,28.97,29.55,28.95,29.5,474000
RJF,2006-03-29,29.0,29.3399,28.96,29.01,414700
RJF,2006-03-30,29.1,29.35,28.87,28.87,401900
RJF,2006-03-31,29.56,29.61,29.12,29.17,317400
RJF,2006-04-03,29.53,29.63,29.23,29.47,710300
RJF,2006-04-04,29.46,29.73,29.17,29.53,391500
RJF,2006-04-05,29.57,29.61,29.33,29.54,272800
RJF,2006-04-06,29.81,29.82,29.31,29.57,279600
RJF,2006-04-07,29.7,30.3,29.54,29.99,266200
RJF,2006-04-10,29.32,29.82,29.13,29.6,248900
RJF,2006-04-11,28.79,29.6,28.69,29.5,528700
RJF,2006-04-12,29.07,29.17,28.65,28.9,425900
RJF,2006-04-13,29.16,29.39,28.75,29.07,307900
RJF,2006-04-14,29.16,29.39,28.75,29.07,0
RJF,2006-04-17,29.47,29.66,29.21,29.34,298700
RJF,2006-04-18,30.13,30.25,29.63,29.67,441400
RJF,2006-04-19,30.61,30.62,30.0601,30.15,461500
RJF,2006-04-20,30.62,30.91,30.36,30.61,306300
RJF,2006-04-21,30.64,30.96,30.29,30.7,524000
RJF,2006-04-24,30.62,30.73,30.29,30.64,345400
RJF,2006-04-25,30.67,30.67,30.0,30.5,481500
RJF,2006-04-26,30.1,31.5999,30.01,30.67,917800
RJF,2006-04-27,30.44,30.74,29.82,30.11,305000
RJF,2006-04-28,30.35,30.6,29.99,30.44,706100
RJF,2006-05-01,29.3,30.58,29.2,30.34,574600
RJF,2006-05-02,29.94,30.01,29.01,29.3,670000
RJF,2006-05-03,30.27,30.31,29.67,29.95,366200
RJF,2006-05-04,30.34,30.54,30.13,30.26,275300
RJF,2006-05-05,31.0,31.0,30.46,30.54,350800
