Symbol,Date,Close,High,Low,Open,Volume
RL,2006-01-02,56.14,56.52,55.86,55.97,0
RL,2006-01-03,55.76,56.51,55.16,56.42,979600
RL,2006-01-04,55.8,56.09,55.13,55.91,690000
RL,2006-01-05,56.23,56.86,55.73,55.79,634500
RL,2006-01-06,56.47,56.7,56.15,56.49,512800
RL,2006-01-09,56.54,56.93,56.0,56.15,665700
RL,2006-01-10,56.72,56.72,55.91,56.7,329800
RL,2006-01-11,56.66,57.65,56.6,56.63,619400
RL,2006-01-12,56.51,56.73,56.31,56.52,427300
RL,2006-01-13,56.02,56.8,55.85,56.51,207300
RL,2006-01-16,56.02,56.8,55.85,56.51,0
RL,2006-01-17,55.3,55.74,54.45,55.72,564300
RL,2006-01-18,55.16,55.629,54.52,54.8,403400
RL,2006-01-19,54.15,55.25,53.8,55.25,941600
RL,2006-01-20,52.99,54.34,52.911,54.2,741400
RL,2006-01-23,53.73,54.31,53.4,54.05,1185900
RL,2006-01-24,54.47,54.82,53.81,53.9,552600
RL,2006-01-25,54.87,54.99,54.4,54.7,556300
RL,2006-01-26,56.12,56.39,54.83,55.1,640800
RL,2006-01-27,56.88,56.98,55.9,56.03,511000
RL,2006-01-30,57.05,57.59,56.73,56.85,446400
RL,2006-01-31,56.64,56.885,56.09,56.85,384100
RL,2006-02-01,56.35,56.89,56.14,56.6,536900
RL,2006-02-02,56.33,56.65,55.83,56.3,470200
RL,2006-02-03,57.57,57.57,55.7,55.7,665900
RL,2006-02-06,57.47,58.26,56.65,57.52,489300
RL,2006-02-07,54.17,56.14,53.99,55.75,1856400
RL,2006-02-08,55.55,56.18,54.6,54.6,1443100
RL,2006-02-09,55.56,56.07,55.4,55.5,685300
RL,2006-02-10,55.35,55.66,55.02,55.5,753000
RL,2006-02-13,55.0,55.42,54.55,55.38,668600
RL,2006-02-14,56.94,57.15,55.12,55.35,757200
RL,2006-02-15,57.57,57.57,56.7,57.1,588000
RL,2006-02-16,57.29,57.8,56.91,57.75,676100
RL,2006-02-17,56.43,57.29,56.39,57.21,623000
RL,2006-02-20,56.43,57.29,56.39,57.21,0
RL,2006-02-21,55.97,56.35,55.79,56.28,560500
RL,2006-02-22,56.9,57.23,55.97,56.02,648600
RL,2006-02-23,57.14,57.34,56.63,56.73,406000
RL,2006-02-24,58.0,58.32,57.21,57.24,732500
RL,2006-02-27,58.75,58.94,57.85,57.85,808700
RL,2006-02-28,57.96,59.05,57.46,58.7,509200
RL,2006-03-01,59.24,59.7,57.88,57.96,615800
RL,2006-03-02,58.87,59.2,58.59,58.95,630500
RL,2006-03-03,58.74,59.07,58.12,58.62,304100
RL,2006-03-06,57.57,58.79,57.49,58.7,433000
RL,2006-03-07,57.58,57.89,55.89,57.0,888100
RL,2006-03-08,58.11,58.31,56.97,57.05,433200
RL,2006-03-09,58.09,58.58,57.7,57.97,514700
RL,2006-03-10,58.3,58.42,57.83,58.13,282900
RL,2006-03-13,58.06,58.29,57.74,58.29,409800
RL,2006-03-14,58.62,58.62,57.68,58.03,235800
RL,2006-03-15,58.75,58.76,58.15,58.7,501700
RL,2006-03-16,58.62,59.55,58.49,58.95,455200
RL,2006-03-17,59.84,59.86,58.03,58.57,573100
RL,2006-03-20,60.93,61.5,60.2,60.25,641900
RL,2006-03-21,60.69,61.59,60.3,61.12,716700
RL,2006-03-22,61.1,61.28,60.38,60.44,680700
RL,2006-03-23,61.47,61.74,60.9,61.2,553000
RL,2006-03-24,60.73,61.57,60.56,61.55,249500
RL,2006-03-27,60.41,60.75,60.11,60.7,791900
RL,2006-03-28,60.25,60.62,60.04,60.15,550000
RL,2006-03-29,60.4,60.74,60.1,60.1,336200
RL,2006-03-30,60.13,60.7,59.95,60.3,700200
RL,2006-03-31,60.61,60.99,59.98,60.25,457400
