Symbol,Date,Close,High,Low,Open,Volume
ROST,2006-01-02,7.225,7.3275,7.2075,7.2275,0
ROST,2006-01-03,7.36,7.415,7.0575,7.1875,8994072
ROST,2006-01-04,7.4225,7.5425,7.3125,7.3825,10913484
ROST,2006-01-05,7.2725,7.505,7.195,7.4825,7875272
ROST,2006-01-06,7.3525,7.375,7.22,7.37,7240900
ROST,2006-01-09,7.5475,7.5725,7.295,7.295,7300516
ROST,2006-01-10,7.5925,7.5925,7.4825,7.4825,4574888
ROST,2006-01-11,7.605,7.6675,7.4225,7.58,5464956
ROST,2006-01-12,7.6175,7.76,7.591,7.6,3834380
ROST,2006-01-13,7.625,7.7325,7.5975,7.6575,4532088
ROST,2006-01-16,7.625,7.7325,7.5975,7.6575,0
ROST,2006-01-17,7.5,7.65,7.4025,7.5675,5411728
ROST,2006-01-18,7.42,7.725,6.79,7.4675,6151836
ROST,2006-01-19,7.495,7.5725,7.375,7.4125,3254888
ROST,2006-01-20,7.265,7.5925,7.21,7.4975,6641084
ROST,2006-01-23,7.1375,7.3375,7.12,7.2575,5286432
ROST,2006-01-24,7.2825,7.32,7.1275,7.1275,10171260
ROST,2006-01-25,7.23,7.345,7.1625,7.2425,4539864
ROST,2006-01-26,7.37,7.37,7.24,7.31,5126600
ROST,2006-01-27,7.325,7.4775,7.235,7.235,5653108
ROST,2006-01-30,7.2,7.43,7.195,7.355,3350056
ROST,2006-01-31,7.125,7.2275,7.0725,7.2275,9160304
ROST,2006-02-01,7.1325,7.17,7.0625,7.0725,6219144
ROST,2006-02-02,6.9675,7.1725,6.82,7.0675,15653296
ROST,2006-02-03,6.795,6.97,6.765,6.895,5849356
ROST,2006-02-06,6.7875,6.845,6.735,6.7825,5880904
ROST,2006-02-07,6.8275,6.85,6.75,6.7675,3794460
ROST,2006-02-08,6.815,6.865,6.7775,6.84,2563868
ROST,2006-02-09,6.885,6.96,6.7925,6.8475,4749656
ROST,2006-02-10,6.835,6.865,6.765,6.7775,5950772
ROST,2006-02-13,6.7775,6.8375,6.715,6.7925,4405928
ROST,2006-02-14,6.7625,6.845,6.705,6.8025,4234580
ROST,2006-02-15,6.885,6.92,6.7375,6.775,3007340
ROST,2006-02-16,6.91,6.91,6.885,6.895,3359140
ROST,2006-02-17,6.8025,6.93,6.7925,6.9175,2292560
ROST,2006-02-20,6.8025,6.93,6.7925,6.9175,0
ROST,2006-02-21,6.6775,6.8475,6.64,6.8475,2913876
ROST,2006-02-22,7.0475,7.115,6.785,6.8125,6803048
ROST,2006-02-23,6.98,7.0975,6.975,7.06,4293324
ROST,2006-02-24,7.025,7.025,6.795,7.0025,5517112
ROST,2006-02-27,7.1175,7.1225,7.015,7.0625,3011864
ROST,2006-02-28,7.08,7.1275,7.0075,7.0825,3738624
ROST,2006-03-01,7.155,7.1605,7.055,7.115,3395072
ROST,2006-03-02,7.1075,7.1475,6.995,7.0875,3101720
ROST,2006-03-03,7.09,7.2025,6.9925,7.0375,2721904
ROST,2006-03-06,7.035,7.1325,6.99,7.0775,2213336
ROST,2006-03-07,7.0725,7.0725,7.0,7.0,2475788
ROST,2006-03-08,7.0475,7.105,6.97,7.055,3074872
ROST,2006-03-09,6.8975,7.08,6.8875,7.07,3039156
ROST,2006-03-10,6.9625,7.0625,6.87,6.9225,3509076
ROST,2006-03-13,7.0375,7.0375,6.965,7.01,4599272
ROST,2006-03-14,7.005,7.01,6.85,6.9625,5064888
ROST,2006-03-15,7.05,7.1,6.77,7.0275,9291876
ROST,2006-03-16,6.9525,7.095,6.9325,7.09,5275880
ROST,2006-03-17,6.865,6.985,6.8575,6.9475,6692348
ROST,2006-03-20,6.995,6.995,6.895,6.895,5516224
ROST,2006-03-21,6.985,7.0925,6.88,6.9375,5539240
ROST,2006-03-22,7.0425,7.07,6.925,6.945,4954352
ROST,2006-03-23,7.1775,7.2275,7.0075,7.01,5801028
ROST,2006-03-24,7.235,7.235,7.205,7.205,4018640
ROST,2006-03-27,7.2125,7.2375,7.1875,7.2325,6850768
ROST,2006-03-28,7.2625,7.2625,7.2125,7.2325,5283424
ROST,2006-03-29,7.3125,7.3125,7.2025,7.2025,3882868
ROST,2006-03-30,7.29,7.3725,7.2425,7.31,4154327
ROST,2006-03-31,7.2975,7.34,7.28,7.3,3167044
ROST,2006-04-03,7.2025,7.36,7.1625,7.305,6136844
ROST,2006-04-04,7.31,7.31,7.19,7.19,4502148
ROST,2006-04-05,7.2725,7.28,7.1675,7.24,5204592
ROST,2006-04-06,7.5575,7.5575,7.375,7.375,6875516
ROST,2006-04-07,7.545,7.6775,7.49,7.54,3245436
ROST,2006-04-10,7.415,7.565,7.3775,7.52,3382204
ROST,2006-04-11,7.488,7.488,7.39,7.4775,2658320
ROST,2006-04-12,7.36,7.4375,7.35,7.3775,3205716
ROST,2006-04-13,7.415,7.5,7.35,7.365,3657620
ROST,2006-04-14,7.415,7.5,7.35,7.365,0
ROST,2006-04-17,7.4575,7.4575,7.3775,7.405,2924112
ROST,2006-04-18,7.4875,7.5375,7.395,7.4125,3364216
ROST,2006-04-19,7.57,7.5925,7.47,7.495,4458648
ROST,2006-04-20,7.65,7.65,7.5575,7.5575,2669272
ROST,2006-04-21,7.395,7.61,7.355,7.61,5814168
ROST,2006-04-24,7.35,7.44,7.2775,7.3575,4272944
ROST,2006-04-25,7.455,7.5125,7.35,7.3525,4526752
ROST,2006-04-26,7.4875,7.4875,7.4325,7.4775,3363516
ROST,2006-04-27,7.5725,7.6475,7.4125,7.4425,5605880
ROST,2006-04-28,7.66,7.695,7.49,7.575,5039016
ROST,2006-05-01,7.6525,7.7575,7.6275,7.66,4483964
ROST,2006-05-02,7.535,7.7075,7.5275,7.6525,3303820
ROST,2006-05-03,7.6575,7.6575,7.525,7.525,3659512
ROST,2006-05-04,7.36,7.535,7.3,7.5025,8006852
ROST,2006-05-05,7.4375,7.4675,7.3675,7.43,3206644
ROST,2006-05-08,7.5,7.505,7.38,7.38,3863076
ROST,2006-05-09,7.52,7.52,7.475,7.5125,2280304
ROST,2006-05-10,7.405,7.49,7.37,7.45,4840048
ROST,2006-05-11,7.365,7.4625,7.35,7.365,3323000
ROST,2006-05-12,7.1275,7.35,7.1075,7.31,6696372
ROST,2006-05-15,7.215,7.26,7.075,7.11,5125012
ROST,2006-05-16,7.2475,7.2475,7.1675,7.1675,4361160
ROST,2006-05-17,6.9125,7.1275,6.8725,7.0325,12809408
ROST,2006-05-18,6.885,6.9825,6.88,6.9475,5416620
ROST,2006-05-19,6.98,6.98,6.88,6.88,6374180
ROST,2006-05-22,7.0715,7.0715,6.87,6.87,6540976
ROST,2006-05-23,6.985,7.09,6.98,7.0325,6693672
ROST,2006-05-24,7.0325,7.0325,6.9475,6.9475,9491700
ROST,2006-05-25,6.9825,6.99,6.7475,6.81,8375448
ROST,2006-05-26,6.97,6.9875,6.8825,6.9675,3785920
ROST,2006-05-29,6.97,6.9875,6.8825,6.9675,0
ROST,2006-05-30,6.88,6.98,6.8175,6.97,3468284
ROST,2006-05-31,7.0625,7.11,6.8375,6.8575,5879736
ROST,2006-06-01,7.1825,7.21,7.0,7.025,6091624
ROST,2006-06-02,7.095,7.22,7.0025,7.2175,2752032
ROST,2006-06-05,6.9125,7.0825,6.91,7.065,3359256
ROST,2006-06-06,6.915,6.96,6.7425,6.9075,4207320
ROST,2006-06-07,6.75,6.9,6.745,6.9,6903816
ROST,2006-06-08,6.7375,6.7625,6.55,6.71,8070152
ROST,2006-06-09,6.775,6.8425,6.735,6.76,5270784
ROST,2006-06-12,6.705,6.89,6.695,6.77,8295736
ROST,2006-06-13,6.8,6.8,6.685,6.685,5485376
