Symbol,Date,Close,High,Low,Open,Volume
RRC,2006-01-02,26.34,26.5,25.518,25.54,0
RRC,2006-01-03,27.56,27.6,26.34,26.34,1698000
RRC,2006-01-04,28.51,28.71,27.6,27.6,1695800
RRC,2006-01-05,27.45,28.66,27.26,28.55,1604300
RRC,2006-01-06,27.7,28.2,27.55,27.85,1138500
RRC,2006-01-09,27.63,27.81,27.181,27.64,1151600
RRC,2006-01-10,28.33,28.45,27.53,27.63,1123500
RRC,2006-01-11,28.75,28.96,28.031,28.43,1294600
RRC,2006-01-12,28.76,29.71,28.64,28.85,1706400
RRC,2006-01-13,28.71,28.98,28.18,28.8,713900
RRC,2006-01-16,28.71,28.98,28.18,28.8,0
RRC,2006-01-17,29.37,29.6,28.96,29.0,732500
RRC,2006-01-18,29.1898,29.7,28.28,29.55,761800
RRC,2006-01-19,29.78,29.98,28.41,28.42,1319800
RRC,2006-01-20,29.5,30.52,29.37,30.13,1057300
RRC,2006-01-23,29.03,29.85,28.94,29.5,1204500
RRC,2006-01-24,28.9,29.4,28.72,29.04,1436000
RRC,2006-01-25,28.25,29.66,28.21,29.55,1330000
RRC,2006-01-26,27.74,28.25,27.09,28.22,2057999
RRC,2006-01-27,28.37,29.05,28.25,28.41,1656500
RRC,2006-01-30,29.27,29.5,28.51,28.51,1014100
RRC,2006-01-31,29.87,29.94,29.28,29.33,846800
RRC,2006-02-01,29.18,30.06,29.02,29.87,1303900
RRC,2006-02-02,28.26,29.53,28.01,29.18,978200
RRC,2006-02-03,27.9,28.6,27.6,28.26,1104300
RRC,2006-02-06,28.19,28.61,28.08,28.37,902800
RRC,2006-02-07,26.12,27.6,25.92,27.6,1881100
RRC,2006-02-08,26.01,26.11,24.8,25.95,2185700
RRC,2006-02-09,24.54,26.35,24.32,26.05,2151000
RRC,2006-02-10,24.03,24.71,23.58,24.61,2139000
RRC,2006-02-13,23.31,24.16,23.21,23.4,1098200
RRC,2006-02-14,24.27,24.73,22.69,22.75,2346300
RRC,2006-02-15,24.25,25.2,24.12,24.5,2492200
RRC,2006-02-16,24.98,25.49,24.6,24.6,1350100
RRC,2006-02-17,25.1,25.98,24.91,25.18,1029500
RRC,2006-02-20,25.1,25.98,24.91,25.18,0
RRC,2006-02-21,25.95,26.19,25.76,26.15,1190300
RRC,2006-02-22,24.88,25.95,24.8,25.95,1202900
RRC,2006-02-23,24.53,25.08,24.06,24.45,1568800
RRC,2006-02-24,24.83,25.46,24.82,25.09,1131100
RRC,2006-02-27,24.32,24.7,24.06,24.47,1490200
RRC,2006-02-28,23.93,24.44,23.59,24.08,2209800
RRC,2006-03-01,24.91,24.91,24.0,24.0,1476900
RRC,2006-03-02,25.18,25.449,24.79,25.0,1430900
RRC,2006-03-03,25.49,25.9,25.06,25.15,1360500
RRC,2006-03-06,23.97,25.29,23.88,25.14,1198300
RRC,2006-03-07,23.1,23.97,22.8,23.88,1383500
RRC,2006-03-08,23.33,23.6,22.52,22.75,1665500
RRC,2006-03-09,23.19,23.74,22.96,23.5,1411100
RRC,2006-03-10,23.43,23.66,22.82,23.05,1170300
RRC,2006-03-13,24.31,24.38,23.7,23.85,1050500
RRC,2006-03-14,25.31,25.36,24.121,24.38,1848700
RRC,2006-03-15,25.37,25.55,25.12,25.31,1601100
RRC,2006-03-16,26.1,26.22,25.27,25.36,1361100
RRC,2006-03-17,25.8,26.95,25.71,26.25,895400
RRC,2006-03-20,25.08,25.99,25.05,25.55,635100
RRC,2006-03-21,24.91,25.39,24.51,24.9,1216900
RRC,2006-03-22,25.55,25.7,24.73,24.87,898300
RRC,2006-03-23,26.18,26.42,25.79,25.95,1154200
RRC,2006-03-24,26.59,26.75,26.09,26.1,970000
RRC,2006-03-27,26.91,27.02,26.4,26.6,832200
RRC,2006-03-28,27.59,27.95,27.06,27.15,902800
RRC,2006-03-29,27.84,27.88,27.3,27.67,801200
RRC,2006-03-30,28.11,28.5,27.9,27.96,1024100
RRC,2006-03-31,27.31,27.85,26.92,27.81,1032899
RRC,2006-04-03,27.53,28.1,27.44,27.75,752700
RRC,2006-04-04,27.52,27.64,27.01,27.53,704400
RRC,2006-04-05,27.69,27.95,27.3,27.62,919300
RRC,2006-04-06,27.85,28.04,27.3,27.9,580300
RRC,2006-04-07,27.08,27.91,26.81,27.85,688800
RRC,2006-04-10,27.88,28.05,27.6,28.05,685900
RRC,2006-04-11,27.35,28.0,27.09,28.0,1128500
RRC,2006-04-12,26.99,27.6,26.81,27.36,764400
RRC,2006-04-13,27.12,27.27,26.34,26.99,473700
RRC,2006-04-14,27.12,27.27,26.34,26.99,0
RRC,2006-04-17,27.79,27.83,27.36,27.42,370600
RRC,2006-04-18,28.77,28.91,27.85,28.0,956100
RRC,2006-04-19,29.89,29.95,28.71,28.77,2236400
RRC,2006-04-20,29.44,29.99,28.7,29.75,1701000
RRC,2006-04-21,29.79,30.29,29.27,30.0,843200
RRC,2006-04-24,29.41,29.75,29.22,29.6,718200
RRC,2006-04-25,28.72,29.87,28.6,29.75,846700
RRC,2006-04-26,28.2,29.05,27.91,28.58,1589400
RRC,2006-04-27,27.22,28.2,26.8,27.53,1156600
RRC,2006-04-28,26.53,27.11,26.4,26.83,1337500
RRC,2006-05-01,27.39,27.54,26.78,26.78,1361700
RRC,2006-05-02,27.75,28.48,27.57,28.25,906600
RRC,2006-05-03,27.28,27.99,27.04,27.55,662200
RRC,2006-05-04,27.41,27.85,26.86,27.28,652300
RRC,2006-05-05,27.6,27.88,27.31,27.41,736000
RRC,2006-05-08,27.45,27.56,27.05,27.05,810900
RRC,2006-05-09,27.25,27.54,27.11,27.45,1011100
RRC,2006-05-10,27.3,27.44,26.87,27.25,1967400
RRC,2006-05-11,28.22,28.91,27.6,27.6,3113100
RRC,2006-05-12,27.25,28.22,27.11,28.22,2063600
RRC,2006-05-15,26.26,26.78,25.7,26.0,1955900
RRC,2006-05-16,26.04,26.67,25.9,26.6,1056700
RRC,2006-05-17,25.79,26.4,25.42,26.01,1804100
RRC,2006-05-18,24.86,26.16,24.8,25.79,1301200
RRC,2006-05-19,25.18,25.5,24.05,24.86,1113500
RRC,2006-05-22,24.7,24.93,23.6,24.93,1597800
RRC,2006-05-23,24.87,25.73,24.82,25.31,987300
RRC,2006-05-24,24.33,25.02,23.85,24.97,1028100
RRC,2006-05-25,25.04,25.32,24.14,24.58,812800
RRC,2006-05-26,25.36,25.5,24.88,25.2,603300
RRC,2006-05-29,25.36,25.5,24.88,25.2,0
RRC,2006-05-30,25.08,25.85,24.95,25.69,1019099
RRC,2006-05-31,25.9,26.0,24.95,25.09,3023500
RRC,2006-06-01,26.53,26.61,25.35,25.7,1248100
RRC,2006-06-02,26.57,26.85,26.04,26.84,1082600
RRC,2006-06-05,25.82,27.13,25.69,27.1,893300
RRC,2006-06-06,25.3,26.35,25.0,25.89,1523500
RRC,2006-06-07,24.0,25.13,23.88,25.1,1560500
RRC,2006-06-08,24.23,24.23,24.0,24.0,1502500
RRC,2006-06-09,23.61,24.33,23.09,24.29,1545600
RRC,2006-06-12,22.8,23.99,22.71,23.85,1279400
RRC,2006-06-13,21.99,22.93,21.74,22.38,1534600
RRC,2006-06-14,22.87,22.96,21.96,22.01,1230300
RRC,2006-06-15,24.22,24.35,23.1,23.1,1233000
RRC,2006-06-16,23.88,24.35,23.33,24.22,796100
RRC,2006-06-19,22.77,23.88,22.59,23.88,769500
RRC,2006-06-20,22.7,23.35,22.65,22.97,715400
RRC,2006-06-21,23.61,24.04,22.85,22.9,1066600
RRC,2006-06-22,23.55,23.81,23.13,23.61,574400
RRC,2006-06-23,25.2,25.58,25.0,25.0,2554900
RRC,2006-06-26,25.39,25.44,24.65,24.95,1018500
RRC,2006-06-27,25.5,25.69,25.27,25.55,1116000
RRC,2006-06-28,25.93,26.04,25.47,25.84,1019800
RRC,2006-06-29,26.55,26.62,26.02,26.2,1069500
RRC,2006-06-30,27.19,27.5,26.44,26.55,1198800
RRC,2006-07-03,27.8,28.22,27.06,27.4,583300
RRC,2006-07-04,27.8,28.22,27.06,27.4,0
RRC,2006-07-05,26.9,27.8,26.65,27.8,1462900
RRC,2006-07-06,26.59,27.08,26.32,26.9,998700
RRC,2006-07-07,26.34,27.03,26.126,26.61,714500
RRC,2006-07-10,25.9,26.59,25.66,26.59,975100
RRC,2006-07-11,25.74,25.99,25.49,25.98,1200900
RRC,2006-07-12,25.45,26.0,25.44,25.74,1070500
RRC,2006-07-13,25.01,25.64,24.5,25.5,1153700
RRC,2006-07-14,25.17,25.37,24.43,25.2,636300
RRC,2006-07-17,24.0,25.0,23.86,25.0,981400
RRC,2006-07-18,24.26,24.46,23.69,24.4,1219800
RRC,2006-07-19,25.15,25.34,24.15,24.35,1175300
RRC,2006-07-20,24.58,25.33,24.46,25.15,644600
RRC,2006-07-21,24.38,24.65,23.95,24.65,783800
RRC,2006-07-24,25.03,25.43,24.42,24.48,1168700
RRC,2006-07-25,25.92,26.01,25.1,25.25,1016300
RRC,2006-07-26,26.94,27.52,25.77,25.77,1665200
RRC,2006-07-27,26.31,27.37,26.05,27.25,1221500
RRC,2006-07-28,26.75,26.98,26.06,26.06,825400
RRC,2006-07-31,28.11,28.62,27.86,28.4,1895200
RRC,2006-08-01,28.32,28.94,27.94,28.3,1583600
RRC,2006-08-02,29.0,30.37,28.39,29.0,3054400
RRC,2006-08-03,28.6,28.87,28.1,28.15,1029700
RRC,2006-08-04,28.21,29.03,28.0,28.95,942900
RRC,2006-08-07,28.5,28.8,27.96,28.51,1041900
RRC,2006-08-08,28.31,28.95,28.154,28.45,592500
RRC,2006-08-09,28.5,29.0,28.38,28.56,708200
RRC,2006-08-10,28.41,28.5632,27.9,28.5,693700
RRC,2006-08-11,27.75,28.28,27.5,28.03,1095900
RRC,2006-08-14,26.76,27.71,26.61,27.71,764500
RRC,2006-08-15,26.89,27.07,26.58,26.83,573300
RRC,2006-08-16,27.01,27.66,26.79,27.43,707600
RRC,2006-08-17,26.7,27.17,26.54,26.76,979200
RRC,2006-08-18,26.94,27.02,26.58,26.8,709000
RRC,2006-08-21,27.12,27.18,26.81,26.85,510200
RRC,2006-08-22,27.07,27.26,26.87,27.1,714400
RRC,2006-08-23,26.7,27.43,26.61,27.05,813900
RRC,2006-08-24,27.77,27.77,26.61,26.88,842800
RRC,2006-08-25,28.31,28.73,28.04,28.04,1015400
RRC,2006-08-28,28.28,28.46,27.9156,28.31,1096000
RRC,2006-08-29,28.48,28.49,27.81,28.28,1013500
RRC,2006-08-30,28.01,28.48,27.69,28.48,783100
RRC,2006-08-31,27.98,28.32,27.8,28.05,500700
RRC,2006-09-01,28.65,28.74,27.98,28.0,779800
RRC,2006-09-04,28.65,28.74,27.98,28.0,0
RRC,2006-09-05,28.88,28.99,28.38,28.65,706200
RRC,2006-09-06,27.69,28.6764,27.69,28.66,989900
RRC,2006-09-07,27.55,27.83,27.17,27.54,568400
RRC,2006-09-08,26.45,27.61,26.45,27.45,828500
RRC,2006-09-11,25.16,26.15,25.09,26.02,1594200
RRC,2006-09-12,25.14,25.75,24.94,25.36,1042899
RRC,2006-09-13,25.45,25.74,25.08,25.12,1197400
RRC,2006-09-14,24.49,25.7,24.24,25.5,1043299
RRC,2006-09-15,24.68,25.0,24.34,24.46,845400
RRC,2006-09-18,25.37,25.46,24.86,24.9,854600
RRC,2006-09-19,25.4,25.85,25.1,25.55,1338700
RRC,2006-09-20,24.45,25.28,24.33,25.2,1314600
RRC,2006-09-21,24.48,24.9,24.08,24.71,1965000
RRC,2006-09-22,24.05,24.73,23.83,24.73,1153800
RRC,2006-09-25,23.91,24.01,23.38,24.0,1242100
RRC,2006-09-26,24.46,24.53,23.65,23.72,1124100
RRC,2006-09-27,25.25,25.76,24.7,24.8,2592600
RRC,2006-09-28,25.4,25.69,24.9,25.25,1138900
RRC,2006-09-29,25.24,25.6,24.77,25.4,925800
RRC,2006-10-02,24.62,25.4,24.57,25.3,620300
RRC,2006-10-03,23.35,24.61,23.27,24.0,1563400
RRC,2006-10-04,24.0,24.01,22.8,23.5,1412100
RRC,2006-10-05,24.59,25.1,24.1,25.0,644800
RRC,2006-10-06,24.41,24.7,23.98,24.49,730800
RRC,2006-10-09,24.55,25.17,24.42,24.7,831100
RRC,2006-10-10,25.37,25.43,24.34,24.34,832500
RRC,2006-10-11,24.67,25.13,24.48,24.93,800300
RRC,2006-10-12,24.97,25.25,24.66,24.67,805800
RRC,2006-10-13,25.59,25.81,25.0,25.0,894100
RRC,2006-10-16,26.77,26.9,25.654,25.75,941300
RRC,2006-10-17,26.48,26.78,26.19,26.69,1262000
RRC,2006-10-18,26.19,27.02,26.16,26.5,993200
RRC,2006-10-19,27.03,27.09,26.14,26.35,861400
RRC,2006-10-20,26.12,26.8,25.92,26.8,1105100
RRC,2006-10-23,25.75,26.39,25.55,25.9,825200
RRC,2006-10-24,26.71,26.71,25.5,25.6,913600
RRC,2006-10-25,27.64,27.8,26.31,26.61,1431400
RRC,2006-10-26,27.82,28.25,26.75,28.25,1583100
RRC,2006-10-27,27.32,28.06,27.27,27.77,1038999
RRC,2006-10-30,26.98,27.32,26.86,27.32,564200
RRC,2006-10-31,27.15,27.23,26.5,26.98,1115200
RRC,2006-11-01,26.45,27.22,26.39,27.16,815900
RRC,2006-11-02,26.3,26.54,25.8,26.2,1014300
