Symbol,Date,Close,High,Low,Open,Volume
RTN,2006-01-02,40.15,40.21,39.79,39.85,0
RTN,2006-01-03,40.0,40.04,39.43,40.02,2038400
RTN,2006-01-04,39.99,40.02,39.75,39.91,2084800
RTN,2006-01-05,40.04,40.04,39.54,39.9,1268200
RTN,2006-01-06,40.26,40.39,40.04,40.2,991700
RTN,2006-01-09,40.43,40.5,39.88,39.94,1179400
RTN,2006-01-10,40.61,40.61,39.98,40.23,1753800
RTN,2006-01-11,40.8,40.8,40.19,40.52,1300900
RTN,2006-01-12,40.52,40.81,40.47,40.8,1237900
RTN,2006-01-13,40.86,40.9,40.4,40.46,1235800
RTN,2006-01-16,40.86,40.9,40.4,40.46,0
RTN,2006-01-17,40.3,40.72,40.21,40.56,1011200
RTN,2006-01-18,40.33,40.52,40.22,40.31,998500
RTN,2006-01-19,40.56,40.61,40.2,40.33,936800
RTN,2006-01-20,40.13,40.42,40.01,40.42,1219300
RTN,2006-01-23,40.31,40.52,40.24,40.3,1445100
RTN,2006-01-24,40.84,40.93,40.4,40.4,1608900
RTN,2006-01-25,40.82,40.87,40.6,40.8,1750100
RTN,2006-01-26,41.58,41.96,41.0,41.0,2052900
RTN,2006-01-27,41.35,41.63,41.19,41.58,1084600
RTN,2006-01-30,41.62,41.62,40.75,41.32,1276000
RTN,2006-01-31,40.97,41.5,40.96,41.3,2609200
RTN,2006-02-01,41.39,41.5,40.83,40.89,1806800
RTN,2006-02-02,41.03,42.46,40.57,41.4,2028900
RTN,2006-02-03,41.43,41.84,40.8,40.83,1844900
RTN,2006-02-06,42.12,42.19,41.31,41.39,1948200
RTN,2006-02-07,41.67,42.2,41.63,42.2,1602200
RTN,2006-02-08,41.79,41.79,41.62,41.62,1148500
RTN,2006-02-09,42.03,42.18,41.33,41.69,1136600
RTN,2006-02-10,42.79,42.94,41.92,42.04,1284400
RTN,2006-02-13,42.96,43.2,42.64,42.9,1164000
RTN,2006-02-14,43.69,43.71,42.71,42.75,1601900
RTN,2006-02-15,43.29,43.53,42.84,43.5,1926900
RTN,2006-02-16,43.38,43.4,43.1,43.17,1404600
RTN,2006-02-17,43.02,43.34,42.92,43.02,1883200
RTN,2006-02-20,43.02,43.34,42.92,43.02,0
RTN,2006-02-21,42.77,43.31,42.76,43.02,1721500
RTN,2006-02-22,43.4,43.57,42.85,43.0,1739700
RTN,2006-02-23,42.99,43.4,42.99,43.25,1562100
RTN,2006-02-24,43.24,43.35,42.83,43.1,1242700
RTN,2006-02-27,43.93,44.1,43.14,43.14,2225900
RTN,2006-02-28,43.4,43.92,43.29,43.87,1817100
RTN,2006-03-01,43.68,43.82,43.34,43.43,1203700
RTN,2006-03-02,43.98,44.2,43.46,43.68,1530400
RTN,2006-03-03,44.2,44.55,43.77,43.99,1470600
RTN,2006-03-06,43.82,44.31,43.61,44.11,1745900
RTN,2006-03-07,43.78,44.04,43.5,43.85,1090500
RTN,2006-03-08,43.42,43.95,43.2,43.85,1451200
RTN,2006-03-09,44.14,44.28,43.35,43.58,1735000
RTN,2006-03-10,44.32,44.42,43.82,44.06,1438500
RTN,2006-03-13,44.7,44.79,44.04,44.32,1052400
RTN,2006-03-14,45.04,45.08,44.31,44.65,1240100
RTN,2006-03-15,45.27,45.33,44.75,44.8,2192600
RTN,2006-03-16,45.53,45.73,45.12,45.21,1095700
RTN,2006-03-17,45.69,45.99,45.48,45.7,1430500
RTN,2006-03-20,45.38,45.83,45.23,45.51,1515300
RTN,2006-03-21,45.99,46.27,45.5,45.53,1599900
RTN,2006-03-22,45.76,45.98,45.48,45.9,1046800
RTN,2006-03-23,44.9,45.77,44.85,45.77,1528600
RTN,2006-03-24,45.18,45.56,44.91,44.95,1320000
RTN,2006-03-27,45.59,45.75,45.19,45.33,1854900
RTN,2006-03-28,45.2,45.73,45.07,45.53,1197200
RTN,2006-03-29,46.58,46.7,45.4,45.4,2315600
RTN,2006-03-30,45.51,46.24,45.42,46.24,1566700
RTN,2006-03-31,45.84,46.85,45.76,46.5,2655300
RTN,2006-04-03,45.97,46.07,45.65,45.81,1949600
RTN,2006-04-04,46.1,46.3,45.66,46.0,1427500
RTN,2006-04-05,46.02,46.39,45.81,46.19,1435200
RTN,2006-04-06,45.9,46.28,45.5,46.0,1227900
RTN,2006-04-07,45.4,45.72,44.98,45.08,1858800
RTN,2006-04-10,44.52,45.0,44.3,44.99,2266600
RTN,2006-04-11,44.11,44.96,44.04,44.67,1720900
RTN,2006-04-12,43.53,43.98,43.29,43.9,2105700
RTN,2006-04-13,43.69,44.18,43.3001,43.31,1225600
RTN,2006-04-14,43.69,44.18,43.3001,43.31,0
RTN,2006-04-17,43.87,44.13,43.55,43.69,1007600
RTN,2006-04-18,44.9,45.06,43.94,43.95,2178100
RTN,2006-04-19,44.89,44.94,44.54,44.69,1260200
RTN,2006-04-20,45.75,46.06,44.8,44.8,1887600
RTN,2006-04-21,45.42,45.94,45.21,45.94,1379700
RTN,2006-04-24,45.99,46.24,45.3,45.31,1368500
RTN,2006-04-25,45.26,45.93,45.12,45.84,1449300
RTN,2006-04-26,45.18,45.4,44.82,45.12,1272700
RTN,2006-04-27,46.02,46.21,45.18,45.18,2294000
RTN,2006-04-28,44.27,46.08,43.98,46.08,2958600
RTN,2006-05-01,45.8,46.11,44.36,44.66,2724800
RTN,2006-05-02,45.81,46.1,45.72,45.81,2590300
RTN,2006-05-03,45.87,46.27,45.8,45.82,2270500
RTN,2006-05-04,46.02,46.18,45.88,46.01,1463100
RTN,2006-05-05,46.53,46.75,46.21,46.25,1493600
RTN,2006-05-08,46.84,46.98,46.32,46.32,1386100
RTN,2006-05-09,46.51,47.0,46.42,46.85,873900
RTN,2006-05-10,47.17,47.39,46.5,46.51,1541600
RTN,2006-05-11,46.89,47.37,46.74,47.17,1238700
RTN,2006-05-12,46.26,46.91,46.14,46.75,1104000
RTN,2006-05-15,47.27,47.27,46.07,46.1,2428600
RTN,2006-05-16,46.48,47.27,46.19,47.27,1398400
RTN,2006-05-17,45.72,46.43,45.52,46.36,1556200
RTN,2006-05-18,45.74,46.1,44.94,44.94,1826400
RTN,2006-05-19,46.05,46.52,45.51,45.77,1768500
RTN,2006-05-22,46.11,46.44,45.74,46.01,1851600
RTN,2006-05-23,45.45,46.31,45.3,46.19,1567500
RTN,2006-05-24,45.06,45.45,44.62,45.45,2734400
RTN,2006-05-25,45.26,45.82,45.07,45.52,1494200
RTN,2006-05-26,45.2,45.6,44.98,45.4,1044600
RTN,2006-05-29,45.2,45.6,44.98,45.4,0
RTN,2006-05-30,45.03,45.4,45.02,45.25,2051800
RTN,2006-05-31,45.85,45.92,45.1,45.15,2361200
RTN,2006-06-01,46.25,46.29,45.77,45.8,999400
RTN,2006-06-02,45.76,46.24,45.25,46.2,1668900
RTN,2006-06-05,45.52,45.99,45.38,45.65,1477600
RTN,2006-06-06,44.6,45.74,44.4,45.6,1829600
RTN,2006-06-07,44.13,44.81,44.1,44.51,1707800
RTN,2006-06-08,44.1,44.27,42.91,44.24,2031899
RTN,2006-06-09,43.73,44.2299,43.67,43.98,1073400
RTN,2006-06-12,43.03,43.84,42.98,43.81,1120300
RTN,2006-06-13,42.95,43.3,42.5101,42.8,1845700
RTN,2006-06-14,43.1,43.15,42.63,42.75,1313900
RTN,2006-06-15,44.06,44.18,43.15,43.3,1133500
RTN,2006-06-16,44.58,44.6,43.54,43.85,2924900
RTN,2006-06-19,44.0,44.75,43.87,44.58,1852400
RTN,2006-06-20,43.92,44.13,43.75,43.92,1838200
RTN,2006-06-21,44.92,44.98,43.9,43.92,1889400
RTN,2006-06-22,43.81,44.818,43.63,44.67,1340200
RTN,2006-06-23,44.28,44.7,43.73,43.81,1290300
RTN,2006-06-26,44.07,44.5,43.9,44.33,884400
RTN,2006-06-27,44.07,44.58,43.95,44.14,1965100
RTN,2006-06-28,43.73,44.32,43.6,44.28,1422300
RTN,2006-06-29,44.28,44.38,43.85,44.04,2040099
RTN,2006-06-30,44.57,44.68,44.1,44.29,1891900
RTN,2006-07-03,44.45,44.62,44.26,44.57,718100
RTN,2006-07-04,44.45,44.62,44.26,44.57,0
RTN,2006-07-05,44.31,44.67,43.9,44.5,1747500
RTN,2006-07-06,44.1,44.45,44.02,44.27,1071000
RTN,2006-07-07,44.03,44.35,43.86,44.16,1131300
RTN,2006-07-10,44.19,44.41,44.06,44.2,677000
RTN,2006-07-11,44.95,45.0,44.2,44.26,1165900
RTN,2006-07-12,44.37,44.99,44.02,44.97,1789000
RTN,2006-07-13,44.06,44.61,43.88,44.17,1741400
RTN,2006-07-14,43.94,44.1,42.99,44.06,1595800
RTN,2006-07-17,43.56,44.15,43.35,43.77,904900
RTN,2006-07-18,43.6,43.97,43.01,43.4,1160100
RTN,2006-07-19,44.46,44.74,43.83,43.91,2634200
RTN,2006-07-20,44.43,44.83,44.35,44.37,1379200
RTN,2006-07-21,44.96,45.32,44.27,44.66,1933800
RTN,2006-07-24,45.02,45.37,44.75,44.96,1800600
RTN,2006-07-25,45.92,46.08,44.87,45.15,1491500
RTN,2006-07-26,45.96,46.5,45.65,46.25,2032800
RTN,2006-07-27,45.15,46.9,44.84,46.9,1735400
RTN,2006-07-28,44.9,45.64,44.79,45.29,2016600
RTN,2006-07-31,45.07,45.18,44.7,44.9,2762300
RTN,2006-08-01,44.76,45.18,44.53,45.06,1814900
RTN,2006-08-02,45.02,45.15,44.78,44.93,1745900
RTN,2006-08-03,44.92,45.11,44.75,45.02,1466800
RTN,2006-08-04,45.1,45.22,44.86,45.05,2488500
RTN,2006-08-07,45.05,45.09,44.6,44.92,1508500
RTN,2006-08-08,44.76,45.33,44.6,45.23,1609000
RTN,2006-08-09,44.54,45.35,44.54,45.21,2119600
RTN,2006-08-10,45.1,45.22,44.63,44.66,1519500
RTN,2006-08-11,45.01,45.29,44.86,45.0,1454800
RTN,2006-08-14,45.33,45.48,45.13,45.34,1627500
RTN,2006-08-15,46.46,46.54,45.57,45.7,1775200
RTN,2006-08-16,47.28,47.43,46.5,46.5,2758900
RTN,2006-08-17,47.71,47.75,46.89,46.95,2025999
RTN,2006-08-18,47.61,47.85,47.42,47.61,1842400
RTN,2006-08-21,47.49,47.65,47.15,47.27,1658800
RTN,2006-08-22,47.45,47.68,47.28,47.42,950000
RTN,2006-08-23,46.93,47.52,46.62,47.47,1169000
RTN,2006-08-24,46.82,47.33,46.52,47.13,1083200
RTN,2006-08-25,46.64,46.77,46.39,46.7,839800
RTN,2006-08-28,46.9,46.95,46.43,46.44,950900
RTN,2006-08-29,46.96,47.51,46.62,46.85,2057900
RTN,2006-08-30,47.45,47.6,46.81,47.09,1045600
RTN,2006-08-31,47.21,47.5,47.17,47.45,1333600
RTN,2006-09-01,47.05,47.3,46.66,47.21,1462300
RTN,2006-09-04,47.05,47.3,46.66,47.21,0
RTN,2006-09-05,47.85,48.0,47.2,47.22,1214500
RTN,2006-09-06,47.76,47.84,47.59,47.81,1267100
RTN,2006-09-07,47.65,47.87,47.54,47.82,1216700
RTN,2006-09-08,47.62,47.86,47.31,47.86,1243400
RTN,2006-09-11,47.9,47.94,47.43,47.62,1094800
RTN,2006-09-12,47.21,48.0,46.91,47.9,1675100
RTN,2006-09-13,47.2,47.25,46.83,47.22,1419600
RTN,2006-09-14,47.05,47.17,46.86,47.15,1715800
RTN,2006-09-15,47.26,47.5,47.06,47.06,2536000
RTN,2006-09-18,47.68,47.85,47.03,47.21,2577400
RTN,2006-09-19,47.32,47.7,47.2,47.69,1016300
RTN,2006-09-20,47.74,47.84,47.35,47.5,1310900
RTN,2006-09-21,47.05,47.56,46.98,47.4,1875600
RTN,2006-09-22,47.23,47.36,46.68,47.05,1300400
RTN,2006-09-25,47.73,47.95,47.35,47.6,1363800
RTN,2006-09-26,47.84,47.99,47.56,47.73,1265100
RTN,2006-09-27,47.78,47.99,47.63,47.7,1196500
RTN,2006-09-28,47.98,48.13,47.65,47.78,1233400
RTN,2006-09-29,48.01,48.13,47.9,48.0,1087700
RTN,2006-10-02,48.69,48.96,48.02,48.15,1655100
RTN,2006-10-03,48.75,49.08,48.54,48.7,1313200
RTN,2006-10-04,49.2,49.25,48.34,48.53,1499100
RTN,2006-10-05,49.6,49.76,49.06,49.09,1967400
RTN,2006-10-06,49.12,49.53,48.85,49.5,1481000
RTN,2006-10-09,49.04,49.33,48.88,48.88,864500
