Symbol,Date,Close,High,Low,Open,Volume
SBAC,2006-01-02,17.9,18.01,17.75,17.86,0
SBAC,2006-01-03,18.42,18.64,17.771,17.99,606273
SBAC,2006-01-04,18.72,18.95,18.26,18.38,651702
SBAC,2006-01-05,18.72,18.83,18.45,18.68,706247
SBAC,2006-01-06,18.73,18.85,18.53,18.8,670431
SBAC,2006-01-09,18.85,19.32,18.71,18.78,867871
SBAC,2006-01-10,18.74,19.05,18.67,18.81,732545
SBAC,2006-01-11,18.73,18.95,18.65,18.7,404293
SBAC,2006-01-12,18.5,18.83,18.45,18.75,307744
SBAC,2006-01-13,18.56,18.88,18.45,18.59,214298
SBAC,2006-01-16,18.56,18.88,18.45,18.59,0
SBAC,2006-01-17,18.29,18.59,18.09,18.43,298550
SBAC,2006-01-18,18.6,18.62,18.09,18.09,495606
SBAC,2006-01-19,19.1,19.23,18.6,18.6,541317
SBAC,2006-01-20,18.88,19.17,18.72,18.92,498686
SBAC,2006-01-23,18.91,19.23,18.69,18.99,345011
SBAC,2006-01-24,19.81,20.03,18.93,18.95,914055
SBAC,2006-01-25,20.11,20.32,19.68,19.96,843115
SBAC,2006-01-26,20.47,20.51,19.9,20.21,482551
SBAC,2006-01-27,20.88,20.88,20.45,20.49,372792
SBAC,2006-01-30,20.6,21.0,20.54,20.9,1009543
SBAC,2006-01-31,21.85,22.0,20.53,20.7,2047565
SBAC,2006-02-01,21.16,21.85,21.08,21.77,1045680
SBAC,2006-02-02,20.7,21.08,20.31,21.02,916116
SBAC,2006-02-03,20.55,20.6,20.08,20.55,365247
SBAC,2006-02-06,20.96,20.96,20.34,20.65,430756
SBAC,2006-02-07,20.43,21.66,20.25,20.97,685076
SBAC,2006-02-08,20.57,20.69,20.14,20.56,619427
SBAC,2006-02-09,20.41,21.17,20.4,20.69,382432
SBAC,2006-02-10,20.79,20.94,20.3,20.34,353546
SBAC,2006-02-13,20.3,20.82,20.29,20.82,319121
SBAC,2006-02-14,20.98,21.02,20.26,20.4,408819
SBAC,2006-02-15,21.75,21.8,20.72,20.87,575955
SBAC,2006-02-16,22.01,22.04,21.54,21.86,782709
SBAC,2006-02-17,22.31,22.31,21.99,22.08,614706
SBAC,2006-02-20,22.31,22.31,21.99,22.08,0
SBAC,2006-02-21,21.98,22.65,21.89,22.29,1388782
SBAC,2006-02-22,22.35,22.45,21.77,21.97,639080
SBAC,2006-02-23,22.11,22.34,21.72,21.72,1182465
SBAC,2006-02-24,22.79,22.91,22.05,22.06,653440
SBAC,2006-02-27,22.65,22.99,22.52,22.77,428299
SBAC,2006-02-28,22.49,22.91,22.22,22.44,845536
SBAC,2006-03-01,22.63,22.99,22.43,22.6,854025
SBAC,2006-03-02,22.95,22.99,22.45,22.47,877640
SBAC,2006-03-03,22.15,22.97,22.06,22.89,541628
SBAC,2006-03-06,21.92,22.43,21.75,22.1,743742
SBAC,2006-03-07,21.36,21.85,21.07,21.76,819684
SBAC,2006-03-08,21.12,21.34,20.87,21.25,640810
SBAC,2006-03-09,21.22,21.6,20.92,21.26,557170
SBAC,2006-03-10,21.73,21.77,21.11,21.16,460971
SBAC,2006-03-13,21.39,21.9,21.18,21.71,701382
SBAC,2006-03-14,21.75,21.81,21.0,21.38,540305
SBAC,2006-03-15,21.94,21.94,21.61,21.61,356594
SBAC,2006-03-16,21.57,22.06,21.49,21.84,311902
SBAC,2006-03-17,23.86,24.25,21.5,21.73,3078643
SBAC,2006-03-20,24.1,24.43,23.55,23.83,904186
SBAC,2006-03-21,23.75,24.55,23.65,24.1,683182
SBAC,2006-03-22,23.84,24.07,23.48,23.63,298285
SBAC,2006-03-23,23.73,24.0,23.66,24.0,245108
SBAC,2006-03-24,24.11,24.17,23.7,23.7,264148
SBAC,2006-03-27,24.19,24.28,23.82,24.03,344329
SBAC,2006-03-28,23.32,24.3,23.26,24.19,335102
SBAC,2006-03-29,23.17,23.58,22.9,23.34,754022
SBAC,2006-03-30,23.18,23.4,22.8,23.15,546531
SBAC,2006-03-31,23.41,23.61,23.18,23.25,424992
SBAC,2006-04-03,23.51,23.99,23.25,23.41,560578
SBAC,2006-04-04,23.13,23.61,23.01,23.47,514298
SBAC,2006-04-05,22.74,23.28,22.48,23.14,759667
SBAC,2006-04-06,23.49,23.59,22.55,22.84,587270
SBAC,2006-04-07,23.33,24.0,23.0,23.55,517333
SBAC,2006-04-10,23.01,23.62,22.93,23.24,683035
SBAC,2006-04-11,22.81,23.18,22.39,23.18,411814
SBAC,2006-04-12,23.15,23.18,22.67,22.75,281780
SBAC,2006-04-13,23.1,23.4,22.82,23.16,236178
SBAC,2006-04-14,23.1,23.4,22.82,23.16,0
SBAC,2006-04-17,22.87,23.04,22.55,23.0,399670
SBAC,2006-04-18,23.39,23.39,22.9,22.9,554761
SBAC,2006-04-19,23.74,23.87,23.1,23.25,454532
SBAC,2006-04-20,23.93,23.93,23.7,23.7,262560
SBAC,2006-04-21,23.26,24.06,23.04,24.05,630923
SBAC,2006-04-24,23.73,23.9,22.86,23.25,509688
SBAC,2006-04-25,24.08,24.78,23.84,24.0,798622
SBAC,2006-04-26,25.68,25.77,24.35,24.49,1445434
SBAC,2006-04-27,25.33,26.1299,24.9,25.47,765213
SBAC,2006-04-28,25.12,25.65,24.93,25.35,343435
SBAC,2006-05-01,25.27,25.71,25.09,25.2,535644
SBAC,2006-05-02,26.3,26.3,25.4,25.4,615678
SBAC,2006-05-03,26.38,26.53,25.81,26.35,694921
SBAC,2006-05-04,26.36,26.57,25.95,26.1,408223
SBAC,2006-05-05,26.53,26.68,26.16,26.5,370232
SBAC,2006-05-08,26.76,26.76,26.52,26.52,490394
SBAC,2006-05-09,26.59,28.2,26.55,28.0,1113180
SBAC,2006-05-10,25.75,26.81,25.51,26.72,889847
SBAC,2006-05-11,24.25,25.49,23.95,25.1,1504051
SBAC,2006-05-12,24.24,24.43,23.77,24.04,930806
SBAC,2006-05-15,24.49,24.64,24.01,24.01,959269
SBAC,2006-05-16,24.33,24.71,24.03,24.47,517480
SBAC,2006-05-17,22.73,24.23,22.45,24.13,1338011
SBAC,2006-05-18,22.17,23.2,22.12,22.74,528601
SBAC,2006-05-19,22.3,22.39,21.16,22.1,1424936
SBAC,2006-05-22,20.6,22.47,20.0,22.18,2187515
SBAC,2006-05-23,21.13,21.75,20.69,20.74,1519412
SBAC,2006-05-24,22.0,22.2,21.15,21.155,9623934
SBAC,2006-05-25,23.48,23.88,22.65,23.59,2367161
SBAC,2006-05-26,23.81,24.22,23.21,23.48,1618460
SBAC,2006-05-29,23.81,24.22,23.21,23.48,0
SBAC,2006-05-30,22.94,24.14,22.82,23.75,2042269
SBAC,2006-05-31,22.89,23.21,22.58,23.1,1986157
SBAC,2006-06-01,23.95,24.07,22.57,23.01,1239051
SBAC,2006-06-02,23.91,24.832,23.74,24.0,1092082
SBAC,2006-06-05,22.76,23.86,22.62,23.81,874758
SBAC,2006-06-06,22.89,23.01,22.08,22.7,1203252
SBAC,2006-06-07,22.84,23.52,22.77,22.84,843690
SBAC,2006-06-08,23.31,23.44,21.71,23.44,2397674
SBAC,2006-06-09,22.79,23.97,22.75,23.42,741482
SBAC,2006-06-12,21.66,22.92,21.6,22.72,1313604
SBAC,2006-06-13,20.96,21.92,20.66,21.57,1344607
SBAC,2006-06-14,21.61,21.76,20.93,21.04,966860
SBAC,2006-06-15,23.51,23.89,21.64,21.79,971791
SBAC,2006-06-16,22.88,23.6,22.36,23.47,2425753
SBAC,2006-06-19,22.23,23.06,21.92,23.0,616995
SBAC,2006-06-20,22.68,22.86,21.76,22.14,880097
SBAC,2006-06-21,23.76,23.76,22.68,22.68,1147996
SBAC,2006-06-22,23.01,23.5,22.68,23.3,593266
SBAC,2006-06-23,23.17,23.31,22.6,22.8,539367
SBAC,2006-06-26,23.2,23.38,22.91,23.27,350507
SBAC,2006-06-27,22.26,23.32,22.02,23.14,770980
SBAC,2006-06-28,22.62,22.62,22.23,22.23,478687
SBAC,2006-06-29,23.9,23.9,22.5,22.5,1003849
SBAC,2006-06-30,26.14,26.14,23.28,23.8,9810505
SBAC,2006-07-03,25.1,25.79,24.63,25.79,1331268
SBAC,2006-07-04,25.1,25.79,24.63,25.79,0
SBAC,2006-07-05,24.98,25.33,24.41,24.9,1184642
SBAC,2006-07-06,25.15,25.35,24.93,24.98,866563
SBAC,2006-07-07,24.92,25.45,24.25,24.69,1088590
SBAC,2006-07-10,24.77,25.33,24.67,24.92,971468
SBAC,2006-07-11,24.58,24.77,24.0,24.64,804068
SBAC,2006-07-12,24.77,25.44,24.41,24.55,990795
SBAC,2006-07-13,24.16,24.64,23.75,24.5,1041028
SBAC,2006-07-14,22.74,24.11,22.49,24.11,1598326
SBAC,2006-07-17,22.66,22.9,22.21,22.7,615837
SBAC,2006-07-18,21.95,22.93,21.37,22.6,2006142
SBAC,2006-07-19,22.83,23.23,21.79,21.79,925386
SBAC,2006-07-20,22.82,23.03,22.65,22.8,584530
SBAC,2006-07-21,22.13,22.78,21.89,22.7,400367
SBAC,2006-07-24,22.61,22.65,22.14,22.25,523336
SBAC,2006-07-25,22.92,23.1,22.15,22.7,1846964
SBAC,2006-07-26,23.03,23.03,22.82,22.82,535372
SBAC,2006-07-27,22.86,23.06,22.52,23.06,745835
SBAC,2006-07-28,23.61,23.69,22.54,22.96,962428
SBAC,2006-07-31,23.88,24.17,23.14,23.53,935707
SBAC,2006-08-01,23.46,23.98,23.17,23.68,692869
SBAC,2006-08-02,24.01,24.05,23.38,23.38,542190
SBAC,2006-08-03,24.44,24.52,23.69,24.01,745932
SBAC,2006-08-04,23.53,25.0,23.44,24.66,2401080
SBAC,2006-08-07,23.96,24.1,23.06,23.48,1006513
SBAC,2006-08-08,24.66,24.85,23.87,24.15,1674032
SBAC,2006-08-09,23.82,24.94,23.76,24.9,1107956
SBAC,2006-08-10,23.64,23.73,23.02,23.73,1313233
SBAC,2006-08-11,23.53,23.64,23.25,23.53,624777
SBAC,2006-08-14,23.58,23.82,23.11,23.63,738107
