Symbol,Date,Close,High,Low,Open,Volume
SBUX,2006-01-02,15.24,15.24,15.005,15.1975,0
SBUX,2006-01-03,15.435,15.5,14.95,15.285,12621976
SBUX,2006-01-04,15.835,15.86,15.44,15.59,11998790
SBUX,2006-01-05,15.805,15.995,15.695,15.85,7750800
SBUX,2006-01-06,15.81,15.875,15.635,15.83,8905506
SBUX,2006-01-09,15.65,15.865,15.595,15.855,8354262
SBUX,2006-01-10,15.51,15.64,15.495,15.6,7499322
SBUX,2006-01-11,15.56,15.65,15.3725,15.45,6826546
SBUX,2006-01-12,15.48,15.615,15.47,15.51,6062674
SBUX,2006-01-13,15.645,15.725,15.485,15.57,5917178
SBUX,2006-01-16,15.645,15.725,15.485,15.57,0
SBUX,2006-01-17,15.57,15.745,15.53,15.54,7122370
SBUX,2006-01-18,15.565,15.775,15.49,15.505,6766856
SBUX,2006-01-19,15.675,15.79,15.495,15.555,6630526
SBUX,2006-01-20,15.1545,15.765,15.09,15.72,12731686
SBUX,2006-01-23,15.12,15.375,14.955,15.21,6891828
SBUX,2006-01-24,15.355,15.375,15.1,15.12,7471268
SBUX,2006-01-25,15.18,15.38,15.095,15.34,7252442
SBUX,2006-01-26,15.76,15.76,15.415,15.415,9298548
SBUX,2006-01-27,16.155,16.155,15.795,15.795,9404536
SBUX,2006-01-30,15.935,16.16,15.86,16.045,6279944
SBUX,2006-01-31,15.85,16.015,15.665,15.98,8757220
SBUX,2006-02-01,16.545,16.615,16.545,16.585,4250
SBUX,2006-02-02,17.2,17.425,16.5,16.575,40830316
SBUX,2006-02-03,16.94,17.28,16.815,17.1,18720674
SBUX,2006-02-06,17.245,17.255,16.745,16.75,12464880
SBUX,2006-02-07,17.28,17.28,17.16,17.2,14704942
SBUX,2006-02-08,17.36,17.5,17.1,17.255,12807958
SBUX,2006-02-09,17.595,17.665,17.36,17.555,13869556
SBUX,2006-02-10,17.75,17.815,17.5,17.6775,10329210
SBUX,2006-02-13,17.285,17.355,17.035,17.18,13710184
SBUX,2006-02-14,17.335,17.455,17.22,17.4,10336800
SBUX,2006-02-15,17.59,17.65,17.036,17.355,9439742
SBUX,2006-02-16,17.925,17.925,17.55,17.66,10373148
SBUX,2006-02-17,17.695,17.96,17.685,17.78,7898282
SBUX,2006-02-20,17.695,17.96,17.685,17.78,0
SBUX,2006-02-21,17.63,18.025,17.46,17.725,8559836
SBUX,2006-02-22,18.01,18.185,17.68,17.7,9956732
SBUX,2006-02-23,18.084,18.435,17.96,18.005,10861946
SBUX,2006-02-24,17.96,18.185,17.79,18.15,8631142
SBUX,2006-02-27,18.35,18.39,17.91,17.935,7847914
SBUX,2006-02-28,18.16,18.345,17.97,18.27,9454350
SBUX,2006-03-01,18.14,18.31,17.925,18.165,8528042
SBUX,2006-03-02,17.725,18.155,17.66,18.08,14548606
SBUX,2006-03-03,17.79,18.215,17.655,18.0175,11427232
SBUX,2006-03-06,17.955,18.23,17.6,17.835,10305794
SBUX,2006-03-07,17.775,18.12,17.69,17.925,8503848
SBUX,2006-03-08,17.675,17.97,17.395,17.96,7628096
SBUX,2006-03-09,17.46,17.8195,17.425,17.65,6984322
SBUX,2006-03-10,17.695,17.865,17.365,17.575,11206494
SBUX,2006-03-13,17.515,17.76,17.45,17.525,7956500
SBUX,2006-03-14,18.125,18.2,17.417,17.505,10110788
SBUX,2006-03-15,18.255,18.31,18.08,18.125,9031768
SBUX,2006-03-16,18.1,18.36,18.05,18.305,6466394
SBUX,2006-03-17,18.305,18.55,18.1,18.155,15342716
SBUX,2006-03-20,18.445,18.675,18.365,18.395,9795770
SBUX,2006-03-21,18.14,18.685,18.12,18.495,9441842
SBUX,2006-03-22,18.28,18.37,18.085,18.17,7262668
SBUX,2006-03-23,18.065,18.245,17.91,18.15,7294010
SBUX,2006-03-24,18.445,18.445,18.1375,18.1375,7349986
SBUX,2006-03-27,18.295,18.46,18.16,18.2975,8748264
SBUX,2006-03-28,18.3,18.61,18.165,18.3725,9459776
SBUX,2006-03-29,18.765,18.885,18.32,18.465,12431686
SBUX,2006-03-30,18.765,19.055,18.6,18.815,9441026
SBUX,2006-03-31,18.815,18.965,18.72,18.76,7931750
SBUX,2006-04-03,18.995,19.25,18.875,18.99,14369236
SBUX,2006-04-04,19.165,19.24,18.985,19.125,9215194
SBUX,2006-04-05,18.745,19.175,18.625,19.145,11574002
SBUX,2006-04-06,18.94,18.94,18.725,18.725,9250280
