Symbol,Date,Close,High,Low,Open,Volume
SCG,2006-01-02,39.38,39.5,39.16,39.45,0
SCG,2006-01-03,40.17,40.2,39.6,39.8,617500
SCG,2006-01-04,39.99,40.37,39.55,40.29,396100
SCG,2006-01-05,39.89,40.17,39.66,40.09,404900
SCG,2006-01-06,40.34,40.42,39.84,40.15,256000
SCG,2006-01-09,40.67,40.75,40.27,40.51,324600
SCG,2006-01-10,40.66,40.72,40.37,40.52,192300
SCG,2006-01-11,40.28,40.75,40.18,40.66,233700
SCG,2006-01-12,40.01,40.388,40.0,40.17,181300
SCG,2006-01-13,40.06,40.25,39.95,39.95,170700
SCG,2006-01-16,40.06,40.25,39.95,39.95,0
SCG,2006-01-17,40.36,40.43,39.81,39.81,209400
SCG,2006-01-18,40.23,40.57,40.06,40.26,231100
SCG,2006-01-19,40.9,40.9,40.35,40.35,286000
SCG,2006-01-20,40.35,41.13,40.35,40.75,268800
SCG,2006-01-23,40.41,40.66,40.32,40.36,173600
SCG,2006-01-24,40.98,41.0,40.41,40.41,279700
SCG,2006-01-25,40.65,41.18,40.43,41.0,349800
SCG,2006-01-26,40.34,40.88,40.18,40.7,351800
SCG,2006-01-27,40.62,40.85,40.33,40.33,233600
SCG,2006-01-30,40.18,40.7,40.09,40.7,153300
SCG,2006-01-31,40.17,40.23,39.93,40.08,310700
SCG,2006-02-01,40.14,40.34,39.88,40.17,251300
SCG,2006-02-02,39.65,40.17,39.31,39.96,374500
SCG,2006-02-03,39.5,39.8,39.34,39.5,206700
SCG,2006-02-06,39.39,39.57,39.29,39.5,203800
SCG,2006-02-07,39.3,39.51,39.15,39.29,309900
SCG,2006-02-08,39.4,39.49,39.18,39.4,254600
SCG,2006-02-09,39.51,40.04,39.42,39.65,240600
SCG,2006-02-10,40.25,40.74,39.55,40.73,1009300
SCG,2006-02-13,40.79,40.92,40.17,40.18,658800
SCG,2006-02-14,39.9,40.78,39.8,40.69,717600
SCG,2006-02-15,39.67,40.18,39.53,39.9,300600
SCG,2006-02-16,40.33,40.33,39.71,39.74,306900
SCG,2006-02-17,40.53,40.76,40.25,40.38,290600
SCG,2006-02-20,40.53,40.76,40.25,40.38,0
SCG,2006-02-21,40.37,40.75,40.21,40.63,516300
