Symbol,Date,Close,High,Low,Open,Volume
SCHW,2006-01-02,14.67,14.9,14.56,14.8,0
SCHW,2006-01-03,14.96,15.0,14.14,14.51,7246750
SCHW,2006-01-04,15.76,15.76,14.96,14.96,12238086
SCHW,2006-01-05,15.81,15.88,15.47,15.49,4835021
SCHW,2006-01-06,16.04,16.2,15.61,15.85,6433346
SCHW,2006-01-09,16.2,16.25,15.84,16.25,6919873
SCHW,2006-01-10,15.67,16.2,15.67,16.16,7999343
SCHW,2006-01-11,15.59,15.73,15.49,15.67,10383343
SCHW,2006-01-12,15.44,15.59,15.4,15.59,5577541
SCHW,2006-01-13,15.22,15.568,15.11,15.54,4819153
SCHW,2006-01-16,15.22,15.568,15.11,15.54,0
SCHW,2006-01-17,14.98,15.12,14.84,15.01,6853080
SCHW,2006-01-18,14.62,14.98,14.492,14.86,12328828
SCHW,2006-01-19,14.98,15.02,14.67,14.87,8966623
SCHW,2006-01-20,14.49,14.93,14.49,14.93,7556579
SCHW,2006-01-23,14.77,14.9,14.51,14.54,8249298
SCHW,2006-01-24,14.75,15.25,14.0,14.81,8702187
SCHW,2006-01-25,14.86,14.86,14.65,14.745,7168794
SCHW,2006-01-26,15.27,15.27,15.075,15.075,7339632
SCHW,2006-01-27,14.87,15.31,14.82,15.07,7679893
SCHW,2006-01-30,15.03,15.23,14.72,14.76,6714613
SCHW,2006-01-31,14.79,15.15,14.65,14.975,7134936
SCHW,2006-02-01,14.74,15.16,14.67,14.71,10029256
SCHW,2006-02-02,14.43,14.8,14.3,14.725,9285691
SCHW,2006-02-03,14.68,14.68,14.4,14.4,6475838
SCHW,2006-02-06,14.67,14.7,14.44,14.58,6952762
SCHW,2006-02-07,14.48,14.71,14.43,14.685,5388015
SCHW,2006-02-08,14.74,14.78,14.41,14.45,6752861
SCHW,2006-02-09,14.62,14.91,14.6,14.71,6376233
SCHW,2006-02-10,14.55,14.76,14.27,14.59,7000106
SCHW,2006-02-13,14.44,14.55,14.37,14.45,4044211
SCHW,2006-02-14,15.29,15.29,14.48,14.52,14391466
SCHW,2006-02-15,15.75,15.88,15.19,15.24,11186173
SCHW,2006-02-16,16.13,16.16,15.74,15.75,9702905
SCHW,2006-02-17,16.12,16.19,15.99,16.1,6629198
SCHW,2006-02-20,16.12,16.19,15.99,16.1,0
SCHW,2006-02-21,16.04,16.15,15.94,16.03,5908665
SCHW,2006-02-22,16.4,16.5,15.98,16.02,8777615
SCHW,2006-02-23,16.56,16.95,16.316,16.36,14963548
SCHW,2006-02-24,16.56,16.91,16.41,16.73,9064342
SCHW,2006-02-27,16.48,16.77,15.6,16.27,9616267
SCHW,2006-02-28,16.21,16.62,16.12,16.4,8382683
SCHW,2006-03-01,16.52,16.63,16.03,16.285,7631757
SCHW,2006-03-02,16.54,16.72,16.25,16.31,4657542
SCHW,2006-03-03,16.7,16.82,16.27,16.35,4973542
SCHW,2006-03-06,16.45,16.83,16.33,16.7,6996540
SCHW,2006-03-07,16.85,16.85,16.26,16.43,5016212
SCHW,2006-03-08,16.2,16.38,15.91,16.35,6338032
SCHW,2006-03-09,16.09,16.5,16.02,16.23,5151854
SCHW,2006-03-10,16.34,16.41,16.1,16.25,3265146
SCHW,2006-03-13,16.52,16.56,16.27,16.36,6252937
SCHW,2006-03-14,16.96,17.03,16.4146,16.47,7165118
SCHW,2006-03-15,17.1,17.1,16.93,16.93,7066662
SCHW,2006-03-16,17.59,17.81,17.47,17.55,20592590
SCHW,2006-03-17,18.13,18.24,17.62,17.87,10213152
SCHW,2006-03-20,17.83,18.255,17.68,18.24,6332221
SCHW,2006-03-21,17.93,17.93,17.5,17.78,5552711
SCHW,2006-03-22,17.55,17.55,17.44,17.44,6481576
SCHW,2006-03-23,17.535,17.535,17.33,17.535,2600017
SCHW,2006-03-24,17.39,17.45,17.19,17.23,2828977
SCHW,2006-03-27,17.42,17.58,17.25,17.25,3588664
SCHW,2006-03-28,17.28,17.61,17.19,17.34,6423022
SCHW,2006-03-29,17.64,17.9,17.5,17.53,8772033
SCHW,2006-03-30,17.47,17.71,17.28,17.46,9138517
SCHW,2006-03-31,17.21,17.54,17.21,17.39,5406651
SCHW,2006-04-03,17.41,17.9,17.2899,17.4,5396198
SCHW,2006-04-04,17.71,17.89,17.26,17.5,6368086
SCHW,2006-04-05,17.54,17.73,17.48,17.69,6278310
SCHW,2006-04-06,17.88,17.93,17.38,17.41,7468022
SCHW,2006-04-07,18.0,18.05,17.76,17.96,9046442
SCHW,2006-04-10,18.12,18.21,17.87,18.115,6627187
SCHW,2006-04-11,17.73,18.36,17.53,18.225,6153408
SCHW,2006-04-12,17.39,17.81,17.33,17.8,5367224
SCHW,2006-04-13,17.59,17.61,17.32,17.365,4710372
SCHW,2006-04-14,17.59,17.61,17.32,17.365,0
SCHW,2006-04-17,17.69,17.69,17.34,17.63,7700504
SCHW,2006-04-18,17.54,17.7,17.28,17.465,7667653
SCHW,2006-04-19,17.79,17.9,17.56,17.8,6797251
SCHW,2006-04-20,17.72,17.85,17.56,17.775,5613899
SCHW,2006-04-21,17.87,17.95,17.74,17.92,8658565
SCHW,2006-04-24,17.6,17.68,17.35,17.585,7049739
SCHW,2006-04-25,17.47,17.74,17.41,17.695,4392888
SCHW,2006-04-26,17.75,17.75,17.71,17.73,3349990
SCHW,2006-04-27,18.21,18.43,17.39,17.65,9350033
SCHW,2006-04-28,17.9,18.5,17.7,18.27,7799273
SCHW,2006-05-01,17.53,18.32,17.489,18.06,6309037
SCHW,2006-05-02,17.73,17.73,17.56,17.56,4182269
SCHW,2006-05-03,17.63,17.82,17.41,17.685,5557089
SCHW,2006-05-04,17.8,18.21,17.64,17.65,8838903
SCHW,2006-05-05,18.51,18.51,18.009,18.009,8308695
SCHW,2006-05-08,18.39,18.53,18.13,18.51,6142546
SCHW,2006-05-09,18.25,18.36,18.14,18.36,5170349
SCHW,2006-05-10,18.28,18.34,17.66,18.13,5321747
SCHW,2006-05-11,18.308,18.308,17.84,18.09,6962336
SCHW,2006-05-12,17.23,17.7,17.17,17.44,8794088
SCHW,2006-05-15,17.06,17.25,16.68,17.25,8834075
SCHW,2006-05-16,17.28,17.45,16.94,16.94,5905629
SCHW,2006-05-17,17.03,17.37,16.4,17.16,11096534
SCHW,2006-05-18,16.64,17.27,16.49,17.02,8302168
SCHW,2006-05-19,16.65,16.83,16.25,16.72,9876067
SCHW,2006-05-22,15.91,16.59,15.74,16.52,12885122
SCHW,2006-05-23,15.91,16.35,15.91,16.15,5240739
SCHW,2006-05-24,16.0,16.34,15.25,15.775,10629678
SCHW,2006-05-25,16.46,16.5,16.05,16.11,6673801
SCHW,2006-05-26,16.85,17.04,16.59,16.92,5102365
SCHW,2006-05-29,16.85,17.04,16.59,16.92,0
SCHW,2006-05-30,16.43,16.92,16.36,16.825,5207819
SCHW,2006-05-31,16.66,16.82,16.44,16.57,5340564
SCHW,2006-06-01,16.79,16.81,16.6,16.705,5803782
SCHW,2006-06-02,16.97,17.1,16.69,16.965,4841967
SCHW,2006-06-05,17.0,17.0,16.27,16.815,6152530
SCHW,2006-06-06,16.08,16.38,15.85,16.38,9363501
SCHW,2006-06-07,16.18,16.45,15.96,16.09,6994657
SCHW,2006-06-08,16.13,16.39,15.61,16.01,10839692
SCHW,2006-06-09,16.16,16.37,15.97,16.02,4828619
SCHW,2006-06-12,15.56,16.29,15.39,16.23,6994845
