Symbol,Date,Close,High,Low,Open,Volume
SHW,2006-01-02,45.42,45.79,45.24,45.75,0
SHW,2006-01-03,45.19,45.3,44.1,44.1,1642200
SHW,2006-01-04,45.19,45.35,44.78,45.15,971200
SHW,2006-01-05,45.92,45.99,45.3,45.8,1006999
SHW,2006-01-06,46.14,46.22,45.85,45.9,749700
SHW,2006-01-09,46.21,46.45,45.69,45.88,1044899
SHW,2006-01-10,46.03,46.12,45.7,46.11,1091900
SHW,2006-01-11,46.57,46.57,45.95,46.08,1139700
SHW,2006-01-12,46.23,47.29,46.09,46.52,1130600
SHW,2006-01-13,46.01,46.37,45.9,46.35,491900
SHW,2006-01-16,46.01,46.37,45.9,46.35,0
SHW,2006-01-17,48.13,48.26,46.25,46.25,2665400
SHW,2006-01-18,48.0,49.0,47.66,47.75,2114100
SHW,2006-01-19,48.99,49.32,48.36,48.75,1645100
SHW,2006-01-20,48.75,49.13,48.55,49.0,1169300
SHW,2006-01-23,48.7,48.84,48.48,48.75,939100
SHW,2006-01-24,49.62,49.62,48.66,48.8,1794300
SHW,2006-01-25,49.37,49.53,48.93,49.52,1790400
SHW,2006-01-26,51.23,51.75,49.81,50.0,3322200
SHW,2006-01-27,52.53,52.89,50.49,50.5,2579100
SHW,2006-01-30,51.9,52.49,51.59,52.27,2122400
SHW,2006-01-31,52.9,53.19,51.9,51.9,2045999
SHW,2006-02-01,54.0,54.12,52.75,52.84,2165900
SHW,2006-02-02,53.06,53.88,53.06,53.85,1742300
SHW,2006-02-03,52.51,52.9,52.21,52.9,1242000
SHW,2006-02-06,52.57,52.64,52.15,52.35,1444500
SHW,2006-02-07,51.93,52.82,51.85,52.48,1131700
SHW,2006-02-08,52.85,53.02,51.72,51.93,1004999
SHW,2006-02-09,52.5,53.32,52.44,52.85,676400
SHW,2006-02-10,53.1,53.4,51.72,52.4,1075500
SHW,2006-02-13,53.03,53.15,52.7,53.0,478800
SHW,2006-02-14,53.09,53.8,52.72,53.13,1058300
SHW,2006-02-15,53.22,53.514,52.93,53.1,1079000
SHW,2006-02-16,53.63,53.67,52.74,53.21,1207600
SHW,2006-02-17,52.69,53.78,52.58,53.58,1195300
SHW,2006-02-20,52.69,53.78,52.58,53.58,0
SHW,2006-02-21,52.57,53.25,52.24,52.68,1166800
SHW,2006-02-22,43.2,53.11,41.0,52.65,22386000
SHW,2006-02-23,42.05,42.26,37.4,42.26,22270700
SHW,2006-02-24,41.29,43.0,40.15,42.22,6059700
SHW,2006-02-27,42.59,43.28,41.45,41.5,3634100
SHW,2006-02-28,45.55,48.18,43.67,44.17,12871400
SHW,2006-03-01,45.5,46.07,44.91,45.9,4411900
