Symbol,Date,Close,High,Low,Open,Volume
SIVB,2006-01-02,46.84,47.93,46.78,47.24,0
SIVB,2006-01-03,46.55,47.34,45.85,47.27,519084
SIVB,2006-01-04,46.13,46.77,45.95,46.33,1026640
SIVB,2006-01-05,45.7,46.4,45.68,46.0,581344
SIVB,2006-01-06,46.7,46.81,45.7,45.7,762263
SIVB,2006-01-09,46.67,46.8,46.42,46.57,456720
SIVB,2006-01-10,46.74,47.19,46.49,46.5,322036
SIVB,2006-01-11,48.6,48.94,46.9,47.0,1197894
SIVB,2006-01-12,48.57,48.72,48.45,48.45,404401
SIVB,2006-01-13,47.95,48.69,47.78,48.28,547348
SIVB,2006-01-16,47.95,48.69,47.78,48.28,0
SIVB,2006-01-17,47.78,48.24,47.35,47.72,255901
SIVB,2006-01-18,47.1,48.24,46.87,47.45,316051
SIVB,2006-01-19,47.26,47.28,46.65,47.0,334319
SIVB,2006-01-20,46.47,47.6,46.3,47.38,553149
SIVB,2006-01-23,46.48,47.0,46.25,46.25,165635
SIVB,2006-01-24,47.0,47.12,46.4,46.6,129442
SIVB,2006-01-25,47.31,47.36,46.8,46.89,394063
SIVB,2006-01-26,48.73,48.73,47.29,47.29,594105
SIVB,2006-01-27,49.85,50.06,48.65,48.65,832992
SIVB,2006-01-30,49.63,50.09,49.45,49.73,525216
SIVB,2006-01-31,49.48,49.64,49.04,49.43,369815
SIVB,2006-02-01,49.87,50.09,49.01,49.48,453120
SIVB,2006-02-02,49.48,49.85,49.23,49.64,311659
SIVB,2006-02-03,48.86,49.46,48.75,49.22,253189
SIVB,2006-02-06,49.32,49.49,48.89,49.09,241392
SIVB,2006-02-07,48.91,49.3,48.75,49.19,360873
SIVB,2006-02-08,49.09,49.25,48.87,48.87,409423
SIVB,2006-02-09,49.1,49.51,48.99,49.09,165287
SIVB,2006-02-10,49.87,49.98,49.12,49.12,260672
SIVB,2006-02-13,49.7,50.4,49.68,49.94,705842
SIVB,2006-02-14,50.79,50.98,49.71,49.89,397677
SIVB,2006-02-15,51.52,51.52,50.75,50.75,619195
SIVB,2006-02-16,51.42,51.87,51.3,51.52,374440
SIVB,2006-02-17,51.32,51.55,50.42,51.55,320097
SIVB,2006-02-20,51.32,51.55,50.42,51.55,0
SIVB,2006-02-21,50.84,51.44,50.28,51.27,270888
SIVB,2006-02-22,51.43,51.74,50.8,50.8,200017
SIVB,2006-02-23,51.22,51.6,50.82,51.48,209796
SIVB,2006-02-24,51.38,51.5,50.65,50.99,227601
SIVB,2006-02-27,51.34,51.7,50.96,51.5,144590
SIVB,2006-02-28,50.99,51.39,50.6,51.17,401788
SIVB,2006-03-01,51.61,51.82,50.63,51.01,235459
SIVB,2006-03-02,51.52,51.68,51.03,51.4,199738
SIVB,2006-03-03,51.85,52.1,51.06,51.2,457902
SIVB,2006-03-06,51.07,52.17,50.94,51.85,338443
SIVB,2006-03-07,50.7,51.15,50.35,50.92,238756
SIVB,2006-03-08,50.43,50.78,49.94,50.53,325306
SIVB,2006-03-09,50.41,50.8,49.98,50.25,241680
