Symbol,Date,Close,High,Low,Open,Volume
SJM,2006-01-02,44.0,44.25,43.97,44.08,0
SJM,2006-01-03,45.38,45.4,44.21,44.21,503299
SJM,2006-01-04,45.52,45.72,45.25,45.3,264900
SJM,2006-01-05,46.21,46.22,45.35,45.45,381000
SJM,2006-01-06,45.8,46.3,45.56,46.25,126000
SJM,2006-01-09,46.0,46.1,45.47,45.73,325400
SJM,2006-01-10,45.47,45.85,45.3,45.85,179800
SJM,2006-01-11,45.48,45.8,45.42,45.47,183300
SJM,2006-01-12,45.4,45.55,45.25,45.25,135200
SJM,2006-01-13,45.09,45.48,45.05,45.4,131900
SJM,2006-01-16,45.09,45.48,45.05,45.4,0
SJM,2006-01-17,44.99,45.21,44.89,44.98,146200
SJM,2006-01-18,44.99,45.1,44.85,44.9,120200
SJM,2006-01-19,45.02,45.05,44.82,44.86,171800
SJM,2006-01-20,44.35,45.1,44.35,44.9,198300
SJM,2006-01-23,44.31,44.68,44.13,44.33,151500
SJM,2006-01-24,43.99,44.3,43.91,44.28,219500
SJM,2006-01-25,43.81,43.99,43.45,43.95,222700
SJM,2006-01-26,43.85,44.08,43.7,43.7,154500
SJM,2006-01-27,43.74,43.81,43.501,43.75,166400
SJM,2006-01-30,43.69,43.85,43.56,43.65,145100
SJM,2006-01-31,43.5,43.69,43.331,43.53,364800
SJM,2006-02-01,43.9,44.01,43.47,43.47,134000
SJM,2006-02-02,43.84,44.26,43.77,43.83,134000
SJM,2006-02-03,43.5,44.05,43.43,43.73,286800
SJM,2006-02-06,43.3,43.69,43.24,43.38,195800
SJM,2006-02-07,43.16,43.6,43.11,43.22,234900
SJM,2006-02-08,42.76,43.39,42.56,43.3,237700
SJM,2006-02-09,41.86,42.51,41.82,42.51,567200
SJM,2006-02-10,41.76,42.05,41.65,41.75,213100
SJM,2006-02-13,41.6,42.09,41.57,41.77,448200
SJM,2006-02-14,42.36,42.4,41.612,41.7,256100
SJM,2006-02-15,42.49,42.619,42.25,42.35,230800
SJM,2006-02-16,42.43,42.69,42.34,42.54,279200
SJM,2006-02-17,38.25,40.5,37.15,40.5,3169400
SJM,2006-02-20,38.25,40.5,37.15,40.5,0
SJM,2006-02-21,37.78,38.72,37.63,38.3,870400
SJM,2006-02-22,38.87,39.219,37.7,37.75,1241300
SJM,2006-02-23,39.05,39.23,38.91,39.0,511800
SJM,2006-02-24,39.55,39.55,39.01,39.01,679100
SJM,2006-02-27,39.99,40.35,39.6,39.6,560900
SJM,2006-02-28,39.52,39.97,39.3,39.88,469100
SJM,2006-03-01,40.22,40.55,39.5303,39.6,529900
SJM,2006-03-02,40.28,40.4,40.0,40.02,434000
SJM,2006-03-03,40.07,40.31,39.95,40.05,275000
SJM,2006-03-06,40.26,40.32,39.65,40.02,381000
SJM,2006-03-07,40.7,40.82,40.25,40.26,366200
SJM,2006-03-08,40.34,40.58,40.07,40.58,314100
SJM,2006-03-09,40.26,40.46,39.9,40.31,230100
SJM,2006-03-10,40.25,40.35,40.03,40.3,277500
SJM,2006-03-13,40.15,40.32,39.9,40.15,259000
SJM,2006-03-14,40.13,40.28,39.85,40.05,192600
SJM,2006-03-15,40.0,40.16,39.55,39.55,248700
SJM,2006-03-16,40.0,40.2,39.68,39.9,250100
SJM,2006-03-17,40.03,40.04,39.65,39.7,309200
SJM,2006-03-20,39.91,40.0,39.85,40.0,327600
SJM,2006-03-21,39.86,40.05,39.73,39.8,301900
SJM,2006-03-22,39.98,40.05,39.85,39.95,439700
SJM,2006-03-23,39.89,40.01,39.6,39.73,239600
SJM,2006-03-24,39.94,40.0,39.66,39.75,157000
SJM,2006-03-27,39.63,39.95,39.42,39.76,155900
SJM,2006-03-28,39.54,39.72,39.39,39.6,293400
SJM,2006-03-29,39.77,39.99,39.45,39.45,156700
SJM,2006-03-30,39.86,39.92,39.58,39.7,159100
SJM,2006-03-31,39.7,39.79,39.41,39.61,187400
SJM,2006-04-03,40.03,40.24,39.381,39.45,233800
SJM,2006-04-04,39.78,39.99,39.69,39.98,193400
SJM,2006-04-05,39.86,39.86,39.6,39.6,182300
SJM,2006-04-06,39.23,39.8,38.94,39.8,193700
SJM,2006-04-07,38.8,39.36,38.75,39.3,195900
SJM,2006-04-10,39.54,39.7,39.11,39.35,264000
SJM,2006-04-11,39.31,39.8,39.06,39.74,234800
SJM,2006-04-12,38.97,39.35,38.91,39.31,188100
SJM,2006-04-13,39.2,39.42,39.0,39.0,144200
SJM,2006-04-14,39.2,39.42,39.0,39.0,0
SJM,2006-04-17,39.06,39.25,38.93,39.22,133800
SJM,2006-04-18,39.24,39.32,39.06,39.06,305600
SJM,2006-04-19,39.3,39.45,39.17,39.2,261500
SJM,2006-04-20,39.19,39.29,39.04,39.15,247700
SJM,2006-04-21,39.35,39.4,39.19,39.21,298700
SJM,2006-04-24,39.18,39.26,39.08,39.16,239000
SJM,2006-04-25,39.32,39.45,39.1,39.18,259000
SJM,2006-04-26,39.45,39.54,39.32,39.32,211400
SJM,2006-04-27,39.33,39.5,39.13,39.2,195600
SJM,2006-04-28,39.26,39.26,39.01,39.1,243200
SJM,2006-05-01,39.53,39.98,39.11,39.12,211600
SJM,2006-05-02,39.88,40.01,39.36,39.47,182700
SJM,2006-05-03,39.85,39.95,39.71,39.95,281200
SJM,2006-05-04,40.26,40.49,39.83,39.84,212100
SJM,2006-05-05,40.8,40.87,40.35,40.35,172300
SJM,2006-05-08,41.16,41.24,40.8,40.8,249800
SJM,2006-05-09,40.93,41.3,40.86,41.03,164900
SJM,2006-05-10,40.69,40.97,40.62,40.8,229400
SJM,2006-05-11,40.35,40.48,40.25,40.48,160200
SJM,2006-05-12,40.22,40.42,40.1,40.2,324400
SJM,2006-05-15,40.66,40.73,40.15,40.15,221300
SJM,2006-05-16,41.05,41.2,40.48,40.51,172800
SJM,2006-05-17,40.55,40.94,40.44,40.82,241800
SJM,2006-05-18,40.46,40.66,40.33,40.51,215300
SJM,2006-05-19,40.82,40.83,40.42,40.67,257100
SJM,2006-05-22,40.9,41.1,40.6,40.72,190500
SJM,2006-05-23,40.51,40.99,40.51,40.99,204800
SJM,2006-05-24,40.99,41.1,40.38,40.51,166900
SJM,2006-05-25,40.66,41.12,40.53,41.0,202600
SJM,2006-05-26,40.95,41.02,40.7,40.85,83600
SJM,2006-05-29,40.95,41.02,40.7,40.85,0
SJM,2006-05-30,40.69,41.0,40.6,40.6,134600
SJM,2006-05-31,41.46,41.5,40.64,40.68,253600
SJM,2006-06-01,41.67,41.67,41.33,41.42,217500
SJM,2006-06-02,41.61,41.94,41.3,41.8,291000
SJM,2006-06-05,41.2,41.63,41.04,41.52,266600
SJM,2006-06-06,40.84,41.25,40.65,40.92,222800
SJM,2006-06-07,41.18,41.48,40.86,40.87,274100
SJM,2006-06-08,40.95,41.2,40.54,41.1,304500
SJM,2006-06-09,40.94,41.41,40.82,41.0,176700
SJM,2006-06-12,40.6,41.5,40.52,41.05,242200
SJM,2006-06-13,40.15,40.85,39.96,40.5,243400
SJM,2006-06-14,40.13,40.4,39.88,40.17,172500
SJM,2006-06-15,40.07,40.34,39.92,40.22,297700
SJM,2006-06-16,40.75,40.99,40.1,40.19,231100
SJM,2006-06-19,40.41,41.16,40.37,40.71,236200
SJM,2006-06-20,43.3,44.44,42.25,42.25,1433800
SJM,2006-06-21,44.33,44.78,43.42,43.42,892700
SJM,2006-06-22,44.34,44.78,44.15,44.23,406400
SJM,2006-06-23,44.24,44.25,43.77,44.24,501700
SJM,2006-06-26,44.73,44.86,44.32,44.32,437000
SJM,2006-06-27,45.24,45.7101,44.65,44.65,737900
SJM,2006-06-28,44.82,45.3,44.65,45.3,306100
SJM,2006-06-29,45.25,45.25,44.63,44.97,303700
SJM,2006-06-30,44.7,45.3,44.28,45.25,332400
SJM,2006-07-03,44.8,45.0,44.73,44.95,165600
SJM,2006-07-04,44.8,45.0,44.73,44.95,0
SJM,2006-07-05,46.19,46.48,45.33,45.6,626600
SJM,2006-07-06,45.61,46.3,45.45,46.19,349400
SJM,2006-07-07,45.89,45.93,45.37,45.39,366900
SJM,2006-07-10,46.16,46.46,45.84,45.91,198200
SJM,2006-07-11,46.5,46.57,45.88,46.06,192200
SJM,2006-07-12,46.75,46.95,46.48,46.54,342900
SJM,2006-07-13,46.95,47.0,46.21,46.52,424300
