Symbol,Date,Close,High,Low,Open,Volume
SLB,2006-01-02,48.575,49.24,47.895,48.275,0
SLB,2006-01-03,51.68,51.69,49.2,49.425,12821400
SLB,2006-01-04,52.37,52.5,51.175,51.68,12673400
SLB,2006-01-05,52.1,52.62,51.47,52.375,14712200
SLB,2006-01-06,53.74,53.745,52.35,52.5,8538600
SLB,2006-01-09,53.0,53.94,52.725,53.645,8598600
SLB,2006-01-10,53.58,54.64,53.04,53.375,10940600
SLB,2006-01-11,53.625,54.1,52.36,53.58,9986600
SLB,2006-01-12,52.705,54.25,52.53,53.8,11589400
SLB,2006-01-13,53.64,53.9,52.625,52.71,7831000
SLB,2006-01-16,53.64,53.9,52.625,52.71,0
SLB,2006-01-17,54.25,54.875,54.25,54.6,8819400
SLB,2006-01-18,54.16,54.7,53.77,54.7,10690200
SLB,2006-01-19,57.435,57.675,54.05,54.05,18941200
SLB,2006-01-20,61.125,61.235,58.555,58.675,33170800
SLB,2006-01-23,63.0,63.435,60.575,61.625,21322200
SLB,2006-01-24,61.795,62.63,61.6,62.63,18883400
SLB,2006-01-25,60.35,62.395,59.52,62.395,18151000
SLB,2006-01-26,62.17,62.245,59.065,60.125,13861400
SLB,2006-01-27,63.685,63.915,62.045,62.95,16284199
SLB,2006-01-30,65.325,65.875,63.735,63.735,16168399
SLB,2006-01-31,63.725,65.005,63.555,65.005,15110600
SLB,2006-02-01,61.605,64.54,61.43,64.0,12601000
SLB,2006-02-02,61.06,62.422,60.005,61.625,14640600
SLB,2006-02-03,61.205,62.35,59.75,61.185,12305200
SLB,2006-02-06,62.36,63.1,61.285,62.22,11928200
SLB,2006-02-07,58.75,61.875,58.425,61.875,16221000
SLB,2006-02-08,59.61,60.0,57.88,59.1,17757200
SLB,2006-02-09,58.06,60.395,57.765,60.005,13823400
SLB,2006-02-10,59.65,60.005,56.875,58.155,18183200
SLB,2006-02-13,58.95,60.175,58.46,59.9,12774800
SLB,2006-02-14,57.435,58.65,57.425,57.7,18484200
SLB,2006-02-15,56.325,57.945,55.525,57.945,18699600
SLB,2006-02-16,57.015,58.335,56.88,57.0,17929800
SLB,2006-02-17,57.24,57.995,56.358,57.305,14699600
SLB,2006-02-20,57.24,57.995,56.358,57.305,0
SLB,2006-02-21,59.255,59.49,57.99,57.99,13944200
SLB,2006-02-22,58.51,59.0,58.045,59.0,9167200
SLB,2006-02-23,58.45,59.155,56.5475,56.5475,10192800
SLB,2006-02-24,59.195,60.04,59.0,59.375,8764600
SLB,2006-02-27,57.69,59.07,57.585,58.975,8618400
SLB,2006-02-28,57.5,58.08,57.15,57.65,11061800
SLB,2006-03-01,59.03,59.03,57.81,58.075,9268800
SLB,2006-03-02,60.71,60.915,59.29,59.75,13209800
SLB,2006-03-03,61.11,61.625,60.3,60.46,8117599
SLB,2006-03-06,58.67,60.88,58.525,60.875,12478800
SLB,2006-03-07,57.425,58.55,57.1,58.5,14598600
SLB,2006-03-08,58.025,58.385,56.7,57.425,14254800
SLB,2006-03-09,57.375,58.65,57.195,58.405,10025200
SLB,2006-03-10,58.435,58.875,56.88,57.35,10066200
SLB,2006-03-13,58.535,58.905,57.9,58.725,11746800
SLB,2006-03-14,60.225,60.26,58.04,58.65,9782600
SLB,2006-03-15,60.27,60.485,59.295,60.0,9351400
SLB,2006-03-16,61.9,62.25,60.0,60.2,12028200
SLB,2006-03-17,61.625,62.4,61.21,61.5,12221800
SLB,2006-03-20,60.31,62.675,60.085,61.51,12835600
SLB,2006-03-21,60.355,61.485,59.7,60.01,11905000
SLB,2006-03-22,60.05,61.535,59.515,60.355,10578400
SLB,2006-03-23,61.51,61.795,60.22,60.255,10379200
SLB,2006-03-24,61.09,61.76,60.625,61.58,8326800
SLB,2006-03-27,61.475,61.78,60.435,61.09,8737200
SLB,2006-03-28,62.29,62.875,61.9,62.1,10533000
SLB,2006-03-29,63.4,63.43,62.275,62.4,10551800
SLB,2006-03-30,64.115,64.17,63.2,63.5,9473400
SLB,2006-03-31,63.285,63.72,62.475,63.625,10402200
SLB,2006-04-03,63.65,65.995,63.5,64.125,13441600
SLB,2006-04-04,65.3,65.345,63.325,63.375,10490800
SLB,2006-04-05,66.5,66.5,64.655,65.5,11303800
SLB,2006-04-06,66.3,66.945,65.44,66.6,12154000
SLB,2006-04-07,64.525,66.5,64.285,66.25,12524400
SLB,2006-04-10,64.66,66.0,64.1001,65.69,8682800
