Symbol,Date,Close,High,Low,Open,Volume
SLG,2006-01-02,76.39,76.39,75.2,75.55,0
SLG,2006-01-03,77.7,77.77,75.83,76.64,299200
SLG,2006-01-04,78.75,79.56,77.5,77.7,219800
SLG,2006-01-05,79.99,80.05,79.01,79.25,321600
SLG,2006-01-06,81.1,81.2,79.96,80.0,156300
SLG,2006-01-09,81.64,82.01,80.74,80.97,157900
SLG,2006-01-10,82.41,83.78,81.3,81.4,301900
SLG,2006-01-11,82.19,82.9,81.86,82.81,234300
SLG,2006-01-12,81.78,82.19,81.19,82.19,213400
SLG,2006-01-13,80.68,81.68,80.31,81.68,127300
SLG,2006-01-16,80.68,81.68,80.31,81.68,0
SLG,2006-01-17,81.5,81.55,80.25,80.68,190000
SLG,2006-01-18,81.4,81.99,81.1,81.25,121600
SLG,2006-01-19,82.74,82.75,81.07,81.25,125200
SLG,2006-01-20,81.4,82.66,81.06,82.54,231400
SLG,2006-01-23,82.23,82.3,81.3,81.3,94700
SLG,2006-01-24,83.99,84.09,82.6,82.75,295100
SLG,2006-01-25,84.3,84.84,83.68,83.8,249800
SLG,2006-01-26,84.65,84.77,83.73,83.73,229000
SLG,2006-01-27,85.27,86.1,85.19,85.6,517900
SLG,2006-01-30,84.76,85.52,84.53,85.52,271300
SLG,2006-01-31,84.04,84.79,83.66,84.6,360700
SLG,2006-02-01,83.8,84.6,83.62,84.24,292400
SLG,2006-02-02,83.39,83.95,83.31,83.8,324100
SLG,2006-02-03,82.8,83.27,81.37,83.14,248800
SLG,2006-02-06,82.5,82.99,82.15,82.7,222100
SLG,2006-02-07,81.75,82.75,81.64,82.35,117500
SLG,2006-02-08,81.6,82.24,80.75,82.24,251900
SLG,2006-02-09,82.32,82.949,81.48,81.8,224800
SLG,2006-02-10,83.1,83.2,82.12,82.41,325000
SLG,2006-02-13,83.35,83.54,82.8,83.13,144500
SLG,2006-02-14,84.3,84.99,82.42,83.35,334500
SLG,2006-02-15,84.44,84.7,83.91,84.2,199400
SLG,2006-02-16,85.3,85.3,84.45,84.55,147300
SLG,2006-02-17,86.44,86.74,85.05,85.43,198200
SLG,2006-02-20,86.44,86.74,85.05,85.43,0
SLG,2006-02-21,86.55,86.7,85.95,86.38,237400
SLG,2006-02-22,86.88,87.29,86.0,86.4,253300
SLG,2006-02-23,86.99,87.21,86.4,86.9,108400
SLG,2006-02-24,86.72,87.2,86.28,86.88,176300
SLG,2006-02-27,86.15,86.86,86.01,86.83,170900
SLG,2006-02-28,86.91,86.94,85.08,85.9,223600
SLG,2006-03-01,87.23,87.35,86.39,87.11,210400
SLG,2006-03-02,87.79,88.43,86.751,87.14,332100
SLG,2006-03-03,87.9,88.17,87.08,87.59,345800
SLG,2006-03-06,91.7,91.84,88.1,88.23,462000
SLG,2006-03-07,91.26,92.76,90.36,92.0,460900
SLG,2006-03-08,92.4,92.4,90.01,90.9,240800
SLG,2006-03-09,93.1,93.51,92.09,92.6,204100
SLG,2006-03-10,93.55,94.25,92.55,93.01,227200
SLG,2006-03-13,93.31,94.19,92.77,93.75,203400
SLG,2006-03-14,94.15,94.35,93.18,93.25,144600
SLG,2006-03-15,98.12,98.64,95.2,95.35,732600
SLG,2006-03-16,100.4,100.47,99.2,99.65,439000
SLG,2006-03-17,103.09,103.13,101.49,102.05,472500
SLG,2006-03-20,99.29,104.07,99.0,104.05,358900
SLG,2006-03-21,98.47,100.02,97.7,99.29,368500
SLG,2006-03-22,98.17,98.4,96.52,97.0,305000
SLG,2006-03-23,99.15,99.29,97.3,97.75,189800
SLG,2006-03-24,98.6,99.65,98.59,99.32,315100
SLG,2006-03-27,98.64,99.05,97.63,98.6,234900
SLG,2006-03-28,101.19,101.74,98.66,98.89,306300
SLG,2006-03-29,103.07,104.47,102.25,102.25,603600
SLG,2006-03-30,100.5,103.34,99.95,103.32,330500
SLG,2006-03-31,101.5,101.5,99.06,100.36,356300
SLG,2006-04-03,97.85,101.47,97.45,101.35,338600
SLG,2006-04-04,97.7,98.44,97.34,97.95,329600
SLG,2006-04-05,99.47,99.89,97.79,97.95,283500
SLG,2006-04-06,99.51,99.95,99.01,99.95,292600
SLG,2006-04-07,99.15,99.34,98.65,98.8,247300
SLG,2006-04-10,97.75,98.69,97.02,98.0,422900
SLG,2006-04-11,97.6,98.17,97.04,97.61,171300
SLG,2006-04-12,97.04,97.83,96.69,97.45,397300
SLG,2006-04-13,95.31,96.94,94.6128,96.94,313100
SLG,2006-04-14,95.31,96.94,94.6128,96.94,0
SLG,2006-04-17,95.7,95.77,94.0,94.0,271800
SLG,2006-04-18,97.44,97.65,95.49,95.8,347100
SLG,2006-04-19,100.98,101.3,97.75,97.75,512100
SLG,2006-04-20,100.55,101.23,99.19,100.73,670800
SLG,2006-04-21,101.87,102.08,100.38,100.75,354600
SLG,2006-04-24,101.25,102.4,100.87,101.77,324400
SLG,2006-04-25,100.14,101.91,99.66,100.99,209500
SLG,2006-04-26,99.7,101.3,98.96,100.0,466900
SLG,2006-04-27,99.73,100.69,98.73,99.3,296300
SLG,2006-04-28,99.0,100.32,98.8,99.48,236900
SLG,2006-05-01,98.25,100.0,97.6,99.2,408400
