Symbol,Date,Close,High,Low,Open,Volume
SNA,2006-01-02,37.56,37.98,37.47,37.61,0
SNA,2006-01-03,38.53,38.53,37.12,37.56,756700
SNA,2006-01-04,38.89,38.9,38.15,38.53,598300
SNA,2006-01-05,39.02,39.02,38.745,38.81,517599
SNA,2006-01-06,39.09,39.3,39.01,39.2,168800
SNA,2006-01-09,39.73,39.83,38.95,39.09,676200
SNA,2006-01-10,39.68,39.77,39.47,39.66,241200
SNA,2006-01-11,39.28,39.75,39.03,39.74,208000
SNA,2006-01-12,38.93,39.28,38.89,39.2,124100
SNA,2006-01-13,38.82,39.13,38.81,38.98,101700
SNA,2006-01-16,38.82,39.13,38.81,38.98,0
SNA,2006-01-17,38.7,38.76,38.38,38.6,145200
SNA,2006-01-18,38.71,38.84,38.405,38.42,119800
SNA,2006-01-19,38.67,38.83,38.52,38.72,211600
SNA,2006-01-20,38.26,38.67,38.26,38.67,217200
SNA,2006-01-23,38.6,38.91,38.29,38.3,240100
SNA,2006-01-24,39.06,39.09,38.72,38.72,238500
SNA,2006-01-25,38.9,39.26,38.74,39.15,184600
SNA,2006-01-26,38.72,39.12,38.53,38.91,429600
SNA,2006-01-27,39.75,39.76,38.21,38.63,369000
SNA,2006-01-30,39.95,39.95,39.4,39.61,234400
SNA,2006-01-31,40.13,40.25,39.54,39.9,377200
SNA,2006-02-01,39.07,40.24,39.07,40.18,471700
SNA,2006-02-02,38.45,39.7,38.25,39.2,961900
SNA,2006-02-03,38.01,38.68,38.0,38.3,594300
SNA,2006-02-06,38.4,38.69,37.95,38.0,575800
SNA,2006-02-07,37.65,38.2,37.45,38.2,932400
SNA,2006-02-08,37.57,37.682,37.38,37.65,327400
SNA,2006-02-09,37.39,37.78,37.39,37.64,411100
SNA,2006-02-10,37.66,37.79,37.29,37.4,391800
SNA,2006-02-13,38.28,38.32,37.64,37.67,392500
SNA,2006-02-14,38.97,39.18,38.14,38.39,389600
SNA,2006-02-15,38.78,39.03,38.53,38.7,349500
SNA,2006-02-16,39.35,39.37,38.76,38.76,206000
SNA,2006-02-17,39.17,39.46,39.0,39.32,219700
SNA,2006-02-20,39.17,39.46,39.0,39.32,0
SNA,2006-02-21,39.14,39.4,38.93,39.17,222600
SNA,2006-02-22,39.49,39.86,39.19,39.21,280100
SNA,2006-02-23,39.13,39.48,38.83,39.46,537300
SNA,2006-02-24,39.48,39.51,38.62,39.09,179500
SNA,2006-02-27,39.45,39.64,39.31,39.6,273100
SNA,2006-02-28,38.92,39.35,38.73,38.75,316500
SNA,2006-03-01,38.7,39.16,38.45,39.0,441500
SNA,2006-03-02,38.51,38.64,38.25,38.45,419200
SNA,2006-03-03,38.57,39.02,38.37,38.52,338800
SNA,2006-03-06,38.35,38.55,38.18,38.49,210900
SNA,2006-03-07,37.97,38.96,37.8,38.36,272000
SNA,2006-03-08,37.98,38.15,37.59,37.98,280500
SNA,2006-03-09,38.06,38.1,37.76,37.86,232600
SNA,2006-03-10,37.85,38.1,37.79,38.08,263500
SNA,2006-03-13,37.86,38.06,37.77,37.96,174000
SNA,2006-03-14,38.26,38.27,37.62,37.78,419300
SNA,2006-03-15,38.54,38.67,38.06,38.16,316900
SNA,2006-03-16,38.87,38.91,38.49,38.54,312700
SNA,2006-03-17,39.25,39.49,38.83,38.9,456600
SNA,2006-03-20,39.34,39.34,39.07,39.25,239900
SNA,2006-03-21,39.2,39.44,39.04,39.34,243700
SNA,2006-03-22,39.28,39.32,39.1,39.1,315900
SNA,2006-03-23,39.2,39.32,38.83,39.15,243400
SNA,2006-03-24,38.83,39.14,38.58,39.08,252800
SNA,2006-03-27,38.65,38.8,38.55,38.75,239600
SNA,2006-03-28,38.5,39.01,38.44,38.69,146700
SNA,2006-03-29,38.89,38.97,38.5,38.5,186500
SNA,2006-03-30,38.44,38.97,38.26,38.92,189300
SNA,2006-03-31,38.12,38.56,37.98,38.36,259200
SNA,2006-04-03,38.43,38.98,38.25,38.6,213500
SNA,2006-04-04,38.4,38.69,37.88,38.28,226600
SNA,2006-04-05,38.62,38.69,38.22,38.37,129000
SNA,2006-04-06,38.0,38.52,37.7636,38.52,268900
SNA,2006-04-07,37.66,38.41,37.65,38.18,213100
SNA,2006-04-10,37.85,37.86,37.42,37.66,208200
SNA,2006-04-11,37.76,37.97,37.59,37.89,255500
SNA,2006-04-12,37.7,37.99,37.7,37.76,118000
SNA,2006-04-13,37.6,37.9,37.58,37.7,151400
SNA,2006-04-14,37.6,37.9,37.58,37.7,0
SNA,2006-04-17,37.43,37.93,37.17,37.67,228000
SNA,2006-04-18,37.97,38.09,37.55,37.58,488500
SNA,2006-04-19,38.21,38.29,37.94,37.97,331300
SNA,2006-04-20,38.27,38.61,38.01,38.34,223300
SNA,2006-04-21,38.01,38.45,38.0,38.36,243500
SNA,2006-04-24,37.74,38.02,37.53,38.01,297000
SNA,2006-04-25,37.53,37.89,37.5,37.74,240200
SNA,2006-04-26,37.55,37.8,37.44,37.53,263800
SNA,2006-04-27,37.47,37.75,37.09,37.56,284700
SNA,2006-04-28,41.5,41.72,37.52,37.52,2340100
SNA,2006-05-01,40.65,42.0,40.42,41.43,613100
SNA,2006-05-02,40.56,40.74,40.24,40.68,333300
SNA,2006-05-03,41.15,41.44,40.7,40.77,611500
SNA,2006-05-04,40.79,41.38,40.66,41.23,411300
SNA,2006-05-05,41.45,41.55,41.0,41.04,311000
SNA,2006-05-08,41.33,41.72,41.12,41.46,217000
SNA,2006-05-09,41.17,41.39,40.8,41.39,162300
SNA,2006-05-10,41.27,41.45,40.49,40.7,276100
SNA,2006-05-11,40.61,41.17,40.44,41.17,175300
SNA,2006-05-12,39.82,40.61,39.75,40.61,201100
SNA,2006-05-15,40.22,40.22,39.35,39.82,250800
SNA,2006-05-16,40.0,40.67,39.78,40.22,268500
SNA,2006-05-17,39.4,39.72,38.84,39.53,346200
SNA,2006-05-18,39.1,39.52,38.99,39.36,297600
SNA,2006-05-19,39.44,39.54,38.74,39.29,403100
SNA,2006-05-22,40.16,40.59,39.21,39.45,652900
SNA,2006-05-23,40.41,40.8,40.26,40.26,598600
SNA,2006-05-24,40.38,40.97,40.0,40.34,481600
SNA,2006-05-25,40.56,40.86,40.26,40.49,339800
SNA,2006-05-26,41.19,41.26,40.71,40.81,214500
SNA,2006-05-29,41.19,41.26,40.71,40.81,0
SNA,2006-05-30,40.69,41.18,40.62,41.18,285600
SNA,2006-05-31,41.88,41.98,40.72,40.82,661200
SNA,2006-06-01,41.92,42.27,41.7,41.94,390800
SNA,2006-06-02,41.99,42.2,41.21,41.9,306500
SNA,2006-06-05,41.07,42.07,41.0,41.92,372100
SNA,2006-06-06,40.8,41.4,40.52,41.25,335800
SNA,2006-06-07,40.48,41.19,40.48,40.83,295900
SNA,2006-06-08,40.54,40.64,39.48,40.48,353400
SNA,2006-06-09,40.3,40.7,40.13,40.44,246000
SNA,2006-06-12,39.69,40.44,39.69,40.4,234100
SNA,2006-06-13,39.39,39.93,39.28,39.69,214300
SNA,2006-06-14,39.45,39.55,39.2,39.35,518599
SNA,2006-06-15,40.02,40.19,39.47,39.53,511300
SNA,2006-06-16,39.06,39.91,39.05,39.78,823500
SNA,2006-06-19,39.0,39.4,38.66,39.4,303400
SNA,2006-06-20,38.68,39.21,38.65,39.1,174600
SNA,2006-06-21,39.12,39.47,38.63,38.63,196400
SNA,2006-06-22,39.0,39.2,38.82,39.08,159800
SNA,2006-06-23,39.01,39.5,38.6,39.01,165200
SNA,2006-06-26,39.8,39.88,38.98,38.98,246100
SNA,2006-06-27,39.16,40.01,39.14,39.88,160300
SNA,2006-06-28,39.31,39.5,38.98,39.23,131000
SNA,2006-06-29,40.03,40.12,39.54,39.55,369200
SNA,2006-06-30,40.42,40.5,40.05,40.05,473800
SNA,2006-07-03,40.35,40.49,40.32,40.49,106100
SNA,2006-07-04,40.35,40.49,40.32,40.49,0
SNA,2006-07-05,39.96,40.37,39.88,40.35,163900
SNA,2006-07-06,39.86,40.31,39.75,39.9,168500
SNA,2006-07-07,39.24,39.93,39.19,39.93,137200
SNA,2006-07-10,39.8,39.83,39.3,39.3,323500
SNA,2006-07-11,39.66,39.68,39.02,39.59,152700
SNA,2006-07-12,39.31,39.8,39.16,39.66,186800
SNA,2006-07-13,38.5,39.313,38.37,39.31,353200
SNA,2006-07-14,38.11,38.66,37.61,38.36,509499
SNA,2006-07-17,37.88,38.21,37.7,38.0,269200
SNA,2006-07-18,37.79,38.18,37.27,37.86,459100
SNA,2006-07-19,37.9,38.5,37.61,37.9,636800
SNA,2006-07-20,37.32,38.18,37.32,37.9,319000
SNA,2006-07-21,36.39,37.39,36.38,37.39,636100
SNA,2006-07-24,37.27,37.37,36.42,36.42,448500
SNA,2006-07-25,37.37,37.54,36.75,37.27,484600
SNA,2006-07-26,40.3,40.33,38.3,38.5,1112300
SNA,2006-07-27,41.0,42.35,40.52,40.55,868000
SNA,2006-07-28,42.28,42.58,41.34,41.4,821400
SNA,2006-07-31,42.01,42.34,41.76,42.0,455600
SNA,2006-08-01,41.9,42.05,41.63,42.02,284800
SNA,2006-08-02,41.76,42.1,41.55,41.91,263100
SNA,2006-08-03,41.99,42.25,41.35,41.77,402700
SNA,2006-08-04,42.0,42.61,41.59,42.21,356100
