Symbol,Date,Close,High,Low,Open,Volume
SNPS,2006-01-02,20.06,20.185,19.76,20.15,0
SNPS,2006-01-03,20.46,20.56,19.83,20.22,1170128
SNPS,2006-01-04,20.85,20.913,20.44,20.44,990956
SNPS,2006-01-05,20.55,20.93,20.28,20.8,1247216
SNPS,2006-01-06,20.61,20.9,20.37,20.63,1496425
SNPS,2006-01-09,21.14,21.14,20.62,20.62,1149289
SNPS,2006-01-10,20.98,21.04,20.72,20.75,790204
SNPS,2006-01-11,21.34,21.47,20.84,20.84,2000462
SNPS,2006-01-12,21.67,21.92,21.2,21.3,1802873
SNPS,2006-01-13,21.4,21.89,21.26,21.58,640263
SNPS,2006-01-16,21.4,21.89,21.26,21.58,0
SNPS,2006-01-17,21.15,21.31,21.11,21.22,605498
SNPS,2006-01-18,21.0,21.13,20.66,20.9,1221104
SNPS,2006-01-19,21.06,21.18,20.9,21.0,984714
SNPS,2006-01-20,20.54,21.09,20.41,20.92,791730
SNPS,2006-01-23,20.82,21.02,20.625,20.65,921711
SNPS,2006-01-24,21.02,21.02,20.55,20.83,811623
SNPS,2006-01-25,20.69,21.09,20.59,21.01,974902
SNPS,2006-01-26,21.65,21.82,20.83,20.91,1615572
SNPS,2006-01-27,22.1,22.1,21.73,21.73,1451901
SNPS,2006-01-30,22.27,22.36,21.81,21.85,1622815
SNPS,2006-01-31,22.11,22.25,22.02,22.23,1118254
SNPS,2006-02-01,22.96,23.14,21.97,21.97,1744086
SNPS,2006-02-02,22.91,22.91,22.81,22.83,2412393
SNPS,2006-02-03,22.38,22.73,22.34,22.65,1036157
SNPS,2006-02-06,22.4,22.4,22.22,22.4,903503
SNPS,2006-02-07,22.29,22.29,21.98,22.13,1165981
SNPS,2006-02-08,22.11,22.26,21.92,21.99,867350
SNPS,2006-02-09,22.19,22.35,22.0,22.04,1586331
SNPS,2006-02-10,22.23,22.31,22.02,22.24,1493921
SNPS,2006-02-13,22.17,22.17,21.97,22.17,2018805
SNPS,2006-02-14,22.15,22.17,21.88,22.02,917615
SNPS,2006-02-15,22.22,22.4,21.96,22.0,1474883
SNPS,2006-02-16,22.83,24.25,22.52,22.72,5630044
SNPS,2006-02-17,22.93,22.93,22.73,22.8,1777251
SNPS,2006-02-20,22.93,22.93,22.73,22.8,0
SNPS,2006-02-21,22.54,22.82,22.51,22.67,824332
SNPS,2006-02-22,22.7,22.7,22.54,22.67,953070
SNPS,2006-02-23,22.25,22.53,22.2,22.47,997702
SNPS,2006-02-24,22.19,22.38,21.91,22.26,1810955
SNPS,2006-02-27,22.12,22.35,22.01,22.35,2096539
SNPS,2006-02-28,21.87,22.32,21.66,22.14,1150715
SNPS,2006-03-01,21.99,22.09,21.49,21.5,1271761
SNPS,2006-03-02,22.49,22.56,21.81,21.81,1512718
SNPS,2006-03-03,22.1,22.49,22.08,22.28,835784
SNPS,2006-03-06,22.3,22.3,22.13,22.13,1167240
SNPS,2006-03-07,22.03,22.13,21.84,22.05,1079003
SNPS,2006-03-08,22.0,22.1,21.7,21.9,1043277
SNPS,2006-03-09,22.08,22.08,21.88,22.0,616897
SNPS,2006-03-10,21.9,22.01,21.73,21.86,548545
SNPS,2006-03-13,21.98,22.1,21.92,22.0,691190
SNPS,2006-03-14,22.3,22.33,21.95,21.95,655702
SNPS,2006-03-15,22.9,22.9,22.34,22.34,1848381
SNPS,2006-03-16,22.24,22.86,22.2,22.77,1004218
SNPS,2006-03-17,22.11,22.45,22.01,22.3,992031
SNPS,2006-03-20,22.24,22.5,22.04,22.11,843200
SNPS,2006-03-21,22.03,22.62,21.96,22.17,1082406
SNPS,2006-03-22,21.91,22.03,21.7,22.0,554969
SNPS,2006-03-23,21.45,21.9,21.33,21.81,1431207
SNPS,2006-03-24,21.42,21.58,21.31,21.47,861018
SNPS,2006-03-27,21.39,21.72,21.13,21.43,1079418
SNPS,2006-03-28,21.49,21.49,21.4,21.4,2650130
SNPS,2006-03-29,21.91,22.13,21.45,21.5,994482
SNPS,2006-03-30,21.93,22.1,21.7299,22.0,906282
SNPS,2006-03-31,22.35,22.42,21.87,21.89,1337011
SNPS,2006-04-03,22.48,22.48,22.09,22.37,916949
SNPS,2006-04-04,21.79,22.18,21.75,22.08,575076
SNPS,2006-04-05,22.07,22.07,21.75,21.75,1041045
SNPS,2006-04-06,21.86,22.0,21.69,21.95,464632
SNPS,2006-04-07,21.64,22.02,21.6,21.85,429382
SNPS,2006-04-10,21.35,21.78,21.32,21.6,1130174
SNPS,2006-04-11,21.4,21.71,21.29,21.37,1201631
SNPS,2006-04-12,21.37,21.55,21.35,21.37,488984
SNPS,2006-04-13,21.46,21.55,21.29,21.32,572856
SNPS,2006-04-14,21.46,21.55,21.29,21.32,0
SNPS,2006-04-17,21.04,21.45,21.0,21.41,689490
SNPS,2006-04-18,21.4,21.51,21.04,21.09,776608
SNPS,2006-04-19,21.74,21.75,21.21,21.3,731786
SNPS,2006-04-20,21.87,21.92,21.58,21.6,597690
SNPS,2006-04-21,21.98,22.11,21.86,21.93,795445
SNPS,2006-04-24,21.91,22.1,21.71,22.05,576531
SNPS,2006-04-25,21.73,21.95,21.5799,21.92,542698
SNPS,2006-04-26,21.64,21.88,21.42,21.8,474352
SNPS,2006-04-27,21.74,21.85,21.4,21.5,776699
