Symbol,Date,Close,High,Low,Open,Volume
SO,2006-01-02,34.53,34.7,34.45,34.63,0
SO,2006-01-03,35.07,35.13,34.48,34.76,2199500
SO,2006-01-04,34.99,35.1,34.45,34.92,2276300
SO,2006-01-05,34.9,35.12,34.75,35.04,1335200
SO,2006-01-06,35.1,35.1,34.8,34.99,1169500
SO,2006-01-09,34.92,35.08,34.81,35.06,1702000
SO,2006-01-10,34.87,34.95,34.75,34.82,1911600
SO,2006-01-11,34.79,34.93,34.64,34.81,2030800
SO,2006-01-12,34.83,35.1,34.76,34.79,2093000
SO,2006-01-13,34.92,34.98,34.74,34.85,1702000
SO,2006-01-16,34.92,34.98,34.74,34.85,0
SO,2006-01-17,35.08,35.11,34.76,34.88,1895400
SO,2006-01-18,35.16,35.35,35.02,35.02,1927000
SO,2006-01-19,35.63,35.64,35.1,35.17,2317100
SO,2006-01-20,35.05,35.89,34.9,35.63,3220100
SO,2006-01-23,35.23,35.35,35.0,35.0,1559900
SO,2006-01-24,35.58,35.69,35.14,35.22,2275300
SO,2006-01-25,35.35,35.84,35.0,35.57,3080400
SO,2006-01-26,35.13,35.63,34.77,35.5,4242100
SO,2006-01-27,35.27,35.64,34.952,35.0,3107800
SO,2006-01-30,35.09,35.17,34.88,35.0,3463600
SO,2006-01-31,34.8,35.22,34.69,35.14,4120599
SO,2006-02-01,34.7,34.85,34.44,34.68,4696700
SO,2006-02-02,33.75,34.4,33.48,34.34,3728500
SO,2006-02-03,33.42,33.808,33.29,33.72,2833700
SO,2006-02-06,33.45,33.57,33.23,33.27,1966100
SO,2006-02-07,33.34,33.45,33.02,33.4,2589000
SO,2006-02-08,33.28,33.33,33.1,33.25,1947700
SO,2006-02-09,33.38,33.66,33.28,33.37,2299400
SO,2006-02-10,33.43,33.69,33.27,33.36,1592200
SO,2006-02-13,33.56,33.61,33.35,33.36,1369600
SO,2006-02-14,33.57,33.7,33.25,33.53,1774700
SO,2006-02-15,33.44,33.81,33.19,33.57,2481000
SO,2006-02-16,33.8,33.8,33.34,33.35,1762300
SO,2006-02-17,33.86,34.07,33.55,33.75,1877800
SO,2006-02-20,33.86,34.07,33.55,33.75,0
SO,2006-02-21,33.96,34.12,33.8,33.8,1539500
SO,2006-02-22,34.11,34.19,33.95,33.99,1540200
SO,2006-02-23,34.01,34.22,33.84,34.01,1454300
SO,2006-02-24,34.13,34.2,33.95,34.06,1186100
SO,2006-02-27,34.16,34.32,34.03,34.12,2243900
SO,2006-02-28,34.03,34.3,33.92,34.12,2454700
SO,2006-03-01,34.1,34.1,33.9,34.03,3195300
SO,2006-03-02,33.84,34.02,33.45,34.02,3494600
SO,2006-03-03,33.82,33.97,33.53,33.77,3046100
SO,2006-03-06,33.3,33.97,33.05,33.97,2954400
SO,2006-03-07,33.33,33.39,33.06,33.19,1966400
SO,2006-03-08,33.36,33.67,32.81,33.33,2972800
SO,2006-03-09,33.17,33.45,33.15,33.36,1764700
SO,2006-03-10,33.27,33.53,33.03,33.15,2066900
SO,2006-03-13,33.29,33.51,33.23,33.39,1896600
SO,2006-03-14,33.63,33.67,33.1,33.32,2403100
SO,2006-03-15,33.73,33.8,33.38,33.55,1461400
SO,2006-03-16,33.83,34.1,33.73,33.79,1948700
SO,2006-03-17,33.8,34.03,33.75,34.0,2404400
SO,2006-03-20,33.54,33.98,33.44,33.88,1467600
SO,2006-03-21,33.43,33.65,33.21,33.65,1620700
SO,2006-03-22,33.38,33.48,33.26,33.37,1825300
SO,2006-03-23,33.23,33.5,33.14,33.5,2666200
SO,2006-03-24,33.07,33.28,32.95,33.15,2055000
SO,2006-03-27,33.01,33.1,32.89,33.07,1623100
SO,2006-03-28,32.69,32.96,32.62,32.94,2268400
SO,2006-03-29,32.93,33.09,32.61,32.75,2061799
SO,2006-03-30,32.37,32.99,32.34,32.85,2489700
SO,2006-03-31,32.77,33.0,32.37,32.77,3572000
SO,2006-04-03,32.55,33.09,32.5,32.77,2451400
SO,2006-04-04,32.67,32.76,32.34,32.6,3045300
SO,2006-04-05,33.12,33.13,32.47,32.75,3121600
SO,2006-04-06,32.5,33.25,32.5,33.12,3627600
SO,2006-04-07,31.96,32.53,31.7,32.46,4569300
SO,2006-04-10,31.85,32.23,31.8,32.1,1721700
SO,2006-04-11,31.5,31.9899,31.39,31.85,1947600
SO,2006-04-12,31.67,31.75,31.5,31.5,2608500
SO,2006-04-13,31.45,31.75,31.44,31.54,2063400
SO,2006-04-14,31.45,31.75,31.44,31.54,0
SO,2006-04-17,31.6,31.66,31.42,31.45,1795900
SO,2006-04-18,31.88,32.14,31.61,31.81,2937100
SO,2006-04-19,31.91,32.06,31.57,31.88,1737900
SO,2006-04-20,32.02,32.49,31.97,32.07,2186300
SO,2006-04-21,31.99,32.21,31.71,32.12,2335600
SO,2006-04-24,32.34,32.44,31.83,31.9,2663000
SO,2006-04-25,31.71,32.34,31.64,32.33,3153300
SO,2006-04-26,31.65,31.83,31.4,31.77,2935700
SO,2006-04-27,32.07,32.35,31.13,31.29,4345200
SO,2006-04-28,32.23,32.29,31.78,31.88,2961300
SO,2006-05-01,31.75,32.45,31.65,32.14,2059699
SO,2006-05-02,31.93,32.02,31.8,31.85,2055200
SO,2006-05-03,31.52,32.0,31.51,31.93,2082100
SO,2006-05-04,31.59,31.74,31.49,31.66,2562200
SO,2006-05-05,32.02,32.1,31.69,31.78,2338700
SO,2006-05-08,31.91,32.26,31.81,32.02,2826400
SO,2006-05-09,31.77,31.94,31.62,31.86,1596000
SO,2006-05-10,32.09,32.15,31.71,31.82,2316100
SO,2006-05-11,31.57,32.08,31.5,32.01,1717600
SO,2006-05-12,31.14,31.69,31.09,31.56,2345800
SO,2006-05-15,31.34,31.54,31.17,31.22,1973800
SO,2006-05-16,31.24,31.5,31.24,31.47,1447500
SO,2006-05-17,30.49,31.85,30.49,31.85,2979400
SO,2006-05-18,30.63,31.04,30.5,30.5,3119100
SO,2006-05-19,31.19,31.49,30.71,30.84,4004600
SO,2006-05-22,31.65,31.95,31.01,31.01,4378700
SO,2006-05-23,31.12,31.79,31.03,31.62,2138900
SO,2006-05-24,31.49,31.64,31.02,31.11,2893200
SO,2006-05-25,31.76,31.78,31.36,31.55,2061500
SO,2006-05-26,32.34,32.3509,31.61,31.89,2970700
SO,2006-05-29,32.34,32.3509,31.61,31.89,0
SO,2006-05-30,31.67,32.23,31.65,32.11,2887300
SO,2006-05-31,31.97,32.29,31.68,31.68,2474400
SO,2006-06-01,31.99,32.27,31.85,32.12,2876500
SO,2006-06-02,32.62,32.68,31.78,32.01,2554800
SO,2006-06-05,32.36,32.78,32.28,32.61,2301000
SO,2006-06-06,32.37,32.59,31.84,32.59,3364600
SO,2006-06-07,32.36,32.54,32.21,32.37,2252600
SO,2006-06-08,32.48,32.74,32.12,32.16,3467800
SO,2006-06-09,32.63,32.8,32.29,32.29,2115500
SO,2006-06-12,32.78,33.04,32.55,32.56,2280200
SO,2006-06-13,32.4,32.92,32.32,32.72,2926500
SO,2006-06-14,32.25,32.42,31.94,32.27,2473500
SO,2006-06-15,32.75,32.84,32.13,32.47,2048400
SO,2006-06-16,32.51,32.9,32.39,32.71,2321100
SO,2006-06-19,32.4,32.58,32.06,32.51,1950200
SO,2006-06-20,32.12,32.42,32.0,32.38,2585300
SO,2006-06-21,32.0,32.37,31.99,32.11,1964600
SO,2006-06-22,32.13,32.2,31.75,31.91,2050300
SO,2006-06-23,32.04,32.48,31.94,31.94,1543100
SO,2006-06-26,32.06,32.26,31.87,32.0,1627800
SO,2006-06-27,31.73,32.19,31.68,31.96,2945000
SO,2006-06-28,31.8,31.92,31.67,31.7,3130900
SO,2006-06-29,32.0,32.07,31.65,31.97,3957800
SO,2006-06-30,32.05,32.2,31.9,32.1,4780500
SO,2006-07-03,32.29,32.31,32.01,32.18,1205000
SO,2006-07-04,32.29,32.31,32.01,32.18,0
SO,2006-07-05,32.36,32.52,32.1,32.1,2685800
SO,2006-07-06,32.36,32.41,32.22,32.22,1888500
SO,2006-07-07,32.61,32.86,32.29,32.4,1919900
SO,2006-07-10,32.92,32.92,32.58,32.6,1169600
SO,2006-07-11,33.06,33.1,32.74,32.92,1905500
SO,2006-07-12,32.78,33.03,32.71,32.92,1943700
SO,2006-07-13,32.54,33.04,32.42,32.71,3011400
SO,2006-07-14,32.52,32.74,32.26,32.43,2301500
SO,2006-07-17,32.47,32.74,32.4,32.43,1719400
SO,2006-07-18,32.67,32.82,32.41,32.5,1850300
SO,2006-07-19,33.11,33.34,32.71,32.71,2427400
SO,2006-07-20,33.32,33.49,33.05,33.06,1919700
SO,2006-07-21,33.53,33.8,33.36,33.51,2722800
SO,2006-07-24,33.54,33.67,33.36,33.59,3540800
SO,2006-07-25,33.82,33.89,33.48,33.55,2039800
SO,2006-07-26,33.8,33.85,33.6,33.75,2799400
SO,2006-07-27,33.8,34.35,33.71,34.0,3049200
SO,2006-07-28,33.83,34.22,33.79,34.11,2611800
SO,2006-07-31,33.78,34.2,33.73,33.95,2442500
SO,2006-08-01,34.15,34.15,33.76,33.8,3326200
SO,2006-08-02,34.2,34.32,34.0,34.1,2338300
SO,2006-08-03,33.37,34.08,33.31,33.8,2517300
SO,2006-08-04,33.75,33.8,33.44,33.62,2728300
SO,2006-08-07,33.18,33.72,33.16,33.59,1649900
SO,2006-08-08,33.47,33.66,33.25,33.28,1762800
SO,2006-08-09,33.34,33.81,33.31,33.8,1302100
SO,2006-08-10,33.42,33.53,33.24,33.48,1882900
SO,2006-08-11,33.4,33.44,33.21,33.3,1874800
SO,2006-08-14,33.57,33.63,33.32,33.51,2142500
SO,2006-08-15,33.78,33.85,33.62,33.81,1677300
SO,2006-08-16,33.48,34.0,33.44,33.9,2122400
SO,2006-08-17,33.58,33.63,33.13,33.43,1815600
SO,2006-08-18,33.69,33.86,33.5,33.61,1595600
SO,2006-08-21,33.73,33.9,33.65,33.68,1869200
SO,2006-08-22,33.86,33.86,33.66,33.83,1587500
SO,2006-08-23,33.5,33.89,33.33,33.88,1339000
SO,2006-08-24,33.67,33.7,33.51,33.65,1639300
SO,2006-08-25,33.54,33.67,33.47,33.56,1094000
SO,2006-08-28,33.98,34.0,33.49,33.55,1979500
SO,2006-08-29,33.83,33.99,33.66,33.99,1998600
SO,2006-08-30,33.9,33.98,33.68,33.93,1484700
SO,2006-08-31,34.27,34.32,33.95,33.98,2159700
SO,2006-09-01,34.22,34.43,34.16,34.27,1942700
SO,2006-09-04,34.22,34.43,34.16,34.27,0
SO,2006-09-05,33.99,34.37,33.7,34.37,2741300
SO,2006-09-06,33.9,34.07,33.71,34.05,2545300
SO,2006-09-07,33.91,34.23,33.84,34.06,2385400
SO,2006-09-08,34.05,34.17,33.95,33.99,1609800
SO,2006-09-11,34.12,34.25,34.0,34.1,1951000
SO,2006-09-12,34.19,34.19,33.9,34.12,2552600
SO,2006-09-13,34.45,34.46,33.91,34.12,2644100
SO,2006-09-14,34.29,34.75,33.8,33.8,2698800
SO,2006-09-15,34.57,34.63,34.34,34.4,2895000
SO,2006-09-18,34.24,34.58,34.07,34.55,2214700
SO,2006-09-19,34.29,34.44,34.16,34.3,2259100
SO,2006-09-20,34.42,34.54,34.3,34.35,1702600
SO,2006-09-21,34.51,34.55,34.2,34.47,3230300
SO,2006-09-22,34.27,34.61,34.24,34.55,1967800
SO,2006-09-25,34.69,34.87,34.33,34.39,2285000
SO,2006-09-26,34.57,34.72,34.48,34.62,1478800
SO,2006-09-27,34.94,34.99,34.41,34.43,2126300
SO,2006-09-28,34.63,35.0,34.44,34.93,3815800
SO,2006-09-29,34.46,34.88,34.43,34.75,2783500
SO,2006-10-02,34.81,35.0,34.49,34.53,2019299
SO,2006-10-03,34.96,35.14,34.69,34.85,3205900
SO,2006-10-04,35.01,35.22,34.8,34.86,2888700
SO,2006-10-05,34.93,35.04,34.8,34.87,2185300
SO,2006-10-06,34.77,34.9,34.6,34.81,1736500
SO,2006-10-09,34.74,34.88,34.6,34.78,1092000
SO,2006-10-10,34.69,34.8,34.57,34.68,1813200
SO,2006-10-11,35.0,35.11,34.65,34.65,2321500
SO,2006-10-12,35.0,35.09,34.86,35.09,2101000
SO,2006-10-13,35.09,35.17,34.84,34.84,2195500
SO,2006-10-16,35.18,35.23,35.0,35.0,2004800
SO,2006-10-17,35.18,35.5,35.14,35.15,3434900
SO,2006-10-18,35.76,35.86,35.18,35.18,3036800
SO,2006-10-19,35.65,35.83,35.58,35.66,1380700
SO,2006-10-20,35.78,35.86,35.61,35.79,2205200
SO,2006-10-23,35.88,35.97,35.49,35.65,1979200
SO,2006-10-24,35.86,35.87,35.6,35.75,2043499
SO,2006-10-25,36.21,36.22,35.72,35.72,2624900
SO,2006-10-26,36.14,36.38,36.0,36.22,3046200
SO,2006-10-27,36.03,36.18,35.8199,35.86,3538400
SO,2006-10-30,36.22,36.22,35.89,36.0,2974300
SO,2006-10-31,36.4,36.6,36.2,36.2,4012400
SO,2006-11-01,36.61,36.73,36.23,36.27,2598000
SO,2006-11-02,36.04,36.21,35.81,35.97,2126500
SO,2006-11-03,35.77,35.99,35.58,35.9,2221100
SO,2006-11-06,35.69,35.78,35.41,35.75,2591900
SO,2006-11-07,35.66,35.86,35.54,35.69,1908400
SO,2006-11-08,35.93,36.08,35.6,35.75,2540600
SO,2006-11-09,35.81,35.99,35.78,35.88,1906000
SO,2006-11-10,36.07,36.18,35.92,35.95,1919300
SO,2006-11-13,36.03,36.19,35.96,36.08,1875300
SO,2006-11-14,36.21,36.22,35.8,36.03,1874400
SO,2006-11-15,36.08,36.25,36.01,36.24,1466400
SO,2006-11-16,36.13,36.44,36.11,36.25,1614700
SO,2006-11-17,36.18,36.23,36.0,36.02,2002300
SO,2006-11-20,36.14,36.3,35.795,36.09,2646100
SO,2006-11-21,36.12,36.29,36.05,36.19,1303700
SO,2006-11-22,36.12,36.25,36.02,36.08,1280300
SO,2006-11-23,36.12,36.25,36.02,36.08,0
SO,2006-11-24,36.14,36.23,36.03,36.03,624400
SO,2006-11-27,35.68,36.07,35.65,35.94,2029799
SO,2006-11-28,35.91,36.04,35.71,35.73,2958800
SO,2006-11-29,36.26,36.34,35.91,35.91,2098400
SO,2006-11-30,36.25,36.35,36.08,36.17,1547000
SO,2006-12-01,36.34,36.49,36.16,36.34,1969200
SO,2006-12-04,36.63,36.72,36.41,36.49,1859500
SO,2006-12-05,36.71,36.84,36.53,36.66,1832000
SO,2006-12-06,36.43,36.8,36.36,36.7,1996100
SO,2006-12-07,36.35,36.59,36.35,36.51,2313000
SO,2006-12-08,36.46,36.6,36.2,36.35,1780900
SO,2006-12-11,36.64,36.68,36.46,36.46,1285000
SO,2006-12-12,37.13,37.13,36.63,36.69,2829100
SO,2006-12-13,37.12,37.2,36.89,37.14,2270800
SO,2006-12-14,37.31,37.35,37.06,37.06,2261900
SO,2006-12-15,36.97,37.37,36.8,37.3,3487100
SO,2006-12-18,37.04,37.2,36.92,36.98,1672900
SO,2006-12-19,37.34,37.4,36.91,36.97,1602200
SO,2006-12-20,37.09,37.29,37.06,37.28,1030700
SO,2006-12-21,37.07,37.2,36.86,37.1,1521600
SO,2006-12-22,36.88,37.17,36.85,36.99,1478600
SO,2006-12-25,36.88,37.17,36.85,36.99,0
SO,2006-12-26,37.11,37.15,36.8,36.88,807500
SO,2006-12-27,37.2,37.3,37.04,37.17,1072000
SO,2006-12-28,36.9,37.26,36.84,37.08,1646800
SO,2006-12-29,36.86,37.07,36.79,36.94,1940900
SO,2007-01-01,36.86,37.07,36.79,36.94,0
SO,2007-01-02,36.86,37.07,36.79,36.94,0
SO,2007-01-03,36.98,37.25,36.78,36.8,2749400
SO,2007-01-04,37.0,37.15,36.79,36.85,2129200
SO,2007-01-05,36.44,36.95,36.38,36.9,3640000
SO,2007-01-08,36.54,36.68,36.3,36.46,3017800
SO,2007-01-09,36.64,36.8,36.45,36.55,2902500
SO,2007-01-10,36.57,36.74,36.45,36.61,2229500
SO,2007-01-11,36.72,36.86,36.57,36.62,2830200
SO,2007-01-12,36.25,36.83,36.14,36.72,3205200
SO,2007-01-15,36.25,36.83,36.14,36.72,0
SO,2007-01-16,36.47,36.67,36.27,36.31,3193000
SO,2007-01-17,36.71,36.72,36.42,36.56,1853100
SO,2007-01-18,36.63,36.75,36.61,36.75,1689300
SO,2007-01-19,36.73,36.84,36.61,36.74,3210100
SO,2007-01-22,36.64,36.84,36.62,36.81,2715800
SO,2007-01-23,36.72,36.75,36.52,36.63,1917600
SO,2007-01-24,36.76,36.84,36.62,36.64,2613300
SO,2007-01-25,36.75,36.98,36.6,36.6,3395700
SO,2007-01-26,36.39,36.65,36.11,36.6,4090499
SO,2007-01-29,36.25,36.41,36.1,36.3,3525000
SO,2007-01-30,36.22,36.39,36.15,36.35,2094700
SO,2007-01-31,36.53,36.61,36.14,36.26,3552300
SO,2007-02-01,36.33,36.52,36.15,36.26,3410500
SO,2007-02-02,36.3,36.52,36.09,36.52,1748700
SO,2007-02-05,36.41,36.58,36.2,36.3,5300300
