Symbol,Date,Close,High,Low,Open,Volume
SPGI,2006-01-02,51.63,52.39,51.63,52.36,0
SPGI,2006-01-03,51.82,52.04,51.21,51.71,1650200
SPGI,2006-01-04,51.63,52.16,51.59,51.73,1190800
SPGI,2006-01-05,51.58,52.48,51.43,52.48,990600
SPGI,2006-01-06,52.45,52.53,51.48,51.98,1280400
SPGI,2006-01-09,51.55,52.12,51.39,51.71,2132400
SPGI,2006-01-10,49.28,51.05,49.13,51.0,4100399
SPGI,2006-01-11,48.9,50.05,48.85,49.9,2834200
SPGI,2006-01-12,47.06,49.85,46.37,49.85,6262300
SPGI,2006-01-13,47.95,48.04,46.78,47.0,3194000
SPGI,2006-01-16,47.95,48.04,46.78,47.0,0
SPGI,2006-01-17,50.0,51.01,48.8,48.9,4415300
SPGI,2006-01-18,49.67,50.26,49.38,49.64,2112900
SPGI,2006-01-19,50.27,50.28,49.47,49.98,2074800
SPGI,2006-01-20,49.34,50.06,49.25,49.39,2246700
SPGI,2006-01-23,49.63,50.36,49.1,49.35,1800600
SPGI,2006-01-24,50.11,50.25,49.6,50.06,2099600
SPGI,2006-01-25,49.79,50.37,49.41,49.65,2485500
SPGI,2006-01-26,50.6,50.77,49.02,49.02,2519100
SPGI,2006-01-27,51.07,51.35,50.76,50.99,1814400
SPGI,2006-01-30,51.55,51.8,51.25,51.45,2030800
SPGI,2006-01-31,51.04,51.54,50.47,51.25,2825500
SPGI,2006-02-01,51.36,51.5,50.5,50.6,2305700
SPGI,2006-02-02,51.3,51.51,50.23,51.0,2181200
SPGI,2006-02-03,51.84,52.29,50.8,50.85,2449800
SPGI,2006-02-06,51.76,51.93,51.16,51.64,873400
SPGI,2006-02-07,51.65,51.95,51.01,51.4,1616300
SPGI,2006-02-08,52.47,52.88,51.39,51.39,2100100
SPGI,2006-02-09,53.45,53.6,52.29,52.48,2354700
SPGI,2006-02-10,53.43,53.88,52.76,53.35,2422900
SPGI,2006-02-13,53.38,53.66,53.25,53.63,1506000
SPGI,2006-02-14,54.16,54.3,52.8,53.15,1601600
SPGI,2006-02-15,54.57,54.96,53.26,53.26,1519000
SPGI,2006-02-16,55.0,55.3,54.09,54.37,1756500
SPGI,2006-02-17,54.76,55.01,54.6,55.0,1431700
SPGI,2006-02-20,54.76,55.01,54.6,55.0,0
SPGI,2006-02-21,54.35,54.86,54.237,54.76,990700
SPGI,2006-02-22,54.72,55.11,54.37,54.68,1259000
SPGI,2006-02-23,54.11,54.73,53.94,54.72,1249400
SPGI,2006-02-24,54.31,54.46,53.77,54.21,1047500
SPGI,2006-02-27,54.31,54.59,54.18,54.32,892100
SPGI,2006-02-28,53.09,54.34,53.08,54.07,1960700
SPGI,2006-03-01,54.28,54.28,53.06,53.34,1606500
SPGI,2006-03-02,54.32,54.46,53.49,54.0,1225500
SPGI,2006-03-03,54.43,54.95,53.77,53.86,1049700
SPGI,2006-03-06,54.59,54.98,54.354,54.48,1290700
SPGI,2006-03-07,54.95,54.95,54.5,54.5,1118200
SPGI,2006-03-08,54.94,54.99,54.03,54.03,1111200
SPGI,2006-03-09,54.89,55.11,54.7,54.94,1581200
SPGI,2006-03-10,54.9,55.1,54.67,54.7,1450100
SPGI,2006-03-13,55.35,55.44,54.9,54.95,949500
SPGI,2006-03-14,56.42,56.6,55.07,55.36,1273400
SPGI,2006-03-15,58.85,59.4,56.11,56.11,3456700
SPGI,2006-03-16,59.05,59.57,58.09,58.86,2308600
SPGI,2006-03-17,58.26,59.35,58.05,59.35,2212900
SPGI,2006-03-20,57.13,58.21,56.91,56.91,2170100
SPGI,2006-03-21,56.75,57.25,56.75,57.25,1704600
SPGI,2006-03-22,56.57,56.85,56.4,56.5,1612700
SPGI,2006-03-23,56.64,56.74,56.12,56.27,1287400
SPGI,2006-03-24,57.39,57.53,56.5,56.68,1220700
SPGI,2006-03-27,56.99,57.49,56.88,57.39,940600
SPGI,2006-03-28,56.64,57.08,56.35,56.39,1062800
SPGI,2006-03-29,57.18,57.4,56.63,56.85,1276100
SPGI,2006-03-30,57.16,57.32,56.76,56.76,1236500
SPGI,2006-03-31,57.62,57.92,57.17,57.45,1562000
SPGI,2006-04-03,57.51,58.3,57.31,57.62,1678800
SPGI,2006-04-04,57.84,58.05,57.45,57.61,1216200
SPGI,2006-04-05,57.88,58.09,57.4,57.7,2017900
SPGI,2006-04-06,58.3,58.4,57.45,57.75,2566700
SPGI,2006-04-07,58.17,58.5,57.97,58.15,1892800
SPGI,2006-04-10,58.18,58.32,57.81,58.27,2069000
SPGI,2006-04-11,57.42,58.07,57.29,57.89,2027299
