Symbol,Date,Close,High,Low,Open,Volume
SPY,2006-01-02,124.51,125.06,124.36,124.8,0
SPY,2006-01-03,126.7,127.0,124.39,125.19,73256700
SPY,2006-01-04,127.3,127.49,126.7,126.86,51899600
SPY,2006-01-05,127.38,127.59,126.88,127.15,47307500
SPY,2006-01-06,128.44,128.58,127.36,128.02,62885900
SPY,2006-01-09,128.77,129.06,128.38,128.42,43527400
SPY,2006-01-10,128.9,128.98,128.26,128.39,44960800
SPY,2006-01-11,129.31,129.44,128.73,129.02,49598900
SPY,2006-01-12,128.8,129.28,128.44,129.08,40509200
SPY,2006-01-13,128.68,128.9,128.2,128.57,44856700
SPY,2006-01-16,128.68,128.9,128.2,128.57,0
SPY,2006-01-17,128.33,128.42,127.81,128.2,52066600
SPY,2006-01-18,127.82,128.9,127.16,127.58,75067600
SPY,2006-01-19,128.31,128.77,127.81,128.13,81530400
SPY,2006-01-20,125.97,128.31,125.97,128.28,114957800
SPY,2006-01-23,126.42,126.82,126.13,126.21,67017399
SPY,2006-01-24,126.55,127.15,126.42,126.63,53008800
SPY,2006-01-25,126.66,127.18,125.84,127.04,87747700
SPY,2006-01-26,127.36,127.67,126.76,127.25,71294000
SPY,2006-01-27,128.54,128.66,127.45,127.66,65771199
SPY,2006-01-30,128.44,128.81,128.35,128.44,33709600
SPY,2006-01-31,127.5,128.54,127.49,128.32,72937000
SPY,2006-02-01,128.39,128.43,127.72,127.82,63561000
SPY,2006-02-02,126.9,128.14,126.8,128.1,83626900
SPY,2006-02-03,126.27,128.39,126.14,126.58,86040400
SPY,2006-02-06,126.6,126.8,126.17,126.44,45511900
SPY,2006-02-07,125.48,126.66,125.4,126.38,71208100
SPY,2006-02-08,126.62,128.1,125.6,125.85,59422200
SPY,2006-02-09,126.41,127.6,126.37,126.92,62023300
SPY,2006-02-10,126.64,127.13,125.45,126.43,64508700
SPY,2006-02-13,126.41,126.79,125.95,126.6,52308700
SPY,2006-02-14,127.75,128.03,123.64,126.46,90995296
SPY,2006-02-15,128.2,128.32,127.24,127.68,85471300
SPY,2006-02-16,129.16,129.21,128.18,128.34,61017900
SPY,2006-02-17,128.81,129.16,128.58,129.05,40342600
SPY,2006-02-20,128.81,129.16,128.58,129.05,0
