Symbol,Date,Close,High,Low,Open,Volume
STI,2006-01-02,72.76,72.98,72.22,72.6,0
STI,2006-01-03,74.03,74.13,72.23,73.01,1190200
STI,2006-01-04,74.82,74.82,73.7,73.85,1577200
STI,2006-01-05,74.75,74.8,73.86,74.7,1304800
STI,2006-01-06,74.99,75.0,74.08,75.0,964000
STI,2006-01-09,75.25,75.25,74.68,74.68,835100
STI,2006-01-10,74.94,74.99,74.41,74.87,704400
STI,2006-01-11,74.81,74.99,74.4,74.99,660200
STI,2006-01-12,73.88,74.51,73.88,74.47,959100
STI,2006-01-13,74.31,74.48,73.77,73.95,824900
STI,2006-01-16,74.31,74.48,73.77,73.95,0
STI,2006-01-17,73.74,73.78,73.23,73.69,1208300
STI,2006-01-18,73.27,74.02,72.9,73.49,1470400
STI,2006-01-19,72.17,73.23,71.85,73.23,1145500
STI,2006-01-20,70.4,72.27,70.14,72.27,2255800
STI,2006-01-23,70.9,71.19,70.23,70.43,1379400
STI,2006-01-24,71.02,71.65,70.8,70.9,971300
STI,2006-01-25,70.75,71.24,70.6,71.15,822000
STI,2006-01-26,71.65,71.99,71.32,71.45,1252500
STI,2006-01-27,71.75,71.75,71.5,71.5,1807800
STI,2006-01-30,71.75,71.88,71.15,71.5,1293300
STI,2006-01-31,71.45,71.89,71.27,71.75,1567000
STI,2006-02-01,71.0,71.33,70.35,71.0,1685000
STI,2006-02-02,70.59,70.74,70.2,70.6,1373700
STI,2006-02-03,70.34,70.84,69.77,70.25,1388900
STI,2006-02-06,70.56,70.63,69.81,70.08,874100
STI,2006-02-07,70.08,70.65,69.88,70.32,1376700
STI,2006-02-08,70.36,70.98,69.73,69.92,869600
STI,2006-02-09,70.43,70.99,70.0,70.33,1058300
STI,2006-02-10,70.45,70.54,69.68,70.17,1231200
STI,2006-02-13,70.4,70.47,70.0,70.0,1132900
STI,2006-02-14,71.03,71.9,70.26,70.4,1737700
STI,2006-02-15,71.14,71.59,70.74,70.9,1654300
STI,2006-02-16,71.49,71.6,70.75,71.02,1088100
STI,2006-02-17,71.06,71.41,70.86,71.24,1320200
STI,2006-02-20,71.06,71.41,70.86,71.24,0
STI,2006-02-21,70.8,71.38,70.68,71.2,771800
STI,2006-02-22,72.81,73.0,70.83,70.85,1569200
STI,2006-02-23,72.84,73.65,72.55,72.55,1274600
STI,2006-02-24,73.16,73.42,72.6,72.88,1356000
STI,2006-02-27,72.81,73.45,72.56,72.8,1380100
STI,2006-02-28,72.37,72.94,71.71,72.61,1615700
STI,2006-03-01,72.48,72.75,72.26,72.4,1047700
STI,2006-03-02,72.23,72.44,72.1,72.34,1034999
