Symbol,Date,Close,High,Low,Open,Volume
STT,2006-01-02,55.44,55.91,55.3,55.73,0
STT,2006-01-03,57.2,57.2,56.98,57.03,1486100
STT,2006-01-04,57.15,57.5,56.36,56.5,1993100
STT,2006-01-05,57.29,57.4,56.8,57.05,1354700
STT,2006-01-06,57.98,58.26,57.06,57.68,1155600
STT,2006-01-09,58.02,58.21,57.75,57.98,1079300
STT,2006-01-10,58.57,58.58,57.19,57.19,1435300
STT,2006-01-11,59.1,59.36,58.2,58.49,2035200
STT,2006-01-12,57.98,59.05,57.87,58.8,1658800
STT,2006-01-13,57.49,58.04,57.39,58.04,1297000
STT,2006-01-16,57.49,58.04,57.39,58.04,0
STT,2006-01-17,56.77,57.14,56.65,57.08,1043500
STT,2006-01-18,57.911,59.14,56.95,57.4,3175400
STT,2006-01-19,58.51,59.25,58.2,59.0,1966400
STT,2006-01-20,57.87,58.51,57.56,58.51,2197800
STT,2006-01-23,58.77,58.98,57.99,57.99,1874300
STT,2006-01-24,58.98,59.12,58.55,58.89,2089100
STT,2006-01-25,59.9,60.55,59.4,59.5,3012000
STT,2006-01-26,60.93,61.5,60.07,60.07,3640100
STT,2006-01-27,59.85,60.71,59.78,60.6,4062500
STT,2006-01-30,60.25,60.97,59.67,59.95,1657100
STT,2006-01-31,60.46,60.8,60.21,60.25,1421500
STT,2006-02-01,60.19,60.52,59.88,60.3,1888200
STT,2006-02-02,60.08,60.22,59.78,60.05,1214000
STT,2006-02-03,59.97,60.38,59.512,59.65,1496400
STT,2006-02-06,60.3,60.61,59.75,60.12,878200
STT,2006-02-07,59.9,60.31,59.76,60.05,1600200
STT,2006-02-08,60.19,60.68,59.69,60.42,1351900
STT,2006-02-09,59.94,60.59,59.85,60.15,1626800
STT,2006-02-10,60.12,60.26,59.53,59.87,1395100
STT,2006-02-13,59.25,60.4,59.12,60.0,1136600
STT,2006-02-14,60.72,60.86,59.34,59.4,1462900
STT,2006-02-15,60.8,61.66,60.47,60.6,2709600
STT,2006-02-16,61.4,61.63,60.4,60.85,1314400
STT,2006-02-17,61.56,61.83,61.13,61.5,1355000
STT,2006-02-20,61.56,61.83,61.13,61.5,0
STT,2006-02-21,61.19,61.82,61.1,61.52,1250200
STT,2006-02-22,62.95,63.18,61.3,61.3,1476600
STT,2006-02-23,62.47,63.0,62.2,62.52,1111000
STT,2006-02-24,62.61,62.83,62.17,62.4,956300
STT,2006-02-27,62.49,62.95,62.4,62.45,911100
STT,2006-02-28,62.48,62.68,62.1,62.18,1193700
STT,2006-03-01,62.42,62.98,62.28,62.5,1340200
STT,2006-03-02,62.66,62.9,61.89,62.02,1187500
STT,2006-03-03,62.25,62.79,62.12,62.4,1662000
STT,2006-03-06,61.45,62.18,61.4,62.1,781000
STT,2006-03-07,61.67,61.7,60.99,61.13,744800
STT,2006-03-08,61.84,61.99,61.29,61.64,1291100
STT,2006-03-09,61.85,62.2,61.77,61.86,1280600
STT,2006-03-10,61.45,62.02,60.94,61.9,1375000
STT,2006-03-13,61.19,62.34,61.04,61.7,1184800
STT,2006-03-14,61.79,61.95,60.91,61.05,1474300
STT,2006-03-15,61.89,61.97,61.34,61.7,928300
STT,2006-03-16,62.43,62.75,62.1,62.14,969100
STT,2006-03-17,62.77,63.73,62.75,62.87,2254100
STT,2006-03-20,62.93,63.13,62.55,62.74,767500
STT,2006-03-21,61.78,63.07,61.78,62.85,1329300
STT,2006-03-22,62.08,62.2,61.56,61.65,1020500
STT,2006-03-23,61.3,62.1,61.09,61.95,922100
STT,2006-03-24,61.33,61.81,60.86,61.13,883100
STT,2006-03-27,60.66,61.23,60.49,61.14,1569800
STT,2006-03-28,60.0,61.11,59.95,60.5,1186800
STT,2006-03-29,60.1,60.25,59.7,59.95,1099400
STT,2006-03-30,59.64,60.53,59.57,59.79,1027400
STT,2006-03-31,60.43,60.64,59.8,59.8,1226300
STT,2006-04-03,60.58,61.45,60.38,60.68,1235700
STT,2006-04-04,61.27,61.35,59.93,60.18,929700
STT,2006-04-05,61.02,61.4,60.78,61.15,882400
STT,2006-04-06,61.12,61.3688,60.74,61.02,643300
STT,2006-04-07,60.33,61.36,60.16,61.03,1079600
STT,2006-04-10,60.36,60.88,60.17,60.65,997200
STT,2006-04-11,59.4,60.51,59.12,60.45,1514800
STT,2006-04-12,59.0,59.57,58.86,59.3,1258900
STT,2006-04-13,59.2,59.26,58.5,58.75,854300
STT,2006-04-14,59.2,59.26,58.5,58.75,0
STT,2006-04-17,60.2,60.2,58.9,59.02,1779200
STT,2006-04-18,64.56,64.87,62.38,62.4,3774400
STT,2006-04-19,64.69,65.3,63.95,63.95,2014400
STT,2006-04-20,64.72,65.44,64.28,64.55,1305900
STT,2006-04-21,64.44,64.85,64.15,64.85,1350600
STT,2006-04-24,63.82,64.37,63.55,64.25,1528000
STT,2006-04-25,63.29,63.95,63.0,63.8,1263400
STT,2006-04-26,63.61,64.09,63.29,63.29,1184000
STT,2006-04-27,64.5,64.65,63.39,63.46,2377600
STT,2006-04-28,65.32,65.53,64.5,64.73,2045599
STT,2006-05-01,63.96,65.67,63.94,65.58,1778900
STT,2006-05-02,64.46,64.67,64.0,64.15,1509300
STT,2006-05-03,64.37,64.56,64.04,64.39,1552000
STT,2006-05-04,64.98,65.25,64.548,64.73,1050500
STT,2006-05-05,65.69,65.9,65.17,65.3,1290400
STT,2006-05-08,65.91,66.47,65.25,65.25,1030200
STT,2006-05-09,65.8,66.12,65.49,65.66,895900
STT,2006-05-10,65.9,66.06,65.46,65.89,1000999
STT,2006-05-11,64.1,65.87,63.96,65.83,1171400
STT,2006-05-12,63.45,64.64,63.38,64.1,1610300
STT,2006-05-15,63.62,64.29,63.11,63.51,1796500
STT,2006-05-16,63.43,63.71,63.23,63.64,924300
STT,2006-05-17,61.26,62.99,61.0,62.85,2320300
STT,2006-05-18,60.35,61.84,60.29,60.38,1791900
STT,2006-05-19,61.88,61.94,60.492,60.5,2334200
STT,2006-05-22,62.01,62.53,61.35,61.38,2065999
STT,2006-05-23,61.83,62.61,61.83,62.05,2040600
STT,2006-05-24,61.79,62.5,61.21,61.6,2218400
STT,2006-05-25,62.24,62.63,61.63,62.07,1395800
STT,2006-05-26,62.98,63.03,62.21,62.31,1202700
STT,2006-05-29,62.98,63.03,62.21,62.31,0
STT,2006-05-30,60.87,62.6,60.87,62.6,938200
STT,2006-05-31,62.1,62.16,61.12,61.2,1561300
STT,2006-06-01,62.68,62.77,62.1,62.1,1214100
STT,2006-06-02,63.35,63.51,62.46,63.25,1849300
STT,2006-06-05,61.74,63.25,61.68,63.25,965700
STT,2006-06-06,61.4,61.85,60.66,61.65,1591100
STT,2006-06-07,61.42,62.11,61.0,61.3,2010800
STT,2006-06-08,60.88,61.25,59.88,61.2,2339700
STT,2006-06-09,60.32,61.3,60.26,60.91,1294500
STT,2006-06-12,58.78,60.47,58.75,60.43,2341800
STT,2006-06-13,57.56,58.88,57.1,58.75,3775600
STT,2006-06-14,57.4,57.88,56.35,57.56,2385100
STT,2006-06-15,59.1,59.22,57.61,57.61,2343900
STT,2006-06-16,58.88,59.19,58.65,59.06,1558100
STT,2006-06-19,58.21,59.21,58.17,59.01,1135900
STT,2006-06-20,57.81,58.43,57.68,58.3,1405600
STT,2006-06-21,58.28,58.54,57.7,57.79,1699600
STT,2006-06-22,57.9,58.4,57.69,58.28,1491700
STT,2006-06-23,57.5,57.75,57.0,57.44,1450800
STT,2006-06-26,57.55,57.69,57.25,57.51,1286700
STT,2006-06-27,56.86,57.74,56.67,56.67,1422500
STT,2006-06-28,57.08,57.28,56.27,57.2,1424100
STT,2006-06-29,58.5,58.6,57.1,57.76,1819500
STT,2006-06-30,58.09,58.94,58.01,58.85,1819500
STT,2006-07-03,58.27,58.3,57.86,58.2,1076800
STT,2006-07-04,58.27,58.3,57.86,58.2,0
STT,2006-07-05,57.48,58.11,57.29,58.11,985700
STT,2006-07-06,56.9,57.8,56.66,57.46,1394000
STT,2006-07-07,56.29,56.97,56.17,56.75,1489400
STT,2006-07-10,56.34,56.89,56.31,56.5,1279100
STT,2006-07-11,56.46,56.51,55.74,56.25,1682300
STT,2006-07-12,56.09,56.82,56.07,56.46,1580300
STT,2006-07-13,54.49,55.65,54.39,55.6,2353100
STT,2006-07-14,54.9,55.04,54.48,54.8,2146600
STT,2006-07-17,55.9,56.12,54.48,54.8,3144200
STT,2006-07-18,56.31,58.5,55.61,57.39,4923800
STT,2006-07-19,58.7,58.94,56.56,56.56,2643400
STT,2006-07-20,57.76,59.08,57.76,58.8,1922200
STT,2006-07-21,56.81,57.8,56.0,57.76,2521000
STT,2006-07-24,58.48,58.65,57.15,57.29,1268100
STT,2006-07-25,59.26,59.5,58.03,58.36,1778800
STT,2006-07-26,58.94,59.46,58.8,59.2,1072300
STT,2006-07-27,58.56,59.45,58.47,59.13,808300
STT,2006-07-28,60.27,60.7,58.79,59.05,1546800
STT,2006-07-31,60.06,60.23,59.73,60.1,1148900
STT,2006-08-01,59.4,60.0,59.11,59.77,1239100
STT,2006-08-02,60.86,60.93,59.23,59.41,2497700
STT,2006-08-03,62.05,62.35,60.27,60.27,2322300
STT,2006-08-04,61.9,63.1,61.67,62.94,1642900
STT,2006-08-07,61.8,62.2,61.51,61.72,1035600
STT,2006-08-08,61.71,62.53,61.57,61.8,1834600
STT,2006-08-09,61.05,62.35,61.05,61.83,1906200
STT,2006-08-10,61.21,61.38,60.3,60.8,1060900
STT,2006-08-11,60.9,61.09,60.41,60.85,706500
STT,2006-08-14,61.18,62.17,61.09,61.15,1014200
STT,2006-08-15,62.23,62.23,61.61,61.9,1065700
STT,2006-08-16,62.0,62.73,61.76,62.37,1446400
STT,2006-08-17,62.1,62.19,61.55,61.65,863300
STT,2006-08-18,63.0,63.0,62.23,62.59,1036100
STT,2006-08-21,61.47,62.3,61.23,62.02,1412500
