Symbol,Date,Close,High,Low,Open,Volume
STX,2006-01-02,19.99,20.08,19.55,19.77,0
STX,2006-01-03,20.07,20.13,19.69,20.1,8193000
STX,2006-01-04,21.04,21.12,20.2,20.24,12421100
STX,2006-01-05,20.85,21.12,20.85,21.01,8583400
STX,2006-01-06,21.39,21.45,20.88,21.08,9809500
STX,2006-01-09,22.29,22.35,21.45,21.52,9617800
STX,2006-01-10,23.32,23.37,22.1,22.29,13356200
STX,2006-01-11,23.18,23.53,22.87,23.23,7377800
STX,2006-01-12,23.0,23.42,22.91,22.95,5023300
STX,2006-01-13,24.23,24.34,23.43,23.75,10274500
STX,2006-01-16,24.23,24.34,23.43,23.75,0
STX,2006-01-17,24.13,24.26,23.92,24.24,7296800
STX,2006-01-18,23.9627,24.92,23.62,24.0,11996500
STX,2006-01-19,25.59,26.72,25.55,26.25,23338000
STX,2006-01-20,25.0,26.0,24.91,25.8,9504400
STX,2006-01-23,25.57,25.91,24.93,25.09,7280000
STX,2006-01-24,26.39,26.47,25.95,25.95,8409000
STX,2006-01-25,25.63,26.05,25.3,25.99,9528000
STX,2006-01-26,26.2,26.55,25.71,26.07,7029300
STX,2006-01-27,26.12,26.74,25.9,26.55,5865200
STX,2006-01-30,25.66,26.23,25.52,26.15,5546800
STX,2006-01-31,26.08,26.22,25.5,25.6,7870500
STX,2006-02-01,26.02,26.13,25.64,25.65,4336000
STX,2006-02-02,25.63,25.91,25.5,25.9,3384800
STX,2006-02-03,25.51,25.82,25.21,25.63,3853600
STX,2006-02-06,24.95,25.78,24.6,25.57,4932600
STX,2006-02-07,24.35,25.06,24.23,25.0,6110300
STX,2006-02-08,24.89,24.96,24.6,24.7,4646200
STX,2006-02-09,25.06,25.65,25.04,25.15,5372100
STX,2006-02-10,25.17,25.17,24.52,25.06,3876000
STX,2006-02-13,25.96,26.15,25.07,25.17,6890000
STX,2006-02-14,26.04,26.4,25.99,26.05,9409900
STX,2006-02-15,26.5,26.91,26.1,26.45,16242200
STX,2006-02-16,26.8,26.98,26.0,26.57,6434700
STX,2006-02-17,27.29,27.4,26.71,26.8,6603800
STX,2006-02-20,27.29,27.4,26.71,26.8,0
STX,2006-02-21,27.2,27.46,27.0,27.45,4674200
STX,2006-02-22,26.41,27.2,26.29,27.1,6268800
STX,2006-02-23,25.39,26.78,25.21,26.16,7359700
STX,2006-02-24,25.55,25.87,25.4,25.45,6818500
STX,2006-02-27,26.0,26.59,25.75,25.75,3588700
STX,2006-02-28,26.57,26.84,26.09,26.16,6207500
STX,2006-03-01,27.25,27.3,26.36,26.72,4896000
STX,2006-03-02,27.7,27.74,27.0,27.29,5226100
STX,2006-03-03,28.08,28.11,27.46,27.6,7402800
STX,2006-03-06,27.52,28.1,27.25,28.08,6436800
STX,2006-03-07,26.15,27.05,25.54,27.05,14788200
STX,2006-03-08,24.86,25.98,24.65,25.9,13448700
STX,2006-03-09,24.5,25.52,24.5,25.2,12197700
STX,2006-03-10,24.28,24.7,23.39,24.56,11639200
STX,2006-03-13,23.92,24.93,23.29,24.35,9944300
STX,2006-03-14,24.7,24.87,23.7,23.92,6196300
STX,2006-03-15,25.46,25.55,25.05,25.18,7915000
STX,2006-03-16,24.66,25.75,24.64,25.75,4595600
STX,2006-03-17,24.73,25.0,24.03,24.64,7683600
STX,2006-03-20,25.0,25.22,24.72,24.73,4883700
STX,2006-03-21,24.94,25.49,24.75,25.01,5416200
STX,2006-03-22,24.01,24.5,23.7,24.5,11441100
STX,2006-03-23,24.22,24.5,23.9,24.45,5692400
STX,2006-03-24,24.47,24.48,24.2,24.26,3432600
STX,2006-03-27,24.14,24.61,24.05,24.55,4325900
STX,2006-03-28,24.08,24.49,23.99,24.1,4887100
STX,2006-03-29,25.49,25.69,24.27,24.28,7352700
STX,2006-03-30,26.33,26.48,25.43,25.55,7947900
STX,2006-03-31,26.33,26.9,26.11,26.5,6530400
STX,2006-04-03,26.22,26.6,26.0,26.33,4138400
STX,2006-04-04,27.69,27.74,26.88,26.88,10129500
STX,2006-04-05,27.25,27.62,26.71,27.15,14179200
STX,2006-04-06,27.12,27.36,26.78,27.25,4825600
STX,2006-04-07,27.2,27.48,26.88,27.3,4507100
STX,2006-04-10,26.45,27.17,26.18,27.0,4186200
STX,2006-04-11,26.4,26.45,25.91,26.3,4053099
STX,2006-04-12,26.69,27.21,26.4,26.45,5904800
STX,2006-04-13,26.2,26.7,25.95,26.7,5132800
STX,2006-04-14,26.2,26.7,25.95,26.7,0
STX,2006-04-17,26.85,26.9,26.25,26.26,4491700
STX,2006-04-18,27.52,27.68,26.95,26.95,7610300
STX,2006-04-19,25.75,26.05,25.24,25.9,20166100
STX,2006-04-20,25.4,25.9,25.12,25.52,7308600
STX,2006-04-21,25.1,25.51,24.8,25.3,7371800
STX,2006-04-24,24.97,24.98,24.77,24.95,4430300
STX,2006-04-25,25.33,25.5,24.83,24.99,4077700
STX,2006-04-26,24.88,25.48,24.8,25.43,2732800
STX,2006-04-27,25.97,26.34,24.62,24.88,6281300
STX,2006-04-28,26.56,27.1,26.15,26.39,5746400
STX,2006-05-01,26.7,26.9,26.21,26.56,5170200
STX,2006-05-02,26.75,26.95,26.4,26.92,3457300
STX,2006-05-03,26.5,27.25,26.1,26.96,5717200
STX,2006-05-04,26.33,26.66,26.24,26.5,4269600
STX,2006-05-05,26.48,26.63,26.36,26.5,2872400
STX,2006-05-08,26.6,26.74,26.27,26.4,3632500
STX,2006-05-09,26.48,26.75,26.21,26.73,2950900
STX,2006-05-10,25.73,26.48,25.72,26.01,5327800
STX,2006-05-11,24.6,25.73,24.36,25.72,8108300
STX,2006-05-12,24.09,24.61,23.72,24.3,8487600
STX,2006-05-15,23.8,24.57,23.68,24.09,5346200
STX,2006-05-16,23.25,23.8,23.11,23.8,7021000
STX,2006-05-17,23.58,23.67,22.62,23.25,6407000
STX,2006-05-18,24.06,24.51,23.65,23.65,6908100
STX,2006-05-19,24.95,25.36,24.03,24.07,10806600
STX,2006-05-22,24.91,25.1499,24.17,24.95,8718900
STX,2006-05-23,23.68,26.03,23.64,25.48,14494500
STX,2006-05-24,23.25,23.81,22.51,23.75,10745200
STX,2006-05-25,23.92,24.06,23.25,23.25,7526700
STX,2006-05-26,24.21,24.36,23.8,24.17,4216100
STX,2006-05-29,24.21,24.36,23.8,24.17,0
STX,2006-05-30,23.51,24.09,23.4,24.08,5965900
STX,2006-05-31,23.35,23.6,23.05,23.5,15697100
STX,2006-06-01,23.95,24.01,23.1,23.55,7137400
STX,2006-06-02,24.12,24.45,23.75,24.05,7048900
STX,2006-06-05,23.0,24.12,22.94,24.12,8982700
STX,2006-06-06,22.72,23.25,22.28,23.05,5355100
STX,2006-06-07,22.38,22.89,21.93,22.74,15570200
STX,2006-06-08,23.06,23.22,21.51,22.1,12913500
STX,2006-06-09,23.11,23.76,22.15,23.15,8738800
STX,2006-06-12,22.24,23.28,22.06,23.11,5230500
STX,2006-06-13,21.07,22.15,21.07,22.0,11035000
STX,2006-06-14,21.14,21.51,21.03,21.15,5357700
STX,2006-06-15,22.22,22.5,21.45,21.45,6012400
STX,2006-06-16,21.78,22.47,21.72,22.3,4865600
STX,2006-06-19,21.62,22.15,21.45,22.05,3179500
STX,2006-06-20,21.09,21.61,21.03,21.45,5049100
STX,2006-06-21,21.28,21.7,21.0,21.09,7253800
STX,2006-06-22,21.09,21.42,21.05,21.35,3111600
STX,2006-06-23,20.99,21.42,20.94,21.12,5372800
STX,2006-06-26,21.29,21.4,21.05,21.15,3141400
STX,2006-06-27,21.08,21.43,20.94,21.26,3729600
STX,2006-06-28,21.27,21.5,20.98,21.09,4236600
STX,2006-06-29,22.09,22.21,21.32,21.55,5270200
STX,2006-06-30,22.64,23.05,22.46,22.5,4866700
STX,2006-07-03,22.53,23.07,22.47,22.69,1811500
STX,2006-07-04,22.53,23.07,22.47,22.69,0
STX,2006-07-05,22.75,22.81,22.0,22.53,3957600
STX,2006-07-06,22.98,23.12,22.64,22.65,4679900
STX,2006-07-07,22.58,22.98,22.4,22.98,3234800
STX,2006-07-10,21.97,22.82,21.84,22.8,4308400
STX,2006-07-11,22.8,22.94,22.0,22.0,5124000
STX,2006-07-12,22.78,23.19,22.62,22.9,5603500
STX,2006-07-13,22.45,23.47,22.28,22.46,5637500
STX,2006-07-14,22.43,22.75,22.3,22.7,4829900
STX,2006-07-17,22.9,23.2,22.5,22.5,3998000
STX,2006-07-18,23.44,23.66,22.86,23.1,6833600
STX,2006-07-19,24.27,24.8,23.48,23.5,7331000
STX,2006-07-20,23.94,25.2,23.77,25.0,5923000
STX,2006-07-21,22.79,23.69,22.47,23.69,10183500
STX,2006-07-24,23.51,23.51,22.83,22.9,4705600
STX,2006-07-25,23.19,23.59,22.94,23.51,4396600
STX,2006-07-26,22.84,23.05,22.27,22.9,6746200
STX,2006-07-27,22.65,22.94,22.37,22.84,4516500
STX,2006-07-28,23.44,24.0,23.0,23.0,6150200
STX,2006-07-31,23.2,23.38,22.88,23.25,6152200
STX,2006-08-01,22.46,23.08,22.45,22.95,4404100
STX,2006-08-02,22.4,22.86,22.39,22.5,6094700
STX,2006-08-03,22.2,22.46,22.1,22.2,6038400
STX,2006-08-04,21.76,22.5999,21.76,22.25,7422600
STX,2006-08-07,21.45,21.99,21.44,21.77,6296800
STX,2006-08-08,20.7,21.59,20.7,21.52,11602700
STX,2006-08-09,19.95,20.35,19.15,19.2,20214100
STX,2006-08-10,20.17,20.23,19.7,19.9,9141700
STX,2006-08-11,20.3,20.3,19.95,20.01,5041200
STX,2006-08-14,20.32,20.74,20.07,20.2,6453900
STX,2006-08-15,20.75,20.77,19.95,20.55,12344700
STX,2006-08-16,21.73,21.74,20.72,20.72,8402900
STX,2006-08-17,21.39,21.79,21.16,21.73,7765200
STX,2006-08-18,21.34,21.4,20.91,21.3,5472700
STX,2006-08-21,21.25,21.27,20.98,21.0,3931300
STX,2006-08-22,20.92,21.3,20.81,21.28,3678300
STX,2006-08-23,20.52,21.32,20.25,20.92,6515900
STX,2006-08-24,20.41,20.62,20.13,20.53,4212700
STX,2006-08-25,20.56,20.82,20.21,20.46,2798000
STX,2006-08-28,20.91,20.91,20.54,20.56,3727900
STX,2006-08-29,21.17,21.17,20.89,21.0,5465800
STX,2006-08-30,22.0,22.02,21.03,21.25,5663800
STX,2006-08-31,22.25,22.33,21.83,21.9,5081200
STX,2006-09-01,22.59,22.9,22.2,22.75,6607800
STX,2006-09-04,22.59,22.9,22.2,22.75,0
STX,2006-09-05,22.23,22.5,21.64,22.5,8999400
STX,2006-09-06,20.42,21.4,20.42,21.4,9861900
STX,2006-09-07,20.06,20.47,19.69,20.4,8912500
STX,2006-09-08,20.05,20.44,19.97,20.27,5327900
STX,2006-09-11,20.38,20.49,20.02,20.1,3734800
STX,2006-09-12,20.92,21.0,20.42,20.46,5638800
STX,2006-09-13,21.14,21.35,21.0,21.02,4774700
STX,2006-09-14,22.18,22.2,20.75,21.19,7558600
STX,2006-09-15,22.09,22.4,21.4,22.03,11202800
STX,2006-09-18,22.21,22.87,21.92,22.1,9701300
STX,2006-09-19,22.47,22.8,22.12,22.65,8055400
STX,2006-09-20,22.99,23.0,22.67,22.72,6433900
STX,2006-09-21,22.82,22.93,22.5,22.83,7089700
STX,2006-09-22,22.52,22.79,22.3,22.77,5621600
STX,2006-09-25,22.6,22.67,22.29,22.45,5349200
STX,2006-09-26,22.49,22.64,22.28,22.49,6773500
STX,2006-09-27,23.05,23.46,22.5,22.52,7917100
STX,2006-09-28,23.0,23.29,22.74,23.25,5262700
STX,2006-09-29,23.09,23.44,22.86,22.9,4815200
STX,2006-10-02,22.93,23.2,22.71,22.89,5039000
