Symbol,Date,Close,High,Low,Open,Volume
STZ,2006-01-02,26.23,26.35,25.85,26.08,0
STZ,2006-01-03,25.99,26.37,25.77,26.35,1452300
STZ,2006-01-04,26.22,26.96,26.01,26.25,2344500
STZ,2006-01-05,25.05,25.8,24.6,25.5,5702000
STZ,2006-01-06,26.15,26.24,25.1,25.1,3443100
STZ,2006-01-09,26.17,26.33,25.73,25.9,1841800
STZ,2006-01-10,26.12,26.28,25.94,26.23,1141400
STZ,2006-01-11,26.17,26.4,26.05,26.2,1059000
STZ,2006-01-12,26.54,26.8,26.14,26.27,1014400
STZ,2006-01-13,26.15,26.67,24.85,25.74,1053600
STZ,2006-01-16,26.15,26.67,24.85,25.74,0
STZ,2006-01-17,26.16,26.36,25.84,26.0,1080000
STZ,2006-01-18,26.5,26.5,26.15,26.16,678400
STZ,2006-01-19,26.0,26.38,25.94,26.2,855400
STZ,2006-01-20,25.83,26.25,25.7,26.0,1204200
STZ,2006-01-23,26.22,26.24,25.82,25.82,1068600
STZ,2006-01-24,26.31,26.41,26.16,26.36,963700
STZ,2006-01-25,26.2,26.34,26.04,26.28,1115300
STZ,2006-01-26,26.2,26.41,26.03,26.4,584800
STZ,2006-01-27,26.22,26.28,26.0,26.15,902000
STZ,2006-01-30,26.34,26.55,26.12,26.21,609200
STZ,2006-01-31,26.69,26.8,26.28,26.45,1219400
STZ,2006-02-01,26.2,26.48,26.07,26.27,2354000
STZ,2006-02-02,26.31,26.48,26.2,26.3,993700
STZ,2006-02-03,26.32,26.39,26.12,26.25,640600
STZ,2006-02-06,26.25,26.45,26.2,26.38,550000
STZ,2006-02-07,26.33,26.43,26.02,26.29,678300
STZ,2006-02-08,26.25,26.37,25.99,26.28,937200
STZ,2006-02-09,26.1,26.35,26.04,26.32,1255400
STZ,2006-02-10,26.31,26.38,26.03,26.04,1594400
STZ,2006-02-13,26.9,26.96,26.27,26.35,1370400
STZ,2006-02-14,26.97,27.0,26.57,26.96,582600
STZ,2006-02-15,27.0,27.0,26.7,26.97,503100
STZ,2006-02-16,27.38,27.39,27.0,27.08,811100
STZ,2006-02-17,25.34,26.3,25.2,26.25,6147700
STZ,2006-02-20,25.34,26.3,25.2,26.25,0
STZ,2006-02-21,25.45,25.82,25.22,25.34,1614700
STZ,2006-02-22,25.82,25.84,25.56,25.65,1136900
STZ,2006-02-23,26.25,26.43,25.68,25.87,1065200
STZ,2006-02-24,26.16,26.35,26.06,26.3,820000
