Symbol,Date,Close,High,Low,Open,Volume
SYK,2006-01-02,44.43,44.7,44.29,44.35,0
SYK,2006-01-03,44.6,44.999,43.77,44.9,2148600
SYK,2006-01-04,45.37,45.49,44.42,44.58,1279300
SYK,2006-01-05,44.85,45.45,44.67,45.3,1443800
SYK,2006-01-06,45.14,45.33,44.6,45.05,1157700
SYK,2006-01-09,47.04,47.16,45.21,45.23,2207800
SYK,2006-01-10,46.9,47.0,46.21,46.99,1431500
SYK,2006-01-11,47.39,48.13,47.011,47.36,2021000
SYK,2006-01-12,46.4,47.35,46.32,47.14,1477600
SYK,2006-01-13,46.2,46.82,45.91,46.56,1209800
SYK,2006-01-16,46.2,46.82,45.91,46.56,0
SYK,2006-01-17,46.77,47.0,46.22,46.22,1312300
SYK,2006-01-18,47.32,47.798,46.67,46.77,1557800
SYK,2006-01-19,46.47,47.5,46.4,47.5,1191800
SYK,2006-01-20,45.22,46.47,45.03,46.4,1913300
SYK,2006-01-23,45.0,45.749,44.72,45.24,1501800
SYK,2006-01-24,44.12,44.92,43.8,44.72,3102600
SYK,2006-01-25,44.08,44.4,43.87,44.35,1890500
SYK,2006-01-26,44.33,45.05,43.95,44.65,2153000
SYK,2006-01-27,50.33,50.55,47.33,47.33,6945800
SYK,2006-01-30,50.16,50.9,49.73,50.33,2949600
SYK,2006-01-31,49.9,50.16,49.43,49.43,2081500
SYK,2006-02-01,48.49,50.0,48.24,49.73,2732200
SYK,2006-02-02,47.9,48.42,47.7,48.25,1632300
SYK,2006-02-03,47.05,48.04,46.97,47.8,1402800
SYK,2006-02-06,46.85,47.2,46.6,46.95,1242000
SYK,2006-02-07,47.22,48.18,46.88,47.15,2046500
SYK,2006-02-08,48.0,48.0,47.14,47.47,1460300
SYK,2006-02-09,47.8,48.22,47.39,48.0,1352800
SYK,2006-02-10,47.66,48.11,47.22,48.1,831300
SYK,2006-02-13,47.27,47.561,47.02,47.36,764800
SYK,2006-02-14,47.85,48.06,47.19,47.4,1168400
SYK,2006-02-15,47.77,48.14,47.33,47.88,909800
SYK,2006-02-16,48.25,48.43,47.64,47.9,972600
SYK,2006-02-17,48.42,48.61,47.92,48.1,1018600
SYK,2006-02-20,48.42,48.61,47.92,48.1,0
SYK,2006-02-21,47.1,48.31,46.99,48.3,979400
SYK,2006-02-22,47.22,47.49,47.03,47.25,983200
SYK,2006-02-23,47.08,47.4,46.7,47.07,1137200
SYK,2006-02-24,46.93,47.21,46.5,46.95,881900
SYK,2006-02-27,47.15,47.536,46.77,46.93,1165200
SYK,2006-02-28,46.22,47.01,45.75,46.9,1404800
SYK,2006-03-01,46.33,46.56,45.66,46.19,956400
SYK,2006-03-02,46.05,46.43,45.86,46.15,1082100
SYK,2006-03-03,46.2,46.87,45.69,45.87,965100
SYK,2006-03-06,45.6,46.389,45.53,46.1,855000
SYK,2006-03-07,45.81,46.09,45.26,45.59,746900
SYK,2006-03-08,45.92,45.99,45.15,45.6,701800
SYK,2006-03-09,45.45,46.0,45.3,45.9,1016100
SYK,2006-03-10,46.34,46.4,45.3,45.43,965100
SYK,2006-03-13,48.11,48.3,46.4,46.59,2148900
SYK,2006-03-14,48.92,49.17,48.05,48.5,1979500
SYK,2006-03-15,49.28,49.33,48.51,48.95,1544200
