Symbol,Date,Close,High,Low,Open,Volume
SYY,2006-01-02,31.05,31.26,30.94,31.12,0
SYY,2006-01-03,31.09,31.23,30.81,31.21,2074399
SYY,2006-01-04,31.11,31.48,31.03,31.05,2115900
SYY,2006-01-05,30.99,31.34,30.89,31.12,1745000
SYY,2006-01-06,31.25,31.36,30.88,30.99,1839800
SYY,2006-01-09,31.39,31.55,31.2,31.3,1727400
SYY,2006-01-10,31.14,31.55,30.99,31.44,2289200
SYY,2006-01-11,30.9,31.24,30.81,31.15,2144100
SYY,2006-01-12,30.78,31.04,30.74,30.8,2822300
SYY,2006-01-13,30.26,31.0,30.03,30.91,5680900
SYY,2006-01-16,30.26,31.0,30.03,30.91,0
SYY,2006-01-17,30.81,30.98,30.27,30.3,3882100
SYY,2006-01-18,30.89,30.97,30.65,30.7,2728100
SYY,2006-01-19,30.85,30.96,30.66,30.83,2099100
SYY,2006-01-20,30.4,30.82,30.3,30.77,2800000
SYY,2006-01-23,30.4,30.89,30.39,30.5,1811500
SYY,2006-01-24,30.33,30.6,30.15,30.35,2352300
SYY,2006-01-25,30.38,30.58,30.27,30.32,2311600
SYY,2006-01-26,30.41,30.8,30.35,30.5,2172900
SYY,2006-01-27,30.6,30.6,30.43,30.43,3086900
SYY,2006-01-30,32.47,32.72,30.931,31.0,7326700
SYY,2006-01-31,30.68,31.9,30.68,31.8,6090300
SYY,2006-02-01,30.8,30.92,30.5,30.6,3768200
SYY,2006-02-02,30.98,31.25,30.56,30.78,3491100
SYY,2006-02-03,30.11,31.089,30.01,30.85,3147100
SYY,2006-02-06,30.08,30.8,30.01,30.7,4047799
SYY,2006-02-07,30.6,30.81,30.13,30.17,4974700
SYY,2006-02-08,30.75,30.79,30.28,30.54,2626600
SYY,2006-02-09,30.48,30.75,30.34,30.75,2652700
SYY,2006-02-10,30.52,30.74,30.32,30.55,2173500
SYY,2006-02-13,30.5,30.65,30.38,30.57,1569900
SYY,2006-02-14,30.43,30.55,30.24,30.5,3930900
SYY,2006-02-15,30.2,30.48,30.13,30.37,2069799
SYY,2006-02-16,30.3,30.38,30.0,30.13,3628100
SYY,2006-02-17,30.02,30.37,30.02,30.31,2379600
SYY,2006-02-20,30.02,30.37,30.02,30.31,0
SYY,2006-02-21,29.79,30.16,29.75,30.12,2119100
SYY,2006-02-22,29.63,30.0,29.62,29.95,2059500
SYY,2006-02-23,29.98,30.4,29.73,29.73,2655000
SYY,2006-02-24,30.34,30.42,30.1,30.14,2351400
SYY,2006-02-27,30.39,30.5,30.22,30.34,2320900
SYY,2006-02-28,30.09,30.38,30.03,30.24,3636600
SYY,2006-03-01,29.96,30.18,29.92,30.02,3096200
SYY,2006-03-02,29.61,29.97,29.58,29.81,3529200
SYY,2006-03-03,29.81,29.95,29.42,29.5,2781500
SYY,2006-03-06,29.45,29.85,29.41,29.72,2316700
SYY,2006-03-07,29.75,29.78,29.11,29.55,2285000
SYY,2006-03-08,29.98,30.01,29.57,29.74,4254200
SYY,2006-03-09,30.0,30.34,29.82,29.99,3492400
SYY,2006-03-10,30.33,30.44,30.07,30.09,3198800
SYY,2006-03-13,30.43,30.48,30.2,30.34,2424200
SYY,2006-03-14,30.91,30.93,30.41,30.46,3603000
SYY,2006-03-15,31.05,31.06,30.64,30.82,3842500
SYY,2006-03-16,31.26,31.35,30.94,31.02,3528000
SYY,2006-03-17,31.54,31.64,31.39,31.55,3467700
SYY,2006-03-20,31.4,31.5,31.26,31.45,2303400
SYY,2006-03-21,31.29,31.5,31.24,31.4,1886800
SYY,2006-03-22,31.48,31.56,31.13,31.2,3281800
SYY,2006-03-23,32.36,32.48,32.02,32.1,5784300
SYY,2006-03-24,32.45,32.56,32.18,32.24,3927700
SYY,2006-03-27,32.22,32.39,32.01,32.35,2325200
SYY,2006-03-28,32.17,32.29,31.73,32.1,2410900
SYY,2006-03-29,32.17,32.22,32.04,32.05,2485400
SYY,2006-03-30,32.2,32.31,32.0,32.07,2841500
SYY,2006-03-31,32.05,32.19,31.95,32.1,3226400
SYY,2006-04-03,32.02,32.15,31.76,31.99,2932500
SYY,2006-04-04,31.74,32.14,31.7,32.12,3197100
SYY,2006-04-05,31.77,31.77,31.28,31.35,3045100
SYY,2006-04-06,31.43,31.68,31.27,31.65,1561200
SYY,2006-04-07,31.69,31.77,31.26,31.4,2985100
SYY,2006-04-10,31.52,31.71,31.36,31.63,2069000
SYY,2006-04-11,31.5,31.62,31.35,31.53,2159400
SYY,2006-04-12,31.6,31.65,31.46,31.5,2174600
SYY,2006-04-13,31.69,31.72,31.44,31.58,1607700
SYY,2006-04-14,31.69,31.72,31.44,31.58,0
SYY,2006-04-17,31.63,31.63,31.47,31.57,2073500
SYY,2006-04-18,31.79,31.9,31.56,31.6,1704600
SYY,2006-04-19,31.5,31.98,31.35,31.6,2418700
SYY,2006-04-20,31.27,31.68,31.22,31.39,2314600
SYY,2006-04-21,30.95,31.48,30.77,30.77,2519100
SYY,2006-04-24,30.76,30.93,30.67,30.8,2363800
SYY,2006-04-25,30.44,30.83,30.37,30.83,2828900
SYY,2006-04-26,30.34,30.77,30.29,30.55,1877700
SYY,2006-04-27,30.05,30.38,30.0,30.33,2763900
SYY,2006-04-28,29.89,30.29,29.83,30.05,2602800
SYY,2006-05-01,29.84,30.41,29.81,29.99,3357700
SYY,2006-05-02,29.52,29.74,29.46,29.6,3097800
SYY,2006-05-03,29.4,29.5,29.11,29.45,2632200
SYY,2006-05-04,29.25,29.49,29.18,29.32,2416400
SYY,2006-05-05,29.75,29.94,29.56,29.65,2596800
SYY,2006-05-08,29.66,29.95,29.6,29.75,1930600
SYY,2006-05-09,29.91,30.0,29.49,29.59,2133300
SYY,2006-05-10,30.2,30.267,29.744,29.78,2111800
SYY,2006-05-11,29.64,30.08,29.53,29.95,1798200
SYY,2006-05-12,29.67,29.79,29.49,29.61,2315300
SYY,2006-05-15,30.31,30.35,29.55,29.57,2196300
SYY,2006-05-16,30.15,30.5,29.95,30.5,2282900
SYY,2006-05-17,30.39,30.75,30.0,30.08,3765700
SYY,2006-05-18,30.52,30.83,30.41,30.57,2340200
SYY,2006-05-19,30.33,30.7,30.24,30.55,3758900
SYY,2006-05-22,30.56,30.74,30.21,30.3,2481400
SYY,2006-05-23,29.98,30.52,29.98,30.52,5698400
SYY,2006-05-24,30.65,30.75,29.91,29.95,3561600
SYY,2006-05-25,30.99,31.12,30.56,30.7,2507000
SYY,2006-05-26,31.15,31.24,30.79,31.01,1467800
SYY,2006-05-29,31.15,31.24,30.79,31.01,0
SYY,2006-05-30,30.76,31.0,30.658,30.97,2212600
SYY,2006-05-31,30.58,30.7,30.35,30.67,2237500
SYY,2006-06-01,30.61,30.65,30.4,30.5,1882300
SYY,2006-06-02,30.55,30.61,30.29,30.52,2097500
SYY,2006-06-05,29.96,30.6,29.94,30.5,2386500
SYY,2006-06-06,30.36,30.5,29.97,30.1,3024200
SYY,2006-06-07,30.62,30.99,30.3,30.32,2073000
SYY,2006-06-08,30.83,30.91,30.41,30.7,2709100
SYY,2006-06-09,30.56,30.83,30.39,30.7,2091800
SYY,2006-06-12,30.23,30.66,30.17,30.64,1517200
SYY,2006-06-13,30.06,30.38,29.97,30.23,1855700
SYY,2006-06-14,29.97,30.19,29.74,30.15,1612200
SYY,2006-06-15,30.27,30.37,29.7,29.85,1887800
SYY,2006-06-16,30.44,30.7401,30.23,30.28,2312800
SYY,2006-06-19,29.95,30.47,29.85,30.46,1389200
SYY,2006-06-20,30.15,30.27,29.83,29.83,1720800
SYY,2006-06-21,30.24,30.34,29.85,30.14,1757600
SYY,2006-06-22,30.24,30.28,29.9,30.12,1727000
SYY,2006-06-23,30.31,30.38,30.04,30.14,1357900
SYY,2006-06-26,30.4,30.47,30.17,30.2,2049700
SYY,2006-06-27,30.28,30.47,30.15,30.42,2728500
SYY,2006-06-28,30.31,30.44,30.01,30.4,2546000
SYY,2006-06-29,30.32,30.46,30.13,30.35,3242300
SYY,2006-06-30,30.56,30.69,30.26,30.31,2394800
SYY,2006-07-03,30.7,30.76,30.51,30.52,605600
SYY,2006-07-04,30.7,30.76,30.51,30.52,0
SYY,2006-07-05,30.6,30.76,30.3601,30.52,1654700
SYY,2006-07-06,30.65,30.75,30.54,30.6,1123800
SYY,2006-07-07,30.63,30.81,30.5,30.51,1306000
SYY,2006-07-10,30.7,30.85,30.53,30.6,1311800
SYY,2006-07-11,31.07,31.1,30.55,30.8,1673300
SYY,2006-07-12,30.97,31.17,30.8,30.9,1982000
SYY,2006-07-13,30.67,31.1,30.5,30.94,1904400
SYY,2006-07-14,30.22,30.88,30.06,30.61,1927200
SYY,2006-07-17,30.09,30.3,29.96,30.14,1455500
SYY,2006-07-18,29.88,30.18,29.32,30.06,2363300
SYY,2006-07-19,29.88,30.25,29.8,29.97,1796300
SYY,2006-07-20,29.62,30.15,29.61,29.84,2387400
SYY,2006-07-21,29.4,29.65,28.99,29.65,2603900
SYY,2006-07-24,29.52,29.58,29.23,29.4,1663300
SYY,2006-07-25,29.31,29.53,29.03,29.3,1549300
SYY,2006-07-26,28.54,29.2,28.36,29.11,2942100
SYY,2006-07-27,27.47,28.0,26.5,28.0,6846600
SYY,2006-07-28,27.88,28.0,27.39,27.4,2510700
SYY,2006-07-31,27.6,27.9,27.59,27.88,2370500
SYY,2006-08-01,27.5,27.57,27.3,27.32,1807800
SYY,2006-08-02,27.8,27.88,27.48,27.49,2307900
SYY,2006-08-03,26.91,27.81,26.88,27.73,4142900
SYY,2006-08-04,27.15,27.21,26.79,26.91,3722700
SYY,2006-08-07,27.74,27.78,27.15,27.17,3570900
SYY,2006-08-08,27.68,28.05,27.62,27.9,3732400
SYY,2006-08-09,27.66,28.24,27.6,27.78,2566900
SYY,2006-08-10,28.02,28.38,27.62,27.7,2081799
SYY,2006-08-11,27.96,28.33,27.81,27.89,1627600
SYY,2006-08-14,28.21,28.44,27.77,28.0,2602500
SYY,2006-08-15,28.55,28.55,27.73,28.25,1902500
SYY,2006-08-16,29.25,29.25,28.85,28.85,2664800
SYY,2006-08-17,29.81,30.0,29.4,29.48,3483500
SYY,2006-08-18,29.89,30.0,29.83,29.9,2429800
SYY,2006-08-21,30.06,30.1,29.81,29.9,2632400
SYY,2006-08-22,30.34,30.39,30.06,30.2,2281100
SYY,2006-08-23,30.41,30.46,30.21,30.38,1959900
SYY,2006-08-24,30.53,30.64,30.2201,30.42,2089500
SYY,2006-08-25,30.38,30.6,30.03,30.39,2061300
SYY,2006-08-28,30.7,30.84,30.1,30.38,2567100
SYY,2006-08-29,31.03,31.15,30.66,30.75,1595100
SYY,2006-08-30,31.57,31.67,31.0,31.0,3142300
SYY,2006-08-31,31.39,31.62,31.34,31.5,2524100
SYY,2006-09-01,31.64,32.06,31.41,31.55,2126300
SYY,2006-09-04,31.64,32.06,31.41,31.55,0
SYY,2006-09-05,31.51,31.8,31.44,31.6,3402200
SYY,2006-09-06,31.7,31.74,31.51,31.55,2098700
SYY,2006-09-07,31.73,31.81,31.49,31.73,1580800
SYY,2006-09-08,31.91,31.92,31.68,31.75,1688100
SYY,2006-09-11,32.7,32.71,31.65,31.77,3095800
SYY,2006-09-12,33.15,33.2,32.58,32.75,2624400
SYY,2006-09-13,33.38,33.5,33.1,33.4,2408600
SYY,2006-09-14,33.37,33.56,33.21,33.25,1660700
SYY,2006-09-15,33.78,33.81,33.26,33.49,2480400
SYY,2006-09-18,33.19,33.6876,33.12,33.53,3120400
SYY,2006-09-19,33.55,33.61,32.7501,32.9,2237900
SYY,2006-09-20,33.92,33.96,33.55,33.55,1717400
SYY,2006-09-21,33.33,34.0,32.527,33.91,2365500
SYY,2006-09-22,33.4,33.5,33.04,33.27,1544000
SYY,2006-09-25,33.51,33.6,33.19,33.36,1457000
SYY,2006-09-26,34.0,34.07,33.3,33.32,1669900
SYY,2006-09-27,33.83,34.15,33.8,33.95,1775400
SYY,2006-09-28,33.49,33.9,33.29,33.81,3105800
SYY,2006-09-29,33.45,33.65,33.16,33.26,2206500
SYY,2006-10-02,32.65,33.439,32.38,33.4,3453900
SYY,2006-10-03,32.99,33.25,32.59,32.67,3021200
SYY,2006-10-04,32.98,33.17,32.52,32.7,2468400
SYY,2006-10-05,32.59,32.98,32.59,32.77,2502300
SYY,2006-10-06,32.74,32.8,32.35,32.39,1839400
SYY,2006-10-09,32.97,33.03,32.49,32.59,1194600
SYY,2006-10-10,33.08,33.19,32.79,33.1,1460400
SYY,2006-10-11,32.83,33.1,32.81,33.03,1552300
SYY,2006-10-12,33.32,33.44,33.03,33.03,1285100
SYY,2006-10-13,32.86,33.35,32.76,33.35,1213700
SYY,2006-10-16,33.24,33.28,32.5,32.67,1316100
SYY,2006-10-17,33.37,33.42,33.06,33.07,1421000
SYY,2006-10-18,33.25,33.49,33.19,33.43,1280200
SYY,2006-10-19,32.71,33.28,32.35,32.39,1928400
SYY,2006-10-20,33.33,33.34,32.5,32.86,1947900
SYY,2006-10-23,33.31,33.4,32.86,32.99,2038500
SYY,2006-10-24,34.04,34.17,33.32,33.39,3610400
SYY,2006-10-25,34.06,34.11,33.89,33.99,2454700
SYY,2006-10-26,34.35,34.37,33.88,34.06,2928200
SYY,2006-10-27,34.28,34.49,34.15,34.38,2367800
SYY,2006-10-30,34.58,34.63,33.96,34.37,3300400
SYY,2006-10-31,34.98,35.0,34.45,34.55,3309900
SYY,2006-11-01,35.11,35.38,34.725,34.98,3005500
SYY,2006-11-02,35.27,35.33,34.76,34.82,2933400
SYY,2006-11-03,34.99,35.35,34.91,35.33,1944400
SYY,2006-11-06,35.1,35.15,34.78,34.99,2023299
SYY,2006-11-07,34.94,35.16,34.89,35.05,1932900
SYY,2006-11-08,35.52,35.79,34.88,34.88,2101500
SYY,2006-11-09,34.99,35.52,34.93,35.47,2549300
SYY,2006-11-10,34.96,35.06,34.71,35.06,2126000
SYY,2006-11-13,34.96,35.11,34.74,34.82,1186600
SYY,2006-11-14,35.05,35.3,34.95,34.96,2261300
SYY,2006-11-15,35.71,35.77,35.05,35.05,2158200
SYY,2006-11-16,35.35,35.7,35.19,35.64,2148400
SYY,2006-11-17,35.18,35.45,35.07,35.31,1603900
SYY,2006-11-20,35.77,35.88,35.15,35.22,2140000
SYY,2006-11-21,35.08,35.6,35.06,35.54,1510300
SYY,2006-11-22,35.83,35.97,35.07,35.16,2513000
SYY,2006-11-23,35.83,35.97,35.07,35.16,0
SYY,2006-11-24,35.54,35.68,35.52,35.56,468900
SYY,2006-11-27,35.0,35.55,34.93,35.54,1861000
SYY,2006-11-28,36.0,36.46,34.85,34.85,3672700
SYY,2006-11-29,36.16,36.25,35.76,35.9,1805200
SYY,2006-11-30,35.85,36.15,35.78,35.99,1983700
SYY,2006-12-01,35.78,36.0,35.54,35.95,1513900
SYY,2006-12-04,36.42,36.5,35.214,35.92,1578300
SYY,2006-12-05,36.14,36.36,36.05,36.36,1748300
SYY,2006-12-06,36.57,36.7,36.21,36.27,1591000
SYY,2006-12-07,36.37,36.93,36.31,36.39,1608200
SYY,2006-12-08,36.43,36.75,36.27,36.3,1149000
SYY,2006-12-11,36.12,36.41,36.1,36.25,1647200
SYY,2006-12-12,36.25,36.37,35.7,35.83,1935700
SYY,2006-12-13,36.28,36.54,36.2,36.29,1712300
SYY,2006-12-14,36.44,36.55,36.0,36.22,1621900
SYY,2006-12-15,36.24,36.64,36.1,36.58,2310900
SYY,2006-12-18,36.26,36.42,36.04,36.34,1315100
SYY,2006-12-19,36.38,36.69,36.16,36.32,1707800
SYY,2006-12-20,36.01,36.4,35.98,36.28,1542000
SYY,2006-12-21,36.47,36.6,36.13,36.17,1928100
SYY,2006-12-22,36.65,36.82,36.17,36.42,1435000
SYY,2006-12-25,36.65,36.82,36.17,36.42,0
SYY,2006-12-26,36.69,36.77,36.42,36.52,881600
SYY,2006-12-27,36.95,37.0,36.8,36.83,1022899
SYY,2006-12-28,36.87,37.0,36.85,36.96,1459200
SYY,2006-12-29,36.76,37.04,36.67,36.75,1573300
SYY,2007-01-01,36.76,37.04,36.67,36.75,0
SYY,2007-01-02,36.76,37.04,36.67,36.75,0
SYY,2007-01-03,36.08,36.49,35.17,35.2,4094299
SYY,2007-01-04,36.0,36.08,35.85,35.95,2094800
SYY,2007-01-05,35.89,36.072,35.76,36.0,1933500
SYY,2007-01-08,35.58,35.82,35.18,35.69,2868800
SYY,2007-01-09,35.79,35.98,35.46,35.7,2831200
SYY,2007-01-10,35.7,35.82,35.46,35.58,1820500
SYY,2007-01-11,35.94,36.1,35.55,35.7,1845500
SYY,2007-01-12,35.51,35.87,35.36,35.76,2473400
SYY,2007-01-15,35.51,35.87,35.36,35.76,0
SYY,2007-01-16,35.74,35.79,35.2,35.2,2640600
SYY,2007-01-17,35.74,35.93,35.61,35.72,1542100
SYY,2007-01-18,36.05,36.33,35.8,36.0,2421900
SYY,2007-01-19,36.22,36.44,36.14,36.22,2169400
SYY,2007-01-22,36.24,36.24,36.11,36.15,1643800
SYY,2007-01-23,36.18,36.41,36.06,36.11,1796300
SYY,2007-01-24,36.72,36.74,36.14,36.18,1740800
SYY,2007-01-25,36.35,36.68,36.27,36.63,1828500
SYY,2007-01-26,36.1,36.49,36.02,36.47,2451200
SYY,2007-01-29,34.02,36.0675,33.96,35.88,6501600
SYY,2007-01-30,34.34,34.34,33.8,34.14,5181600
SYY,2007-01-31,34.55,34.67,34.1,34.14,3225700
SYY,2007-02-01,34.77,34.88,34.32,34.55,3673900
SYY,2007-02-02,35.1,35.23,34.72,34.8,2163300
SYY,2007-02-05,34.78,34.99,34.47,34.89,1810900
SYY,2007-02-06,34.9,35.0,34.6,34.67,1716800
SYY,2007-02-07,34.36,34.97,34.17,34.9,2710700
SYY,2007-02-08,34.2,34.46,34.15,34.42,2429600
SYY,2007-02-09,33.98,34.3,33.9,34.14,2016600
SYY,2007-02-12,34.15,34.37,34.1,34.2,2264310
SYY,2007-02-13,34.27,34.27,34.1,34.1,2110360
SYY,2007-02-14,34.34,34.58,34.25,34.25,2263021
SYY,2007-02-15,34.43,34.54,34.24,34.25,1437400
SYY,2007-02-16,34.67,34.85,34.28,34.28,2174000
SYY,2007-02-19,34.67,34.85,34.28,34.28,0
SYY,2007-02-20,35.07,35.12,34.71,34.73,1820900
SYY,2007-02-21,34.46,35.0,34.42,34.82,2658200
SYY,2007-02-22,33.77,34.59,33.77,34.42,2872300
SYY,2007-02-23,33.75,34.1,33.58,33.85,2620900
SYY,2007-02-26,33.58,33.85,33.35,33.75,2548968
SYY,2007-02-27,32.61,33.59,32.29,33.45,4339900
SYY,2007-02-28,32.96,33.18,32.46,32.56,3222400
SYY,2007-03-01,32.71,32.96,32.2,32.6,2760923
SYY,2007-03-02,32.0,32.68,31.88,32.68,4272600
SYY,2007-03-05,31.78,32.24,31.73,32.0,2959823
SYY,2007-03-06,31.68,32.04,31.58,31.92,4122200
SYY,2007-03-07,31.73,31.86,31.59,31.67,3375200
SYY,2007-03-08,31.99,32.07,31.79,31.97,4350500
SYY,2007-03-09,32.21,32.3,31.97,32.05,2182500
SYY,2007-03-12,32.25,32.32,31.98,32.07,1498400
SYY,2007-03-13,31.67,32.18,31.62,32.1,2358600
SYY,2007-03-14,32.2,32.24,31.34,31.85,3250600
SYY,2007-03-15,32.55,32.67,32.15,32.25,2558850
SYY,2007-03-16,32.44,32.91,32.31,32.71,2954200
SYY,2007-03-19,32.72,32.84,32.45,32.52,1831700
SYY,2007-03-20,32.57,32.76,32.47,32.66,1817700
SYY,2007-03-21,32.88,33.0,32.42,32.64,1668800
SYY,2007-03-22,32.66,33.25,32.07,32.98,4181834
SYY,2007-03-23,32.96,33.03,32.64,32.64,1931110
SYY,2007-03-26,33.67,34.04,32.89,32.91,3714100
SYY,2007-03-27,33.45,33.54,33.1,33.41,3077898
SYY,2007-03-28,33.47,33.74,33.35,33.42,3201600
SYY,2007-03-29,33.74,33.78,33.48,33.7,3058500
SYY,2007-03-30,33.83,34.13,33.61,33.77,2876000
SYY,2007-04-02,33.7,33.92,33.52,33.81,2348900
SYY,2007-04-03,33.81,33.85,33.11,33.64,1646700
SYY,2007-04-04,33.42,33.92,33.36,33.75,2229592
SYY,2007-04-05,33.25,33.4,33.12,33.31,1766300
SYY,2007-04-06,33.25,33.4,33.12,33.31,0
SYY,2007-04-09,33.44,33.51,33.13,33.23,1443100
