Symbol,Date,Close,High,Low,Open,Volume
TAP,2006-01-02,33.495,33.545,33.37,33.45,0
TAP,2006-01-03,33.575,33.7,33.225,33.5,620800
TAP,2006-01-04,33.425,33.625,33.335,33.575,602800
TAP,2006-01-05,33.5,33.5,33.385,33.385,791600
TAP,2006-01-06,34.0,34.035,33.49,33.495,650000
TAP,2006-01-09,34.41,34.43,33.92,33.92,635800
TAP,2006-01-10,34.275,34.39,34.045,34.36,345600
TAP,2006-01-11,34.62,34.775,34.43,34.5,785600
TAP,2006-01-12,34.34,34.585,34.075,34.585,465200
TAP,2006-01-13,34.425,34.475,34.335,34.445,504399
TAP,2006-01-16,34.425,34.475,34.335,34.445,0
TAP,2006-01-17,33.305,34.255,33.105,34.25,1941800
TAP,2006-01-18,33.48,33.535,32.6,33.305,1865600
TAP,2006-01-19,32.47,32.72,32.28,32.605,2148800
TAP,2006-01-20,32.53,32.73,32.41,32.49,1353000
TAP,2006-01-23,32.16,32.69,32.075,32.53,1240600
TAP,2006-01-24,31.615,32.27,31.6,32.135,2024400
TAP,2006-01-25,31.405,31.9,31.34,31.9,1790200
TAP,2006-01-26,31.175,31.62,31.105,31.525,2305200
TAP,2006-01-27,31.32,31.35,30.905,30.95,1439800
TAP,2006-01-30,31.18,31.4,31.08,31.255,1338600
TAP,2006-01-31,31.25,31.425,31.2,31.25,939200
TAP,2006-02-01,31.285,31.5,31.18,31.255,970000
TAP,2006-02-02,31.375,31.475,31.04,31.285,1146800
TAP,2006-02-03,31.27,31.41,31.225,31.38,804800
TAP,2006-02-06,31.285,31.46,31.185,31.3,753400
TAP,2006-02-07,31.385,31.505,31.22,31.345,681000
TAP,2006-02-08,31.735,31.805,31.325,31.38,916600
TAP,2006-02-09,31.5,31.91,30.375,30.75,6090200
TAP,2006-02-10,31.615,31.715,31.5,31.5,1080600
TAP,2006-02-13,31.73,31.78,31.515,31.62,444400
TAP,2006-02-14,31.85,31.87,31.55,31.625,702600
TAP,2006-02-15,31.76,31.865,31.6,31.865,724600
TAP,2006-02-16,31.645,31.845,31.56,31.75,452200
TAP,2006-02-17,31.62,31.705,31.4,31.635,737800
