Symbol,Date,Close,High,Low,Open,Volume
TD,2006-01-02,26.35,26.44,26.125,26.3,0
TD,2006-01-03,26.775,26.87,26.225,26.295,201200
TD,2006-01-04,27.23,27.28,26.78,26.81,188200
TD,2006-01-05,26.71,26.94,26.61,26.88,213000
TD,2006-01-06,26.675,26.795,26.51,26.6,152200
TD,2006-01-09,26.59,26.715,26.355,26.43,154000
TD,2006-01-10,26.555,26.615,26.32,26.515,117400
TD,2006-01-11,26.525,26.775,26.5,26.7,157000
TD,2006-01-12,26.43,26.745,26.415,26.5,114800
TD,2006-01-13,26.37,26.675,26.3,26.435,149200
TD,2006-01-16,26.37,26.675,26.3,26.435,0
TD,2006-01-17,26.37,26.72,26.3,26.62,162800
TD,2006-01-18,25.945,26.07,25.745,26.015,114200
TD,2006-01-19,25.98,26.035,25.765,25.92,88800
TD,2006-01-20,26.27,26.44,26.15,26.18,145000
TD,2006-01-23,26.555,26.685,26.2,26.2,171800
TD,2006-01-24,26.665,26.775,26.3705,26.375,183600
TD,2006-01-25,26.505,26.83,26.435,26.68,136200
TD,2006-01-26,26.42,26.635,26.295,26.575,131400
TD,2006-01-27,26.545,26.545,26.435,26.545,106200
TD,2006-01-30,26.525,26.72,26.45,26.48,125400
TD,2006-01-31,26.57,26.72,26.475,26.525,169200
TD,2006-02-01,26.695,26.805,26.49,26.635,143400
TD,2006-02-02,26.72,26.835,26.505,26.69,175200
TD,2006-02-03,26.71,26.75,26.445,26.61,140000
TD,2006-02-06,26.765,26.825,26.585,26.725,72600
TD,2006-02-07,26.55,26.695,26.5,26.675,208200
TD,2006-02-08,26.5,26.69,26.4,26.585,108800
TD,2006-02-09,26.955,27.0,26.625,26.625,148800
TD,2006-02-10,27.065,27.07,26.745,26.94,125400
TD,2006-02-13,27.16,27.24,26.9,27.025,219200
TD,2006-02-14,27.465,27.575,27.125,27.125,222800
TD,2006-02-15,27.54,27.66,27.325,27.53,116400
TD,2006-02-16,27.565,27.695,27.515,27.55,129800
TD,2006-02-17,27.75,27.795,27.57,27.605,296600
TD,2006-02-20,27.75,27.795,27.57,27.605,0
TD,2006-02-21,27.82,27.8695,27.715,27.845,86000
TD,2006-02-22,28.065,28.065,27.695,27.695,118800
TD,2006-02-23,28.185,28.405,28.09,28.19,142800
TD,2006-02-24,28.365,28.485,28.11,28.215,148600
TD,2006-02-27,28.81,28.85,28.445,28.445,142200
TD,2006-02-28,28.72,28.9,28.535,28.83,192400
TD,2006-03-01,28.715,28.85,28.66,28.75,116400
TD,2006-03-02,28.885,29.035,28.81,28.81,146400
TD,2006-03-03,28.88,28.955,28.62,28.75,130600
TD,2006-03-06,28.865,28.925,28.625,28.865,179400
TD,2006-03-07,28.47,28.63,28.3,28.63,156400
