Symbol,Date,Close,High,Low,Open,Volume
TIF,2006-01-02,38.29,38.84,38.29,38.74,0
TIF,2006-01-03,38.78,38.91,37.92,38.51,1079300
TIF,2006-01-04,38.21,38.62,37.87,38.52,1661300
TIF,2006-01-05,38.57,38.74,38.14,38.21,1321500
TIF,2006-01-06,38.95,39.01,38.35,38.8,1001800
TIF,2006-01-09,39.95,40.42,38.3,38.99,1976700
TIF,2006-01-10,41.09,41.22,39.63,39.76,3201700
TIF,2006-01-11,40.52,41.29,40.16,41.0,1533000
TIF,2006-01-12,39.88,40.65,39.47,40.1,1499800
TIF,2006-01-13,39.89,40.08,39.75,40.08,1065100
TIF,2006-01-16,39.89,40.08,39.75,40.08,0
TIF,2006-01-17,39.61,39.89,39.53,39.63,1038500
TIF,2006-01-18,39.51,39.88,39.09,39.29,890800
TIF,2006-01-19,39.77,39.95,39.33,39.56,628600
TIF,2006-01-20,39.45,41.12,39.37,39.95,2755000
TIF,2006-01-23,38.28,39.33,38.17,39.15,1518900
TIF,2006-01-24,37.92,38.58,37.72,38.25,2184500
TIF,2006-01-25,38.01,38.32,37.87,38.1,1426100
TIF,2006-01-26,38.36,38.5,38.1,38.16,1505900
TIF,2006-01-27,38.32,38.59,38.0,38.29,1061900
TIF,2006-01-30,38.2,38.82,38.01,38.3,795100
TIF,2006-01-31,37.7,38.2,37.47,38.05,1628800
TIF,2006-02-01,37.32,37.43,37.05,37.35,2176300
TIF,2006-02-02,37.04,37.4,36.91,37.08,1602500
TIF,2006-02-03,36.37,36.94,36.3,36.85,2317000
TIF,2006-02-06,36.21,36.55,35.95,36.41,1686800
TIF,2006-02-07,36.19,36.68,36.12,36.26,1050600
TIF,2006-02-08,35.53,36.18,35.18,36.15,2649700
TIF,2006-02-09,35.83,36.33,35.65,35.78,2029000
TIF,2006-02-10,36.36,36.42,35.85,35.96,1920900
TIF,2006-02-13,36.31,36.45,36.14,36.38,872300
TIF,2006-02-14,36.78,36.85,35.95,36.25,2142300
TIF,2006-02-15,37.3,37.4,36.34,36.6,1169600
TIF,2006-02-16,37.44,37.5,37.12,37.25,708100
TIF,2006-02-17,37.2,37.7,37.08,37.59,970500
