Symbol,Date,Close,High,Low,Open,Volume
TJX,2006-01-02,11.615,11.68,11.49,11.49,0
TJX,2006-01-03,11.575,11.615,11.285,11.6,5685400
TJX,2006-01-04,12.16,12.22,11.5615,11.575,16061599
TJX,2006-01-05,12.1,12.34,12.003,12.225,11480000
TJX,2006-01-06,12.26,12.275,12.11,12.225,9039600
TJX,2006-01-09,12.465,12.5,12.2,12.305,7112400
TJX,2006-01-10,12.5,12.5,12.425,12.465,6590400
TJX,2006-01-11,12.59,12.74,12.48,12.5,6520800
TJX,2006-01-12,12.47,12.635,12.405,12.55,5401200
TJX,2006-01-13,12.45,12.545,12.355,12.49,3909000
TJX,2006-01-16,12.45,12.545,12.355,12.49,0
TJX,2006-01-17,12.31,12.405,12.245,12.36,3402600
TJX,2006-01-18,12.29,12.49,12.1985,12.24,4198400
TJX,2006-01-19,12.305,12.365,12.23,12.325,3002800
TJX,2006-01-20,12.09,12.4,12.06,12.375,4201000
TJX,2006-01-23,11.98,12.2,11.75,11.75,3384200
TJX,2006-01-24,12.115,12.235,12.0,12.075,5613600
TJX,2006-01-25,12.29,12.325,12.12,12.175,3567600
TJX,2006-01-26,12.3,12.475,12.23,12.39,4448200
TJX,2006-01-27,12.49,12.49,12.275,12.275,8839200
TJX,2006-01-30,12.425,12.545,12.42,12.475,4484600
TJX,2006-01-31,12.765,12.816,12.54,12.615,7313000
TJX,2006-02-01,12.645,12.745,12.5,12.74,5169600
TJX,2006-02-02,12.86,12.895,12.625,12.715,6234800
TJX,2006-02-03,12.365,12.795,12.345,12.75,6353800
TJX,2006-02-06,12.58,12.615,12.365,12.365,3397600
TJX,2006-02-07,12.395,12.7,12.315,12.525,4094400
TJX,2006-02-08,12.41,12.495,12.275,12.495,8379600
TJX,2006-02-09,12.255,12.43,12.23,12.365,5257000
TJX,2006-02-10,12.22,12.335,12.14,12.225,5785000
TJX,2006-02-13,12.235,12.265,12.17,12.18,5216800
TJX,2006-02-14,12.305,12.32,12.19,12.235,5152800
TJX,2006-02-15,12.45,12.455,12.255,12.305,7499600
TJX,2006-02-16,12.5,12.52,12.45,12.515,6725600
TJX,2006-02-17,12.225,12.505,12.205,12.505,3554000
TJX,2006-02-20,12.225,12.505,12.205,12.505,0
TJX,2006-02-21,12.255,12.445,12.235,12.25,6392000
TJX,2006-02-22,12.225,12.38,11.975,12.0,7362800
TJX,2006-02-23,12.165,12.375,12.15,12.23,4336000
TJX,2006-02-24,12.07,12.17,11.905,12.17,5262600
TJX,2006-02-27,12.35,12.395,12.1,12.1,3697800
TJX,2006-02-28,12.245,12.41,12.19,12.275,3959400
TJX,2006-03-01,12.255,12.33,12.15,12.25,3151800
TJX,2006-03-02,12.135,12.27,12.06,12.15,4578200
TJX,2006-03-03,12.105,12.28,12.03,12.085,3387400
TJX,2006-03-06,12.02,12.12,11.93,12.1,1964600
TJX,2006-03-07,12.115,12.115,11.955,12.025,4752400
TJX,2006-03-08,12.39,12.43,12.05,12.05,7726200
TJX,2006-03-09,12.43,12.475,12.29,12.39,6326000
TJX,2006-03-10,12.53,12.555,12.4,12.425,4138600
TJX,2006-03-13,12.53,12.595,12.5,12.51,2323000
TJX,2006-03-14,12.645,12.66,12.48,12.51,2680600
TJX,2006-03-15,12.68,12.715,12.63,12.675,4909000
TJX,2006-03-16,12.69,12.715,12.64,12.675,3672600
TJX,2006-03-17,12.765,12.825,12.7,12.725,7094000
TJX,2006-03-20,12.835,12.86,12.755,12.765,4213400
TJX,2006-03-21,12.965,13.0,12.75,12.845,6013400
TJX,2006-03-22,12.935,13.0,12.745,12.925,5483000
TJX,2006-03-23,12.96,13.14,12.945,12.99,7468400
TJX,2006-03-24,12.645,12.93,12.585,12.915,7162000
TJX,2006-03-27,12.605,12.8,12.555,12.595,5699800
TJX,2006-03-28,12.455,12.6,12.445,12.6,6008600
TJX,2006-03-29,12.655,12.655,12.43,12.5,5331000
TJX,2006-03-30,12.545,12.71,12.525,12.61,5055800
TJX,2006-03-31,12.41,12.655,12.395,12.55,7820800
TJX,2006-04-03,12.195,12.465,12.055,12.405,10933600
TJX,2006-04-04,12.24,12.385,12.15,12.18,13139200
TJX,2006-04-05,12.19,12.28,12.16,12.225,5217000
TJX,2006-04-06,12.29,12.32,12.15,12.19,7316200
TJX,2006-04-07,12.235,12.36,12.14,12.295,4916800
TJX,2006-04-10,12.205,12.25,12.14,12.22,6469200
TJX,2006-04-11,12.11,12.205,12.09,12.2,5496200
TJX,2006-04-12,12.105,12.195,12.065,12.125,3580400
TJX,2006-04-13,12.115,12.175,12.075,12.105,2699800
TJX,2006-04-14,12.115,12.175,12.075,12.105,0
TJX,2006-04-17,11.995,12.14,11.975,12.085,3876200
TJX,2006-04-18,12.21,12.245,12.005,12.005,2533600
TJX,2006-04-19,12.225,12.255,12.105,12.18,2640600
TJX,2006-04-20,12.28,12.375,12.165,12.195,1831400
