Symbol,Date,Close,High,Low,Open,Volume
TMO,2006-01-02,30.13,30.57,30.08,30.55,0
TMO,2006-01-03,30.28,30.4,29.95,30.4,932700
TMO,2006-01-04,30.51,30.65,30.21,30.23,764400
TMO,2006-01-05,30.43,30.52,30.17,30.25,386900
TMO,2006-01-06,30.44,30.78,30.27,30.66,884600
TMO,2006-01-09,31.12,31.21,30.35,30.35,640600
TMO,2006-01-10,31.16,31.25,30.59,31.0,849800
TMO,2006-01-11,31.49,31.62,31.25,31.31,629700
TMO,2006-01-12,31.44,31.45,31.1,31.39,719100
TMO,2006-01-13,32.05,32.07,31.401,31.44,1296400
TMO,2006-01-16,32.05,32.07,31.401,31.44,0
TMO,2006-01-17,31.97,32.08,31.74,32.0,921500
TMO,2006-01-18,32.05,32.1,31.6,31.87,812800
TMO,2006-01-19,32.5,32.56,32.02,32.08,778500
TMO,2006-01-20,32.01,32.51,31.91,32.5,605900
TMO,2006-01-23,32.27,32.38,32.1,32.1,687100
TMO,2006-01-24,33.08,33.3,32.46,32.49,1246700
TMO,2006-01-25,33.17,33.36,33.08,33.3,875700
TMO,2006-01-26,33.13,33.37,32.98,33.35,1099300
TMO,2006-01-27,33.33,33.33,33.17,33.17,1040999
TMO,2006-01-30,33.34,33.67,33.02,33.23,790400
TMO,2006-01-31,33.64,33.65,32.67,33.2,793700
TMO,2006-02-01,33.6,33.64,32.97,33.55,1110300
TMO,2006-02-02,34.67,34.95,34.19,34.75,1847500
TMO,2006-02-03,34.88,35.2,34.66,34.84,1053300
TMO,2006-02-06,34.15,34.67,33.9,34.55,1526000
TMO,2006-02-07,33.22,34.04,33.13,33.96,1550000
TMO,2006-02-08,33.99,34.08,33.28,33.35,1054100
TMO,2006-02-09,34.08,34.18,33.7,34.0,590900
TMO,2006-02-10,34.09,34.29,33.72,34.08,388000
TMO,2006-02-13,33.84,34.27,33.75,34.06,634700
TMO,2006-02-14,34.43,34.46,33.72,33.75,455200
TMO,2006-02-15,33.97,34.25,33.831,34.25,1023200
TMO,2006-02-16,34.1,34.25,33.97,33.98,644300
TMO,2006-02-17,34.16,34.62,33.94,34.15,598300
TMO,2006-02-20,34.16,34.62,33.94,34.15,0
TMO,2006-02-21,33.86,34.39,33.73,34.29,295700
TMO,2006-02-22,34.62,34.66,34.09,34.14,565500
