Symbol,Date,Close,High,Low,Open,Volume
TMUS,2007-04-19,54.8,55.22,49.0,50.2,15887800
TMUS,2007-04-20,57.1,57.6,54.2,54.8,3054450
TMUS,2007-04-23,57.5,57.88,56.58,57.2,1619200
TMUS,2007-04-24,58.4,58.8,57.02,57.02,1532950
TMUS,2007-04-25,57.22,59.5,57.02,59.1,1226100
TMUS,2007-04-26,56.4,58.58,54.6,58.5,621050
TMUS,2007-04-27,57.0,57.0,56.4,56.4,178150
TMUS,2007-04-30,56.1,57.92,56.0,56.96,182500
TMUS,2007-05-01,55.8,57.0,55.6,56.0,459200
TMUS,2007-05-02,56.32,57.24,55.52,55.6,428500
TMUS,2007-05-03,57.3,57.4,56.12,56.3,154900
TMUS,2007-05-04,58.2,58.2,57.54,57.54,139850
TMUS,2007-05-07,58.14,58.2,57.0,57.4,293300
TMUS,2007-05-08,58.6,58.8,58.0,58.36,259600
TMUS,2007-05-09,61.7,62.54,58.58,58.94,445450
TMUS,2007-05-10,60.82,61.7,59.46,61.7,562800
TMUS,2007-05-11,61.82,63.22,61.4,61.7,646250
TMUS,2007-05-14,63.84,64.0,62.0,63.0,390700
TMUS,2007-05-15,68.42,69.4,67.38,68.0,1205700
TMUS,2007-05-16,68.72,69.78,68.3,69.5,214950
TMUS,2007-05-17,72.8,73.36,68.876,68.9,591400
TMUS,2007-05-18,73.16,74.5,71.5,73.0,905000
TMUS,2007-05-21,69.08,73.78,67.08,73.36,708885
TMUS,2007-05-22,67.42,70.0,63.68,69.6,1950650
TMUS,2007-05-23,67.16,69.74,67.0,68.5,620950
TMUS,2007-05-24,67.86,69.0,67.4,67.56,600050
TMUS,2007-05-25,70.02,70.4,67.7,67.86,346100
TMUS,2007-05-28,70.02,70.4,67.7,67.86,0
TMUS,2007-05-29,67.8,72.28,67.1,72.28,442850
TMUS,2007-05-30,71.64,71.74,67.32,67.94,431600
TMUS,2007-05-31,71.32,74.0,70.6,71.9,531800
TMUS,2007-06-01,73.18,73.48,71.1,71.16,396150
TMUS,2007-06-04,73.36,73.36,70.3,72.86,286800
TMUS,2007-06-05,70.52,73.9,70.44,73.18,431100
TMUS,2007-06-06,67.78,69.6,66.34,69.42,641050
TMUS,2007-06-07,65.06,68.64,65.0,68.5,612905
TMUS,2007-06-08,65.1,66.0,64.24,65.4,241350
TMUS,2007-06-11,67.54,68.5,65.8,66.04,403250
TMUS,2007-06-12,66.24,67.44,65.0,66.8,539980
TMUS,2007-06-13,67.58,67.7,65.0,65.0,314600
TMUS,2007-06-14,65.86,68.34,65.12,68.0,547800
TMUS,2007-06-15,71.7,71.7,66.0,66.0,936150
TMUS,2007-06-18,71.24,73.7,69.62,71.62,795650
TMUS,2007-06-19,67.98,71.6,67.74,71.6,429850
TMUS,2007-06-20,65.28,68.14,65.12,67.82,597800
TMUS,2007-06-21,67.96,67.96,65.74,65.74,380400
TMUS,2007-06-22,67.66,68.0,65.56,66.74,894200
TMUS,2007-06-25,70.0,70.1,66.88,67.54,223600
TMUS,2007-06-26,69.52,69.9,67.5,69.62,264750
TMUS,2007-06-27,69.7,70.62,68.32,69.52,272400
TMUS,2007-06-28,67.3,69.86,67.3,69.86,213300
TMUS,2007-06-29,66.08,68.16,65.8,67.34,333700
TMUS,2007-07-02,66.06,67.0,65.92,66.12,184650
TMUS,2007-07-03,68.68,69.3,66.06,66.06,177500
TMUS,2007-07-04,68.68,69.3,66.06,66.06,0
TMUS,2007-07-05,68.38,69.04,67.1,68.96,103550
TMUS,2007-07-06,70.34,70.4,68.32,68.7,329050
TMUS,2007-07-09,70.36,71.56,68.54,70.06,307600
TMUS,2007-07-10,71.22,72.0,69.76,69.9,185550
TMUS,2007-07-11,72.34,72.98,70.98,71.66,350200
TMUS,2007-07-12,74.32,75.4,72.54,72.54,261400
TMUS,2007-07-13,75.14,75.14,72.6,72.6,189000
TMUS,2007-07-16,76.72,78.8,74.42,75.14,267150
TMUS,2007-07-17,80.66,80.8,75.9,75.96,754550
TMUS,2007-07-18,78.64,80.66,76.2,80.66,610750
TMUS,2007-07-19,79.1,80.04,78.3,78.96,226150
TMUS,2007-07-20,78.74,81.74,78.1,79.2,278200
TMUS,2007-07-23,78.02,80.58,77.38,79.4,139300
TMUS,2007-07-24,75.5,77.42,74.74,77.1,389650
TMUS,2007-07-25,71.28,76.66,71.04,75.8,120450
TMUS,2007-07-26,70.9,72.6,68.9202,71.28,1040149
TMUS,2007-07-27,70.4,72.58,68.24,70.68,510349
TMUS,2007-07-30,74.58,76.64,72.04,72.5,566700
TMUS,2007-07-31,73.24,76.74,72.06,74.58,436700
TMUS,2007-08-01,73.7,75.14,71.16,73.84,321850
TMUS,2007-08-02,78.4,78.4,73.4,73.4,625250
TMUS,2007-08-03,62.32,77.96,58.2,77.96,3253325
TMUS,2007-08-06,61.18,66.8,60.24,63.2,1530400
TMUS,2007-08-07,64.0,64.7,61.28,61.6,1174350
TMUS,2007-08-08,63.52,64.5,49.5,58.0,3642850
TMUS,2007-08-09,55.98,63.52,54.5,63.52,714000
TMUS,2007-08-10,55.0,58.26,50.5,56.0,701100
TMUS,2007-08-13,57.66,59.0,56.38,56.38,485100
TMUS,2007-08-14,55.48,57.78,55.24,57.66,414550
TMUS,2007-08-15,51.58,56.12,50.7,56.12,437966
TMUS,2007-08-16,48.3,51.52,46.5,51.52,1001649
TMUS,2007-08-17,52.36,56.06,50.56,52.0,929000
TMUS,2007-08-20,51.4,52.88,48.02,52.5,340950
TMUS,2007-08-21,51.18,52.0,49.52,51.24,521000
TMUS,2007-08-22,51.08,52.38,50.56,51.4,382400
TMUS,2007-08-23,51.06,51.5,48.9,51.5,519950
TMUS,2007-08-24,56.7,57.32,50.866,50.9,818300
TMUS,2007-08-27,61.34,61.98,55.96,56.0,607555
TMUS,2007-08-28,59.86,61.9,58.34,60.5,569900
TMUS,2007-08-29,56.6,60.18,55.44,60.12,680800
TMUS,2007-08-30,53.86,56.4,53.14,55.76,590400
TMUS,2007-08-31,54.58,55.76,54.48,54.84,285900
TMUS,2007-09-03,54.58,55.76,54.48,54.84,0
TMUS,2007-09-04,57.3,58.96,54.7,57.0,3609093
TMUS,2007-09-05,57.78,58.96,56.0,58.2,985300
TMUS,2007-09-06,56.18,58.54,56.0,58.4,616550
TMUS,2007-09-07,54.44,56.3,52.4,56.2,897400
TMUS,2007-09-10,53.5,57.5,53.02,57.5,374700
TMUS,2007-09-11,53.3,54.02,52.36,53.9,723250
TMUS,2007-09-12,52.04,53.5,52.04,53.5,928850
TMUS,2007-09-13,49.58,52.94,49.26,52.54,2917500
TMUS,2007-09-14,50.2,50.7,48.0,49.6,1052100
TMUS,2007-09-17,50.38,50.9,48.96,50.9,723050
TMUS,2007-09-18,50.92,51.44,50.4,50.4,1176500
TMUS,2007-09-19,51.3,52.86,50.54,50.92,1163300
TMUS,2007-09-20,52.88,53.68,51.38,51.4,603700
TMUS,2007-09-21,53.0,54.14,51.96,53.18,1086050
TMUS,2007-09-24,53.42,53.72,52.64,53.0,704400
TMUS,2007-09-25,54.36,54.7,52.58,53.4,703950
TMUS,2007-09-26,53.98,54.6,53.02,54.06,338650
TMUS,2007-09-27,55.06,55.68,54.0,54.14,422850
TMUS,2007-09-28,54.56,55.36,53.82,55.06,399600
TMUS,2007-10-01,54.48,55.3,53.5,53.8,333600
TMUS,2007-10-02,55.7,56.08,54.44,54.76,371850
TMUS,2007-10-03,55.34,56.5,54.88,55.7,325289
TMUS,2007-10-04,55.2,55.92,54.82,55.34,477350
TMUS,2007-10-05,49.58,54.6,49.18,54.6,2813950
TMUS,2007-10-08,48.4,49.48,47.8,49.0,712400
TMUS,2007-10-09,50.42,50.8,48.1,48.7,1184650
TMUS,2007-10-10,49.62,50.4,48.76,50.4,520350
TMUS,2007-10-11,49.86,50.5,49.18,49.8,482500
TMUS,2007-10-12,49.7,50.0,48.26,49.8,516950
TMUS,2007-10-15,48.04,49.6,47.14,49.48,1292900
TMUS,2007-10-16,45.6,48.0,44.56,48.0,2410550
TMUS,2007-10-17,45.0,46.0,44.74,45.1,1276050
TMUS,2007-10-18,44.2,44.7,43.44,44.7,1909200
TMUS,2007-10-19,43.84,44.48,43.44,43.96,1332250
TMUS,2007-10-22,41.2,43.88,40.5,43.76,1718350
TMUS,2007-10-23,39.28,41.6,36.96,41.6,3790700
TMUS,2007-10-24,39.26,40.08,38.74,38.9,2506650
TMUS,2007-10-25,39.72,40.24,38.94,39.24,1570587
TMUS,2007-10-26,42.8,42.92,39.68,39.74,2758000
TMUS,2007-10-29,43.68,44.08,41.98,42.42,1308650
TMUS,2007-10-30,43.2,43.68,42.26,43.68,1474450
TMUS,2007-10-31,45.0,45.5,43.82,45.5,3258200
TMUS,2007-11-01,40.28,45.52,38.0,43.36,4685100
TMUS,2007-11-02,43.72,44.1,40.92,44.04,2310750
TMUS,2007-11-05,43.28,43.44,42.0,42.18,1326666
TMUS,2007-11-06,44.04,44.28,43.32,43.32,1471225
TMUS,2007-11-07,42.96,44.06,42.5,44.06,1135962
TMUS,2007-11-08,41.6,43.7,40.0,43.7,1655831
TMUS,2007-11-09,32.2,37.4,31.66,32.2998,4914085
TMUS,2007-11-12,31.22,34.8,30.54,32.62,2147680
TMUS,2007-11-13,32.9,33.0,30.9,31.72,1184075
TMUS,2007-11-14,36.26,37.92,34.3,34.62,2714257
TMUS,2007-11-15,36.72,37.4,35.38,36.64,1270692
TMUS,2007-11-16,37.3,38.64,36.42,37.64,2100130
TMUS,2007-11-19,35.2,36.9,34.86,36.9,1357292
TMUS,2007-11-20,32.0,35.62,31.5,35.6,1328512
TMUS,2007-11-21,30.48,31.98,27.54,31.98,2800212
TMUS,2007-11-22,30.48,31.98,27.54,31.98,0
TMUS,2007-11-23,31.1,31.96,30.5,30.9,284190
TMUS,2007-11-26,30.88,31.65,30.52,31.48,1067746
TMUS,2007-11-27,30.2,31.18,29.96,30.62,2171175
TMUS,2007-11-28,32.46,33.16,30.2,30.2,2079520
TMUS,2007-11-29,33.24,34.82,31.0,32.8,1542310
TMUS,2007-11-30,34.2,35.02,32.8,33.68,3723444
TMUS,2007-12-03,32.34,34.0,32.0,34.0,1447200
TMUS,2007-12-04,34.02,34.2,31.94,32.34,865300
TMUS,2007-12-05,34.62,35.0,32.94,34.38,1408200
TMUS,2007-12-06,33.6,33.96,31.62,33.9,2102208
TMUS,2007-12-07,35.22,36.02,33.02,33.26,1038406
TMUS,2007-12-10,35.3,37.78,34.98,35.84,944225
TMUS,2007-12-11,34.46,36.36,33.86,36.36,1211917
TMUS,2007-12-12,34.1,35.48,33.52,35.48,1838541
TMUS,2007-12-13,34.34,34.52,32.8,33.12,1833400
TMUS,2007-12-14,36.04,37.18,34.64,34.76,2417200
TMUS,2007-12-17,35.66,36.0,35.12,35.52,1109231
TMUS,2007-12-18,34.86,35.92,33.82,35.52,1778400
TMUS,2007-12-19,36.64,36.9,34.28,34.28,943550
TMUS,2007-12-20,40.28,41.26,36.66,36.66,2373151
TMUS,2007-12-21,41.02,42.04,39.52,40.28,3339080
TMUS,2007-12-24,40.08,42.0,39.84,40.9,420251
TMUS,2007-12-25,40.08,42.0,39.84,40.9,0
TMUS,2007-12-26,40.08,40.52,38.82,40.3,507100
TMUS,2007-12-27,39.42,40.3,39.08,40.12,337968
TMUS,2007-12-28,39.0,39.61,38.56,39.24,289847
TMUS,2007-12-31,38.9,39.14,37.66,38.56,527746
TMUS,2008-01-01,38.9,39.14,37.66,38.56,0
TMUS,2008-01-02,37.3,39.44,36.54,39.22,581130
TMUS,2008-01-03,37.0,37.78,34.02,37.74,1278583
TMUS,2008-01-04,34.52,37.0,33.5,37.0,808625
TMUS,2008-01-07,32.94,34.9,32.02,34.72,634895
TMUS,2008-01-08,35.06,39.0,34.88,35.76,2348120
TMUS,2008-01-09,34.66,35.84,33.9,35.2,1340593
TMUS,2008-01-10,35.12,36.04,33.98,34.38,859925
TMUS,2008-01-11,34.44,35.18,33.5,35.18,683182
TMUS,2008-01-14,36.02,36.66,34.6,35.02,1161148
TMUS,2008-01-15,36.4,36.98,35.06,35.06,2241020
TMUS,2008-01-16,36.76,36.92,35.86,36.66,1742483
TMUS,2008-01-17,36.44,37.7,36.24,36.26,1267100
TMUS,2008-01-18,34.66,36.64,33.22,36.54,1492638
TMUS,2008-01-21,34.66,36.64,33.22,36.54,0
TMUS,2008-01-22,33.14,33.66,31.6,33.02,1048340
TMUS,2008-01-23,32.74,33.1,30.47,33.0,2232719
TMUS,2008-01-24,33.0,33.66,31.62,33.0,1770070
TMUS,2008-01-25,33.5,34.0,32.7,33.48,1466932
TMUS,2008-01-28,33.08,33.7,32.06,32.82,802061
TMUS,2008-01-29,33.12,33.22,32.5,33.02,716543
TMUS,2008-01-30,34.18,34.6,32.48,33.36,1820068
TMUS,2008-01-31,36.36,36.78,33.5,34.26,1469081
TMUS,2008-02-01,37.02,37.32,35.6,36.5,874747
TMUS,2008-02-04,37.44,38.44,37.04,37.38,863346
TMUS,2008-02-05,35.12,37.48,34.68,37.48,191081
TMUS,2008-02-06,34.14,36.02,33.34,35.0,1152150
TMUS,2008-02-07,34.16,34.26,32.9,34.0,1405701
TMUS,2008-02-08,33.44,34.48,32.82,34.48,1176012
TMUS,2008-02-11,32.64,34.34,32.26,33.96,1252662
TMUS,2008-02-12,33.12,34.12,32.56,33.3,757407
TMUS,2008-02-13,33.16,33.94,32.62,33.4,685365
TMUS,2008-02-14,31.2,33.56,30.84,33.2,1310679
TMUS,2008-02-15,32.22,32.86,30.92,31.66,691390
TMUS,2008-02-18,32.22,32.86,30.92,31.66,0
TMUS,2008-02-19,31.08,32.94,30.68,32.6,739148
TMUS,2008-02-20,30.68,30.96,29.64,30.52,1427775
TMUS,2008-02-21,30.44,31.3,30.2,30.4,535252
TMUS,2008-02-22,29.66,30.76,28.72,30.52,1069820
TMUS,2008-02-25,29.98,30.46,28.94,29.8,992686
TMUS,2008-02-26,30.4,30.86,29.52,30.18,1934246
TMUS,2008-02-27,30.0,31.34,27.36,27.88,2599499
TMUS,2008-02-28,31.8,33.24,29.62,30.0,1992898
TMUS,2008-02-29,31.9,32.38,31.64,32.12,1282492
TMUS,2008-03-03,30.88,32.44,30.12,32.34,866557
TMUS,2008-03-04,31.2,31.22,29.54,30.44,1472137
TMUS,2008-03-05,33.34,33.34,30.98,30.98,1548719
TMUS,2008-03-06,32.42,33.3,31.9,32.9,850974
TMUS,2008-03-07,32.4,32.98,31.5,31.82,794700
TMUS,2008-03-10,31.4,32.4,31.08,32.4,742150
TMUS,2008-03-11,32.7,32.96,30.04,31.6,941232
TMUS,2008-03-12,32.06,32.5,31.8,32.5,898240
TMUS,2008-03-13,31.54,31.74,31.0,31.5,1130400
TMUS,2008-03-14,30.4,32.12,29.84,32.12,1056653
TMUS,2008-03-17,29.0,30.52,27.84,29.9,1476834
TMUS,2008-03-18,30.28,30.58,29.36,29.64,912773
TMUS,2008-03-19,30.0,31.54,29.4,30.34,657430
TMUS,2008-03-20,31.2,31.48,29.46,30.0,1030345
TMUS,2008-03-21,31.2,31.48,29.46,30.0,0
TMUS,2008-03-24,32.32,32.64,30.52,30.98,1160384
TMUS,2008-03-25,35.52,35.76,31.76,32.12,1241250
TMUS,2008-03-26,34.7,36.16,34.0,35.68,1073200
TMUS,2008-03-27,34.08,35.9,33.88,34.92,788952
TMUS,2008-03-28,33.3,34.64,33.1,34.24,719900
TMUS,2008-03-31,34.0,34.78,32.84,33.62,854450
TMUS,2008-04-01,34.68,35.04,33.56,34.62,958078
TMUS,2008-04-02,36.24,36.44,34.44,35.02,1654662
