Symbol,Date,Close,High,Low,Open,Volume
TROW,2006-01-02,36.015,36.105,35.76,35.83,0
TROW,2006-01-03,36.495,36.585,35.555,36.185,1470426
TROW,2006-01-04,36.66,37.01,36.4955,36.4955,1237802
TROW,2006-01-05,36.63,36.91,36.415,36.81,963838
TROW,2006-01-06,36.93,37.15,36.64,36.75,1193014
TROW,2006-01-09,37.43,37.46,36.775,37.08,843476
TROW,2006-01-10,37.29,37.475,37.06,37.36,714886
TROW,2006-01-11,38.215,38.3,37.37,37.38,967356
TROW,2006-01-12,38.095,38.56,37.98,38.25,937550
TROW,2006-01-13,38.005,38.355,37.795,38.245,618644
TROW,2006-01-16,38.005,38.355,37.795,38.245,0
TROW,2006-01-17,37.515,37.785,37.165,37.785,1011176
TROW,2006-01-18,38.01,38.01,37.375,37.56,1657584
TROW,2006-01-19,38.345,38.71,37.965,38.1,978466
TROW,2006-01-20,37.81,39.042,37.615,38.315,1430766
TROW,2006-01-23,38.09,38.54,37.85,37.91,679080
TROW,2006-01-24,38.425,38.685,38.145,38.25,1085116
TROW,2006-01-25,38.6,38.935,38.345,38.345,1075918
TROW,2006-01-26,39.545,39.665,38.665,38.895,1113436
TROW,2006-01-27,39.06,39.905,38.905,39.905,1209712
TROW,2006-01-30,38.465,39.337,38.38,39.3,1232886
TROW,2006-01-31,38.215,38.56,38.105,38.335,946550
TROW,2006-02-01,38.305,38.485,37.685,38.05,1388964
TROW,2006-02-02,38.41,38.47,38.125,38.245,995960
TROW,2006-02-03,38.22,38.55,38.025,38.07,1160298
TROW,2006-02-06,38.15,38.37,38.0,38.065,801358
TROW,2006-02-07,37.285,38.545,37.195,38.27,2064346
TROW,2006-02-08,37.5,37.505,37.02,37.225,1649570
TROW,2006-02-09,37.325,37.735,37.27,37.35,1159664
TROW,2006-02-10,37.205,37.4,36.875,37.265,1178106
TROW,2006-02-13,36.955,37.375,36.865,37.275,896988
TROW,2006-02-14,37.59,37.7,36.775,37.04,2018736
TROW,2006-02-15,37.87,38.175,37.435,37.67,955862
TROW,2006-02-16,38.175,38.25,37.81,37.945,814912
TROW,2006-02-17,38.18,38.475,38.04,38.225,1046443
TROW,2006-02-20,38.18,38.475,38.04,38.225,0
TROW,2006-02-21,37.715,38.3,37.5,38.275,1175078
TROW,2006-02-22,38.285,38.29,37.76,37.845,1220574
TROW,2006-02-23,38.345,38.92,38.135,38.2025,1210394
TROW,2006-02-24,38.355,38.625,38.19,38.3,967378
TROW,2006-02-27,38.62,38.74,38.235,38.495,931110
TROW,2006-02-28,38.39,38.885,38.17,38.64,1412090
TROW,2006-03-01,38.615,38.615,38.275,38.305,1087772
TROW,2006-03-02,38.75,38.8,38.35,38.435,1177726
TROW,2006-03-03,38.425,38.95,38.355,38.6255,767586
TROW,2006-03-06,38.05,38.625,37.95,38.625,820228
TROW,2006-03-07,37.93,37.995,37.72,37.9325,846652
TROW,2006-03-08,37.665,38.05,37.475,37.9,734016
TROW,2006-03-09,37.695,38.025,37.565,37.76,1108070
TROW,2006-03-10,37.955,37.975,37.405,37.855,863476
TROW,2006-03-13,37.635,38.205,37.51,38.1,915978
TROW,2006-03-14,38.32,38.335,37.5,37.5,898516
TROW,2006-03-15,38.365,38.365,38.205,38.205,634020
TROW,2006-03-16,38.8,38.935,38.325,38.35,808474
TROW,2006-03-17,38.895,38.97,38.725,38.875,1235778
TROW,2006-03-20,38.395,39.08,38.395,38.965,952122
TROW,2006-03-21,37.905,38.6,37.815,38.6,724924
TROW,2006-03-22,38.105,38.135,37.65,37.83,679214
TROW,2006-03-23,37.605,38.04,37.54,38.04,637982
TROW,2006-03-24,37.59,37.675,37.185,37.5,745844
TROW,2006-03-27,37.495,37.665,37.375,37.505,855584
TROW,2006-03-28,36.825,37.57,36.65,37.425,1237210
TROW,2006-03-29,37.3,37.435,36.775,36.82,736810
TROW,2006-03-30,37.16,37.615,37.0,37.21,518022
TROW,2006-03-31,39.105,39.305,37.965,38.35,3186982
TROW,2006-04-03,39.53,39.985,39.33,39.33,2036223
TROW,2006-04-04,40.92,40.945,39.415,39.4595,2479356
TROW,2006-04-05,40.79,41.085,40.595,40.95,1501678
TROW,2006-04-06,40.9,41.0,40.38,40.705,1582192
TROW,2006-04-07,40.32,41.1,40.105,40.965,1357524
TROW,2006-04-10,40.865,40.99,40.115,40.36,1824424
TROW,2006-04-11,40.24,40.935,39.985,40.92,1320304
TROW,2006-04-12,40.355,40.78,40.18,40.23,1110178
TROW,2006-04-13,40.5,40.515,40.095,40.315,529712
TROW,2006-04-14,40.5,40.515,40.095,40.315,0
TROW,2006-04-17,40.885,41.255,40.54,40.61,1029396
TROW,2006-04-18,41.575,41.63,40.9,41.0,1090522
TROW,2006-04-19,41.63,41.74,41.365,41.49,896932
TROW,2006-04-20,41.935,42.13,41.615,41.645,998452
TROW,2006-04-21,41.81,42.26,41.665,42.03,883670
TROW,2006-04-24,41.835,41.96,41.425,41.75,936594
TROW,2006-04-25,41.76,41.97,41.475,41.85,1334784
TROW,2006-04-26,43.005,43.615,42.46,42.46,2530470
TROW,2006-04-27,42.48,43.105,42.41,43.0,1770010
TROW,2006-04-28,42.095,42.66,42.035,42.435,2016074
TROW,2006-05-01,40.93,42.365,40.72,42.345,3208618
TROW,2006-05-02,41.245,41.245,40.54,41.035,2119466
TROW,2006-05-03,40.975,41.255,40.61,41.25,806300
TROW,2006-05-04,41.225,41.375,41.005,41.23,1172162
TROW,2006-05-05,41.755,41.855,41.28,41.37,1172658
TROW,2006-05-08,41.645,42.22,41.6,41.875,1067772
TROW,2006-05-09,41.47,42.06,41.45,41.65,2095743
TROW,2006-05-10,41.275,41.525,40.94,41.22,1231582
TROW,2006-05-11,40.36,41.445,40.215,41.08,1027028
TROW,2006-05-12,39.455,40.6,39.41,40.22,1249556
TROW,2006-05-15,39.645,40.0,39.415,39.415,1420730
TROW,2006-05-16,39.26,39.81,39.23,39.6175,926976
TROW,2006-05-17,38.32,39.14,38.25,39.085,1433596
TROW,2006-05-18,37.96,39.005,37.93,38.675,1857076
TROW,2006-05-19,38.805,39.205,38.055,38.1295,1791102
TROW,2006-05-22,38.905,39.085,38.19,38.675,2391116
TROW,2006-05-23,38.86,39.54,38.86,38.9,1447458
TROW,2006-05-24,38.85,39.065,38.11,38.735,2462314
TROW,2006-05-25,39.29,39.315,38.805,39.075,987642
TROW,2006-05-26,39.73,39.885,39.235,39.325,1142558
TROW,2006-05-29,39.73,39.885,39.235,39.325,0
TROW,2006-05-30,39.01,39.65,38.895,39.6,1574154
TROW,2006-05-31,39.55,39.65,39.06,39.25,1708006
TROW,2006-06-01,39.725,39.74,39.225,39.55,1332524
TROW,2006-06-02,40.47,40.535,39.8,39.885,1959552
TROW,2006-06-05,39.02,40.245,38.915,40.23,1797994
TROW,2006-06-06,38.865,39.264,38.38,39.25,1486772
TROW,2006-06-07,38.67,39.42,38.605,38.98,1515002
TROW,2006-06-08,38.735,38.84,37.755,38.79,1938718
TROW,2006-06-09,38.74,39.19,38.535,38.8125,1393852
TROW,2006-06-12,38.12,38.935,38.005,38.935,1514432
TROW,2006-06-13,36.615,38.21,36.455,38.12,3031396
TROW,2006-06-14,36.075,36.745,35.445,36.515,2687948
TROW,2006-06-15,37.6,37.65,36.085,36.085,1991504
TROW,2006-06-16,37.435,37.6,37.145,37.54,1073670
TROW,2006-06-19,37.075,37.74,36.925,37.275,1296704
TROW,2006-06-20,37.15,37.525,37.02,37.045,1053686
TROW,2006-06-21,37.74,37.92,37.075,37.085,1105806
TROW,2006-06-22,37.46,37.755,37.31,37.7,1416742
TROW,2006-06-23,36.74,37.33,36.7,37.25,2048166
TROW,2006-06-26,36.67,36.95,36.28,36.76,1203671
TROW,2006-06-27,36.29,36.85,36.29,36.53,1239200
TROW,2006-06-28,36.19,36.57,35.76,36.35,1339424
TROW,2006-06-29,37.29,37.31,36.51,36.81,2449929
TROW,2006-06-30,37.81,38.07,37.22,37.3,2188674
TROW,2006-07-03,38.02,38.15,37.56,38.01,452053
TROW,2006-07-04,38.02,38.15,37.56,38.01,0
TROW,2006-07-05,37.28,37.85,36.81,37.49,1201918
TROW,2006-07-06,37.38,37.47,37.04,37.14,795204
TROW,2006-07-07,37.19,38.35,37.1,37.31,992820
TROW,2006-07-10,37.48,37.59,37.22,37.38,551661
TROW,2006-07-11,37.09,37.52,36.46,37.33,1049910
TROW,2006-07-12,36.53,37.47,36.33,37.0,853388
TROW,2006-07-13,35.95,36.62,35.78,36.62,993419
TROW,2006-07-14,35.44,35.99,34.87,35.76,1008569
TROW,2006-07-17,35.61,35.75,35.16,35.28,829641
TROW,2006-07-18,35.24,35.91,34.96,35.5,923850
TROW,2006-07-19,36.92,37.17,35.26,35.49,1189244
TROW,2006-07-20,36.28,37.12,36.27,36.86,688535
TROW,2006-07-21,35.83,36.43,35.83,36.4,1392964
TROW,2006-07-24,36.98,37.05,35.74,35.82,832896
TROW,2006-07-25,37.21,37.44,36.42,36.8,1171852
TROW,2006-07-26,37.05,37.43,36.72,36.97,989827
TROW,2006-07-27,39.03,39.66,37.99,37.99,1994827
TROW,2006-07-28,40.42,40.93,39.31,39.36,1847069
TROW,2006-07-31,41.31,41.57,40.0,40.5,3462106
TROW,2006-08-01,40.98,41.14,40.57,41.14,1864940
TROW,2006-08-02,40.83,41.32,40.59,40.96,889806
TROW,2006-08-03,40.9,41.04,40.36,40.7,1394881
TROW,2006-08-04,41.5,42.23,40.96,41.06,1645689
TROW,2006-08-07,41.13,41.53,40.8,41.49,1178610
TROW,2006-08-08,41.26,41.83,41.02,41.2,1409770
TROW,2006-08-09,41.42,42.3,41.29,41.32,1353384
TROW,2006-08-10,42.2,42.33,41.19,41.57,971779
TROW,2006-08-11,42.32,42.44,41.92,42.04,1068000
TROW,2006-08-14,42.39,43.12,42.14,42.7041,1208810
TROW,2006-08-15,43.82,44.04,43.02,43.1,1572215
TROW,2006-08-16,44.01,44.33,43.8405,44.2,1171993
TROW,2006-08-17,43.95,44.24,43.51,44.24,1141780
TROW,2006-08-18,43.94,44.09,43.37,43.73,618207
TROW,2006-08-21,43.37,43.96,43.19,43.91,1043769
TROW,2006-08-22,43.77,43.95,43.42,43.52,815652
TROW,2006-08-23,43.68,44.25,43.5,43.73,545707
TROW,2006-08-24,42.71,44.02,42.64,44.0,1443086
TROW,2006-08-25,42.56,43.02,42.12,42.52,794819
TROW,2006-08-28,43.11,43.39,42.38,42.74,616497
TROW,2006-08-29,43.21,43.44,42.62,43.28,602664
TROW,2006-08-30,43.44,43.81,43.14,43.3,643233
TROW,2006-08-31,44.06,44.17,43.4101,43.4698,929170
TROW,2006-09-01,44.4,44.44,44.06,44.24,820846
TROW,2006-09-04,44.4,44.44,44.06,44.24,0
TROW,2006-09-05,44.41,44.58,44.04,44.45,594209
TROW,2006-09-06,44.19,44.47,44.1,44.18,596355
TROW,2006-09-07,43.81,44.26,43.72,44.03,669343
TROW,2006-09-08,44.15,44.33,43.84,44.0,625864
TROW,2006-09-11,44.36,44.52,43.78,44.21,757951
TROW,2006-09-12,45.68,45.74,44.5,44.53,1039220
TROW,2006-09-13,46.35,46.54,45.48,45.72,664021
TROW,2006-09-14,46.82,47.04,46.17,46.36,709366
TROW,2006-09-15,47.45,47.75,47.28,47.35,1983730
TROW,2006-09-18,46.46,47.0,46.26,46.57,1678487
TROW,2006-09-19,46.63,46.85,46.15,46.31,1632353
TROW,2006-09-20,47.61,47.9,46.79,46.91,1017254
TROW,2006-09-21,47.44,48.11,47.04,48.11,1636489
TROW,2006-09-22,46.95,47.21,46.6,47.03,880323
TROW,2006-09-25,47.32,47.75,46.73,47.22,1988841
TROW,2006-09-26,47.39,47.49,46.4,47.0,1369056
TROW,2006-09-27,47.73,47.9,47.22,47.47,999779
TROW,2006-09-28,47.7,47.78,47.04,47.72,885447
TROW,2006-09-29,47.85,48.0,47.29,47.58,920207
TROW,2006-10-02,47.59,48.18,47.16,48.18,1191442
TROW,2006-10-03,47.09,47.31,46.73,47.08,1910442
TROW,2006-10-04,47.49,47.49,46.4,47.1,1404238
TROW,2006-10-05,48.31,48.31,47.25,47.3,1144551
TROW,2006-10-06,47.65,48.38,47.49,48.24,737797
TROW,2006-10-09,47.64,47.72,47.16,47.65,798081
TROW,2006-10-10,47.59,47.85,47.21,47.69,1738403
