Symbol,Date,Close,High,Low,Open,Volume
TRV,2006-01-02,44.67,44.77,44.26,44.53,0
TRV,2006-01-03,45.99,46.0,44.52,44.85,3456700
TRV,2006-01-04,46.5,46.61,45.853,45.99,2246200
TRV,2006-01-05,46.95,46.98,46.58,46.79,2853900
TRV,2006-01-06,47.21,47.63,46.99,47.0,2628300
TRV,2006-01-09,47.23,47.35,46.65,46.71,2158800
TRV,2006-01-10,46.89,47.19,46.59,47.05,1715700
TRV,2006-01-11,47.65,47.68,47.04,47.18,2308700
TRV,2006-01-12,47.37,47.89,47.28,47.68,2501200
TRV,2006-01-13,47.25,47.45,47.05,47.38,1653900
TRV,2006-01-16,47.25,47.45,47.05,47.38,0
TRV,2006-01-17,46.43,47.22,46.33,47.1,2127700
TRV,2006-01-18,46.2,46.9,46.06,46.44,1434500
TRV,2006-01-19,45.94,46.9,45.55,46.4,3838600
TRV,2006-01-20,45.01,46.11,44.88,46.0,5070600
TRV,2006-01-23,45.54,45.71,45.1,45.15,2287900
TRV,2006-01-24,45.32,45.9,44.73,44.73,2894300
TRV,2006-01-25,44.71,45.26,44.5,45.25,2874300
TRV,2006-01-26,46.2,46.59,45.43,45.45,4713500
TRV,2006-01-27,46.54,47.1,45.95,46.0,3467600
TRV,2006-01-30,46.25,46.89,46.16,46.89,2700800
TRV,2006-01-31,45.38,46.06,45.24,45.95,3294500
TRV,2006-02-01,45.61,46.08,45.3,45.36,3093500
TRV,2006-02-02,45.3,45.46,44.12,45.4,4574200
TRV,2006-02-03,44.79,45.5,44.74,44.9,2169600
TRV,2006-02-06,44.13,44.78,43.75,44.63,2959700
TRV,2006-02-07,43.77,44.34,43.76,43.93,2101100
TRV,2006-02-08,43.68,43.8,43.27,43.75,2293100
TRV,2006-02-09,43.46,44.08,43.15,43.59,2767600
TRV,2006-02-10,43.63,43.82,43.36,43.46,1436700
TRV,2006-02-13,43.28,43.83,43.15,43.53,2278500
TRV,2006-02-14,44.34,44.84,43.49,43.56,2677000
TRV,2006-02-15,43.91,44.35,43.87,44.24,2024300
TRV,2006-02-16,43.4,44.11,43.36,44.1,3148800
TRV,2006-02-17,43.03,43.45,42.893,43.4,3834500
TRV,2006-02-20,43.03,43.45,42.893,43.4,0
TRV,2006-02-21,42.77,42.83,42.28,42.4,3960400
TRV,2006-02-22,43.05,43.12,42.8,43.0,4364300
TRV,2006-02-23,42.5,42.7,41.94,42.68,4673900
TRV,2006-02-24,42.55,42.8,42.18,42.24,1957300
TRV,2006-02-27,43.06,43.16,42.6,42.7,1907500
TRV,2006-02-28,42.98,43.2,42.55,42.8,2938700
TRV,2006-03-01,42.81,43.2,42.66,43.1,2479500
TRV,2006-03-02,42.59,42.76,42.35,42.62,3274300
TRV,2006-03-03,42.87,43.0,42.13,42.34,2959300
TRV,2006-03-06,42.46,42.9,42.28,42.74,2187000
TRV,2006-03-07,42.63,42.68,42.11,42.25,1893200
TRV,2006-03-08,42.54,42.69,42.24,42.41,3693500
TRV,2006-03-09,42.13,42.6,42.02,42.6,1872700
TRV,2006-03-10,42.32,42.53,42.03,42.23,1744900
TRV,2006-03-13,42.66,42.82,42.38,42.52,2161400
TRV,2006-03-14,42.8,43.0,42.46,42.69,2458400
TRV,2006-03-15,42.93,43.15,42.6,42.93,3972900
TRV,2006-03-16,42.96,43.23,42.85,43.04,3476400
TRV,2006-03-17,41.55,42.95,41.35,42.88,8466100
TRV,2006-03-20,41.9,42.3,41.81,42.11,5804800
