Symbol,Date,Close,High,Low,Open,Volume
TSCO,2006-01-02,13.235,13.34,13.15,13.34,0
TSCO,2006-01-03,13.3825,13.4075,12.86,13.3375,1530212
TSCO,2006-01-04,13.165,13.49,13.1325,13.4825,1144120
TSCO,2006-01-05,13.16,13.345,13.1075,13.2675,1014192
TSCO,2006-01-06,13.1725,13.2875,12.9225,13.17,822352
TSCO,2006-01-09,13.7175,13.7175,13.1875,13.1875,1026524
TSCO,2006-01-10,13.745,13.775,13.4475,13.4475,877260
TSCO,2006-01-11,13.4825,13.95,13.3525,13.6725,1817688
TSCO,2006-01-12,13.2875,13.5775,13.1525,13.425,1120300
TSCO,2006-01-13,13.1525,13.4225,13.1525,13.29,523808
TSCO,2006-01-16,13.1525,13.4225,13.1525,13.29,0
TSCO,2006-01-17,12.78,13.11,12.7425,13.11,1252392
TSCO,2006-01-18,12.5625,12.7415,12.4575,12.73,2068007
TSCO,2006-01-19,12.555,12.66,12.4825,12.585,1209976
TSCO,2006-01-20,12.305,12.59,12.2625,12.59,1553356
TSCO,2006-01-23,12.2,12.375,12.125,12.365,2161256
TSCO,2006-01-24,12.4825,12.58,12.285,12.285,1465700
TSCO,2006-01-25,12.645,12.65,12.475,12.5375,3810024
TSCO,2006-01-26,12.87,12.87,12.7075,12.7075,1631576
TSCO,2006-01-27,12.9775,12.9775,12.845,12.845,1515140
TSCO,2006-01-30,12.9725,13.0,12.8625,12.91,675504
TSCO,2006-01-31,12.77,12.9925,12.675,12.9375,1952884
TSCO,2006-02-01,12.6675,12.775,12.6125,12.72,1327152
TSCO,2006-02-02,15.4775,15.955,14.3375,14.5,16377756
TSCO,2006-02-03,15.825,15.9625,15.19,15.31,4082207
TSCO,2006-02-06,15.8325,16.0925,15.3425,15.825,2558176
TSCO,2006-02-07,15.5025,15.875,15.365,15.745,2313692
TSCO,2006-02-08,15.34,15.4725,15.1625,15.4725,1547200
TSCO,2006-02-09,14.8875,15.2975,14.875,15.2975,1716728
TSCO,2006-02-10,14.9025,15.045,14.6525,14.8975,1339536
TSCO,2006-02-13,15.115,15.115,14.8075,14.8075,1053608
TSCO,2006-02-14,15.215,15.3125,14.73,14.905,1449252
TSCO,2006-02-15,15.285,15.4,14.975,15.18,943092
TSCO,2006-02-16,15.315,15.315,15.275,15.295,1018704
TSCO,2006-02-17,15.325,15.4425,15.21,15.3275,1129360
