Symbol,Date,Close,High,Low,Open,Volume
TSN,2006-01-02,17.1,17.21,16.95,17.21,0
TSN,2006-01-03,16.71,17.08,16.45,17.07,3317500
TSN,2006-01-04,16.81,16.81,16.53,16.72,1415800
TSN,2006-01-05,16.76,16.76,16.57,16.75,2285100
TSN,2006-01-06,16.81,16.81,16.65,16.77,1716900
TSN,2006-01-09,16.83,16.85,16.68,16.77,1132900
TSN,2006-01-10,16.75,16.82,16.64,16.81,1764800
TSN,2006-01-11,16.8,16.82,16.73,16.79,2011200
TSN,2006-01-12,16.89,16.9,16.62,16.81,1339100
TSN,2006-01-13,16.55,16.71,16.16,16.7,3458400
TSN,2006-01-16,16.55,16.71,16.16,16.7,0
TSN,2006-01-17,16.49,16.52,16.35,16.5,1839700
TSN,2006-01-18,16.57,16.62,16.44,16.49,1158800
TSN,2006-01-19,16.49,16.57,16.42,16.57,1824900
TSN,2006-01-20,16.25,16.48,16.13,16.48,2859600
TSN,2006-01-23,16.48,16.49,16.12,16.24,1945200
TSN,2006-01-24,15.83,16.49,15.79,16.49,2854200
TSN,2006-01-25,15.49,15.8,15.35,15.8,2998800
TSN,2006-01-26,15.51,15.71,15.44,15.49,4076399
TSN,2006-01-27,15.37,15.66,15.36,15.51,2409500
TSN,2006-01-30,14.27,14.59,13.72,13.93,12642800
TSN,2006-01-31,14.33,14.37,14.21,14.35,4296800
TSN,2006-02-01,14.48,14.55,14.26,14.3,4311600
TSN,2006-02-02,14.41,14.5,14.26,14.48,2149900
TSN,2006-02-03,14.3,14.34,14.23,14.32,3634800
TSN,2006-02-06,14.1,14.37,14.1,14.32,3376000
TSN,2006-02-07,14.09,14.09,14.08,14.08,3200100
TSN,2006-02-08,14.14,14.21,14.03,14.06,1541600
TSN,2006-02-09,14.52,14.58,14.1,14.11,2736100
TSN,2006-02-10,14.54,14.57,14.43,14.46,1132100
TSN,2006-02-13,14.58,14.65,14.44,14.46,1156000
TSN,2006-02-14,14.74,14.84,14.48,14.53,1680700
TSN,2006-02-15,14.71,14.96,14.551,14.65,1955700
TSN,2006-02-16,14.66,14.73,14.61,14.71,1825200
