Symbol,Date,Close,High,Low,Open,Volume
TSS,2006-01-02,19.79,19.97,19.63,19.7,0
TSS,2006-01-03,19.46,19.7,19.11,19.65,381900
TSS,2006-01-04,19.89,20.0,19.48,19.49,173900
TSS,2006-01-05,20.47,20.48,19.8,19.89,256699
TSS,2006-01-06,20.32,20.47,20.3,20.4,151400
TSS,2006-01-09,20.18,20.48,20.06,20.48,94500
TSS,2006-01-10,20.48,20.48,20.1,20.2,106400
TSS,2006-01-11,20.76,20.79,20.18,20.4,217900
TSS,2006-01-12,20.11,20.58,20.06,20.54,154900
TSS,2006-01-13,20.31,20.31,19.87,20.05,123500
TSS,2006-01-16,20.31,20.31,19.87,20.05,0
TSS,2006-01-17,19.95,20.15,19.6,19.99,172900
TSS,2006-01-18,19.21,19.7,18.54,19.55,616600
TSS,2006-01-19,19.55,19.65,19.15,19.21,179900
TSS,2006-01-20,19.84,19.86,19.32,19.59,249600
TSS,2006-01-23,19.77,19.85,19.6,19.85,106700
TSS,2006-01-24,19.74,19.84,19.52,19.55,143500
TSS,2006-01-25,19.62,19.84,19.4,19.59,207500
TSS,2006-01-26,19.64,19.73,19.28,19.38,92500
TSS,2006-01-27,19.74,19.74,19.63,19.63,148400
TSS,2006-01-30,19.32,19.71,19.25,19.62,153700
TSS,2006-01-31,19.63,19.66,19.15,19.25,147100
TSS,2006-02-01,19.93,20.0,19.5,19.53,189100
TSS,2006-02-02,19.51,19.78,19.45,19.75,129500
TSS,2006-02-03,19.45,19.7,19.26,19.26,221400
TSS,2006-02-06,20.0,20.13,19.43,19.45,281400
TSS,2006-02-07,19.59,20.0,19.5,19.86,92800
TSS,2006-02-08,19.65,19.68,19.48,19.5,64800
TSS,2006-02-09,19.49,19.66,19.49,19.54,171700
TSS,2006-02-10,19.5,19.62,19.47,19.49,159000
TSS,2006-02-13,19.81,19.87,19.43,19.58,260500
TSS,2006-02-14,19.5,19.99,19.47,19.72,183000
TSS,2006-02-15,19.74,19.86,19.48,19.48,96000
TSS,2006-02-16,19.95,19.99,19.6,19.67,88200
TSS,2006-02-17,19.6,19.88,19.54,19.88,105300
TSS,2006-02-20,19.6,19.88,19.54,19.88,0
TSS,2006-02-21,19.6,19.68,19.51,19.62,82400
TSS,2006-02-22,19.89,19.9,19.5,19.5,89100
TSS,2006-02-23,19.85,19.95,19.68,19.85,94500
TSS,2006-02-24,19.87,19.9,19.76,19.89,84100
TSS,2006-02-27,19.95,20.18,19.9,20.0,186300
TSS,2006-02-28,19.6,19.86,19.53,19.79,160300
TSS,2006-03-01,19.73,19.75,19.61,19.72,109400
TSS,2006-03-02,19.85,19.89,19.52,19.63,212500
TSS,2006-03-03,19.84,19.85,19.75,19.77,108000
TSS,2006-03-06,19.76,19.84,19.68,19.78,173000
TSS,2006-03-07,19.82,19.83,19.68,19.75,167300
TSS,2006-03-08,19.7,19.84,19.66,19.7,103300
TSS,2006-03-09,19.66,19.79,19.5,19.6,98000
TSS,2006-03-10,19.85,19.9,19.6,19.6,106700
TSS,2006-03-13,19.86,19.86,19.75,19.75,78900
TSS,2006-03-14,19.84,19.9,19.7,19.75,112000
TSS,2006-03-15,19.88,19.89,19.75,19.81,54000
