Symbol,Date,Close,High,Low,Open,Volume
TTWO,2006-01-02,17.7,17.78,17.55,17.59,0
TTWO,2006-01-03,18.05,18.19,17.7,17.7,1872026
TTWO,2006-01-04,17.81,18.18,17.6,18.15,1418300
TTWO,2006-01-05,18.47,18.56,17.87,17.97,1991725
TTWO,2006-01-06,18.72,19.38,17.5,17.67,13638962
TTWO,2006-01-09,18.88,18.958,18.47,18.72,2435760
TTWO,2006-01-10,18.75,19.3,18.72,18.73,2401143
TTWO,2006-01-11,19.22,19.35,18.44,18.64,3560103
TTWO,2006-01-12,18.9,19.35,18.78,19.11,1957539
TTWO,2006-01-13,18.41,19.04,18.24,18.99,1878164
TTWO,2006-01-16,18.41,19.04,18.24,18.99,0
TTWO,2006-01-17,18.19,18.6,18.09,18.34,1154737
TTWO,2006-01-18,18.42,18.68,17.9,17.98,2153902
TTWO,2006-01-19,19.0,19.08,18.3,18.38,1799427
TTWO,2006-01-20,18.54,19.05,18.48,19.0,1656223
TTWO,2006-01-23,18.32,18.7,18.24,18.63,713475
TTWO,2006-01-24,18.0,18.5,17.97,18.31,1083851
TTWO,2006-01-25,17.76,18.08,17.71,18.0,2221104
TTWO,2006-01-26,17.03,17.58,16.94,17.4,7326186
TTWO,2006-01-27,14.69,16.25,13.64,16.2,21701556
TTWO,2006-01-30,16.2,16.2,14.71,14.71,9320476
TTWO,2006-01-31,15.86,16.25,15.8,16.0,3624831
TTWO,2006-02-01,15.15,16.03,15.1,15.79,3587587
TTWO,2006-02-02,16.29,16.99,15.23,15.28,4300561
TTWO,2006-02-03,15.59,16.39,15.42,16.3,2019853
TTWO,2006-02-06,16.23,17.34,15.91,16.4,3557788
TTWO,2006-02-07,15.51,16.07,15.35,15.9,2243960
TTWO,2006-02-08,15.08,15.71,14.75,15.55,1722296
TTWO,2006-02-09,14.77,15.16,14.67,15.05,1784501
TTWO,2006-02-10,14.95,15.02,14.05,14.7,4389970
TTWO,2006-02-13,15.21,15.21,14.77,14.77,2010241
TTWO,2006-02-14,15.08,15.18,14.72,15.13,1160284
TTWO,2006-02-15,15.23,15.39,14.94,15.13,1088193
TTWO,2006-02-16,15.7,15.75,15.05,15.23,1702828
TTWO,2006-02-17,15.88,15.92,15.32,15.75,1964081
TTWO,2006-02-20,15.88,15.92,15.32,15.75,0
TTWO,2006-02-21,15.56,15.99,15.38,15.98,1331413
TTWO,2006-02-22,15.71,15.89,15.44,15.66,580195
TTWO,2006-02-23,15.75,15.86,15.36,15.78,600412
TTWO,2006-02-24,15.86,15.96,15.46,15.69,520066
TTWO,2006-02-27,15.89,16.2,15.75,15.97,1017145
TTWO,2006-02-28,15.58,16.06,15.41,15.93,985202
TTWO,2006-03-01,15.7,15.7,15.52,15.52,1542447
TTWO,2006-03-02,15.59,15.88,15.4,15.5,965364
TTWO,2006-03-03,15.39,15.63,15.15,15.56,1677853
TTWO,2006-03-06,15.13,15.6,14.99,15.5,726033
TTWO,2006-03-07,14.85,15.18,14.66,15.16,1720953
TTWO,2006-03-08,16.51,16.8,15.1,15.2,8285193
TTWO,2006-03-09,16.1,16.57,16.0,16.5,1419999
TTWO,2006-03-10,16.16,16.17,15.68,16.01,1260804
TTWO,2006-03-13,16.23,16.32,15.9,16.16,1211238
TTWO,2006-03-14,16.27,16.76,16.1,16.26,1317656
TTWO,2006-03-15,16.99,16.99,16.54,16.54,1304593
TTWO,2006-03-16,16.24,16.84,16.19,16.78,843446
TTWO,2006-03-17,15.8,16.34,15.74,16.28,994095
TTWO,2006-03-20,15.89,15.9376,15.41,15.8,1069612
TTWO,2006-03-21,16.57,16.57,15.98,15.98,1421266
TTWO,2006-03-22,16.25,16.46,15.94,16.46,1282317
TTWO,2006-03-23,16.1,16.33,16.04,16.28,809971
TTWO,2006-03-24,16.76,16.76,16.05,16.05,954025
TTWO,2006-03-27,18.0,18.68,16.75,16.87,5129833
TTWO,2006-03-28,18.05,18.15,17.75,18.06,1730012
TTWO,2006-03-29,17.71,18.1,17.48,18.01,1227855
TTWO,2006-03-30,18.75,19.0,17.76,17.83,2115276
TTWO,2006-03-31,18.66,18.81,18.55,18.75,742897
TTWO,2006-04-03,17.4,18.75,17.4,18.7,1915156
TTWO,2006-04-04,18.0,18.05,17.41,17.42,887832
TTWO,2006-04-05,18.09,18.27,17.53,17.92,727458
TTWO,2006-04-06,17.7,18.23,17.64,18.0,700956
TTWO,2006-04-07,18.05,18.05,17.7,17.7,675309
TTWO,2006-04-10,18.57,18.92,17.62,17.7,2315600
TTWO,2006-04-11,19.0,19.4,18.86,18.97,3213034
TTWO,2006-04-12,19.2,19.2,18.87,19.0,1290987
TTWO,2006-04-13,18.8,19.01,18.59,18.8,683677
TTWO,2006-04-14,18.8,19.01,18.59,18.8,0
TTWO,2006-04-17,17.93,18.62,17.85,18.62,1275398
TTWO,2006-04-18,18.06,18.26,17.38,17.5,2348639
TTWO,2006-04-19,17.58,17.99,16.96,17.99,2478225
TTWO,2006-04-20,17.66,17.66,17.45,17.65,845148
TTWO,2006-04-21,17.29,17.66,17.24,17.46,858111
TTWO,2006-04-24,16.76,17.35,16.68,17.25,1190745
TTWO,2006-04-25,16.9,17.09,16.74,16.76,626656
TTWO,2006-04-26,17.6,17.88,16.76,16.95,953581
TTWO,2006-04-27,17.43,17.75,17.16,17.6,614932
TTWO,2006-04-28,17.05,17.53,16.97,17.5,816454
TTWO,2006-05-01,17.16,17.36,17.01,17.03,580870
TTWO,2006-05-02,16.67,17.3,16.65,17.22,1079667
TTWO,2006-05-03,16.31,16.93,16.29,16.72,702222
TTWO,2006-05-04,16.02,16.45,15.95,16.1,1297349
TTWO,2006-05-05,16.72,16.72,16.05,16.05,1375610
TTWO,2006-05-08,16.14,16.75,16.1,16.6,766078
TTWO,2006-05-09,16.19,16.4,16.18,16.2,972714
TTWO,2006-05-10,16.36,16.47,16.19,16.43,1402994
TTWO,2006-05-11,15.37,16.3,15.13,16.3,2365548
TTWO,2006-05-12,15.43,15.58,15.0,15.28,2048143
TTWO,2006-05-15,15.1,15.42,14.98,15.36,2720433
TTWO,2006-05-16,15.02,15.3,14.99,15.17,861144
TTWO,2006-05-17,14.84,15.04,14.79,15.0,1147867
TTWO,2006-05-18,14.92,15.22,14.83,14.84,877163
TTWO,2006-05-19,15.01,15.22,14.76,14.92,1170294
TTWO,2006-05-22,15.02,15.67,14.78,15.6,1931394
TTWO,2006-05-23,15.0,15.3,14.96,15.16,592521
TTWO,2006-05-24,15.32,15.42,14.95,15.13,1283675
TTWO,2006-05-25,15.67,15.69,15.36,15.45,1043738
TTWO,2006-05-26,15.55,15.68,15.22,15.62,973302
TTWO,2006-05-29,15.55,15.68,15.22,15.62,0
TTWO,2006-05-30,15.61,15.61,15.48,15.5,684331
TTWO,2006-05-31,16.29,16.71,15.535,15.56,2071815
TTWO,2006-06-01,16.59,16.78,16.29,16.38,2144086
