Symbol,Date,Close,High,Low,Open,Volume
TXN,2006-01-02,32.07,32.36,31.93,32.25,0
TXN,2006-01-03,33.24,33.44,32.0,32.16,12307300
TXN,2006-01-04,33.54,33.88,33.37,33.37,11269500
TXN,2006-01-05,34.14,34.46,33.67,33.71,12191500
TXN,2006-01-06,34.45,34.66,33.85,34.5,11643300
TXN,2006-01-09,34.18,34.95,33.92,34.5,13650400
TXN,2006-01-10,33.84,33.95,33.5,33.93,10791100
TXN,2006-01-11,33.8,33.98,33.43,33.82,11008000
TXN,2006-01-12,33.37,34.54,33.3,33.8,12049700
TXN,2006-01-13,33.03,33.3,32.61,33.29,12193400
TXN,2006-01-16,33.03,33.3,32.61,33.29,0
TXN,2006-01-17,32.24,32.67,32.13,32.65,13051800
TXN,2006-01-18,32.1,32.27,31.51,31.6,14968100
TXN,2006-01-19,32.5,32.8,32.29,32.6,10390600
TXN,2006-01-20,31.66,32.26,31.31,32.25,18095700
TXN,2006-01-23,31.7,31.99,31.11,31.99,15665300
TXN,2006-01-24,30.69,32.46,30.61,31.51,25311900
TXN,2006-01-25,29.89,30.82,29.5,30.69,31987400
TXN,2006-01-26,30.16,30.3,29.52,30.1,22587800
TXN,2006-01-27,30.23,31.0,30.1,30.2,17025700
TXN,2006-01-30,30.05,30.75,29.62,30.55,19426000
TXN,2006-01-31,29.23,30.15,29.22,30.06,17515700
TXN,2006-02-01,29.77,29.85,28.72,29.08,22967500
TXN,2006-02-02,29.76,30.34,29.7,29.99,19426900
TXN,2006-02-03,30.0,30.36,29.7,29.91,14199200
TXN,2006-02-06,30.54,30.75,30.05,30.05,15700000
TXN,2006-02-07,30.68,30.68,30.62,30.68,11353100
TXN,2006-02-08,30.9,30.9,30.72,30.81,10927600
TXN,2006-02-09,31.09,31.09,30.95,30.95,15559900
TXN,2006-02-10,30.91,31.129,30.5,31.0,13187000
TXN,2006-02-13,30.48,30.74,30.25,30.67,10624600
TXN,2006-02-14,30.56,30.73,30.12,30.59,10860400
TXN,2006-02-15,30.62,30.64,30.23,30.31,9684600
TXN,2006-02-16,31.75,31.78,30.76,30.85,15035700
TXN,2006-02-17,31.48,31.85,31.3,31.63,9882200
TXN,2006-02-20,31.48,31.85,31.3,31.63,0
TXN,2006-02-21,30.65,31.46,30.35,31.35,14186000
TXN,2006-02-22,31.02,31.09,30.16,30.58,12181500
TXN,2006-02-23,29.86,30.76,29.81,30.62,16362100
TXN,2006-02-24,29.68,30.187,29.66,30.0,14839100
TXN,2006-02-27,29.64,30.05,29.61,29.8,14890600
TXN,2006-02-28,29.85,29.87,29.3,29.35,14810300
TXN,2006-03-01,32.18,32.54,30.29,30.29,34883100
TXN,2006-03-02,32.35,32.84,31.86,32.0,21317600
TXN,2006-03-03,32.29,32.91,32.03,32.2,15962300
TXN,2006-03-06,32.33,32.9,31.91,32.52,12848200
TXN,2006-03-07,31.26,31.49,30.73,31.15,22150200
TXN,2006-03-08,31.34,31.56,30.96,31.25,11881200
TXN,2006-03-09,30.82,31.6326,30.8,31.36,13818200
TXN,2006-03-10,30.77,31.37,30.61,30.97,10514000
TXN,2006-03-13,30.89,31.38,30.77,30.87,8193500
TXN,2006-03-14,31.22,31.24,30.63,30.65,10538300
TXN,2006-03-15,31.28,31.8,30.93,31.22,12675300
TXN,2006-03-16,30.15,31.1,30.15,31.1,14182100
TXN,2006-03-17,30.19,30.48,29.8,30.19,14252700
TXN,2006-03-20,30.12,30.54,30.01,30.19,9030100
TXN,2006-03-21,30.15,30.9,30.07,30.13,11981600
TXN,2006-03-22,30.01,30.73,29.96,29.96,12175700
TXN,2006-03-23,30.45,30.632,30.04,30.07,12285400
TXN,2006-03-24,30.89,31.11,30.15,30.45,11902300
TXN,2006-03-27,31.27,31.55,30.85,30.89,9613700
TXN,2006-03-28,30.95,31.83,30.81,31.38,11758800
TXN,2006-03-29,31.99,32.22,30.95,31.04,12543500
TXN,2006-03-30,33.08,33.32,32.61,32.87,21072800
TXN,2006-03-31,32.47,33.08,32.07,32.78,13301600
TXN,2006-04-03,32.29,33.08,32.15,32.4,10456000
TXN,2006-04-04,32.34,32.56,31.87,32.29,10044700
TXN,2006-04-05,33.22,33.5,32.43,32.48,12285800
TXN,2006-04-06,33.63,33.84,33.21,33.21,12804000
TXN,2006-04-07,33.07,33.96,32.95,33.82,18344200
TXN,2006-04-10,32.76,33.16,32.33,33.01,16994000
