Symbol,Date,Close,High,Low,Open,Volume
TXT,2006-01-02,38.49,38.675,38.42,38.675,0
TXT,2006-01-03,38.75,38.81,38.105,38.51,1359000
TXT,2006-01-04,38.745,38.98,38.45,38.98,1063800
TXT,2006-01-05,38.66,38.985,38.41,38.75,1536200
TXT,2006-01-06,38.79,38.89,38.675,38.75,1464600
TXT,2006-01-09,38.99,39.175,38.575,38.575,2983800
TXT,2006-01-10,39.08,39.105,38.665,38.8,1923200
TXT,2006-01-11,38.735,38.875,38.555,38.875,1200400
TXT,2006-01-12,38.535,38.655,38.3,38.5,2072400
TXT,2006-01-13,39.25,39.44,38.43,38.62,1847600
TXT,2006-01-16,39.25,39.44,38.43,38.62,0
TXT,2006-01-17,39.025,39.215,38.895,38.975,1582600
TXT,2006-01-18,38.655,38.865,38.405,38.625,825800
TXT,2006-01-19,38.625,38.735,38.175,38.575,1452200
TXT,2006-01-20,38.4,38.7,38.35,38.65,1465000
TXT,2006-01-23,37.88,38.375,37.855,38.35,995000
TXT,2006-01-24,38.22,38.395,37.965,38.05,819000
TXT,2006-01-25,37.975,38.5,37.755,38.34,842400
TXT,2006-01-26,41.82,41.84,39.721,39.75,7483600
TXT,2006-01-27,41.305,41.675,40.5,40.5,2916800
TXT,2006-01-30,42.0,42.115,40.75,40.775,2043800
TXT,2006-01-31,42.23,42.45,41.375,41.55,2039200
TXT,2006-02-01,42.505,42.625,42.0,42.025,1725800
TXT,2006-02-02,41.39,42.295,41.18,42.265,1651400
TXT,2006-02-03,41.75,41.81,40.84,40.89,1606800
TXT,2006-02-06,41.74,41.94,41.48,41.55,1044400
TXT,2006-02-07,41.5,42.625,41.09,41.8,1880200
TXT,2006-02-08,41.12,41.38,40.8,41.005,1541000
TXT,2006-02-09,41.4,41.665,41.3,41.365,1362800
TXT,2006-02-10,41.4,41.635,40.855,41.575,1456400
TXT,2006-02-13,41.18,41.52,41.1,41.35,1065400
TXT,2006-02-14,41.94,42.09,41.4,41.525,1630000
TXT,2006-02-15,42.045,42.325,41.75,41.9,1251400
TXT,2006-02-16,42.39,42.44,42.05,42.05,1219200
TXT,2006-02-17,43.265,43.32,42.255,42.475,2031600
TXT,2006-02-20,43.265,43.32,42.255,42.475,0
TXT,2006-02-21,42.585,43.245,42.585,43.22,1122600
TXT,2006-02-22,43.04,43.195,42.425,42.55,1169200
TXT,2006-02-23,43.725,43.995,42.465,42.78,2151400
TXT,2006-02-24,44.57,44.57,43.625,43.625,2517800
TXT,2006-02-27,44.58,44.59,44.135,44.2,1331000
TXT,2006-02-28,44.055,44.35,43.68,44.225,1625000
TXT,2006-03-01,43.99,44.3,43.65,44.265,1919600
TXT,2006-03-02,43.95,44.245,43.575,44.0,1525000
TXT,2006-03-03,43.995,44.36,43.135,43.32,2003400
TXT,2006-03-06,43.805,44.07,43.63,44.0,950000
TXT,2006-03-07,44.03,44.275,43.71,43.805,1057800
TXT,2006-03-08,43.83,44.055,43.595,43.7,1572800
TXT,2006-03-09,44.525,44.645,43.88,43.93,1534200
TXT,2006-03-10,44.915,45.25,44.45,44.45,1482600
TXT,2006-03-13,44.715,45.05,44.51,44.875,865600
TXT,2006-03-14,45.31,45.45,44.5,44.735,1029199
TXT,2006-03-15,45.755,45.825,44.85,45.05,1140000
TXT,2006-03-16,46.225,46.63,45.995,45.995,1505800
TXT,2006-03-17,46.695,46.785,46.48,46.5,2657600
TXT,2006-03-20,46.755,46.975,46.605,46.605,818400
TXT,2006-03-21,46.53,46.775,46.365,46.45,1432200
TXT,2006-03-22,47.15,47.235,46.355,46.36,875600
TXT,2006-03-23,47.15,47.22,46.785,47.15,1085400
TXT,2006-03-24,47.2,47.425,46.795,46.9,761400
TXT,2006-03-27,46.3,46.54,45.925,46.0,2222600
TXT,2006-03-28,46.21,46.595,45.975,46.305,1091800
TXT,2006-03-29,47.025,47.295,46.18,46.275,1522000
TXT,2006-03-30,47.165,47.5,46.565,46.565,1129200
TXT,2006-03-31,46.695,47.11,46.65,47.0,1382400
