Symbol,Date,Close,High,Low,Open,Volume
UDR,2006-01-02,23.44,23.56,23.32,23.5,0
UDR,2006-01-03,23.93,24.07,23.41,23.57,1132500
UDR,2006-01-04,23.93,24.02,23.8,23.9,1386800
UDR,2006-01-05,24.2,24.46,23.89,24.12,1313000
UDR,2006-01-06,24.52,24.54,24.25,24.43,847100
UDR,2006-01-09,24.69,24.79,24.55,24.63,680500
UDR,2006-01-10,25.01,25.17,24.62,24.68,881200
UDR,2006-01-11,24.86,25.04,24.73,24.9,1475800
UDR,2006-01-12,24.8,25.75,24.73,24.77,910700
UDR,2006-01-13,24.58,25.51,24.57,25.51,1532500
UDR,2006-01-16,24.58,25.51,24.57,25.51,0
UDR,2006-01-17,24.6,24.7,24.49,24.59,768200
UDR,2006-01-18,24.69,24.81,24.5,24.5,869000
UDR,2006-01-19,25.15,25.16,24.7,24.7,638600
UDR,2006-01-20,24.85,25.17,24.82,25.13,1117900
UDR,2006-01-23,25.01,25.08,24.85,24.88,580600
UDR,2006-01-24,25.1,25.19,24.92,25.02,797300
UDR,2006-01-25,25.1,25.27,24.98,25.1,870900
UDR,2006-01-26,25.13,25.18,24.97,25.02,560500
UDR,2006-01-27,25.55,25.55,25.2,25.2,749600
UDR,2006-01-30,25.52,25.56,25.45,25.56,643400
UDR,2006-01-31,25.41,25.52,25.17,25.17,1268400
UDR,2006-02-01,25.7,25.72,25.3,25.31,1151100
UDR,2006-02-02,25.57,25.68,25.47,25.61,1449200
UDR,2006-02-03,25.32,25.47,25.02,25.4,1038700
UDR,2006-02-06,25.42,25.45,25.22,25.29,304600
UDR,2006-02-07,24.88,25.42,24.86,25.42,1212900
UDR,2006-02-08,24.75,25.02,24.56,24.99,1028799
UDR,2006-02-09,24.85,24.93,24.63,24.73,773100
UDR,2006-02-10,25.0,25.07,24.74,24.79,717100
UDR,2006-02-13,25.02,25.08,24.9,24.9,566600
UDR,2006-02-14,25.17,25.18,24.83,25.07,458600
UDR,2006-02-15,25.76,25.8,25.2,25.2,821200
UDR,2006-02-16,26.2,26.22,25.77,25.77,987800
UDR,2006-02-17,26.6,26.69,26.18,26.25,667800
UDR,2006-02-20,26.6,26.69,26.18,26.25,0
UDR,2006-02-21,26.5,26.78,26.48,26.54,965600
UDR,2006-02-22,27.05,27.1,26.48,26.57,687500
UDR,2006-02-23,26.97,27.09,26.93,27.08,727700
UDR,2006-02-24,26.86,26.98,26.76,26.95,583100
UDR,2006-02-27,26.96,27.19,26.78,26.9,279400
UDR,2006-02-28,26.75,27.0,26.71,26.82,593000
UDR,2006-03-01,26.82,26.82,26.58,26.75,453800
UDR,2006-03-02,26.74,26.81,26.59,26.75,630000
UDR,2006-03-03,26.63,26.79,26.54,26.65,634200
UDR,2006-03-06,27.24,27.25,26.67,26.73,1063900
UDR,2006-03-07,26.87,27.24,26.8,27.24,583700
UDR,2006-03-08,27.02,27.03,26.65,26.83,766900
UDR,2006-03-09,27.31,27.46,26.97,27.08,699300
UDR,2006-03-10,27.42,27.69,27.27,27.43,742600
UDR,2006-03-13,27.32,27.54,27.16,27.36,681400
UDR,2006-03-14,27.62,27.7,27.26,27.26,472700
UDR,2006-03-15,28.08,28.16,27.67,27.7,745000
UDR,2006-03-16,28.35,28.6,28.08,28.09,718500
UDR,2006-03-17,28.92,28.94,28.35,28.45,866200
UDR,2006-03-20,28.61,29.0,28.5,28.98,575600
UDR,2006-03-21,28.07,28.72,28.07,28.51,596400
UDR,2006-03-22,28.25,28.33,27.92,27.92,378600
UDR,2006-03-23,28.38,28.51,28.18,28.25,326500
UDR,2006-03-24,28.06,28.32,27.9645,28.28,495900
UDR,2006-03-27,27.89,28.09,27.7,28.02,537800
UDR,2006-03-28,28.51,28.59,27.85,27.89,626400
UDR,2006-03-29,28.93,29.05,28.76,28.76,749900
UDR,2006-03-30,28.37,28.98,28.25,28.83,430600
UDR,2006-03-31,28.54,28.59,28.15,28.44,517599
UDR,2006-04-03,28.27,28.82,28.24,28.56,541900
UDR,2006-04-04,28.06,28.27,27.94,28.25,557000
UDR,2006-04-05,28.35,28.39,28.06,28.06,680200
UDR,2006-04-06,28.11,28.45,28.0,28.35,755800
UDR,2006-04-07,27.83,28.23,27.77,28.12,622700
UDR,2006-04-10,27.55,28.01,27.2,27.84,1716000
UDR,2006-04-11,27.32,27.73,27.32,27.36,1095400
UDR,2006-04-12,27.37,27.57,27.26,27.35,338000
UDR,2006-04-13,26.92,27.26,26.92,27.23,491200
UDR,2006-04-14,26.92,27.26,26.92,27.23,0
UDR,2006-04-17,26.88,27.04,26.821,26.88,468800
UDR,2006-04-18,27.47,27.58,26.95,27.04,982600
UDR,2006-04-19,27.96,28.1,27.47,27.48,886600
UDR,2006-04-20,27.86,28.05,27.59,27.91,666500
UDR,2006-04-21,28.07,28.16,27.87,28.1,680300
UDR,2006-04-24,28.19,28.19,27.86,27.92,466500
UDR,2006-04-25,27.62,28.2,27.55,28.19,892600
UDR,2006-04-26,27.32,27.9,27.32,27.86,1344900
UDR,2006-04-27,27.29,27.53,27.15,27.32,1589400
UDR,2006-04-28,27.19,27.54,27.14,27.29,1116800
UDR,2006-05-01,27.08,27.49,27.04,27.3,857300
UDR,2006-05-02,26.69,27.08,26.43,27.08,1083000
UDR,2006-05-03,26.57,26.93,26.52,26.81,1096500
UDR,2006-05-04,27.1,27.18,26.66,26.66,776500
