Symbol,Date,Close,High,Low,Open,Volume
UNH,2006-01-02,62.14,62.75,62.13,62.52,0
UNH,2006-01-03,61.73,62.6,60.6,62.6,8041100
UNH,2006-01-04,61.88,62.2,61.6,61.89,5333800
UNH,2006-01-05,61.69,62.88,61.49,62.23,5405700
UNH,2006-01-06,62.9,62.93,62.03,62.75,5469300
UNH,2006-01-09,61.4,62.9,61.26,62.9,8777000
UNH,2006-01-10,62.61,62.77,61.44,61.45,6200800
UNH,2006-01-11,61.85,62.7,61.62,62.6,5472300
UNH,2006-01-12,62.53,62.91,61.74,61.9,5219300
UNH,2006-01-13,60.94,61.34,59.71,61.34,10938600
UNH,2006-01-16,60.94,61.34,59.71,61.34,0
UNH,2006-01-17,61.0,61.0,59.98,60.2,6285200
UNH,2006-01-18,61.06,61.76,60.58,61.0,6941300
UNH,2006-01-19,61.47,62.1,59.29,61.31,13376400
UNH,2006-01-20,59.48,61.4,59.39,61.4,10019400
UNH,2006-01-23,57.99,59.83,57.72,59.51,9607600
UNH,2006-01-24,58.31,58.7,58.05,58.05,8010999
UNH,2006-01-25,57.98,58.88,57.45,58.73,6488200
UNH,2006-01-26,57.89,58.52,57.12,57.99,9932700
UNH,2006-01-27,58.78,58.78,58.24,58.24,6419500
UNH,2006-01-30,57.77,58.7,57.65,58.4,6715900
UNH,2006-01-31,59.42,59.95,58.01,58.17,10547000
UNH,2006-02-01,59.5,59.75,59.05,59.3,7509500
UNH,2006-02-02,59.36,59.74,58.75,59.73,6108100
UNH,2006-02-03,59.62,59.89,59.09,59.36,5369800
UNH,2006-02-06,58.54,59.6,58.25,59.34,4837700
UNH,2006-02-07,57.73,59.082,57.7,58.5,5175800
UNH,2006-02-08,57.59,58.08,57.25,57.52,7320600
UNH,2006-02-09,58.08,59.19,58.04,58.5,5391800
UNH,2006-02-10,58.6,58.78,57.4,58.15,4220200
UNH,2006-02-13,58.59,58.78,58.17,58.5,3352500
UNH,2006-02-14,59.45,59.47,58.5,58.5,4747900
UNH,2006-02-15,59.0,59.75,58.72,59.4,4333500
UNH,2006-02-16,58.5,59.265,58.13,59.24,5064400
UNH,2006-02-17,58.0,58.4,57.83,58.25,7002400
UNH,2006-02-20,58.0,58.4,57.83,58.25,0
UNH,2006-02-21,58.17,59.04,57.94,58.8,4652400
UNH,2006-02-22,59.54,59.8,58.34,58.34,5230000
UNH,2006-02-23,59.45,59.88,59.37,59.88,4763800
UNH,2006-02-24,58.89,59.46,58.51,59.1,5278800
UNH,2006-02-27,58.94,59.16,58.82,59.0,3138900
UNH,2006-02-28,58.23,59.02,57.87,58.93,5199200
UNH,2006-03-01,58.43,58.46,57.84,58.05,5243200
UNH,2006-03-02,57.58,58.22,57.22,58.0,5938200
UNH,2006-03-03,56.6,57.67,56.49,57.35,6163800
UNH,2006-03-06,56.7,56.78,56.24,56.3,5822300
UNH,2006-03-07,56.42,57.32,56.1,56.22,6192600
UNH,2006-03-08,57.2,57.35,56.32,56.43,5894800
UNH,2006-03-09,56.34,57.86,56.28,57.5,4988400
UNH,2006-03-10,56.17,56.79,56.15,56.39,6379600
UNH,2006-03-13,55.73,56.1,53.85,56.06,12401900
UNH,2006-03-14,56.89,56.94,55.45,55.45,7411100
UNH,2006-03-15,57.34,57.52,56.55,56.9,6599100
UNH,2006-03-16,56.57,57.34,56.46,57.29,6066400
UNH,2006-03-17,56.69,56.91,56.15,56.9,6608000
UNH,2006-03-20,56.53,56.909,56.15,56.58,4360300
UNH,2006-03-21,56.21,56.91,55.56,56.74,5927800
UNH,2006-03-22,56.64,56.91,55.0,55.0,4433100
UNH,2006-03-23,56.37,56.55,55.85,56.25,5556400
UNH,2006-03-24,55.78,56.78,55.45,56.18,4936400
UNH,2006-03-27,54.93,55.75,54.83,55.455,9968100
UNH,2006-03-28,54.32,54.84,53.2,54.56,12199100
UNH,2006-03-29,55.98,56.55,55.3,55.63,9502700
UNH,2006-03-30,56.26,56.97,55.72,55.75,8060300
UNH,2006-03-31,55.86,56.65,55.5,56.26,9652700
UNH,2006-04-03,55.47,56.6,55.34,56.6,7591800
UNH,2006-04-04,55.3,55.7,55.0,55.4,6933900
UNH,2006-04-05,55.3,55.73,55.05,55.17,5636400
UNH,2006-04-06,54.51,55.37,53.72,55.35,11903900
UNH,2006-04-07,53.69,55.23,53.65,54.65,8039199
UNH,2006-04-10,52.43,53.63,51.43,53.6,19048000
UNH,2006-04-11,51.55,52.81,50.88,52.65,14497100
UNH,2006-04-12,53.46,53.57,51.55,51.55,12041200
UNH,2006-04-13,53.5,53.8,53.06,53.46,7683100
UNH,2006-04-14,53.5,53.8,53.06,53.46,0
UNH,2006-04-17,51.67,53.03,51.45,53.03,10397700
UNH,2006-04-18,49.67,52.93,49.51,52.7,41118700
UNH,2006-04-19,49.18,50.0,47.44,49.67,41943500
UNH,2006-04-20,50.12,50.78,49.05,49.35,19319500
UNH,2006-04-21,49.57,50.75,49.48,50.51,8933700
UNH,2006-04-24,50.16,50.43,49.1,49.48,11483100
UNH,2006-04-25,49.36,50.55,49.19,50.2,8562700
UNH,2006-04-26,48.97,50.0,48.8,49.59,12284000
UNH,2006-04-27,47.75,48.49,46.56,48.49,29484400
UNH,2006-04-28,49.74,49.9,47.92,48.0,15028300
UNH,2006-05-01,49.8,50.22,49.3,49.3,10962500
UNH,2006-05-02,48.58,50.0,48.45,49.3,11582700
UNH,2006-05-03,46.61,48.32,46.32,48.31,23745500
UNH,2006-05-04,46.53,47.15,46.08,46.6,11590200
UNH,2006-05-05,46.39,46.88,45.919,46.69,13171200
UNH,2006-05-08,45.08,46.65,44.88,46.15,19209900
UNH,2006-05-09,43.8,44.8,43.31,44.68,30258100
UNH,2006-05-10,46.17,46.43,44.31,44.79,29407900
UNH,2006-05-11,44.37,45.34,43.93,45.1,29485400
UNH,2006-05-12,45.84,46.17,43.6,43.93,17053800
UNH,2006-05-15,46.7,46.99,45.6,45.85,11571400
UNH,2006-05-16,47.01,47.9,46.89,47.07,10887100
UNH,2006-05-17,46.89,47.679,46.2,46.78,8620500
UNH,2006-05-18,45.3,46.2,44.66,46.1,17325800
UNH,2006-05-19,44.42,45.4,44.2,45.3,15463500
UNH,2006-05-22,43.52,44.57,43.38,44.43,11805000
UNH,2006-05-23,42.82,44.14,42.75,44.0,11581600
UNH,2006-05-24,42.09,42.77,41.44,42.77,19846400
UNH,2006-05-25,42.42,42.68,42.1,42.1,12355900
UNH,2006-05-26,43.12,43.4099,42.45,42.5,8601500
UNH,2006-05-29,43.12,43.4099,42.45,42.5,0
UNH,2006-05-30,43.33,43.81,42.8,42.81,8638500
UNH,2006-05-31,43.96,44.15,43.46,43.75,8574500
UNH,2006-06-01,45.72,45.9,44.08,44.14,11738500
UNH,2006-06-02,46.98,47.37,46.28,46.28,12539000
UNH,2006-06-05,46.22,47.11,46.04,46.7,6964400
UNH,2006-06-06,46.18,46.72,45.6,46.3,6501300
UNH,2006-06-07,46.28,46.88,46.19,46.49,5187100
UNH,2006-06-08,46.25,46.95,45.79,46.72,5996900
UNH,2006-06-09,45.77,46.3,45.62,46.0,5692100
UNH,2006-06-12,45.16,46.15,45.05,45.77,4516900
UNH,2006-06-13,45.43,45.65,44.75,44.82,6251300
UNH,2006-06-14,44.98,45.27,44.55,44.76,5944300
UNH,2006-06-15,44.75,45.15,44.2,45.0,7494100
UNH,2006-06-16,44.29,44.99,44.2,44.9,7075700
UNH,2006-06-19,43.5,44.5,43.31,44.49,6662000
UNH,2006-06-20,43.71,44.17,43.5,43.85,5234800
UNH,2006-06-21,44.07,44.6,43.5,43.5,5677800
UNH,2006-06-22,44.43,45.2,44.2,44.2,5785700
UNH,2006-06-23,45.23,45.68,44.1,44.14,6152000
UNH,2006-06-26,44.94,45.7,44.65,45.11,4388500
UNH,2006-06-27,44.22,44.97,44.17,44.72,4372900
UNH,2006-06-28,44.43,44.6,42.9,44.49,7223000
UNH,2006-06-29,45.01,45.82,44.43,44.43,5241700
UNH,2006-06-30,44.78,45.3,44.28,45.02,7482400
UNH,2006-07-03,45.01,45.07,44.4,44.85,2175800
UNH,2006-07-04,45.01,45.07,44.4,44.85,0
UNH,2006-07-05,45.11,45.24,44.29,45.0,4592800
UNH,2006-07-06,44.83,45.63,44.53,44.83,5048000
UNH,2006-07-07,45.39,45.59,45.01,45.02,4501000
UNH,2006-07-10,46.82,46.95,45.45,45.45,6926400
UNH,2006-07-11,48.09,48.95,46.9,46.94,15029900
UNH,2006-07-12,48.06,48.94,47.78,48.39,6512900
UNH,2006-07-13,48.01,48.74,47.81,48.07,5395800
UNH,2006-07-14,47.55,47.91,46.97,47.86,4960000
UNH,2006-07-17,47.65,48.4,47.27,47.32,4721600
UNH,2006-07-18,48.4,48.81,47.38,47.64,9148200
UNH,2006-07-19,50.93,51.14,49.65,49.91,17423500
UNH,2006-07-20,50.21,51.94,49.47,51.15,10406800
UNH,2006-07-21,50.0,50.4,49.35,50.4,7692700
UNH,2006-07-24,50.8,50.88,49.93,50.1,6817500
UNH,2006-07-25,51.49,51.67,50.48,50.81,5753800
UNH,2006-07-26,50.53,51.4199,50.28,51.25,5435400
UNH,2006-07-27,49.46,49.55,47.4,48.7,15125300
UNH,2006-07-28,47.85,50.54,47.47,49.58,10615900
UNH,2006-07-31,47.83,48.65,47.27,48.3,6349100
UNH,2006-08-01,47.82,48.0,47.46,47.5,3970000
UNH,2006-08-02,48.57,49.6,48.44,49.0,7448900
UNH,2006-08-03,47.77,48.77,47.63,48.64,5054600
UNH,2006-08-04,48.56,49.1,47.91,48.29,5243000
UNH,2006-08-07,48.49,48.94,48.14,48.14,2929700
UNH,2006-08-08,49.42,49.71,48.78,48.83,4843800
UNH,2006-08-09,48.98,49.97,48.9,49.87,3473500
UNH,2006-08-10,47.4,47.85,46.5,47.41,10715800
UNH,2006-08-11,47.57,47.74,46.98,47.08,3730700
UNH,2006-08-14,47.66,48.14,47.51,47.99,4102900
UNH,2006-08-15,48.13,48.29,47.75,48.29,2971100
UNH,2006-08-16,48.14,48.5,47.84,48.29,4012800
UNH,2006-08-17,49.04,49.38,48.12,48.14,5219300
UNH,2006-08-18,49.5,49.54,48.52,48.95,4938900
UNH,2006-08-21,49.56,49.93,49.02,49.02,3019000
UNH,2006-08-22,49.64,50.18,49.45,49.5,3895300
UNH,2006-08-23,49.64,49.95,49.45,49.65,2074300
UNH,2006-08-24,51.16,51.3,49.64,49.69,5301100
UNH,2006-08-25,50.88,51.07,50.15,50.75,2799300
UNH,2006-08-28,51.33,51.75,50.47,50.54,3981500
UNH,2006-08-29,51.03,51.59,50.6,50.75,3931400
UNH,2006-08-30,51.75,52.08,50.98,51.28,4489600
UNH,2006-08-31,51.95,52.03,51.25,51.75,4182900
UNH,2006-09-01,51.8,52.02,51.33,51.95,4299000
UNH,2006-09-04,51.8,52.02,51.33,51.95,0
UNH,2006-09-05,50.7,51.98,50.65,51.9,4510800
UNH,2006-09-06,50.42,51.1,49.71,50.51,4309400
UNH,2006-09-07,50.21,50.82,49.97,50.5,2368100
UNH,2006-09-08,50.9,51.13,50.34,50.6,3327600
UNH,2006-09-11,51.6,51.75,50.21,50.23,3687500
UNH,2006-09-12,52.53,52.67,51.64,51.64,5146200
UNH,2006-09-13,52.05,52.78,51.93,52.27,3769600
UNH,2006-09-14,51.81,52.2,51.5,52.05,3311400
UNH,2006-09-15,52.21,52.38,51.9,52.04,5864200
UNH,2006-09-18,52.09,52.84,51.93,52.15,5541400
UNH,2006-09-19,51.87,52.15,51.12,51.8,4208500
UNH,2006-09-20,51.53,51.99,51.46,51.74,2792500
UNH,2006-09-21,50.29,51.9,50.02,51.38,4925400
UNH,2006-09-22,48.97,50.3,48.9,50.3,7729100
UNH,2006-09-25,48.82,49.53,48.3,49.42,5717200
UNH,2006-09-26,48.62,49.46,48.55,49.46,5297200
UNH,2006-09-27,49.08,49.32,47.91,48.62,6485100
UNH,2006-09-28,49.46,49.51,49.0,49.2,3603400
UNH,2006-09-29,49.2,49.75,48.91,49.3,5486100
UNH,2006-10-02,49.43,49.58,48.52,49.11,4907200
UNH,2006-10-03,49.58,49.78,48.95,49.43,4590100
UNH,2006-10-04,49.56,49.7,49.02,49.34,5248000
UNH,2006-10-05,50.67,50.73,49.1,49.22,5854100
UNH,2006-10-06,51.5,52.61,50.56,50.6,9588700
UNH,2006-10-09,50.72,51.5,50.62,51.49,3742000
UNH,2006-10-10,49.65,50.98,49.56,50.95,5311400
UNH,2006-10-11,50.1,50.37,49.3,49.62,4622300
UNH,2006-10-12,49.62,50.0,49.08,50.0,4995600
UNH,2006-10-13,48.75,49.4,48.52,49.25,7691700
UNH,2006-10-16,47.54,50.36,47.15,47.15,32134200
UNH,2006-10-17,46.73,47.66,46.61,47.27,15100600
UNH,2006-10-18,48.0,48.03,46.65,47.01,9739900
UNH,2006-10-19,50.65,51.03,48.79,49.2,21274500
UNH,2006-10-20,50.7,51.45,50.58,50.85,11929400
UNH,2006-10-23,50.64,51.18,50.33,50.77,6747700
UNH,2006-10-24,49.84,50.79,49.83,50.5,7306400
UNH,2006-10-25,48.63,49.9,48.44,49.85,13025200
UNH,2006-10-26,49.37,49.65,48.9,49.3,7913900
UNH,2006-10-27,49.41,49.91,48.93,49.25,5374300
UNH,2006-10-30,49.03,49.79,48.74,49.64,5310900
UNH,2006-10-31,48.78,49.29,48.55,49.1,6331800
UNH,2006-11-01,48.3,49.54,47.86,49.34,5482700
UNH,2006-11-02,48.62,49.2,48.09,48.1,5439500
UNH,2006-11-03,47.83,48.75,47.47,48.75,6634900
UNH,2006-11-06,48.41,48.72,47.83,47.84,6200000
UNH,2006-11-07,49.57,50.0,48.35,48.76,9385300
UNH,2006-11-08,48.0,48.68,47.37,48.44,15661500
UNH,2006-11-09,45.27,48.0,45.12,48.0,21424300
UNH,2006-11-10,46.11,46.5,45.28,45.45,10432800
UNH,2006-11-13,46.75,46.86,45.8,46.24,9100900
UNH,2006-11-14,47.44,47.52,46.86,47.02,8814200
UNH,2006-11-15,47.96,48.08,47.35,47.39,7660100
UNH,2006-11-16,47.62,48.29,47.5,48.2,4998700
UNH,2006-11-17,47.25,47.68,46.88,47.6,5647800
UNH,2006-11-20,46.81,47.87,46.73,47.72,5896500
UNH,2006-11-21,46.33,47.0,46.19,47.0,6104900
UNH,2006-11-22,46.56,46.68,46.22,46.23,4841300
UNH,2006-11-23,46.56,46.68,46.22,46.23,0
UNH,2006-11-24,46.71,47.0,46.19,46.4,1842400
UNH,2006-11-27,46.18,46.89,46.18,46.7,5594800
UNH,2006-11-28,47.34,48.0,46.25,46.25,9747500
UNH,2006-11-29,47.56,47.61,46.94,47.46,8199700
UNH,2006-11-30,49.08,49.48,47.9,47.95,11021000
UNH,2006-12-01,48.83,49.84,48.485,49.44,7579700
UNH,2006-12-04,48.91,49.53,48.62,48.85,7549200
UNH,2006-12-05,48.88,49.17,48.682,49.1,4471300
UNH,2006-12-06,49.01,49.14,48.72,49.03,9750100
UNH,2006-12-07,49.49,50.25,49.0,49.08,10087900
UNH,2006-12-08,49.91,49.95,49.28,49.37,6101500
UNH,2006-12-11,50.307,50.307,49.9,49.9,4475300
UNH,2006-12-12,50.04,50.37,49.76,49.91,7158800
UNH,2006-12-13,49.71,50.56,49.64,50.43,6420100
UNH,2006-12-14,49.7,50.21,49.59,50.0,7460500
UNH,2006-12-15,50.09,50.15,49.14,49.67,7364400
UNH,2006-12-18,50.4,50.53,49.98,50.2,5386100
UNH,2006-12-19,52.33,52.53,50.494,50.5,13026100
UNH,2006-12-20,53.56,53.7,52.34,52.56,9978800
UNH,2006-12-21,53.93,54.46,53.63,53.89,8134800
UNH,2006-12-22,53.45,53.91,52.91,53.76,4556500
UNH,2006-12-25,53.45,53.91,52.91,53.76,0
UNH,2006-12-26,53.23,53.83,52.99,53.68,2310000
UNH,2006-12-27,53.38,53.6,52.05,52.34,4912600
UNH,2006-12-28,53.66,53.75,52.87,52.87,3572500
UNH,2006-12-29,53.73,54.04,53.4,53.4,4265800
UNH,2007-01-01,53.73,54.04,53.4,53.4,0
UNH,2007-01-02,53.73,54.04,53.4,53.4,0
UNH,2007-01-03,52.57,54.34,52.32,54.32,8330299
UNH,2007-01-04,52.91,53.0,52.05,52.5,5133900
UNH,2007-01-05,52.55,53.05,51.93,52.8,6179700
UNH,2007-01-08,53.32,53.49,52.22,52.45,4308400
UNH,2007-01-09,52.68,53.35,52.43,53.35,5453400
UNH,2007-01-10,52.83,53.25,52.2,52.82,5067100
UNH,2007-01-11,54.45,54.5,52.95,53.11,5486000
UNH,2007-01-12,55.1,55.34,54.25,54.4,8327800
UNH,2007-01-15,55.1,55.34,54.25,54.4,0
UNH,2007-01-16,55.75,55.95,54.72,55.1,8192900
UNH,2007-01-17,55.65,56.29,55.52,55.95,6627100
UNH,2007-01-18,53.8,54.6,53.36,54.6,12974000
UNH,2007-01-19,53.2,53.8,53.08,53.8,8109999
UNH,2007-01-22,52.19,53.25,52.05,53.2,8650200
UNH,2007-01-23,51.47,52.45,51.4,52.2,7490600
UNH,2007-01-24,51.8,52.31,50.76,51.37,8120100
UNH,2007-01-25,52.1,52.4,51.8,51.8,4963600
UNH,2007-01-26,51.54,52.14,51.28,52.06,4006100
UNH,2007-01-29,51.73,52.01,51.35,51.35,4997200
UNH,2007-01-30,52.21,52.53,51.81,52.02,5871500
UNH,2007-01-31,52.26,52.5,51.44,52.5,4209200
UNH,2007-02-01,52.8,53.22,51.78,52.27,4579500
UNH,2007-02-02,52.91,53.45,52.75,52.85,4957900
UNH,2007-02-05,52.33,52.83,51.86,51.95,6446600
UNH,2007-02-06,50.99,51.89,50.51,51.8,10944300
UNH,2007-02-07,51.25,51.39,50.99,51.39,5127500
UNH,2007-02-08,51.24,51.66,51.17,51.28,4061899
UNH,2007-02-09,50.88,51.52,50.75,51.28,4351200
UNH,2007-02-12,51.62,51.99,51.38,51.45,4221400
UNH,2007-02-13,51.61,52.2,51.46,51.94,6071016
UNH,2007-02-14,51.64,51.934,51.31,51.71,5097899
UNH,2007-02-15,53.61,54.15,51.98,52.1,8367900
UNH,2007-02-16,53.95,54.28,53.43,53.51,5745000
UNH,2007-02-19,53.95,54.28,53.43,53.51,0
UNH,2007-02-20,53.82,54.95,53.61,54.55,6184600
UNH,2007-02-21,53.53,54.13,53.21,53.83,4768400
UNH,2007-02-22,53.72,54.0,53.45,53.82,3883400
UNH,2007-02-23,53.03,54.29,52.88,54.08,4392300
UNH,2007-02-26,53.21,53.35,52.67,53.17,4691307
UNH,2007-02-27,51.71,53.68,50.94,53.22,8432400
UNH,2007-02-28,52.18,52.72,51.71,52.02,6988600
UNH,2007-03-01,52.74,53.2,51.24,52.06,8327146
UNH,2007-03-02,54.18,55.08,53.0,53.99,13067300
UNH,2007-03-05,52.96,54.85,52.93,53.9,9285231
UNH,2007-03-06,53.98,54.5,53.54,54.41,13258500
UNH,2007-03-07,53.8,54.0,53.11,53.81,6574100
UNH,2007-03-08,53.33,54.25,53.11,54.17,6009000
UNH,2007-03-09,53.0,53.8,52.84,53.5,4747200
UNH,2007-03-12,53.27,53.61,52.67,53.4,6755100
UNH,2007-03-13,53.0,54.02,52.97,53.27,10290500
UNH,2007-03-14,53.37,53.95,52.73,52.9,8592500
UNH,2007-03-15,54.05,54.23,53.18,53.37,6294800
UNH,2007-03-16,53.13,54.63,52.89,54.31,12397600
UNH,2007-03-19,54.3,54.52,53.33,53.54,7473600
UNH,2007-03-20,54.1,54.91,53.88,54.3,9080656
UNH,2007-03-21,55.03,55.14,53.3,54.05,12842418
UNH,2007-03-22,55.69,56.23,54.65,55.34,11261157
UNH,2007-03-23,56.51,56.73,55.27,55.46,8587000
UNH,2007-03-26,56.88,57.1,56.2,56.47,7069464
UNH,2007-03-27,55.85,56.61,54.9,56.0,14935500
UNH,2007-03-28,54.81,56.74,54.59,55.98,12147900
UNH,2007-03-29,52.84,53.74,52.35,53.74,26327171
UNH,2007-03-30,52.97,53.23,52.52,52.84,8639800
UNH,2007-04-02,52.97,53.95,52.97,52.97,8847400
UNH,2007-04-03,54.61,54.85,54.0,54.08,8979214
UNH,2007-04-04,55.06,55.4,54.4,54.61,8682100
UNH,2007-04-05,55.33,55.9,54.72,54.82,9037861
UNH,2007-04-06,55.33,55.9,54.72,54.82,0
UNH,2007-04-09,54.88,55.38,54.81,55.15,8092599
UNH,2007-04-10,54.24,55.09,53.91,54.85,8305566
UNH,2007-04-11,53.14,54.21,52.9,53.87,10209350
UNH,2007-04-12,53.12,53.36,52.76,52.91,5192850
UNH,2007-04-13,52.95,53.35,52.2,53.35,6941505
UNH,2007-04-16,53.85,53.85,52.75,52.96,6451599
UNH,2007-04-17,54.62,55.15,54.09,54.8,12368775
UNH,2007-04-18,54.21,54.95,53.87,54.22,7336396
UNH,2007-04-19,52.05,52.49,51.25,51.5,19583697
UNH,2007-04-20,53.2,53.85,52.11,52.49,13561396
UNH,2007-04-23,53.95,54.03,53.0,53.2,7845195
UNH,2007-04-24,54.23,54.37,53.35,53.9,9374872
UNH,2007-04-25,52.94,53.9,52.34,53.25,14376336
UNH,2007-04-26,52.71,53.62,52.18,53.1,14461855
UNH,2007-04-27,53.15,53.25,52.72,52.72,6328669
UNH,2007-04-30,53.06,53.56,52.74,53.56,7368400
UNH,2007-05-01,52.75,53.0,52.44,52.92,9125667
UNH,2007-05-02,53.79,53.95,52.72,53.1,6900366
UNH,2007-05-03,53.19,54.0,52.99,53.95,7305248
UNH,2007-05-04,53.57,53.84,53.0,53.15,5998900
UNH,2007-05-07,53.25,53.92,53.16,53.59,7176400
UNH,2007-05-08,53.11,53.25,52.78,53.0,8580463
UNH,2007-05-09,53.09,53.5,52.75,52.83,6932068
UNH,2007-05-10,53.02,53.58,52.0,52.76,4780787
UNH,2007-05-11,53.59,53.8,52.86,53.03,7410900
UNH,2007-05-14,52.83,53.49,52.78,53.46,5710381
UNH,2007-05-15,52.68,53.14,52.52,53.02,6618800
UNH,2007-05-16,53.8,53.82,52.59,52.85,6820300
UNH,2007-05-17,53.65,54.0,53.236,53.57,4794900
UNH,2007-05-18,53.47,53.8,53.14,53.73,5898740
UNH,2007-05-21,53.5,54.25,53.12,53.44,6847850
UNH,2007-05-22,53.89,54.35,53.35,53.58,6394238
UNH,2007-05-23,53.93,54.25,53.61,53.89,6657809
UNH,2007-05-24,54.21,54.43,53.67,53.79,8465220
UNH,2007-05-25,54.41,54.61,54.03,54.6,4889609
UNH,2007-05-28,54.41,54.61,54.03,54.6,0
UNH,2007-05-29,54.57,54.79,54.4,54.4,5075820
UNH,2007-05-30,54.57,54.9,54.23,54.39,4225734
UNH,2007-05-31,54.77,55.32,54.51,54.75,7206645
UNH,2007-06-01,55.21,55.47,54.82,54.94,6078963
UNH,2007-06-04,55.2,55.45,54.9,54.9,4532672
UNH,2007-06-05,54.7,55.13,54.33,54.95,5002412
UNH,2007-06-06,53.97,54.63,53.82,54.31,4604980
UNH,2007-06-07,53.36,54.24,53.07,53.07,6264700
UNH,2007-06-08,53.67,53.84,53.01,53.54,5781046
UNH,2007-06-11,53.19,53.7,53.05,53.7,4394800
UNH,2007-06-12,52.99,53.3,52.77,53.3,6574000
UNH,2007-06-13,53.11,53.26,52.35,53.26,7199700
UNH,2007-06-14,52.95,53.2,52.8,53.2,4125015
UNH,2007-06-15,52.9,53.25,52.78,53.12,7520100
UNH,2007-06-18,52.87,53.19,52.66,52.81,4317621
UNH,2007-06-19,52.74,52.93,52.6,52.69,5492100
UNH,2007-06-20,51.5,52.79,51.39,52.79,12725491
UNH,2007-06-21,51.77,51.78,51.13,51.6,7107485
UNH,2007-06-22,51.3,51.9,51.03,51.68,7963166
UNH,2007-06-25,51.5,51.78,51.21,51.55,5970345
UNH,2007-06-26,51.79,52.05,51.36,51.79,5170538
UNH,2007-06-27,51.75,51.76,51.05,51.14,4820327
UNH,2007-06-28,52.1,52.35,51.45,51.53,6534898
UNH,2007-06-29,51.14,53.0,50.7,52.5,10116420
UNH,2007-07-02,52.22,52.22,51.48,51.57,6728500
UNH,2007-07-03,52.14,52.44,51.75,52.22,2751800
UNH,2007-07-04,52.14,52.44,51.75,52.22,0
UNH,2007-07-05,52.45,52.55,51.7,52.14,6845670
UNH,2007-07-06,53.02,53.18,52.11,52.53,4825746
UNH,2007-07-09,51.97,53.07,51.95,53.0,7336142
UNH,2007-07-10,51.55,52.48,51.47,51.75,6756238
UNH,2007-07-11,51.41,51.9,51.15,51.43,9477600
UNH,2007-07-12,53.1,53.1,51.38,51.38,12038400
UNH,2007-07-13,52.98,53.08,52.37,53.0,4462506
UNH,2007-07-16,52.95,53.9,52.87,53.9,6162015
UNH,2007-07-17,53.0,53.42,52.59,52.66,5671333
UNH,2007-07-18,53.58,54.1,53.14,54.01,8993800
UNH,2007-07-19,51.89,52.3,51.3,51.95,17564910
UNH,2007-07-20,51.32,51.88,50.78,51.67,9519700
UNH,2007-07-23,51.17,51.66,51.06,51.5,6703500
UNH,2007-07-24,51.0,51.55,50.96,51.08,8541700
UNH,2007-07-25,51.21,51.42,50.7,50.99,8505300
UNH,2007-07-26,50.21,51.12,49.84,50.67,8666367
UNH,2007-07-27,49.13,50.39,49.1,49.91,10551700
UNH,2007-07-30,48.94,50.25,48.75,49.4,7833200
UNH,2007-07-31,48.43,49.23,48.13,49.16,10335900
UNH,2007-08-01,47.99,48.87,47.36,48.24,11590517
UNH,2007-08-02,48.36,48.8,47.5,47.5,10373788
UNH,2007-08-03,47.5,48.82,47.42,48.25,10751400
UNH,2007-08-06,48.5,48.55,47.51,47.75,9021200
UNH,2007-08-07,47.99,49.07,45.82,48.36,9428500
UNH,2007-08-08,47.57,48.3,46.95,48.3,10244700
UNH,2007-08-09,46.33,47.96,46.03,47.79,14475600
UNH,2007-08-10,47.48,48.01,46.05,46.85,9549390
UNH,2007-08-13,49.04,49.99,47.8,47.85,11900000
UNH,2007-08-14,48.48,49.37,48.18,49.26,6040300
UNH,2007-08-15,49.12,50.1,48.75,48.85,10221895
UNH,2007-08-16,48.86,49.13,47.99,48.6,9525500
