Symbol,Date,Close,High,Low,Open,Volume
UNM,2006-01-02,22.75,22.85,22.65,22.76,0
UNM,2006-01-03,23.15,23.16,22.66,22.85,2165900
UNM,2006-01-04,23.38,23.76,23.09,23.16,4703900
UNM,2006-01-05,23.36,23.57,23.17,23.4,4207500
UNM,2006-01-06,23.02,23.16,22.78,23.15,7128100
UNM,2006-01-09,22.99,23.09,22.9,23.01,1237200
UNM,2006-01-10,22.95,23.0,22.82,22.99,1616200
UNM,2006-01-11,23.08,23.12,22.85,22.9,1744500
UNM,2006-01-12,23.14,23.22,23.01,23.08,2268800
UNM,2006-01-13,23.08,23.23,23.03,23.14,1523300
UNM,2006-01-16,23.08,23.23,23.03,23.14,0
UNM,2006-01-17,22.92,23.1,22.87,23.08,1046000
UNM,2006-01-18,22.6,22.97,22.53,22.93,1028400
UNM,2006-01-19,22.58,22.66,22.45,22.6,2049300
UNM,2006-01-20,22.21,22.58,22.21,22.53,1850200
UNM,2006-01-23,22.28,22.5,22.21,22.21,1330100
UNM,2006-01-24,22.5,23.1,22.15,23.1,1736600
UNM,2006-01-25,22.7,22.94,22.52,22.6,1815700
UNM,2006-01-26,23.73,24.31,23.71,23.98,5297200
UNM,2006-01-27,24.05,24.44,23.85,23.9,2675600
UNM,2006-01-30,24.03,24.11,23.35,23.4,3113600
UNM,2006-01-31,20.33,21.65,19.93,21.5,14053900
UNM,2006-02-01,20.89,21.05,20.2,20.35,6688500
UNM,2006-02-02,21.0,21.12,20.86,21.0,5166500
UNM,2006-02-03,20.87,21.21,20.72,21.0,4674300
UNM,2006-02-06,21.13,21.22,20.94,21.0,2901300
UNM,2006-02-07,20.98,21.16,20.92,21.15,2208200
UNM,2006-02-08,20.94,21.05,20.73,21.05,1789300
UNM,2006-02-09,20.95,21.01,20.69,20.92,1455500
UNM,2006-02-10,21.0,21.12,20.83,20.95,2067000
UNM,2006-02-13,20.88,21.04,20.75,21.0,1084900
UNM,2006-02-14,21.07,21.12,20.85,20.9,2254100
UNM,2006-02-15,21.12,21.15,20.95,21.1,1201700
UNM,2006-02-16,21.24,21.25,21.01,21.05,1100300
UNM,2006-02-17,21.2,21.3,21.19,21.2,770200
UNM,2006-02-20,21.2,21.3,21.19,21.2,0
UNM,2006-02-21,21.0,21.2,20.83,21.2,1901800
UNM,2006-02-22,21.16,21.24,20.99,21.05,6730800
UNM,2006-02-23,21.01,21.25,20.97,21.17,1174500
UNM,2006-02-24,21.06,21.1,20.85,21.05,1200200
UNM,2006-02-27,21.1,21.15,20.81,20.98,2637900
UNM,2006-02-28,20.69,21.04,20.65,20.97,2426000
UNM,2006-03-01,20.77,20.78,20.47,20.68,2293500
UNM,2006-03-02,20.6,20.77,20.38,20.58,1878000
UNM,2006-03-03,20.48,20.65,20.41,20.5,2063600
UNM,2006-03-06,20.55,20.63,20.29,20.48,2744100
UNM,2006-03-07,20.62,20.67,20.41,20.52,1362000
UNM,2006-03-08,20.65,20.76,20.41,20.65,2185000
UNM,2006-03-09,20.47,20.75,20.45,20.65,1095300
UNM,2006-03-10,20.66,20.8,20.5,20.5,1774100
UNM,2006-03-13,20.55,20.8,20.4,20.66,1509900
UNM,2006-03-14,20.91,20.94,20.48,20.53,1011700
UNM,2006-03-15,21.08,21.1,20.75,20.95,1403500
UNM,2006-03-16,20.86,21.11,20.74,21.08,1503100
UNM,2006-03-17,21.09,21.23,20.96,21.05,1829300
UNM,2006-03-20,21.04,21.3,20.97,21.22,1497700
UNM,2006-03-21,20.73,21.04,20.64,21.04,1138300
UNM,2006-03-22,20.64,20.88,20.6,20.66,1053000
UNM,2006-03-23,20.68,20.77,20.5,20.64,1822100
UNM,2006-03-24,20.66,20.8,20.55,20.68,1212800
UNM,2006-03-27,20.53,20.65,20.41,20.55,875100
UNM,2006-03-28,20.45,20.6,20.38,20.53,1050000
UNM,2006-03-29,20.74,20.89,20.36,20.4,793100
UNM,2006-03-30,20.68,20.86,20.61,20.7,545600
UNM,2006-03-31,20.48,20.74,20.46,20.68,1160200
UNM,2006-04-03,20.62,20.88,20.4,20.55,1556700
UNM,2006-04-04,20.65,20.8,20.61,20.7,1591600
UNM,2006-04-05,20.7,20.83,20.54,20.65,1415800
UNM,2006-04-06,19.7,20.62,19.61,20.61,4585400
UNM,2006-04-07,19.22,19.95,19.07,19.7,3099000
UNM,2006-04-10,19.48,19.51,19.24,19.28,1698000
UNM,2006-04-11,19.28,19.7,19.26,19.7,1929500
UNM,2006-04-12,19.21,19.41,19.21,19.37,1493800
UNM,2006-04-13,19.01,19.33,18.99,19.28,4841500
UNM,2006-04-14,19.01,19.33,18.99,19.28,0
UNM,2006-04-17,19.06,19.31,19.0401,19.1,4792300
UNM,2006-04-18,19.05,19.25,18.91,19.24,2337000
UNM,2006-04-19,19.42,19.6,19.05,19.05,2273200
UNM,2006-04-20,19.1,19.21,18.84,19.21,3410800
UNM,2006-04-21,19.35,19.58,19.2,19.5,3785300
UNM,2006-04-24,19.5,19.59,19.26,19.32,2152900
UNM,2006-04-25,19.82,19.86,19.42,19.5,2513600
UNM,2006-04-26,20.12,20.18,19.86,19.9,2015400
UNM,2006-04-27,20.35,20.39,19.9,19.9,1970800
UNM,2006-04-28,20.31,20.46,20.16,20.21,1985500
UNM,2006-05-01,19.79,20.25,19.79,19.99,3606200
UNM,2006-05-02,20.21,20.21,19.91,20.0,2018600
UNM,2006-05-03,20.0,20.3,19.94,20.0,2171300
UNM,2006-05-04,18.59,18.85,17.4,18.81,11967100
UNM,2006-05-05,18.79,18.92,18.34,18.34,3958500
UNM,2006-05-08,18.13,18.9,18.11,18.8,5881700
UNM,2006-05-09,18.29,18.37,18.1,18.13,3601400
UNM,2006-05-10,18.36,18.39,18.13,18.26,2668000
UNM,2006-05-11,18.12,18.3,18.1,18.25,2242900
UNM,2006-05-12,17.83,18.16,17.81,18.08,2324000
UNM,2006-05-15,17.8,17.93,17.69,17.73,3238300
UNM,2006-05-16,17.97,18.05,17.7,17.75,3751700
UNM,2006-05-17,17.39,17.96,17.37,17.95,4911000
UNM,2006-05-18,17.44,17.58,17.18,17.24,3863900
UNM,2006-05-19,17.25,17.5,17.18,17.47,4200000
UNM,2006-05-22,17.42,17.48,17.08,17.15,3292500
UNM,2006-05-23,17.41,17.54,17.22,17.47,2521100
UNM,2006-05-24,17.44,17.68,17.17,17.35,2693800
UNM,2006-05-25,17.44,17.6,17.33,17.48,1149200
UNM,2006-05-26,17.87,17.93,17.44,17.59,2566300
UNM,2006-05-29,17.87,17.93,17.44,17.59,0
UNM,2006-05-30,17.7,17.84,17.61,17.78,1924400
UNM,2006-05-31,17.96,17.97,17.66,17.73,1632200
UNM,2006-06-01,18.18,18.19,17.82,17.94,2326100
UNM,2006-06-02,18.18,18.25,18.01,18.12,1349100
UNM,2006-06-05,17.79,18.18,17.79,18.18,1480400
UNM,2006-06-06,17.8,17.89,17.52,17.8,1968100
UNM,2006-06-07,18.1,18.4,17.7,17.87,2155400
UNM,2006-06-08,18.24,18.24,17.77,18.09,2136000
UNM,2006-06-09,18.17,18.23,17.97,18.22,1525600
UNM,2006-06-12,18.14,18.27,17.98,18.21,1545000
UNM,2006-06-13,17.98,18.13,17.84,18.04,2365500
UNM,2006-06-14,17.73,18.1,17.68,17.98,1854600
UNM,2006-06-15,18.33,18.4,17.84,17.84,1073200
UNM,2006-06-16,18.16,18.33,18.05,18.15,2196800
UNM,2006-06-19,17.94,18.56,17.74,18.24,2878300
UNM,2006-06-20,18.17,18.35,17.95,17.95,1644800
UNM,2006-06-21,18.05,18.33,18.04,18.23,928700
UNM,2006-06-22,17.85,18.06,17.85,18.06,1328600
UNM,2006-06-23,17.92,17.97,17.63,17.79,913400
UNM,2006-06-26,18.04,18.11,17.85,17.87,809900
UNM,2006-06-27,17.73,18.12,17.7,17.97,1210400
UNM,2006-06-28,17.76,17.95,17.7,17.8,941200
UNM,2006-06-29,18.09,18.15,17.81,17.91,971900
UNM,2006-06-30,18.13,18.24,18.07,18.16,1515500
UNM,2006-07-03,18.14,18.22,17.79,18.18,1091400
UNM,2006-07-04,18.14,18.22,17.79,18.18,0
UNM,2006-07-05,17.68,18.13,17.68,18.06,1454300
UNM,2006-07-06,17.36,17.47,16.65,17.1,3211500
UNM,2006-07-07,17.2,17.4,17.09,17.4,1357100
UNM,2006-07-10,17.08,17.28,17.06,17.2,1110300
UNM,2006-07-11,17.0,17.18,16.76,17.11,1764600
UNM,2006-07-12,16.65,17.04,16.59,17.0,2330500
UNM,2006-07-13,16.49,16.83,16.46,16.66,1734700
UNM,2006-07-14,16.46,16.53,16.31,16.52,1293000
UNM,2006-07-17,16.41,16.65,16.38,16.49,1070100
UNM,2006-07-18,16.4,16.65,16.3,16.42,1405700
UNM,2006-07-19,16.89,16.97,16.46,16.46,1538100
UNM,2006-07-20,16.87,17.1,16.86,16.89,844800
UNM,2006-07-21,16.78,17.0,16.77,16.9,1762500
UNM,2006-07-24,16.68,16.91,16.65,16.83,1077800
UNM,2006-07-25,16.61,16.8,16.54,16.74,1886800
UNM,2006-07-26,16.75,16.8,16.57,16.62,1926300
UNM,2006-07-27,16.35,16.7,16.32,16.68,2142200
UNM,2006-07-28,16.28,16.5,16.26,16.39,1427600
UNM,2006-07-31,16.23,16.42,16.15,16.24,2247200
UNM,2006-08-01,16.58,16.59,16.21,16.26,2120100
UNM,2006-08-02,16.6,16.83,16.43,16.64,1590100
UNM,2006-08-03,16.67,16.96,16.45,16.95,4569700
UNM,2006-08-04,16.45,16.9,16.38,16.8,2067000
UNM,2006-08-07,16.29,16.48,16.24,16.48,1708300
UNM,2006-08-08,16.33,16.46,16.23,16.38,1550700
UNM,2006-08-09,16.9,17.31,16.59,16.6,6040100
UNM,2006-08-10,17.16,17.22,16.78,16.9,1740800
UNM,2006-08-11,17.04,17.18,16.89,17.08,1902500
UNM,2006-08-14,16.93,17.33,16.87,17.19,1602300
UNM,2006-08-15,17.56,17.69,17.29,17.34,2352600
UNM,2006-08-16,17.93,17.93,17.62,17.62,1384600
UNM,2006-08-17,18.23,18.23,17.906,17.93,1327800
UNM,2006-08-18,18.18,18.25,18.03,18.23,1898500
UNM,2006-08-21,18.18,18.22,18.08,18.18,1117700
