Symbol,Date,Close,High,Low,Open,Volume
UPS,2006-01-02,75.15,75.65,74.8,74.8,0
UPS,2006-01-03,75.55,76.14,73.699,76.14,3555000
UPS,2006-01-04,75.65,76.1,75.35,75.65,2759800
UPS,2006-01-05,75.68,76.06,75.47,75.65,2212300
UPS,2006-01-06,75.23,76.0,74.57,75.93,2948800
UPS,2006-01-09,76.15,76.34,75.1,75.21,2989100
UPS,2006-01-10,75.74,76.15,75.51,76.15,2113600
UPS,2006-01-11,75.35,75.96,75.12,75.96,1822700
UPS,2006-01-12,74.67,75.03,74.28,74.93,2721200
UPS,2006-01-13,74.5,75.23,74.25,74.98,1746900
UPS,2006-01-16,74.5,75.23,74.25,74.98,0
UPS,2006-01-17,74.92,75.49,74.69,75.0,2854100
UPS,2006-01-18,75.08,75.91,74.67,74.93,2372300
UPS,2006-01-19,76.58,76.99,75.5,75.79,2517500
UPS,2006-01-20,75.24,76.98,75.0,76.69,4256100
UPS,2006-01-23,75.21,75.71,74.63,75.68,2359800
UPS,2006-01-24,76.15,76.5,75.26,75.49,3172000
UPS,2006-01-25,76.76,76.94,75.8,76.55,3574600
UPS,2006-01-26,75.55,76.7,74.26,76.7,6623700
UPS,2006-01-27,75.4,75.84,74.99,75.8,4092700
UPS,2006-01-30,74.9,75.71,74.9,75.55,2288400
UPS,2006-01-31,74.91,75.45,74.62,74.91,2478800
UPS,2006-02-01,74.76,74.96,74.27,74.93,2325900
UPS,2006-02-02,73.71,75.1,73.7,74.74,2324200
UPS,2006-02-03,73.06,73.3,72.75,73.0,2476200
UPS,2006-02-06,73.49,73.79,72.95,73.06,1761600
UPS,2006-02-07,72.79,73.85,72.74,73.62,2515400
UPS,2006-02-08,73.88,74.0,72.8,72.8,2091200
UPS,2006-02-09,73.77,73.9,73.42,73.9,2030600
UPS,2006-02-10,74.78,75.26,73.78,73.9,2859000
UPS,2006-02-13,75.03,75.28,74.36,74.4,1659300
UPS,2006-02-14,75.92,76.28,75.02,75.25,3474600
UPS,2006-02-15,76.3,76.35,75.28,75.93,2005100
UPS,2006-02-16,76.1,76.19,75.5,75.9,2107700
UPS,2006-02-17,76.25,76.32,75.81,76.3,2204800
UPS,2006-02-20,76.25,76.32,75.81,76.3,0
UPS,2006-02-21,75.25,76.18,74.86,76.16,2425400
UPS,2006-02-22,75.87,76.12,75.55,75.73,1960100
UPS,2006-02-23,75.27,75.9,75.21,75.35,1839100
UPS,2006-02-24,75.32,75.81,75.01,75.38,1983000
UPS,2006-02-27,75.95,76.0,75.32,75.32,1440400
UPS,2006-02-28,74.71,75.91,74.63,75.8,2790100
UPS,2006-03-01,75.32,75.5,74.88,75.1,2230200
UPS,2006-03-02,74.95,75.17,74.52,75.07,2060299
UPS,2006-03-03,75.51,76.0,74.42,74.43,2804000
UPS,2006-03-06,76.1,76.33,75.15,75.4,2506200
UPS,2006-03-07,76.9,76.97,75.94,76.17,2683000
UPS,2006-03-08,77.0,77.0,76.01,76.75,2959500
UPS,2006-03-09,76.7,77.23,76.42,76.9,2428100
UPS,2006-03-10,77.36,77.51,76.43,76.7,2733100
UPS,2006-03-13,76.89,77.7,76.7,77.69,1806600
UPS,2006-03-14,78.1,78.18,76.83,76.89,3167500
UPS,2006-03-15,78.23,78.39,77.66,77.94,2675600
UPS,2006-03-16,78.0,78.17,77.56,78.0,3196200
UPS,2006-03-17,78.14,78.32,77.89,78.3,3406700
UPS,2006-03-20,78.22,78.4,77.81,78.1,1972600
UPS,2006-03-21,78.04,78.49,77.96,78.47,2428900
UPS,2006-03-22,78.85,78.91,77.85,78.04,2282900
UPS,2006-03-23,78.86,78.96,78.36,78.86,2460300
UPS,2006-03-24,78.82,78.9,78.08,78.08,1854900
UPS,2006-03-27,78.89,79.07,78.56,78.82,1760800
UPS,2006-03-28,78.87,79.15,78.07,78.07,1993000
UPS,2006-03-29,79.6,79.88,78.91,79.12,3118100
UPS,2006-03-30,79.52,80.18,79.26,79.45,3331300
UPS,2006-03-31,79.38,79.98,79.36,79.67,3160700
UPS,2006-04-03,79.58,80.03,79.25,79.8,2989200
UPS,2006-04-04,80.65,80.89,79.6742,79.8,3409400
UPS,2006-04-05,80.91,81.11,80.54,80.64,2822000
UPS,2006-04-06,81.35,81.47,80.15,80.84,2640000
UPS,2006-04-07,81.74,81.83,81.03,81.35,3750900
UPS,2006-04-10,81.57,81.96,81.02,81.8,2025700
UPS,2006-04-11,81.27,81.75,80.77,81.7,2730100
UPS,2006-04-12,81.46,81.7,81.26,81.6,2118700
UPS,2006-04-13,81.6,81.63,81.22,81.47,1606800
UPS,2006-04-14,81.6,81.63,81.22,81.47,0
UPS,2006-04-17,81.04,81.75,80.91,81.48,2488100
UPS,2006-04-18,82.4,82.57,81.23,81.84,3645300
UPS,2006-04-19,82.52,82.87,82.18,82.85,2328300
UPS,2006-04-20,82.05,82.57,81.5,81.5,3571200
UPS,2006-04-21,82.03,82.64,81.57,82.46,2666800
UPS,2006-04-24,81.99,82.42,81.77,82.03,2208700
UPS,2006-04-25,80.9,82.01,80.68,82.0,3023100
UPS,2006-04-26,80.98,81.4,80.5,80.93,1786000
UPS,2006-04-27,81.45,81.67,80.52,80.91,2863400
UPS,2006-04-28,81.07,81.39,80.8,81.39,2574300
UPS,2006-05-01,80.88,81.42,80.6,81.32,2332800
UPS,2006-05-02,81.63,81.95,80.69,81.42,2217800
UPS,2006-05-03,81.65,82.15,81.33,81.63,2081100
UPS,2006-05-04,82.4,82.86,81.99,82.0,2550500
UPS,2006-05-05,83.35,83.91,82.74,83.0,3522800
UPS,2006-05-08,83.11,83.99,83.04,83.98,2047000
UPS,2006-05-09,83.1,83.44,82.51,83.12,1901400
UPS,2006-05-10,82.85,83.0,82.47,82.75,2200600
UPS,2006-05-11,81.83,82.55,81.37,82.47,2234800
UPS,2006-05-12,80.86,81.84,80.75,81.83,2332700
UPS,2006-05-15,81.32,81.67,80.3,80.5,2400000
UPS,2006-05-16,80.76,81.4,80.76,81.32,1804100
UPS,2006-05-17,79.73,80.52,79.38,80.26,3016600
UPS,2006-05-18,79.5,80.3,79.48,80.0,3285900
UPS,2006-05-19,79.94,80.23,79.31,79.6,2795400
UPS,2006-05-22,80.3,80.94,79.52,80.3,3233400
UPS,2006-05-23,80.5,81.4,80.41,80.55,3136200
UPS,2006-05-24,80.0,80.77,79.6,80.2,3639100
UPS,2006-05-25,80.55,81.17,80.37,80.6,1963100
UPS,2006-05-26,81.03,81.07,80.5,80.88,1383200
UPS,2006-05-29,81.03,81.07,80.5,80.88,0
UPS,2006-05-30,79.8,80.79,79.7,80.78,1792100
UPS,2006-05-31,80.55,80.55,79.77,80.05,2606500
UPS,2006-06-01,81.01,81.15,80.32,80.87,1864400
UPS,2006-06-02,81.05,81.25,80.67,81.01,2097700
UPS,2006-06-05,79.61,81.11,79.49,81.02,2044299
UPS,2006-06-06,80.04,80.18,78.91,79.75,2023600
UPS,2006-06-07,79.63,80.88,79.58,80.1,2312300
UPS,2006-06-08,79.85,79.85,79.58,79.66,3121200
UPS,2006-06-09,78.99,80.31,78.96,79.58,2006700
UPS,2006-06-12,78.66,79.54,78.66,79.2,1624400
UPS,2006-06-13,78.72,79.6,78.52,78.8,2398500
UPS,2006-06-14,78.2,78.95,77.55,78.47,2906800
UPS,2006-06-15,79.56,79.69,78.0,78.18,3227600
UPS,2006-06-16,79.28,79.95,79.24,79.56,3471800
