Symbol,Date,Close,High,Low,Open,Volume
URI,2006-01-02,23.39,23.79,23.16,23.79,0
URI,2006-01-03,23.82,23.87,23.07,23.59,728200
URI,2006-01-04,23.74,23.94,23.52,23.82,561000
URI,2006-01-05,23.84,23.9,23.57,23.67,747700
URI,2006-01-06,23.8,23.99,23.58,23.99,391200
URI,2006-01-09,24.11,24.2,23.75,23.84,669600
URI,2006-01-10,24.98,25.0,23.98,24.12,939200
URI,2006-01-11,24.94,25.02,24.73,25.0,720800
URI,2006-01-12,25.0,25.11,24.82,24.95,752600
URI,2006-01-13,25.02,25.18,24.87,25.05,679100
URI,2006-01-16,25.02,25.18,24.87,25.05,0
URI,2006-01-17,24.95,24.99,24.62,24.95,490200
URI,2006-01-18,24.9,25.0,24.8,24.89,631400
URI,2006-01-19,25.64,25.87,24.91,24.93,952600
URI,2006-01-20,25.0,25.76,24.72,25.76,1114800
URI,2006-01-23,25.11,25.3,24.95,25.05,661200
URI,2006-01-24,25.1,25.2,24.82,25.14,713300
URI,2006-01-25,25.3,25.35,25.0,25.11,448000
URI,2006-01-26,28.8,28.93,26.05,26.05,3803400
URI,2006-01-27,29.1,29.1,28.55,28.55,2655500
URI,2006-01-30,29.23,29.3,28.5,28.85,1486800
URI,2006-01-31,29.31,29.47,29.0,29.24,1194900
URI,2006-02-01,29.71,29.89,29.19,29.31,1482100
URI,2006-02-02,29.97,30.36,29.67,29.8,1218000
URI,2006-02-03,29.85,30.06,29.6,29.77,421300
URI,2006-02-06,29.65,29.95,29.49,29.95,449600
URI,2006-02-07,29.28,29.94,29.12,29.9,841000
URI,2006-02-08,29.91,29.91,29.09,29.51,491800
URI,2006-02-09,29.89,30.09,29.85,29.95,576500
URI,2006-02-10,29.95,30.02,29.29,29.94,665900
URI,2006-02-13,29.75,29.95,29.56,29.95,362200
URI,2006-02-14,30.58,30.63,29.64,29.8,1011600
URI,2006-02-15,31.04,31.29,30.5,30.64,738000
URI,2006-02-16,31.29,31.43,31.07,31.1,525600
URI,2006-02-17,31.39,31.63,30.89,30.89,290700
URI,2006-02-20,31.39,31.63,30.89,30.89,0
URI,2006-02-21,31.49,31.66,31.3,31.51,435200
URI,2006-02-22,31.63,31.85,31.36,31.6,417300
URI,2006-02-23,31.43,31.88,31.29,31.64,405600
URI,2006-02-24,32.9,33.5,32.0,32.0,971900
URI,2006-02-27,32.84,33.03,32.65,32.9,820800
URI,2006-02-28,32.6,32.85,32.41,32.84,690900
URI,2006-03-01,33.14,33.14,32.5,32.71,726900
URI,2006-03-02,33.16,33.4,33.03,33.1,650800
URI,2006-03-03,33.33,33.73,33.04,33.1,617200
URI,2006-03-06,34.02,34.29,32.38,32.38,1245700
URI,2006-03-07,31.76,34.65,31.501,34.65,2477000
URI,2006-03-08,31.83,32.14,31.26,31.91,1359700
URI,2006-03-09,31.29,31.85,31.22,31.83,528600
URI,2006-03-10,31.4,31.71,30.44,31.2,562800
URI,2006-03-13,32.56,32.59,31.5,31.5,1176200
URI,2006-03-14,33.54,33.54,32.2401,32.56,781200
URI,2006-03-15,33.88,34.0,33.13,33.5,622600
URI,2006-03-16,34.11,34.5,33.78,33.99,983400
URI,2006-03-17,33.8,34.27,33.71,34.11,1262500
URI,2006-03-20,33.35,33.91,33.33,33.8,980800
URI,2006-03-21,32.52,33.39,32.52,33.33,980100
URI,2006-03-22,32.49,32.79,32.36,32.53,792300
