Symbol,Date,Close,High,Low,Open,Volume
USB,2006-01-02,29.89,30.11,29.75,30.02,0
USB,2006-01-03,30.28,30.33,29.72,30.05,5830600
USB,2006-01-04,30.39,30.69,30.28,30.32,5491600
USB,2006-01-05,30.54,30.7,30.325,30.33,4561700
USB,2006-01-06,30.78,30.85,30.38,30.75,4272300
USB,2006-01-09,30.79,30.95,30.61,30.72,3734600
USB,2006-01-10,30.65,30.72,30.39,30.7,3309200
USB,2006-01-11,30.52,30.69,30.35,30.63,3485000
USB,2006-01-12,30.39,30.52,30.25,30.52,4607100
USB,2006-01-13,30.59,30.66,30.35,30.55,3236800
USB,2006-01-16,30.59,30.66,30.35,30.55,0
USB,2006-01-17,30.03,30.5,29.93,30.0,5649300
USB,2006-01-18,29.93,30.2,29.7,30.03,4610100
USB,2006-01-19,29.64,30.01,29.6,29.97,10594800
USB,2006-01-20,29.03,29.61,29.01,29.6,10391300
USB,2006-01-23,29.16,29.26,28.99,29.1,5376500
USB,2006-01-24,29.18,29.44,29.06,29.32,5503900
USB,2006-01-25,29.17,29.29,29.1,29.2,4547400
USB,2006-01-26,29.61,30.07,29.38,29.74,5575600
USB,2006-01-27,29.89,29.89,29.63,29.63,4145699
USB,2006-01-30,29.69,29.81,29.5,29.75,4391600
USB,2006-01-31,29.91,29.97,29.58,29.67,5656600
USB,2006-02-01,29.83,29.92,29.65,29.82,5340400
USB,2006-02-02,29.52,29.8,29.37,29.8,3657600
USB,2006-02-03,29.3,29.63,29.16,29.26,4726300
USB,2006-02-06,29.41,29.48,29.27,29.3,3240000
USB,2006-02-07,29.45,29.45,29.27,29.27,4609100
USB,2006-02-08,29.65,29.65,29.28,29.28,3206800
USB,2006-02-09,29.62,29.86,29.45,29.57,3387100
USB,2006-02-10,29.96,30.0,29.4,29.45,4482300
USB,2006-02-13,29.94,29.98,29.81,29.87,2971800
USB,2006-02-14,30.18,30.42,29.88,29.97,5431200
USB,2006-02-15,30.32,30.46,30.02,30.06,4300600
USB,2006-02-16,30.45,30.48,30.14,30.18,5429000
USB,2006-02-17,30.47,30.53,30.31,30.31,3936800
USB,2006-02-20,30.47,30.53,30.31,30.31,0
USB,2006-02-21,30.22,30.55,30.17,30.47,3808000
USB,2006-02-22,30.79,30.98,30.235,30.25,6132400
USB,2006-02-23,30.92,31.0,30.56,30.83,3772000
USB,2006-02-24,30.93,31.0,30.87,30.89,2795900
USB,2006-02-27,31.12,31.27,30.89,30.89,5044700
USB,2006-02-28,30.91,31.05,30.75,30.97,4120900
USB,2006-03-01,31.05,31.21,30.86,30.9,3528500
USB,2006-03-02,30.7,30.91,30.5,30.86,3521700
USB,2006-03-03,30.4,30.82,30.38,30.52,3951000
USB,2006-03-06,30.33,30.49,30.2,30.46,3792000
