Symbol,Date,Close,High,Low,Open,Volume
UTX,2006-01-02,55.91,56.128,55.59,56.05,0
UTX,2006-01-03,56.53,56.66,55.46,56.45,3716400
UTX,2006-01-04,56.19,56.8,55.84,56.8,2978400
UTX,2006-01-05,55.98,56.49,55.63,56.3,3019500
UTX,2006-01-06,56.16,56.67,56.096,56.45,2796800
UTX,2006-01-09,56.8,56.9,56.16,56.37,2467200
UTX,2006-01-10,56.84,57.02,56.05,56.44,3650000
UTX,2006-01-11,55.98,56.77,55.59,56.7,3152900
UTX,2006-01-12,55.46,55.92,55.12,55.75,3857300
UTX,2006-01-13,55.66,55.95,55.55,55.55,2006200
UTX,2006-01-16,55.66,55.95,55.55,55.55,0
UTX,2006-01-17,55.98,56.48,55.82,55.85,3090900
UTX,2006-01-18,55.99,56.53,55.39,56.15,2574400
UTX,2006-01-19,55.98,56.31,55.28,55.65,2576900
UTX,2006-01-20,55.01,56.06,54.7,55.98,4388400
UTX,2006-01-23,54.47,55.08,54.2,55.01,3236900
UTX,2006-01-24,56.45,56.73,55.15,55.76,6785900
UTX,2006-01-25,57.0,57.0,56.43,56.45,6429700
UTX,2006-01-26,57.52,57.55,56.48,57.47,6639500
UTX,2006-01-27,58.75,59.34,57.6,58.24,6284200
UTX,2006-01-30,58.36,58.8,57.86,58.54,4653500
UTX,2006-01-31,58.37,58.98,57.98,58.0,3890300
UTX,2006-02-01,58.0,58.84,57.6,58.12,4613900
UTX,2006-02-02,57.75,58.4,57.63,58.2,3574900
UTX,2006-02-03,57.18,57.98,57.0,57.76,4840800
UTX,2006-02-06,57.09,57.36,56.86,57.35,3346900
UTX,2006-02-07,56.89,57.22,56.75,57.21,3313600
UTX,2006-02-08,56.72,57.01,56.51,56.79,2780900
UTX,2006-02-09,56.71,57.09,56.2,56.84,2953700
UTX,2006-02-10,57.13,57.46,56.47,56.93,2894900
UTX,2006-02-13,57.34,57.46,56.89,57.15,2523400
UTX,2006-02-14,58.13,58.35,57.16,57.34,2676400
UTX,2006-02-15,58.13,58.39,57.65,57.92,2344800
UTX,2006-02-16,58.2,58.33,57.84,58.1,2604300
UTX,2006-02-17,58.0,58.42,57.66,58.3,3081300
UTX,2006-02-20,58.0,58.42,57.66,58.3,0
UTX,2006-02-21,58.83,58.94,58.07,58.25,3177600
UTX,2006-02-22,58.88,58.99,58.53,58.94,3383900
UTX,2006-02-23,58.55,58.95,58.5,58.88,2289500
UTX,2006-02-24,58.89,59.15,58.07,58.35,2449500
UTX,2006-02-27,58.76,59.3,58.76,58.88,3230200
UTX,2006-02-28,58.5,59.15,58.19,58.7,3036300
UTX,2006-03-01,58.7,59.09,58.41,58.5,3421800
