Symbol,Date,Close,High,Low,Open,Volume
VAR,2006-01-02,44.5781,45.0563,44.5781,44.7641,0
VAR,2006-01-03,44.2505,44.5338,43.5774,44.4895,1369672
VAR,2006-01-04,44.153,44.3479,43.48,44.1619,1158840
VAR,2006-01-05,43.3915,44.0556,42.8602,44.0114,1121800
VAR,2006-01-06,43.2498,43.7457,42.931,43.3915,1237662
VAR,2006-01-09,44.0733,44.153,43.2586,43.3915,1260360
VAR,2006-01-10,44.7729,44.8438,43.7014,43.8785,970142
VAR,2006-01-11,46.6591,46.8451,44.6312,44.6489,1641935
VAR,2006-01-12,46.5617,47.3764,46.4023,46.5086,1456624
VAR,2006-01-13,46.9336,47.2701,46.0481,46.0481,1041172
VAR,2006-01-16,46.9336,47.2701,46.0481,46.0481,0
VAR,2006-01-17,47.0222,47.3056,46.8805,46.9336,646610
VAR,2006-01-18,47.8192,47.9963,47.0045,47.0045,958510
VAR,2006-01-19,48.1823,48.625,48.1026,48.2442,948347
VAR,2006-01-20,47.4118,49.4043,46.9602,49.4043,2424847
VAR,2006-01-23,46.3669,47.828,46.1809,47.8192,1376899
VAR,2006-01-24,47.8812,48.2797,46.4023,46.4023,1697720
VAR,2006-01-25,48.5985,48.6339,47.9963,48.4125,991597
VAR,2006-01-26,51.0337,52.2469,49.0678,49.1475,4205003
VAR,2006-01-27,53.0527,54.6378,51.2728,51.3259,3147456
VAR,2006-01-30,52.9996,53.345,52.6011,53.0439,1894549
VAR,2006-01-31,53.3184,53.6992,52.9199,52.9376,1712852
VAR,2006-02-01,53.6903,53.8674,53.1324,53.1324,1248954
VAR,2006-02-02,52.7339,52.9287,52.3443,52.7782,1609638
VAR,2006-02-03,53.0439,53.3007,52.5303,52.6454,1108249
VAR,2006-02-06,52.9642,53.2387,52.486,53.1059,983467
VAR,2006-02-07,52.3797,52.9996,52.2823,52.9642,1059804
VAR,2006-02-08,52.6542,52.8225,52.1495,52.6011,642432
VAR,2006-02-09,53.1501,53.7434,52.6897,52.6897,832598
VAR,2006-02-10,53.0439,53.3538,52.9022,53.2387,1092553
VAR,2006-02-13,52.362,53.0084,52.2203,52.911,679697
VAR,2006-02-14,52.1937,53.0616,51.9547,52.6011,1471079
VAR,2006-02-15,52.7959,52.8668,51.6978,52.0432,1151500
VAR,2006-02-16,52.8668,53.0084,52.5303,52.7694,892675
VAR,2006-02-17,53.4158,53.4158,52.6631,52.9553,1422747
VAR,2006-02-20,53.4158,53.4158,52.6631,52.9553,0
VAR,2006-02-21,52.3354,54.0003,52.2912,53.5752,968787
VAR,2006-02-22,52.8668,53.0793,52.4771,52.6719,938748
VAR,2006-02-23,52.8402,53.1678,52.5125,52.8933,589809
VAR,2006-02-24,52.3443,52.8313,52.1318,52.8313,1271314
VAR,2006-02-27,52.3709,52.6897,52.1141,52.3797,1116267
VAR,2006-02-28,51.2551,52.4063,50.9628,52.2646,1316823
VAR,2006-03-01,51.7864,52.1052,51.14,51.4942,776136
VAR,2006-03-02,51.4676,51.6624,50.9894,51.3613,750502
VAR,2006-03-03,51.2374,51.7156,51.1754,51.4942,734466
VAR,2006-03-06,50.343,51.4056,50.2633,51.3082,846150
VAR,2006-03-07,50.4227,50.6972,50.095,50.2898,723174
VAR,2006-03-08,50.4492,50.5555,49.8595,50.3075,973755
VAR,2006-03-09,49.8648,50.6618,49.8028,50.3872,548252
VAR,2006-03-10,47.6775,49.6168,46.5706,49.6168,4288680
VAR,2006-03-13,48.4833,48.5985,47.8635,47.9963,1175440
VAR,2006-03-14,49.236,49.5991,48.3682,48.5099,1222756
VAR,2006-03-15,50.1924,50.4935,48.935,49.2449,1186507
VAR,2006-03-16,49.8382,50.8654,49.7497,50.1924,625493
VAR,2006-03-17,50.3075,50.5909,49.9268,50.0153,817354
VAR,2006-03-20,50.1836,50.5732,49.8116,50.3075,624703
VAR,2006-03-21,49.6877,50.9363,49.484,50.1216,700250
VAR,2006-03-22,50.7946,50.892,49.0058,49.0589,614991
VAR,2006-03-23,50.1127,50.7415,49.7674,50.7415,380332
VAR,2006-03-24,50.6883,50.9097,50.0065,50.0507,373783
VAR,2006-03-27,49.7142,50.6529,49.5194,50.6529,576822
