Symbol,Date,Close,High,Low,Open,Volume
VLO,2006-01-02,51.6,52.05,50.83,51.13,0
VLO,2006-01-03,54.36,54.53,52.5,52.55,13219300
VLO,2006-01-04,54.91,55.13,53.55,53.6,8942900
VLO,2006-01-05,54.77,55.15,53.5,54.8,9234200
VLO,2006-01-06,55.89,56.44,55.39,55.95,10269300
VLO,2006-01-09,56.25,56.59,55.6,56.49,7584500
VLO,2006-01-10,56.77,58.3,56.2,56.38,11219300
VLO,2006-01-11,56.95,57.63,55.06,56.89,11440600
VLO,2006-01-12,57.4,59.03,57.03,57.74,10799200
VLO,2006-01-13,58.24,58.46,57.05,57.05,6176800
VLO,2006-01-16,58.24,58.46,57.05,57.05,0
VLO,2006-01-17,60.17,60.4,59.23,60.21,10530200
VLO,2006-01-18,59.66,60.5,57.58,60.3,11042300
VLO,2006-01-19,60.22,60.6,58.85,59.5,11699600
VLO,2006-01-20,60.32,61.84,60.03,60.73,11554700
VLO,2006-01-23,61.17,61.28,59.3,60.02,8126400
VLO,2006-01-24,60.3,61.31,59.82,60.62,7859100
VLO,2006-01-25,58.37,61.15,57.62,61.09,12054000
VLO,2006-01-26,59.18,59.25,56.65,58.8,11563600
VLO,2006-01-27,60.07,60.64,59.21,59.98,7714900
VLO,2006-01-30,63.2,63.25,60.65,61.0,11340500
VLO,2006-01-31,62.43,63.7,60.8,62.1,13754300
VLO,2006-02-01,59.64,62.79,59.0,62.43,12158500
VLO,2006-02-02,58.18,60.0,57.55,59.49,12060600
VLO,2006-02-03,58.63,59.4,57.5,58.7,9743900
VLO,2006-02-06,59.5,60.45,58.75,59.75,7274700
VLO,2006-02-07,56.61,58.75,56.36,58.75,10419400
VLO,2006-02-08,55.91,57.18,54.6,57.0,13588200
VLO,2006-02-09,52.98,57.09,52.8,57.09,15313500
VLO,2006-02-10,50.65,53.03,49.65,53.03,32551600
VLO,2006-02-13,50.59,51.89,50.43,50.89,14320800
VLO,2006-02-14,49.75,50.2,47.99,49.1,16360800
VLO,2006-02-15,50.57,51.51,50.27,50.65,17184700
VLO,2006-02-16,53.82,53.85,51.4,51.68,16529300
VLO,2006-02-17,54.49,55.0,53.92,54.52,12002500
VLO,2006-02-20,54.49,55.0,53.92,54.52,0
VLO,2006-02-21,55.52,56.85,55.25,55.99,12125100
VLO,2006-02-22,54.55,55.24,54.19,55.0,8298000
VLO,2006-02-23,54.85,55.73,53.25,54.3,9119800
