Symbol,Date,Close,High,Low,Open,Volume
VMC,2006-01-02,67.75,68.36,67.59,68.36,0
VMC,2006-01-03,68.67,68.99,67.35,68.44,781600
VMC,2006-01-04,67.89,68.57,67.75,68.5,523800
VMC,2006-01-05,68.61,69.29,68.05,68.11,614000
VMC,2006-01-06,70.0,70.19,69.07,69.64,505600
VMC,2006-01-09,69.8,70.49,69.6,69.85,459800
VMC,2006-01-10,70.61,70.77,69.38,69.55,357900
VMC,2006-01-11,69.89,70.46,69.75,70.46,326500
VMC,2006-01-12,68.28,69.89,68.04,69.89,403000
VMC,2006-01-13,68.15,68.65,67.7,68.45,266200
VMC,2006-01-16,68.15,68.65,67.7,68.45,0
VMC,2006-01-17,68.03,68.18,66.976,67.55,529700
VMC,2006-01-18,69.25,69.97,68.03,68.04,642100
VMC,2006-01-19,69.42,70.07,69.05,69.43,356200
VMC,2006-01-20,67.8,70.24,67.63,70.15,449600
VMC,2006-01-23,68.8,69.03,67.75,67.75,244800
VMC,2006-01-24,69.35,69.87,68.75,68.8,387700
VMC,2006-01-25,69.33,70.45,68.75,70.3,444300
VMC,2006-01-26,72.15,72.28,70.12,70.6,677800
VMC,2006-01-27,72.0,72.95,71.34,71.98,633200
VMC,2006-01-30,72.5,72.57,71.73,71.92,310400
VMC,2006-01-31,71.88,72.5,70.83,72.45,432800
VMC,2006-02-01,77.26,77.83,73.53,73.76,1653400
VMC,2006-02-02,76.27,77.33,76.09,77.25,1103900
VMC,2006-02-03,74.5,75.41,73.96,75.2,810000
VMC,2006-02-06,80.42,80.42,76.9,77.0,1302400
VMC,2006-02-07,77.74,79.6,77.69,79.0,1068900
VMC,2006-02-08,76.77,77.85,76.13,77.85,669100
VMC,2006-02-09,78.95,79.99,77.99,78.06,835600
VMC,2006-02-10,77.78,78.76,76.83,78.65,594200
VMC,2006-02-13,76.62,78.22,76.61,77.78,508200
VMC,2006-02-14,78.09,78.46,76.12,76.51,573500
VMC,2006-02-15,78.74,79.16,77.8,78.22,432300
VMC,2006-02-16,78.85,78.94,77.88,78.73,624400
VMC,2006-02-17,77.85,79.0,77.66,78.86,436700
VMC,2006-02-20,77.85,79.0,77.66,78.86,0
VMC,2006-02-21,77.34,77.81,76.96,77.65,694700
VMC,2006-02-22,78.27,78.3,77.18,77.57,904700
VMC,2006-02-23,79.53,79.66,78.01,78.27,539400
VMC,2006-02-24,79.83,79.99,78.44,79.44,443000
VMC,2006-02-27,80.1,80.75,79.38,79.86,406900
VMC,2006-02-28,79.0,79.74,78.7,79.2,563900
VMC,2006-03-01,80.05,80.2,78.41,79.15,336900
VMC,2006-03-02,79.93,80.0,78.67,79.65,512499
VMC,2006-03-03,79.27,80.11,78.85,79.48,373000
VMC,2006-03-06,78.3,79.25,78.18,79.02,435900
VMC,2006-03-07,77.15,78.62,76.8,78.1,804900
VMC,2006-03-08,77.25,77.34,75.61,76.9,448100
VMC,2006-03-09,77.42,77.85,76.9,77.4,315100
VMC,2006-03-10,77.47,77.98,77.25,77.42,495400
VMC,2006-03-13,77.91,78.7,77.48,77.5,347900
VMC,2006-03-14,79.41,79.54,77.91,77.91,540400
VMC,2006-03-15,85.0,87.6,84.75,87.0,1653900
VMC,2006-03-16,85.3,85.76,84.63,85.1,1034100
VMC,2006-03-17,86.62,87.69,85.72,86.05,898500
VMC,2006-03-20,85.86,86.68,85.08,86.58,326900
VMC,2006-03-21,85.4,86.36,85.1,85.66,489100
VMC,2006-03-22,86.18,86.21,84.79,85.5,518499
VMC,2006-03-23,86.8,87.65,86.09,86.15,573300
VMC,2006-03-24,86.43,87.09,85.16,86.81,458000
VMC,2006-03-27,86.27,86.9,86.06,86.37,239400
VMC,2006-03-28,86.09,86.89,85.85,86.49,428600
VMC,2006-03-29,86.68,87.06,85.94,86.5,438200
VMC,2006-03-30,87.76,89.16,87.16,88.05,705300
VMC,2006-03-31,86.65,87.67,86.2,87.55,674800
VMC,2006-04-03,88.87,89.93,86.75,87.45,881200
VMC,2006-04-04,90.39,90.5,88.88,88.88,614000
VMC,2006-04-05,93.26,93.34,90.41,90.67,1022400
VMC,2006-04-06,91.92,92.46,91.15,91.5,620400
VMC,2006-04-07,88.91,92.04,88.68,91.92,993800
VMC,2006-04-10,89.68,89.88,88.27,88.95,835500
VMC,2006-04-11,87.5,89.74,87.03,89.68,498000
VMC,2006-04-12,87.96,88.32,87.4,87.8,397400
VMC,2006-04-13,90.95,91.7,90.2,90.2,763900
VMC,2006-04-14,90.95,91.7,90.2,90.2,0
VMC,2006-04-17,90.88,91.8,90.21,91.01,537400
