Symbol,Date,Close,High,Low,Open,Volume
VRSN,2006-01-02,21.9,22.0,21.71,21.84,0
VRSN,2006-01-03,21.56,21.989,21.02,21.989,9079542
VRSN,2006-01-04,21.1,21.54,21.06,21.45,7715656
VRSN,2006-01-05,21.29,21.58,21.04,21.07,6530337
VRSN,2006-01-06,20.96,21.53,20.75,21.35,10337109
VRSN,2006-01-09,21.59,21.62,20.8,20.83,4979990
VRSN,2006-01-10,21.88,21.91,21.37,21.58,4750233
VRSN,2006-01-11,21.9,22.14,21.63,21.97,6268218
VRSN,2006-01-12,21.87,22.04,21.64,21.9,2646610
VRSN,2006-01-13,21.79,21.82,21.54,21.8,2121465
VRSN,2006-01-16,21.79,21.82,21.54,21.8,0
VRSN,2006-01-17,22.04,22.05,21.5,21.65,3910177
VRSN,2006-01-18,22.15,22.15,21.75,21.75,2778886
VRSN,2006-01-19,22.4,22.48,22.09,22.17,3459339
VRSN,2006-01-20,21.81,22.4,21.6,22.3,5822538
VRSN,2006-01-23,21.47,21.95,21.41,21.9,2657485
VRSN,2006-01-24,21.26,21.63,21.04,21.47,3321542
VRSN,2006-01-25,21.09,21.45,20.91,21.27,2796448
VRSN,2006-01-26,22.71,23.25,21.9,22.28,13556765
VRSN,2006-01-27,22.68,22.68,21.8,21.8,10522964
VRSN,2006-01-30,23.04,23.12,22.5,22.62,9091888
VRSN,2006-01-31,23.75,23.95,23.31,23.35,49513161
VRSN,2006-02-01,23.91,24.14,23.45,23.53,8339333
VRSN,2006-02-02,23.58,23.84,23.43,23.67,5678335
VRSN,2006-02-03,23.29,23.47,23.01,23.37,6655964
VRSN,2006-02-06,23.79,23.79,23.29,23.29,5935469
VRSN,2006-02-07,23.71,23.71,23.47,23.47,4185978
VRSN,2006-02-08,23.9,23.98,23.51,23.65,3621875
VRSN,2006-02-09,23.73,24.01,23.55,23.7,3373614
VRSN,2006-02-10,23.7,23.81,23.44,23.73,2759514
VRSN,2006-02-13,23.94,23.95,23.34,23.34,2946870
VRSN,2006-02-14,24.31,24.576,23.65,23.845,5543929
VRSN,2006-02-15,24.77,24.77,24.16,24.3,3857365
VRSN,2006-02-16,24.77,25.0,24.5,24.57,5101181
VRSN,2006-02-17,24.82,24.82,24.57,24.61,2338575
VRSN,2006-02-20,24.82,24.82,24.57,24.61,0
VRSN,2006-02-21,24.17,24.56,24.06,24.5,2865137
VRSN,2006-02-22,24.5,24.61,23.98,24.08,2410282
VRSN,2006-02-23,24.59,24.82,24.21,24.28,2550269
VRSN,2006-02-24,24.59,24.669,24.32,24.51,1518272
VRSN,2006-02-27,24.05,24.34,23.79,24.11,5168066
VRSN,2006-02-28,23.66,23.97,23.55,23.9,4207003
VRSN,2006-03-01,23.81,24.0,23.52,23.66,5190557
VRSN,2006-03-02,23.71,24.09,23.63,23.63,3034755
VRSN,2006-03-03,23.68,23.81,23.39,23.62,3370754
VRSN,2006-03-06,23.24,23.65,23.04,23.65,4415078
VRSN,2006-03-07,23.24,23.39,22.76,23.08,3858325
VRSN,2006-03-08,23.27,23.48,23.07,23.27,2279649
VRSN,2006-03-09,23.27,23.45,23.25,23.34,3667907
VRSN,2006-03-10,23.14,23.33,23.01,23.26,1980669
VRSN,2006-03-13,22.9,23.34,22.74,23.1,2500075
VRSN,2006-03-14,22.89,23.0,22.67,22.69,3130974
VRSN,2006-03-15,22.82,22.93,22.48,22.87,3389927
VRSN,2006-03-16,23.0,23.18,22.71,22.75,4638761
VRSN,2006-03-17,23.22,23.53,23.0,23.12,4949315
VRSN,2006-03-20,23.46,23.73,23.26,23.34,2117489
VRSN,2006-03-21,23.42,23.89,23.24,23.48,2503924
VRSN,2006-03-22,23.9,24.06,23.25,23.25,3907945
VRSN,2006-03-23,23.58,23.84,23.44,23.8,3163851
VRSN,2006-03-24,23.53,23.73,23.24,23.63,1924894
VRSN,2006-03-27,23.8,23.8,23.5,23.58,1322113
VRSN,2006-03-28,23.53,23.93,23.41,23.5,2029887
VRSN,2006-03-29,23.53,23.67,23.27,23.63,2585887
VRSN,2006-03-30,24.21,24.5,23.42,23.5,6755269
VRSN,2006-03-31,23.99,24.38,23.83,24.38,2159092
VRSN,2006-04-03,23.76,24.1,23.69,24.01,2010132
VRSN,2006-04-04,24.04,24.32,23.84,23.88,1866845
VRSN,2006-04-05,24.52,24.8,24.1,24.12,3392256
VRSN,2006-04-06,24.86,25.16,24.41,24.56,3687394
VRSN,2006-04-07,24.46,25.09,24.23,25.02,2094776
VRSN,2006-04-10,24.33,24.59,24.3,24.37,1111733
VRSN,2006-04-11,23.85,24.59,23.75,24.46,3198537
VRSN,2006-04-12,24.03,24.38,23.78,23.82,4116189
VRSN,2006-04-13,24.51,24.87,24.0,24.001,2406217
VRSN,2006-04-14,24.51,24.87,24.0,24.001,0
VRSN,2006-04-17,24.65,24.65,24.23,24.23,2653621
VRSN,2006-04-18,24.85,25.12,24.42,24.52,3916791
VRSN,2006-04-19,25.05,25.25,24.9,24.91,2672494
VRSN,2006-04-20,25.39,25.45,24.72,25.14,6759126
VRSN,2006-04-21,24.43,24.59,23.92,24.25,10488530
VRSN,2006-04-24,24.1,24.43,24.06,24.17,2628628
VRSN,2006-04-25,23.6,24.15,23.23,24.11,6911642
VRSN,2006-04-26,23.76,23.79,23.43,23.7,3923534
VRSN,2006-04-27,23.58,23.89,23.5,23.67,3628066
VRSN,2006-04-28,23.77,23.77,23.52,23.7,4894475
VRSN,2006-05-01,23.44,23.74,23.32,23.49,3104112
VRSN,2006-05-02,23.5,23.62,23.32,23.62,1998672
VRSN,2006-05-03,23.45,23.56,23.31,23.4,1492841
VRSN,2006-05-04,23.72,23.72,23.37,23.5,2550138
VRSN,2006-05-05,23.72,23.87,23.34,23.37,3494992
VRSN,2006-05-08,23.86,23.86,23.68,23.76,2615054
VRSN,2006-05-09,23.35,23.62,23.19,23.54,3044885
VRSN,2006-05-10,23.22,23.55,23.09,23.4,3163376
VRSN,2006-05-11,22.96,23.4,22.78,23.1,4002334
VRSN,2006-05-12,22.73,22.97,22.51,22.83,4274331
VRSN,2006-05-15,22.81,23.03,22.39,22.53,3927224
VRSN,2006-05-16,22.3,22.71,22.11,22.52,3446986
VRSN,2006-05-17,22.21,22.66,21.98,22.17,4498380
VRSN,2006-05-18,21.92,22.36,21.92,22.13,2050177
VRSN,2006-05-19,21.95,22.49,21.82,21.97,4729534
VRSN,2006-05-22,21.88,21.95,21.52,21.8,3076832
VRSN,2006-05-23,21.47,22.29,21.42,21.99,5103074
VRSN,2006-05-24,21.8,22.05,21.33,21.39,5990141
VRSN,2006-05-25,22.23,22.3,21.68,21.9812,3878593
VRSN,2006-05-26,22.6,22.62,22.07,22.37,3102427
VRSN,2006-05-29,22.6,22.62,22.07,22.37,0
VRSN,2006-05-30,22.3,22.59,22.15,22.42,2587389
VRSN,2006-05-31,22.45,22.6,22.17,22.27,2662041
VRSN,2006-06-01,22.8,22.86,22.29,22.45,2700946
VRSN,2006-06-02,22.63,22.95,22.21,22.81,1690448
VRSN,2006-06-05,22.46,22.69,22.35,22.52,1962958
VRSN,2006-06-06,22.55,22.74,22.37,22.48,2509151
VRSN,2006-06-07,22.59,22.93,22.5,22.65,1789621
VRSN,2006-06-08,22.5,22.63,21.9,22.46,4694194
VRSN,2006-06-09,22.57,22.57,22.34,22.47,1698583
VRSN,2006-06-12,21.83,22.49,21.78,22.4,2239112
VRSN,2006-06-13,21.75,22.22,21.7,21.78,2013275
VRSN,2006-06-14,21.58,21.79,20.91,21.71,5366102
VRSN,2006-06-15,22.08,22.18,21.37,21.63,3071664
VRSN,2006-06-16,22.05,22.35,21.91,21.97,2656564
VRSN,2006-06-19,22.22,22.22,21.85,22.01,1876476
VRSN,2006-06-20,21.92,22.24,21.7,21.85,2039756
VRSN,2006-06-21,22.51,22.96,22.02,22.06,2433176
VRSN,2006-06-22,22.24,22.49,22.12,22.47,1995892
VRSN,2006-06-23,22.46,22.87,22.09,22.25,1524526
