Symbol,Date,Close,High,Low,Open,Volume
WBA,2006-01-02,44.26,44.39,43.84,43.84,0
WBA,2006-01-03,45.39,45.498,44.34,44.63,5216100
WBA,2006-01-04,43.98,45.15,43.95,45.08,5845300
WBA,2006-01-05,43.58,43.9,43.4,43.69,4405600
WBA,2006-01-06,43.37,44.76,43.22,43.8,4140500
WBA,2006-01-09,43.91,43.93,43.05,43.1,4344400
WBA,2006-01-10,43.28,43.92,43.22,43.69,4897700
WBA,2006-01-11,43.2,43.42,43.06,43.2,3739100
WBA,2006-01-12,43.35,43.59,43.2,43.2,4760200
WBA,2006-01-13,43.39,43.77,43.14,43.69,2729200
WBA,2006-01-16,43.39,43.77,43.14,43.69,0
WBA,2006-01-17,43.78,44.0,43.05,43.39,3997200
WBA,2006-01-18,44.28,44.512,43.63,43.78,3846900
WBA,2006-01-19,44.39,44.68,44.08,44.38,2768500
WBA,2006-01-20,43.13,44.35,43.0,44.31,4434700
WBA,2006-01-23,42.42,43.0,42.41,43.0,3810800
WBA,2006-01-24,42.7,43.06,42.13,42.5,2774100
WBA,2006-01-25,42.5,42.69,42.15,42.52,3687400
WBA,2006-01-26,42.99,43.06,42.61,42.93,2690500
WBA,2006-01-27,43.67,43.67,42.89,43.27,2683000
WBA,2006-01-30,42.82,43.13,42.75,42.95,1704500
WBA,2006-01-31,43.28,43.67,42.9,42.95,3174200
WBA,2006-02-01,43.34,43.41,42.61,43.17,3259200
WBA,2006-02-02,43.69,44.2,43.12,44.0,3629000
WBA,2006-02-03,43.67,43.9,43.22,43.36,3206100
WBA,2006-02-06,43.77,43.83,43.15,43.52,2484800
WBA,2006-02-07,44.01,44.01,43.29,43.65,3253200
WBA,2006-02-08,43.39,43.49,43.08,43.18,2062300
WBA,2006-02-09,43.0,43.44,42.88,43.27,2325500
WBA,2006-02-10,43.26,43.36,42.61,42.87,1895100
WBA,2006-02-13,43.38,43.44,42.82,42.87,1770400
WBA,2006-02-14,44.83,44.83,43.9,44.1,4196300
WBA,2006-02-15,45.76,45.83,44.695,44.9,4114099
WBA,2006-02-16,45.9,46.36,45.53,45.8,3949000
WBA,2006-02-17,45.91,46.15,45.55,45.9,2692600
WBA,2006-02-20,45.91,46.15,45.55,45.9,0
WBA,2006-02-21,45.83,46.19,45.48,46.0,2714000
WBA,2006-02-22,46.15,46.39,45.82,46.09,2295600
WBA,2006-02-23,45.98,46.27,45.81,45.92,1965300
WBA,2006-02-24,45.44,45.93,45.12,45.87,2438800
WBA,2006-02-27,45.68,45.96,45.56,45.65,2018300
WBA,2006-02-28,44.86,45.71,44.82,45.38,2948300
WBA,2006-03-01,44.65,45.05,44.31,45.03,2807100
WBA,2006-03-02,44.62,45.04,44.41,44.57,3461100
WBA,2006-03-03,44.39,45.02,44.28,44.65,2381400
WBA,2006-03-06,43.83,44.39,43.74,44.2,2423500
WBA,2006-03-07,44.14,44.33,43.65,43.93,2397700
WBA,2006-03-08,45.22,45.65,44.22,44.28,3620100
WBA,2006-03-09,44.8,45.11,44.68,45.1,2694800
WBA,2006-03-10,45.45,45.52,44.72,44.77,2236300
WBA,2006-03-13,45.43,46.07,45.2,45.36,2651000
WBA,2006-03-14,45.85,45.89,44.76,45.0,2938300
WBA,2006-03-15,45.11,45.88,45.09,45.67,2851300
WBA,2006-03-16,44.94,45.41,44.83,45.36,3135800
WBA,2006-03-17,45.32,45.41,45.0301,45.26,3296000
WBA,2006-03-20,45.05,45.35,44.92,45.13,1775400
WBA,2006-03-21,44.69,45.2,44.23,45.18,3971700
WBA,2006-03-22,44.69,44.77,43.99,44.51,3807700
WBA,2006-03-23,44.57,44.96,44.35,44.59,2164800
WBA,2006-03-24,44.37,45.3,44.15,45.3,3102000
WBA,2006-03-27,45.02,45.06,44.1,44.42,4474600
WBA,2006-03-28,43.95,44.75,43.56,44.65,5356400
WBA,2006-03-29,44.0,44.34,43.93,44.1,3032600
WBA,2006-03-30,43.52,44.08,43.37,43.82,3149500
WBA,2006-03-31,43.13,43.8,43.03,43.54,3179400
WBA,2006-04-03,42.9,43.59,42.79,43.26,3778000
WBA,2006-04-04,43.28,43.44,42.7,42.82,5369400
WBA,2006-04-05,43.49,43.7,43.3,43.41,2007200
WBA,2006-04-06,43.89,43.9,43.11,43.41,3338100
WBA,2006-04-07,43.33,44.63,43.26,43.99,3784100
WBA,2006-04-10,43.72,44.02,43.31,43.33,3032900
WBA,2006-04-11,43.0,43.82,42.82,43.74,3069700
WBA,2006-04-12,43.01,43.43,43.01,43.2,2715500
WBA,2006-04-13,43.12,43.42,42.86,43.02,2662300
WBA,2006-04-14,43.12,43.42,42.86,43.02,0
WBA,2006-04-17,42.36,43.18,42.13,42.93,3434000
WBA,2006-04-18,42.82,43.15,42.54,42.57,3660300
WBA,2006-04-19,43.45,43.57,42.99,42.99,3530700
WBA,2006-04-20,42.82,43.4,42.75,43.25,3117200
WBA,2006-04-21,42.41,43.05,41.95,43.05,3180700
WBA,2006-04-24,42.2,42.53,42.0,42.36,2374800
WBA,2006-04-25,41.82,42.54,41.76,42.21,2956700
WBA,2006-04-26,42.23,42.37,41.75,41.87,1871800
WBA,2006-04-27,41.93,42.54,41.53,41.53,3115200
WBA,2006-04-28,41.93,42.07,41.78,41.81,3887600
WBA,2006-05-01,41.62,42.78,41.57,42.6,4584100
WBA,2006-05-02,41.49,41.95,41.28,41.62,3230800
WBA,2006-05-03,41.14,41.48,41.0,41.31,3923000
WBA,2006-05-04,40.95,41.41,40.67,41.3,7193300
WBA,2006-05-05,41.54,41.64,40.95,41.24,4252200
WBA,2006-05-08,41.93,42.34,41.61,41.61,3862900
WBA,2006-05-09,41.75,42.42,41.6,41.93,3737600
WBA,2006-05-10,41.36,41.74,41.05,41.49,3096500
WBA,2006-05-11,40.65,41.43,40.49,41.22,4355100
WBA,2006-05-12,39.97,40.73,39.9,40.66,4718100
WBA,2006-05-15,40.6,40.6,39.65,39.77,4639900
WBA,2006-05-16,39.98,40.65,39.91,40.51,4256800
