Symbol,Date,Close,High,Low,Open,Volume
WEC,2006-01-02,19.53,19.66,19.485,19.66,0
WEC,2006-01-03,19.95,20.015,19.46,19.65,1054400
WEC,2006-01-04,20.015,20.1,19.88,20.05,1389200
WEC,2006-01-05,19.935,20.09,19.875,19.985,760000
WEC,2006-01-06,20.085,20.15,19.865,20.01,626800
WEC,2006-01-09,20.175,20.18,20.045,20.065,890000
WEC,2006-01-10,20.15,20.22,20.04,20.15,561600
WEC,2006-01-11,20.175,20.195,20.006,20.135,499600
WEC,2006-01-12,20.025,20.185,20.005,20.125,541400
WEC,2006-01-13,20.045,20.09,19.985,20.01,433000
WEC,2006-01-16,20.045,20.09,19.985,20.01,0
WEC,2006-01-17,20.16,20.16,19.94,19.94,646600
WEC,2006-01-18,20.155,20.23,20.0,20.0,901200
WEC,2006-01-19,20.41,20.42,20.1,20.175,704400
WEC,2006-01-20,20.2,20.49,20.145,20.4,747600
WEC,2006-01-23,20.345,20.425,20.195,20.225,1120200
WEC,2006-01-24,20.47,20.525,20.31,20.375,1235200
WEC,2006-01-25,20.575,20.615,20.435,20.595,1527000
WEC,2006-01-26,20.675,20.695,20.55,20.6,1498600
WEC,2006-01-27,20.515,20.775,20.49,20.64,1255400
WEC,2006-01-30,20.535,20.6,20.415,20.45,587400
WEC,2006-01-31,20.755,20.835,20.475,20.475,979400
WEC,2006-02-01,21.085,21.105,20.75,20.825,1859400
WEC,2006-02-02,20.905,21.175,20.775,21.0,1912600
WEC,2006-02-03,20.645,20.82,20.615,20.75,663200
WEC,2006-02-06,20.84,20.845,20.58,20.62,818800
WEC,2006-02-07,20.8,20.8,20.72,20.78,972400
WEC,2006-02-08,20.47,20.695,20.37,20.67,1239000
WEC,2006-02-09,20.165,20.415,20.115,20.35,2839600
WEC,2006-02-10,19.915,19.975,19.705,19.97,2598800
WEC,2006-02-13,20.0,20.13,19.85,19.875,1657200
WEC,2006-02-14,20.045,20.095,19.935,20.09,2024600
