Symbol,Date,Close,High,Low,Open,Volume
WHR,2006-01-02,83.76,84.05,83.1,84.0,0
WHR,2006-01-03,82.67,83.94,81.06,83.94,942000
WHR,2006-01-04,83.05,83.5,82.1,83.0,638500
WHR,2006-01-05,83.18,83.4,82.0,83.15,727400
WHR,2006-01-06,83.68,83.98,82.88,83.9,540100
WHR,2006-01-09,84.99,85.31,83.69,83.75,606300
WHR,2006-01-10,83.1,84.15,81.88,84.15,1033300
WHR,2006-01-11,83.05,83.73,82.6,83.35,631800
WHR,2006-01-12,81.88,84.24,81.7,83.05,921100
WHR,2006-01-13,81.18,82.49,80.01,81.88,1039400
WHR,2006-01-16,81.18,82.49,80.01,81.88,0
WHR,2006-01-17,81.45,81.75,80.25,80.4,610100
WHR,2006-01-18,81.52,81.79,80.72,81.14,585400
WHR,2006-01-19,81.94,82.65,81.13,81.21,774400
WHR,2006-01-20,81.16,84.15,81.08,83.4,996900
WHR,2006-01-23,82.16,82.55,81.25,81.35,370300
WHR,2006-01-24,82.01,82.79,81.75,82.22,634200
WHR,2006-01-25,81.89,82.56,81.33,82.42,663300
WHR,2006-01-26,81.85,82.71,81.29,82.55,716700
WHR,2006-01-27,81.89,81.89,81.74,81.85,775500
WHR,2006-01-30,81.2,82.31,81.08,81.6,632500
WHR,2006-01-31,80.68,81.4,80.29,81.1,770800
WHR,2006-02-01,80.48,80.65,79.75,80.31,1049000
WHR,2006-02-02,86.37,88.19,84.25,84.6,4852800
WHR,2006-02-03,86.61,87.2,84.81,85.68,1484800
WHR,2006-02-06,87.46,87.64,86.1,86.62,1075200
WHR,2006-02-07,86.92,88.02,86.61,87.15,742000
WHR,2006-02-08,89.75,89.75,86.76,86.92,1373700
WHR,2006-02-09,87.38,88.96,87.05,88.5,1360200
WHR,2006-02-10,87.28,87.3,85.8,87.13,730600
WHR,2006-02-13,85.83,87.29,85.24,87.29,1131400
WHR,2006-02-14,88.07,88.3,84.95,85.83,904800
WHR,2006-02-15,88.14,88.35,87.1,87.9,516300
WHR,2006-02-16,89.3,89.61,88.09,88.14,900000
WHR,2006-02-17,89.2,89.67,88.65,89.45,493100
WHR,2006-02-20,89.2,89.67,88.65,89.45,0
WHR,2006-02-21,89.39,90.2,88.32,89.5,616300
WHR,2006-02-22,91.11,91.36,89.39,89.39,712800
WHR,2006-02-23,90.6,91.92,90.53,91.09,838200
WHR,2006-02-24,90.64,90.72,89.48,90.5,586500
WHR,2006-02-27,90.87,91.79,90.05,91.1,787600
WHR,2006-02-28,89.79,90.78,89.33,90.78,772900
WHR,2006-03-01,89.9,90.14,88.99,89.26,937600
WHR,2006-03-02,89.49,90.11,89.35,89.8,796600
WHR,2006-03-03,89.42,90.0,88.46,89.49,675000
WHR,2006-03-06,88.3,89.6,88.09,89.42,1107000
WHR,2006-03-07,85.79,88.29,85.2,88.29,1676000
WHR,2006-03-08,85.55,85.95,84.21,85.95,1466700
WHR,2006-03-09,86.31,86.31,85.27,85.75,1263900
WHR,2006-03-10,86.0,86.8,85.52,86.31,950700
WHR,2006-03-13,86.29,86.53,85.2,86.2,708600
WHR,2006-03-14,88.0,88.32,85.4,86.29,1023800
WHR,2006-03-15,89.02,89.29,87.95,88.25,889500
WHR,2006-03-16,87.54,89.53,87.25,89.03,961500
WHR,2006-03-17,86.25,87.54,84.47,87.54,2486200
WHR,2006-03-20,87.6,88.14,86.114,86.35,1243600
WHR,2006-03-21,86.87,88.55,86.6,87.5,926800
WHR,2006-03-22,87.95,88.2,85.0,85.0,931700
WHR,2006-03-23,87.41,88.22,87.17,87.95,816200
WHR,2006-03-24,87.72,87.96,86.78,87.46,843200
WHR,2006-03-27,90.0,90.47,87.61,88.15,1874900
WHR,2006-03-28,89.57,90.21,88.88,90.16,772200
WHR,2006-03-29,95.95,96.0,88.821,89.67,5450600
WHR,2006-03-30,91.46,95.1,91.03,94.75,5988000
WHR,2006-03-31,91.47,92.07,90.85,91.66,2058399
WHR,2006-04-03,92.28,93.45,91.65,92.6,2271800
WHR,2006-04-04,91.74,92.28,90.05,91.995,1668000
WHR,2006-04-05,91.41,91.97,90.92,91.57,1341600
WHR,2006-04-06,90.92,91.55,90.25,91.05,1367500
WHR,2006-04-07,90.91,91.3,90.65,90.92,1411000
WHR,2006-04-10,90.31,90.8,90.13,90.51,876500
WHR,2006-04-11,90.22,91.23,89.7,90.4,1270300
WHR,2006-04-12,92.09,92.3,89.98,90.21,1432000
WHR,2006-04-13,91.33,92.29,91.22,92.0,914700
WHR,2006-04-14,91.33,92.29,91.22,92.0,0
WHR,2006-04-17,90.79,91.3,90.5,91.11,959100
WHR,2006-04-18,90.48,91.15,90.1,90.81,1244100
WHR,2006-04-19,91.25,91.65,90.07,90.2,1032999
WHR,2006-04-20,90.75,91.62,90.6,91.0,900100
WHR,2006-04-21,90.05,91.39,89.92,91.33,848800
WHR,2006-04-24,90.5,91.24,88.74,90.05,1075100
WHR,2006-04-25,92.64,94.12,90.51,93.95,1711000
WHR,2006-04-26,90.27,91.42,89.34,90.97,1500500
WHR,2006-04-27,90.5,90.66,89.53,90.1,700200
WHR,2006-04-28,89.75,90.5,88.8,90.5,519599
WHR,2006-05-01,88.95,90.28,88.75,89.83,913100
WHR,2006-05-02,89.18,89.29,88.38,89.1,677700
WHR,2006-05-03,91.34,91.75,89.54,89.6,833400
WHR,2006-05-04,92.83,92.85,91.33,91.37,775800
WHR,2006-05-05,92.58,92.95,92.5,92.9,490000
WHR,2006-05-08,92.78,92.9,92.17,92.7,489100
WHR,2006-05-09,93.09,93.49,92.36,92.45,498700
WHR,2006-05-10,92.17,93.1,91.97,93.1,583200
WHR,2006-05-11,91.03,91.98,90.98,91.65,593600
WHR,2006-05-12,88.78,90.7,88.6,90.7,837600
WHR,2006-05-15,89.3,89.41,87.0,87.4,963500
WHR,2006-05-16,89.0,89.49,88.53,89.25,716200
WHR,2006-05-17,87.85,88.55,87.51,87.8,1613100
WHR,2006-05-18,84.73,88.0,84.67,88.0,1285500
WHR,2006-05-19,85.96,86.24,84.84,85.6,1862300
WHR,2006-05-22,84.62,85.19,83.31,85.05,1040800
WHR,2006-05-23,88.0,88.8,84.64,84.87,1695400
WHR,2006-05-24,87.88,88.41,87.07,88.0,1802400
WHR,2006-05-25,88.36,88.68,86.93,86.93,979700
WHR,2006-05-26,90.98,92.29,88.26,88.4,1874900
WHR,2006-05-29,90.98,92.29,88.26,88.4,0
WHR,2006-05-30,88.48,91.4,87.88,91.4,1599300
WHR,2006-05-31,89.92,90.35,88.5,88.5,1195100
WHR,2006-06-01,90.25,90.29,89.02,89.92,1068500
WHR,2006-06-02,89.5,90.5,88.62,90.25,938100
WHR,2006-06-05,86.63,89.56,86.31,89.5,1330100
WHR,2006-06-06,85.39,86.88,84.77,86.63,896600
WHR,2006-06-07,82.74,85.44,82.39,85.4,1580900
WHR,2006-06-08,84.5,84.5,81.73,82.74,1636700
WHR,2006-06-09,84.25,85.4,84.23,84.65,1162600
WHR,2006-06-12,83.33,84.73,82.5,84.5,1177800
WHR,2006-06-13,81.44,83.75,80.93,83.16,998200
WHR,2006-06-14,80.25,81.91,79.47,81.4,1900200
WHR,2006-06-15,81.96,82.34,80.08,80.38,1932400
WHR,2006-06-16,80.98,81.32,80.0,80.75,1520000
WHR,2006-06-19,79.37,81.39,79.13,81.03,1295200
WHR,2006-06-20,79.16,80.0,78.12,79.37,1496000
WHR,2006-06-21,80.22,81.0,79.2,79.2,873000
WHR,2006-06-22,80.33,80.6,79.7,80.08,693800
WHR,2006-06-23,81.6,82.01,81.01,81.2,1019400
WHR,2006-06-26,82.12,82.12,81.64,81.64,656500
WHR,2006-06-27,80.84,82.33,80.79,81.72,752100
WHR,2006-06-28,80.01,81.2,79.49,80.85,662100
WHR,2006-06-29,82.41,82.45,81.02,81.2,972500
WHR,2006-06-30,82.65,83.06,82.28,83.0,819300
WHR,2006-07-03,82.22,82.9,81.78,82.9,225600
WHR,2006-07-04,82.22,82.9,81.78,82.9,0
WHR,2006-07-05,81.9,82.39,80.9,82.22,862900
WHR,2006-07-06,82.65,83.08,82.0,82.25,833900
WHR,2006-07-07,82.55,83.04,82.35,82.62,821300
WHR,2006-07-10,82.4,83.02,82.1,82.89,438000
WHR,2006-07-11,81.29,82.41,81.07,82.4,1521900
WHR,2006-07-12,75.89,81.16,75.5913,81.15,3296900
WHR,2006-07-13,76.55,77.65,74.48,75.89,2500200
WHR,2006-07-14,75.82,76.7,75.12,76.19,1421800
WHR,2006-07-17,76.06,76.84,75.78,75.82,835000
WHR,2006-07-18,75.1,76.5,74.07,76.06,1652900
WHR,2006-07-19,77.65,77.83,75.24,75.25,1158800
WHR,2006-07-20,76.75,78.16,76.6,77.83,954300
WHR,2006-07-21,75.79,76.94,74.62,76.9,1482100
WHR,2006-07-24,77.89,78.75,75.95,75.99,976600
WHR,2006-07-25,78.85,79.92,74.85,79.0,2050500
WHR,2006-07-26,78.24,78.99,77.26,78.85,1321200
WHR,2006-07-27,77.5,79.52,77.02,78.6,641400
WHR,2006-07-28,78.26,78.54,77.15,77.75,755800
WHR,2006-07-31,77.19,78.2,77.01,77.87,581100
WHR,2006-08-01,75.36,77.3,75.0,77.0,1183900
WHR,2006-08-02,76.63,77.59,75.02,75.6,1100600
WHR,2006-08-03,79.38,79.91,76.16,76.63,1462100
WHR,2006-08-04,79.22,82.14,78.6036,81.0,1628000
WHR,2006-08-07,79.58,79.97,78.58,79.22,843700
WHR,2006-08-08,77.38,80.25,77.13,79.92,757600
WHR,2006-08-09,75.0,77.97,74.85,77.95,1361600
WHR,2006-08-10,75.45,75.93,74.45,75.0,1188000
WHR,2006-08-11,76.06,76.22,74.95,75.2,678000
WHR,2006-08-14,76.5,78.24,75.94,77.13,692600
WHR,2006-08-15,76.73,77.78,76.35,77.5,737900
WHR,2006-08-16,78.6,78.68,77.13,77.45,829600
WHR,2006-08-17,79.63,80.41,78.1,78.1,1061400
WHR,2006-08-18,79.38,79.84,77.726,79.71,723800
WHR,2006-08-21,78.91,79.21,77.59,79.2,1146600
WHR,2006-08-22,80.93,81.39,79.06,79.06,1365600
WHR,2006-08-23,80.02,81.2,78.92,81.05,1256500
WHR,2006-08-24,78.56,79.83,77.6,79.8,1015300
WHR,2006-08-25,78.5,78.8,77.01,78.16,935100
WHR,2006-08-28,80.33,80.59,78.6,78.7,926500
WHR,2006-08-29,79.71,80.4,78.99,80.15,705700
WHR,2006-08-30,80.69,80.81,79.1,79.72,657300
WHR,2006-08-31,80.91,81.49,80.35,80.7,782100
WHR,2006-09-01,81.56,81.72,80.47,81.1,682000
WHR,2006-09-04,81.56,81.72,80.47,81.1,0
WHR,2006-09-05,81.62,82.27,80.81,81.9,839000
WHR,2006-09-06,81.75,83.63,81.33,81.62,1352000
WHR,2006-09-07,79.99,81.75,78.44,81.75,1154900
WHR,2006-09-08,82.3,82.76,80.17,80.51,1032700
WHR,2006-09-11,84.47,84.5,81.5,82.19,1427100
WHR,2006-09-12,87.45,88.01,84.82,84.85,1564200
WHR,2006-09-13,87.44,88.01,86.6,87.83,957900
WHR,2006-09-14,87.7,87.94,85.9,87.45,812200
WHR,2006-09-15,88.62,89.64,87.74,89.0,1642300
WHR,2006-09-18,88.1,89.42,87.75,88.3,1018000
WHR,2006-09-19,87.51,88.39,86.15,88.11,1337200
WHR,2006-09-20,88.02,88.49,86.79,87.52,1207900
WHR,2006-09-21,87.03,88.5,86.48,88.23,1197600
WHR,2006-09-22,87.75,87.8,85.73,87.03,957900
WHR,2006-09-25,85.04,86.1,83.01,83.05,2203700
WHR,2006-09-26,87.3,87.59,84.75,85.0,1213500
WHR,2006-09-27,85.25,87.08,85.03,86.85,1175400
WHR,2006-09-28,84.66,85.64,84.25,85.12,883000
WHR,2006-09-29,84.11,85.17,83.91,85.08,894100
WHR,2006-10-02,84.74,85.88,84.07,84.45,683500
WHR,2006-10-03,84.42,85.21,83.33,84.95,617300
WHR,2006-10-04,85.19,85.37,83.13,84.02,1067800
WHR,2006-10-05,86.32,86.47,84.11,85.18,753500
WHR,2006-10-06,86.12,86.68,85.63,86.32,797600
WHR,2006-10-09,86.08,86.13,84.84,86.13,652400
WHR,2006-10-10,89.19,89.31,86.71,86.76,1085300
WHR,2006-10-11,88.37,89.19,87.7,89.19,750800
WHR,2006-10-12,88.88,89.47,88.31,88.6,713400
WHR,2006-10-13,88.83,89.25,88.35,88.89,1005400
WHR,2006-10-16,88.23,88.8945,87.76,88.84,902100
WHR,2006-10-17,86.93,88.1,86.59,87.74,1065900
WHR,2006-10-18,87.25,88.37,86.71,87.9,1070800
WHR,2006-10-19,87.61,88.03,86.53,87.29,530300
WHR,2006-10-20,87.67,88.07,87.0,88.05,669200
WHR,2006-10-23,89.33,89.33,87.0,87.0,1070300
WHR,2006-10-24,86.7,88.74,85.24,88.65,3587500
WHR,2006-10-25,86.29,87.1,85.83,87.1,901300
WHR,2006-10-26,86.68,87.15,86.31,86.85,670500
WHR,2006-10-27,86.24,87.01,85.5,86.69,953700
WHR,2006-10-30,86.64,86.7,85.46,86.48,645600
WHR,2006-10-31,86.93,87.27,86.26,86.84,642100
WHR,2006-11-01,86.4,87.87,85.83,87.5,896000
WHR,2006-11-02,85.75,86.16,84.67,86.15,994300
WHR,2006-11-03,84.87,85.98,83.82,85.98,848500
WHR,2006-11-06,86.19,86.53,84.39,85.1,715200
WHR,2006-11-07,87.31,87.68,85.65,85.96,1013900
WHR,2006-11-08,87.51,87.85,87.08,87.31,949000
WHR,2006-11-09,88.5,88.84,87.34,87.75,1107500
WHR,2006-11-10,89.55,89.59,87.55,88.5,886100
WHR,2006-11-13,89.4,90.68,89.07,89.48,1315500
WHR,2006-11-14,89.49,89.62,87.95,89.38,1225200
WHR,2006-11-15,88.65,90.25,88.41,89.09,1236700
WHR,2006-11-16,88.33,88.55,87.76,88.4,1602100
WHR,2006-11-17,86.5,88.3,86.35,88.29,1367500
WHR,2006-11-20,86.05,86.68,85.92,86.51,711200
WHR,2006-11-21,86.3,86.44,85.99,86.1,708900
WHR,2006-11-22,86.02,86.16,84.93,85.91,864500
WHR,2006-11-23,86.02,86.16,84.93,85.91,0
WHR,2006-11-24,85.75,86.1,85.0,85.78,401000
WHR,2006-11-27,85.01,85.8,84.54,85.76,960000
WHR,2006-11-28,83.95,84.5,82.48,84.49,1901900
WHR,2006-11-29,85.01,85.45,84.53,84.6,874300
WHR,2006-11-30,85.3,85.4,84.28,85.16,1214300
WHR,2006-12-01,84.65,85.83,83.49,85.5,1302000
WHR,2006-12-04,86.48,86.52,84.55,84.89,670100
WHR,2006-12-05,86.55,87.51,85.9,86.6,568100
WHR,2006-12-06,86.37,86.8,86.2,86.8,595900
WHR,2006-12-07,86.13,86.96,86.02,86.7,461000
WHR,2006-12-08,85.84,86.48,85.6,86.13,449800
WHR,2006-12-11,86.33,86.8,85.94,86.0,475100
WHR,2006-12-12,85.64,86.1,85.36,86.1,635100
WHR,2006-12-13,85.58,86.64,85.06,86.64,864800
WHR,2006-12-14,85.87,86.3,85.299,85.58,523599
WHR,2006-12-15,82.29,87.1,81.93,87.1,4730700
WHR,2006-12-18,81.65,82.31,81.24,82.3,1795500
WHR,2006-12-19,81.85,82.12,80.8,81.5,926800
WHR,2006-12-20,81.89,82.38,81.31,81.6,568500
WHR,2006-12-21,81.8,82.56,81.59,82.05,562400
