Symbol,Date,Close,High,Low,Open,Volume
WM,2006-01-02,30.35,30.47,30.25,30.25,0
WM,2006-01-03,30.67,30.75,30.08,30.34,1728800
WM,2006-01-04,30.27,30.73,30.27,30.47,1492700
WM,2006-01-05,30.39,30.59,30.22,30.28,2352700
WM,2006-01-06,30.54,30.8,30.35,30.64,2997600
WM,2006-01-09,31.04,31.5,30.53,30.6,2824700
WM,2006-01-10,31.6,31.66,30.94,31.04,3194200
WM,2006-01-11,31.21,31.87,31.08,31.65,2406800
WM,2006-01-12,31.31,31.65,31.08,31.21,1892800
WM,2006-01-13,31.66,31.74,31.43,31.45,1674400
WM,2006-01-16,31.66,31.74,31.43,31.45,0
WM,2006-01-17,31.59,31.77,31.21,31.32,2107000
WM,2006-01-18,31.89,32.0,31.52,31.59,2150900
WM,2006-01-19,31.81,32.0,31.68,32.0,1901400
WM,2006-01-20,31.27,31.83,31.02,31.82,2499700
WM,2006-01-23,31.27,31.39,31.1,31.27,1779700
WM,2006-01-24,31.65,31.82,31.24,31.28,1696100
WM,2006-01-25,31.66,31.82,31.5,31.61,1436900
WM,2006-01-26,31.76,32.0,31.75,31.91,1844200
WM,2006-01-27,31.56,31.83,31.55,31.6,1693500
WM,2006-01-30,31.55,31.61,31.11,31.35,1529700
WM,2006-01-31,31.58,31.83,31.53,31.56,1673900
WM,2006-02-01,31.67,31.71,31.35,31.35,1645100
WM,2006-02-02,31.39,31.84,31.26,31.64,1497400
WM,2006-02-03,31.65,31.76,31.38,31.38,1558200
WM,2006-02-06,32.42,32.44,31.7,31.7,2737600
WM,2006-02-07,32.5,32.7,32.38,32.43,2612500
WM,2006-02-08,32.54,32.55,32.08,32.5,2118300
WM,2006-02-09,32.67,32.8,32.54,32.54,2202300
WM,2006-02-10,33.58,33.9,32.7,32.7,4301200
WM,2006-02-13,33.04,33.49,32.83,33.48,2633600
WM,2006-02-14,33.43,33.94,33.43,33.92,5258600
WM,2006-02-15,33.54,33.58,33.1,33.38,4439400
WM,2006-02-16,33.76,33.78,33.43,33.6,3002800
WM,2006-02-17,33.85,33.86,33.56,33.75,2616000
WM,2006-02-20,33.85,33.86,33.56,33.75,0
WM,2006-02-21,33.9,34.14,33.77,33.85,2905500
WM,2006-02-22,34.13,34.21,33.95,34.0,1898000
WM,2006-02-23,34.0,34.2,33.92,34.13,2964200
WM,2006-02-24,33.88,34.09,33.71,34.05,1896300
WM,2006-02-27,33.85,33.98,33.7,33.8,1947200
WM,2006-02-28,33.26,33.81,33.25,33.7,2003800
WM,2006-03-01,33.7,33.81,33.26,33.32,2795000
WM,2006-03-02,33.59,33.61,33.21,33.4,2203300
WM,2006-03-03,33.35,33.7,33.34,33.6,2418900
WM,2006-03-06,33.37,33.59,33.2,33.48,1912200
WM,2006-03-07,33.7,33.74,33.31,33.31,3074200
WM,2006-03-08,33.95,34.05,33.59,33.74,3839800
WM,2006-03-09,33.67,34.2115,33.58,34.0,2345500
WM,2006-03-10,33.87,34.1,33.65,33.66,2781400
WM,2006-03-13,34.23,34.3,33.79,33.98,4993300
WM,2006-03-14,34.43,34.48,34.17,34.3,2053500
WM,2006-03-15,34.38,34.49,34.26,34.45,1960100
WM,2006-03-16,34.59,34.727,34.38,34.4,2247800
WM,2006-03-17,34.54,34.59,34.36,34.48,3739400
WM,2006-03-20,34.31,34.59,34.22,34.58,2638400
WM,2006-03-21,34.16,34.35,34.1,34.35,2705200
WM,2006-03-22,34.27,34.3,34.07,34.12,3088100
WM,2006-03-23,34.23,34.34,34.11,34.3,2475400
WM,2006-03-24,34.3,34.36,33.13,34.23,3057600
WM,2006-03-27,34.24,34.36,34.2,34.33,2859500
WM,2006-03-28,34.25,34.4,33.92,34.32,3047200
WM,2006-03-29,34.68,34.83,34.25,34.26,12305500
WM,2006-03-30,34.9,34.95,34.54,34.79,3610600
WM,2006-03-31,35.3,35.35,34.79,34.95,3429500
WM,2006-04-03,35.58,35.79,35.3,35.3,3517600
WM,2006-04-04,35.88,35.96,35.0,35.0,3318800
WM,2006-04-05,36.0,36.0,35.69,35.93,3892000
WM,2006-04-06,35.77,35.94,35.38,35.91,2884800
WM,2006-04-07,35.48,36.23,35.08,36.23,1711300
WM,2006-04-10,35.71,35.77,35.48,35.5,2018700
WM,2006-04-11,36.02,36.11,35.72,35.82,2456600
WM,2006-04-12,35.84,36.17,35.83,36.06,2318900
WM,2006-04-13,36.12,36.19,35.84,35.84,1758800
WM,2006-04-14,36.12,36.19,35.84,35.84,0
WM,2006-04-17,35.75,36.21,35.58,36.13,1081700
WM,2006-04-18,36.15,36.3,35.73,35.74,1838800
WM,2006-04-19,36.68,36.68,35.8,36.23,2226200
WM,2006-04-20,36.77,37.21,36.53,36.85,1895700
WM,2006-04-21,36.62,36.86,36.4201,36.75,1621600
WM,2006-04-24,36.51,36.55,36.25,36.5,1185400
WM,2006-04-25,36.58,36.71,36.31,36.5,2269300
WM,2006-04-26,37.32,37.46,36.38,36.66,3863800
WM,2006-04-27,38.04,38.08,37.1,37.35,4088800
WM,2006-04-28,37.46,37.86,37.05,37.81,2749100
WM,2006-05-01,37.19,37.69,37.1,37.35,2853500
WM,2006-05-02,37.64,37.64,37.28,37.44,2498100
WM,2006-05-03,37.7,37.77,37.06,37.64,2489800
WM,2006-05-04,37.81,37.95,37.58,37.65,1415500
WM,2006-05-05,38.06,38.14,37.66,37.98,1984400
WM,2006-05-08,38.08,38.33,37.92,38.05,2211300
WM,2006-05-09,38.18,38.18,37.86,38.0,1330600
WM,2006-05-10,37.9,38.34,37.72,38.2,1470900
WM,2006-05-11,37.48,37.76,37.37,37.75,1596300
WM,2006-05-12,37.0,37.57,36.95,37.3,2530100
WM,2006-05-15,36.55,37.0,36.01,37.0,2883700
WM,2006-05-16,36.75,36.84,36.43,36.54,2680700
WM,2006-05-17,36.2,36.81,36.1,36.43,3515900
WM,2006-05-18,36.31,36.88,35.42,35.42,1967400
WM,2006-05-19,36.71,36.8,36.24,36.7,2848600
WM,2006-05-22,36.52,36.83,36.09,36.71,2613900
WM,2006-05-23,36.29,37.0,36.27,36.7,1524700
WM,2006-05-24,35.63,36.41,35.39,36.31,2599800
WM,2006-05-25,35.69,35.91,35.15,35.86,2846300
WM,2006-05-26,36.2,36.37,35.69,35.95,1577100
WM,2006-05-29,36.2,36.37,35.69,35.95,0
WM,2006-05-30,36.07,36.31,35.53,36.15,2598700
WM,2006-05-31,36.62,36.82,36.09,36.13,2627100
WM,2006-06-01,36.82,37.04,36.37,36.45,2496700
WM,2006-06-02,37.0,37.3,36.64,37.05,2159300
WM,2006-06-05,36.02,36.85,35.96,36.75,1401700
WM,2006-06-06,36.66,36.75,36.1001,36.15,2753100
WM,2006-06-07,36.87,37.352,36.56,36.65,2872100
WM,2006-06-08,36.48,36.8,35.36,36.65,3390400
WM,2006-06-09,36.69,37.04,36.42,36.43,2508300
WM,2006-06-12,35.8,36.7,35.73,36.69,1864400
WM,2006-06-13,34.88,36.0,34.8,35.55,2832500
WM,2006-06-14,34.53,35.05,34.26,34.92,2716000
WM,2006-06-15,34.85,34.94,34.52,34.62,2817700
WM,2006-06-16,34.92,35.12,34.65,34.75,3229700
WM,2006-06-19,34.2,35.15,34.17,35.15,2470700
WM,2006-06-20,34.55,34.8,33.81,34.08,3056400
WM,2006-06-21,35.34,35.63,34.57,34.62,2901600
WM,2006-06-22,35.03,35.34,34.77,35.33,1407600
WM,2006-06-23,35.05,35.42,34.8,34.97,1364300
WM,2006-06-26,35.39,35.52,35.01,35.02,2183300
