Symbol,Date,Close,High,Low,Open,Volume
WY,2006-01-02,26.536,26.856,26.476,26.856,0
WY,2006-01-03,26.656,26.724,26.468,26.636,5324000
WY,2006-01-04,27.3,27.3,26.7,26.86,4010750
WY,2006-01-05,27.06,27.244,26.936,27.24,2485000
WY,2006-01-06,27.1,27.236,26.924,27.2,2179000
WY,2006-01-09,27.036,27.28,27.0,27.16,3160250
WY,2006-01-10,27.396,27.396,26.8,26.976,3437750
WY,2006-01-11,27.38,27.584,27.312,27.44,3915500
WY,2006-01-12,26.9,27.272,26.852,27.272,2297250
WY,2006-01-13,26.592,27.04,26.46,26.96,2729750
WY,2006-01-16,26.592,27.04,26.46,26.96,0
WY,2006-01-17,26.62,26.648,26.44,26.44,2496250
WY,2006-01-18,26.528,26.668,26.34,26.544,2886000
WY,2006-01-19,26.828,26.912,26.524,26.7,1882750
WY,2006-01-20,26.688,27.132,26.632,27.08,3544500
WY,2006-01-23,26.94,27.076,26.784,26.832,2322500
WY,2006-01-24,27.056,27.236,26.96,26.96,2013250
WY,2006-01-25,26.86,27.148,26.704,26.748,2789750
WY,2006-01-26,27.232,27.36,27.036,27.1,3662000
WY,2006-01-27,27.476,27.476,27.28,27.28,3178000
WY,2006-01-30,28.152,28.176,27.2,27.44,6163250
WY,2006-01-31,27.904,27.992,27.604,27.9,5155250
WY,2006-02-01,27.452,27.808,27.372,27.6,3420250
WY,2006-02-02,26.9,27.42,26.84,27.4,3682250
WY,2006-02-03,27.0,27.28,26.66,27.0,7163000
WY,2006-02-06,27.88,28.304,27.232,27.3,7341500
WY,2006-02-07,27.82,27.82,27.6,27.6,4188500
WY,2006-02-08,27.88,27.916,27.712,27.9,3943250
WY,2006-02-09,27.848,27.992,27.828,27.88,3307250
WY,2006-02-10,27.7,27.896,27.52,27.76,3012500
WY,2006-02-13,27.588,27.684,27.464,27.56,1872750
WY,2006-02-14,28.16,28.312,27.496,27.588,4190000
WY,2006-02-15,27.92,28.02,27.76,27.82,3271500
WY,2006-02-16,28.06,28.144,27.888,28.02,2774500
WY,2006-02-17,28.0,28.048,27.904,28.02,4553000
WY,2006-02-20,28.0,28.048,27.904,28.02,0
WY,2006-02-21,27.584,27.968,27.56,27.968,3592000
WY,2006-02-22,27.532,27.684,27.444,27.6,2826250
WY,2006-02-23,27.468,27.848,27.308,27.48,2644750
WY,2006-02-24,27.608,27.776,27.4,27.468,2958500
WY,2006-02-27,27.656,27.952,27.612,27.644,3173250
WY,2006-02-28,27.316,27.656,27.24,27.328,3720250
WY,2006-03-01,27.16,27.392,27.076,27.308,2377500
WY,2006-03-02,27.184,27.412,26.976,27.06,2600750
WY,2006-03-03,27.028,27.24,26.984,27.04,2457750
WY,2006-03-06,27.404,27.448,27.2,27.2,3110000
WY,2006-03-07,27.36,27.64,27.268,27.4,3291250
WY,2006-03-08,27.772,28.0,27.236,27.32,5960250
WY,2006-03-09,28.012,28.172,27.44,27.44,3557250
WY,2006-03-10,28.352,28.448,28.12,28.2,4623500
WY,2006-03-13,28.88,29.0,28.36,28.4,4756250
WY,2006-03-14,29.12,29.156,28.64,28.716,3554500
WY,2006-03-15,29.388,29.532,29.084,29.16,4834500
WY,2006-03-16,29.508,29.536,29.164,29.3,4018250
WY,2006-03-17,29.312,29.6,29.26,29.6,3734750
WY,2006-03-20,29.18,29.424,28.924,29.312,3004500
WY,2006-03-21,28.808,29.248,28.804,29.04,2540750
WY,2006-03-22,29.112,29.152,28.708,28.808,1966500
WY,2006-03-23,29.14,29.28,29.032,29.112,2970750
WY,2006-03-24,29.272,29.332,28.988,29.16,1884750
WY,2006-03-27,29.544,29.596,29.192,29.216,2582250
WY,2006-03-28,29.244,29.596,29.148,29.496,3355750
WY,2006-03-29,29.62,29.64,29.284,29.296,3386500
WY,2006-03-30,29.24,29.8,29.16,29.5,3126500
WY,2006-03-31,28.972,29.596,28.816,29.596,2898750
WY,2006-04-03,29.18,29.472,28.96,29.06,2696250
WY,2006-04-04,29.14,29.592,29.14,29.352,3042000
WY,2006-04-05,29.448,29.492,28.776,28.776,3812750
WY,2006-04-06,30.02,30.156,29.452,29.452,4400250
WY,2006-04-07,29.616,30.2,29.612,30.0,2432250
WY,2006-04-10,29.34,29.808,29.304,29.792,1451750
WY,2006-04-11,28.872,29.7,28.772,29.608,4106750
WY,2006-04-12,28.82,28.92,28.596,28.872,1652250
WY,2006-04-13,29.0,29.132,28.584,28.78,1982750
WY,2006-04-14,29.0,29.132,28.584,28.78,0
WY,2006-04-17,28.996,29.356,28.876,29.32,1346500
WY,2006-04-18,29.76,29.8,29.016,29.04,2856250
WY,2006-04-19,29.82,29.836,29.388,29.66,3065250
WY,2006-04-20,29.688,29.84,29.436,29.84,3104500
WY,2006-04-21,30.016,30.04,29.788,29.9,2912000
WY,2006-04-24,30.036,30.128,29.76,29.76,2411000
WY,2006-04-25,29.54,30.076,29.324,30.076,3619500
WY,2006-04-26,29.316,29.82,28.988,29.392,5135500
WY,2006-04-27,28.268,29.148,28.1,28.94,6301000
WY,2006-04-28,28.188,28.42,27.892,28.0,4513000
WY,2006-05-01,27.94,28.412,27.824,28.108,3862500
WY,2006-05-02,27.756,27.94,27.5,27.94,5130500
WY,2006-05-03,27.648,27.916,27.032,27.68,8931000
WY,2006-05-04,28.044,28.14,27.72,27.74,5351250
WY,2006-05-05,28.332,28.556,27.996,28.3,3415750
WY,2006-05-08,28.12,28.38,28.012,28.38,2833250
WY,2006-05-09,28.276,28.284,27.92,28.16,2286750
WY,2006-05-10,28.324,28.42,28.136,28.208,2907000
WY,2006-05-11,27.692,28.272,27.572,28.26,3287500
WY,2006-05-12,27.252,27.708,27.14,27.68,4119500
WY,2006-05-15,27.2,27.36,26.852,27.212,3463250
WY,2006-05-16,26.92,27.232,26.704,27.12,2696000
WY,2006-05-17,26.208,26.84,26.208,26.68,3718250
WY,2006-05-18,26.1,26.472,26.08,26.3,2979500
WY,2006-05-19,26.184,26.336,25.944,26.104,5329250
WY,2006-05-22,25.9,26.064,25.612,25.94,3477250
WY,2006-05-23,25.716,26.348,25.676,26.1,4503500
WY,2006-05-24,25.088,25.6,24.628,25.6,8690500
WY,2006-05-25,25.44,25.576,25.26,25.312,4645500
WY,2006-05-26,25.844,25.872,25.476,25.54,3968000
WY,2006-05-29,25.844,25.872,25.476,25.54,0
WY,2006-05-30,25.532,26.004,25.44,25.796,4349250
WY,2006-05-31,25.584,25.768,25.288,25.632,3509750
WY,2006-06-01,26.016,26.06,25.432,25.52,2943250
WY,2006-06-02,25.736,26.08,25.648,26.0,4416250
WY,2006-06-05,24.936,25.528,24.936,25.52,6211000
WY,2006-06-06,24.556,25.02,24.548,25.0,5934000
WY,2006-06-07,24.152,24.7,24.124,24.624,4856000
WY,2006-06-08,23.916,24.044,23.38,24.02,9012000
WY,2006-06-09,24.008,24.148,23.908,24.024,3594750
WY,2006-06-12,23.264,24.04,23.264,24.0,3762500
WY,2006-06-13,22.676,23.316,22.652,23.2,7649500
WY,2006-06-14,22.92,23.0,22.692,22.792,5142000
WY,2006-06-15,23.812,23.88,23.176,23.336,5718500
WY,2006-06-16,23.62,23.864,23.456,23.616,7106500
WY,2006-06-19,23.724,23.944,23.58,23.8,7717000
WY,2006-06-20,23.5,23.876,23.42,23.8,4534500
WY,2006-06-21,24.132,24.168,23.44,23.44,4551250
WY,2006-06-22,24.2,24.324,23.94,24.04,5243000
WY,2006-06-23,24.12,24.324,23.972,24.1,2204000
WY,2006-06-26,24.2,24.408,24.096,24.12,2918500
WY,2006-06-27,24.076,24.6,24.056,24.54,5115250
WY,2006-06-28,23.972,24.032,23.664,24.0,3821000
WY,2006-06-29,24.756,24.756,24.068,24.08,3449750
WY,2006-06-30,24.9,25.288,24.628,25.016,3578750
WY,2006-07-03,24.74,25.096,24.704,25.0,1307750
WY,2006-07-04,24.74,25.096,24.704,25.0,0
WY,2006-07-05,24.324,24.808,24.272,24.688,4390000
WY,2006-07-06,24.308,24.38,24.056,24.284,3122250
WY,2006-07-07,24.248,24.464,24.176,24.24,2284500
WY,2006-07-10,24.32,24.516,24.2,24.32,2485750
WY,2006-07-11,23.98,24.272,23.764,24.22,4825750
WY,2006-07-12,24.008,24.168,23.816,24.072,3370250
WY,2006-07-13,23.064,24.038,23.048,23.92,5612000
WY,2006-07-14,23.24,23.296,22.62,22.916,4586000
WY,2006-07-17,22.904,23.436,22.864,23.24,4200750
WY,2006-07-18,22.54,22.988,22.308,22.88,6164000
WY,2006-07-19,23.128,23.444,22.696,22.7,4355000
WY,2006-07-20,22.508,23.384,22.496,23.024,3221500
WY,2006-07-21,22.14,22.56,21.924,22.56,6286000
WY,2006-07-24,22.24,22.52,21.7,21.7,6316750
WY,2006-07-25,22.94,23.276,22.372,22.4,7227500
WY,2006-07-26,23.4,23.452,22.928,22.94,6152000
WY,2006-07-27,23.548,23.66,23.264,23.5,6041000
WY,2006-07-28,23.428,23.644,23.172,23.6,3460250
WY,2006-07-31,23.464,23.54,23.144,23.32,5170750
WY,2006-08-01,23.092,23.364,22.92,23.364,5101250
WY,2006-08-02,22.988,23.14,22.796,22.86,4363500
WY,2006-08-03,23.296,23.552,22.848,22.924,2893750
WY,2006-08-04,22.944,23.6718,22.812,23.576,3200500
WY,2006-08-07,22.964,23.168,22.796,22.88,2496750
WY,2006-08-08,22.68,23.132,22.556,23.02,3120500
WY,2006-08-09,22.744,23.212,22.716,22.9,3754000
WY,2006-08-10,22.48,22.76,22.368,22.64,5206000
WY,2006-08-11,22.24,22.544,22.12,22.408,4504750
WY,2006-08-14,22.152,22.5,22.112,22.48,4760000
WY,2006-08-15,22.496,22.532,22.232,22.52,4025500
WY,2006-08-16,23.296,23.312,22.64,22.696,6105500
WY,2006-08-17,23.32,23.792,23.232,23.384,3461000
WY,2006-08-18,23.188,23.508,23.1,23.42,1931750
WY,2006-08-21,22.82,23.056,22.78,23.008,2328500
WY,2006-08-22,24.012,24.18,22.9,22.9,7643500
WY,2006-08-23,24.54,24.92,24.008,24.476,7098000
WY,2006-08-24,24.48,25.0,24.404,24.8,5033250
WY,2006-08-25,24.276,24.56,24.264,24.476,4343250
WY,2006-08-28,24.396,24.5,24.012,24.2,3744000
WY,2006-08-29,24.476,24.744,24.4,24.496,4702250
WY,2006-08-30,24.784,24.856,24.404,24.62,4145749
WY,2006-08-31,24.8,24.936,24.644,24.816,4027750
WY,2006-09-01,24.88,25.08,24.728,24.896,2645500
WY,2006-09-04,24.88,25.08,24.728,24.896,0
WY,2006-09-05,25.348,25.352,24.9,25.024,4064000
WY,2006-09-06,25.104,25.308,24.972,25.12,3557250
WY,2006-09-07,24.92,25.128,24.512,24.9,3491750
WY,2006-09-08,25.264,25.408,24.74,24.852,3466250
WY,2006-09-11,24.768,25.268,24.528,25.04,4413500
WY,2006-09-12,24.972,25.012,24.468,24.804,4060749
WY,2006-09-13,24.876,25.192,24.776,24.872,4023250
WY,2006-09-14,24.688,24.888,24.536,24.8,3484500
WY,2006-09-15,24.836,25.036,24.724,24.828,4061000
WY,2006-09-18,24.58,24.88,24.488,24.716,2448750
WY,2006-09-19,24.064,24.56,23.964,24.54,7009250
WY,2006-09-20,24.004,24.208,23.852,24.04,4713250
WY,2006-09-21,23.78,24.108,23.7,23.908,5398500
WY,2006-09-22,23.608,23.776,23.5,23.776,4310000
WY,2006-09-25,24.196,24.264,23.428,23.8,4518250
WY,2006-09-26,24.556,24.676,24.132,24.168,5382500
WY,2006-09-27,24.744,24.76,24.364,24.556,3941250
WY,2006-09-28,24.912,25.044,24.64,24.904,4822250
WY,2006-09-29,24.612,24.84,24.564,24.84,3535500
WY,2006-10-02,24.732,24.924,24.352,24.532,2885750
WY,2006-10-03,24.584,24.864,24.456,24.76,3462250
WY,2006-10-04,24.392,24.54,24.1,24.46,5181000
WY,2006-10-05,24.476,24.66,24.32,24.392,5006250
WY,2006-10-06,24.54,24.56,24.284,24.48,3484750
WY,2006-10-09,24.74,24.868,24.292,24.46,2950250
WY,2006-10-10,24.82,24.976,24.616,24.72,2734750
WY,2006-10-11,24.92,25.052,24.672,24.812,4094500
WY,2006-10-12,25.396,25.44,25.0,25.08,3596250
WY,2006-10-13,26.052,26.12,25.324,25.34,6093000
WY,2006-10-16,26.06,26.244,25.904,26.028,4009000
WY,2006-10-17,25.86,26.0,25.64,25.96,3762000
WY,2006-10-18,25.772,25.972,25.532,25.88,3042250
WY,2006-10-19,25.952,25.972,25.528,25.712,2236000
WY,2006-10-20,25.68,25.992,25.58,25.992,3219750
WY,2006-10-23,25.66,25.72,25.24,25.52,2184500
WY,2006-10-24,25.492,25.932,25.3,25.44,4494250
WY,2006-10-25,25.48,25.936,25.2,25.384,5883500
WY,2006-10-26,25.608,25.62,25.16,25.48,3261500
WY,2006-10-27,25.44,25.784,25.304,25.508,2074749
WY,2006-10-30,25.616,25.724,25.5,25.5,3178750
WY,2006-10-31,25.436,25.804,25.288,25.8,2158000
WY,2006-11-01,25.264,25.772,25.236,25.56,2074250
WY,2006-11-02,25.348,25.592,25.028,25.16,2410500
WY,2006-11-03,25.188,25.532,25.096,25.428,2699500
WY,2006-11-06,25.36,25.568,25.32,25.32,4155999
WY,2006-11-07,25.22,25.6,25.22,25.348,3728750
WY,2006-11-08,25.436,25.528,24.8,24.8,3126000
WY,2006-11-09,25.4,25.712,25.36,25.44,2004000
WY,2006-11-10,25.356,25.508,25.24,25.42,1396250
WY,2006-11-13,25.796,25.844,25.364,25.48,1941000
WY,2006-11-14,25.936,26.06,25.656,25.896,3969750
WY,2006-11-15,25.6,25.896,25.54,25.86,4566750
WY,2006-11-16,25.856,25.984,25.544,25.6,2933500
WY,2006-11-17,25.544,25.7,25.212,25.212,3928500
WY,2006-11-20,25.532,25.66,25.424,25.6,2572250
WY,2006-11-21,25.528,25.556,25.328,25.424,2245250
WY,2006-11-22,25.496,25.58,25.372,25.428,1774000
WY,2006-11-23,25.496,25.58,25.372,25.428,0
WY,2006-11-24,25.72,25.864,25.408,25.448,1067000
WY,2006-11-27,25.304,25.672,25.248,25.62,3116500
WY,2006-11-28,25.864,25.864,25.38,25.38,3865500
WY,2006-11-29,25.72,25.98,25.576,25.78,2547500
WY,2006-11-30,25.872,26.036,25.396,25.712,3000000
WY,2006-12-01,25.924,26.16,25.648,26.012,3070250
WY,2006-12-04,26.428,26.428,25.884,26.0,3868500
WY,2006-12-05,27.076,27.228,26.344,26.408,7483500
WY,2006-12-06,27.108,27.432,26.936,27.18,3951000
WY,2006-12-07,26.7,26.86,26.436,26.772,4712250
WY,2006-12-08,26.672,26.8,26.4841,26.64,2465250
WY,2006-12-11,26.5,26.808,26.308,26.552,2642250
WY,2006-12-12,26.296,26.54,26.024,26.44,3329500
WY,2006-12-13,26.392,26.588,26.244,26.4,2318000
WY,2006-12-14,27.796,28.06,26.204,26.4,13239250
WY,2006-12-15,28.772,30.2,28.64,28.98,35898250
WY,2006-12-18,28.248,28.912,28.22,28.772,6391500
WY,2006-12-19,28.2,28.576,28.056,28.24,4213250
WY,2006-12-20,27.884,28.276,27.868,28.212,3119500
WY,2006-12-21,28.1,28.224,27.828,28.024,4272250
WY,2006-12-22,28.104,28.172,27.82,28.16,2594500
WY,2006-12-25,28.104,28.172,27.82,28.16,0
WY,2006-12-26,28.264,28.488,28.172,28.436,1827250
WY,2006-12-27,28.48,28.8,28.48,28.56,3178750
WY,2006-12-28,28.32,28.552,28.288,28.48,2101500
WY,2006-12-29,28.26,28.48,28.2,28.26,2139000
WY,2007-01-01,28.26,28.48,28.2,28.26,0
WY,2007-01-02,28.26,28.48,28.2,28.26,0
WY,2007-01-03,29.0,29.144,28.4,28.404,5784000
WY,2007-01-04,28.708,28.936,28.484,28.676,4859250
WY,2007-01-05,28.616,28.784,28.448,28.724,3735750
WY,2007-01-08,28.868,28.932,28.284,28.284,2773750
WY,2007-01-09,28.72,28.936,28.416,28.9,3381250
WY,2007-01-10,28.548,28.98,28.312,28.56,2962750
WY,2007-01-11,28.98,29.292,28.512,28.6,4660750
WY,2007-01-12,29.2,29.304,28.908,28.92,4807750
WY,2007-01-15,29.2,29.304,28.908,28.92,0
WY,2007-01-16,29.16,29.192,28.864,29.1,2704750
WY,2007-01-17,28.852,29.072,28.4617,28.98,3045250
WY,2007-01-18,28.804,29.056,28.616,28.932,3352750
WY,2007-01-19,29.7,30.032,29.2,29.372,9407750
WY,2007-01-22,29.352,29.792,29.308,29.56,4136250
WY,2007-01-23,29.868,30.044,29.524,29.576,6070000
WY,2007-01-24,29.988,30.08,29.716,29.868,5662250
WY,2007-01-25,29.912,30.1,29.812,29.928,4709750
WY,2007-01-26,30.06,30.136,29.756,29.96,4555500
WY,2007-01-29,30.128,30.62,29.972,30.06,6982750
WY,2007-01-30,29.932,30.24,29.868,30.124,4830750
WY,2007-01-31,30.0,30.092,29.688,29.78,3926750
WY,2007-02-01,30.228,30.34,29.86,30.12,3626000
WY,2007-02-02,30.608,30.98,30.32,30.712,7356750
WY,2007-02-05,31.288,31.34,30.856,30.916,10454750
WY,2007-02-06,31.588,31.588,31.2,31.2,8185750
WY,2007-02-07,31.704,31.764,31.308,31.52,7297250
WY,2007-02-08,31.596,31.88,31.388,31.64,13637250
WY,2007-02-09,31.256,31.984,31.0,31.196,12757250
WY,2007-02-12,31.376,31.376,30.972,31.2,7885597
WY,2007-02-13,32.38,32.576,31.52,31.52,13016267
WY,2007-02-14,32.624,32.656,31.872,31.9,13962962
WY,2007-02-15,32.956,33.0,32.296,32.4,10701750
WY,2007-02-16,33.212,33.376,31.872,33.332,16443500
WY,2007-02-19,33.212,33.376,31.872,33.332,0
WY,2007-02-20,33.132,33.212,32.94,33.02,11693750
WY,2007-02-21,33.428,33.46,32.648,32.76,9972500
WY,2007-02-22,33.228,33.712,32.916,33.6,10186250
WY,2007-02-23,32.9,33.228,32.772,33.228,15215750
WY,2007-02-26,34.408,34.832,33.608,33.8,25529790
WY,2007-02-27,33.9,34.836,33.4,33.84,27539000
WY,2007-02-28,34.364,34.452,33.8,33.8,42361250
WY,2007-03-01,34.4,34.54,33.8,34.348,31564422
WY,2007-03-02,34.472,34.812,34.0,34.3,23190500
WY,2007-03-05,33.9,34.76,33.804,33.804,12796517
WY,2007-03-06,34.48,34.66,34.004,34.12,40487000
WY,2007-03-07,33.66,33.984,33.24,33.8,28081000
WY,2007-03-08,33.0,33.868,32.828,33.2,10736500
WY,2007-03-09,32.868,33.316,32.648,33.1,7689000
WY,2007-03-12,32.352,32.976,32.232,32.888,9347500
WY,2007-03-13,31.64,32.076,31.624,32.0,14748000
WY,2007-03-14,31.532,32.8,30.88,31.64,13944750
WY,2007-03-15,31.832,32.184,31.6,31.6,9413500
WY,2007-03-16,31.676,32.1,31.588,31.7,8473000
WY,2007-03-19,31.524,31.816,31.316,31.66,8144000
WY,2007-03-20,31.24,31.56,31.1,31.36,7475980
WY,2007-03-21,31.392,31.72,30.764,31.38,14597750
WY,2007-03-22,31.068,32.0,31.008,31.7,9405455
WY,2007-03-23,31.224,31.656,30.752,30.752,9113862
WY,2007-03-26,30.976,31.22,30.44,31.2,8743627
WY,2007-03-27,30.388,30.644,30.212,30.52,8922750
WY,2007-03-28,29.92,30.28,29.632,30.24,11343750
WY,2007-03-29,29.852,30.256,29.628,30.256,5392000
WY,2007-03-30,29.896,30.484,29.68,29.96,6099250
WY,2007-04-02,29.98,30.16,29.668,30.16,6004987
WY,2007-04-03,30.608,30.728,30.048,30.16,6097250
WY,2007-04-04,30.684,30.892,30.464,30.608,5620000
WY,2007-04-05,30.304,30.56,30.304,30.524,3549220
WY,2007-04-06,30.304,30.56,30.304,30.524,0
WY,2007-04-09,30.484,30.604,30.292,30.48,3887500
WY,2007-04-10,30.392,30.684,30.388,30.464,2191000
WY,2007-04-11,29.876,30.54,29.84,30.52,3955252
WY,2007-04-12,30.08,30.12,29.84,29.94,5188275
WY,2007-04-13,30.408,30.428,30.152,30.3,4099360
WY,2007-04-16,31.64,31.78,30.376,30.408,11955745
WY,2007-04-17,31.092,31.76,30.928,31.76,6667985
WY,2007-04-18,30.992,31.256,30.84,31.06,5621515
WY,2007-04-19,30.576,30.976,30.456,30.976,4219555
WY,2007-04-20,31.0,31.0,30.664,30.776,7384762
WY,2007-04-23,30.836,31.176,30.704,31.1,3259965
WY,2007-04-24,30.612,30.912,30.428,30.88,4262880
WY,2007-04-25,30.94,31.004,30.608,30.76,4173197
WY,2007-04-26,32.5,32.6,30.68,30.9,13175500
WY,2007-04-27,32.54,32.6,31.768,32.336,7230842
WY,2007-04-30,31.688,32.372,31.668,32.34,6160750
WY,2007-05-01,31.564,31.88,31.112,31.8,5589125
WY,2007-05-02,31.732,31.828,31.292,31.328,4051095
WY,2007-05-03,31.26,31.92,31.216,31.72,4883295
WY,2007-05-04,33.048,33.94,32.796,32.804,18159092
WY,2007-05-07,32.856,33.26,32.64,32.868,5716875
WY,2007-05-08,32.744,32.916,32.632,32.76,4902250
WY,2007-05-09,32.86,32.972,32.6,32.72,5610750
WY,2007-05-10,32.324,32.848,32.2,32.7,4627500
WY,2007-05-11,32.536,32.688,32.232,32.38,2299000
WY,2007-05-14,32.4,32.544,32.116,32.544,4206500
WY,2007-05-15,32.012,32.404,31.824,32.332,5797250
WY,2007-05-16,31.776,32.16,31.668,32.16,4846500
WY,2007-05-17,32.092,32.092,31.668,31.668,2945250
WY,2007-05-18,32.056,32.128,31.948,32.12,2738250
WY,2007-05-21,32.188,32.708,32.0,32.1,6959625
WY,2007-05-22,32.14,32.38,32.068,32.288,3010125
WY,2007-05-23,31.86,32.36,31.832,32.16,2600187
WY,2007-05-24,31.628,32.392,31.604,31.832,3350687
WY,2007-05-25,31.98,32.024,31.608,31.624,2235250
WY,2007-05-28,31.98,32.024,31.608,31.624,0
WY,2007-05-29,32.076,32.28,31.848,31.952,2346500
WY,2007-05-30,32.384,32.392,31.78,31.888,3552062
WY,2007-05-31,32.784,33.024,32.52,32.52,5378750
WY,2007-06-01,32.94,33.12,32.4,32.784,4254250
WY,2007-06-04,32.972,33.024,32.42,32.76,3500500
WY,2007-06-05,32.908,32.92,32.472,32.78,3097500
WY,2007-06-06,32.56,32.86,32.448,32.86,2747750
WY,2007-06-07,32.024,32.644,32.024,32.44,4080000
WY,2007-06-08,32.676,32.676,32.024,32.024,2570750
WY,2007-06-11,32.268,32.58,32.084,32.544,4805000
WY,2007-06-12,32.108,32.424,32.004,32.14,3668750
WY,2007-06-13,32.8,32.8,32.152,32.32,3453750
WY,2007-06-14,32.72,33.3,32.548,32.8,3204000
WY,2007-06-15,32.82,33.388,32.756,33.388,5391152
WY,2007-06-18,32.612,33.16,32.548,33.02,3976500
WY,2007-06-19,32.484,32.716,32.376,32.624,3420250
WY,2007-06-20,32.272,32.98,32.272,32.496,3900000
WY,2007-06-21,32.64,32.664,31.816,32.268,3849750
WY,2007-06-22,32.228,32.676,32.096,32.46,3810500
WY,2007-06-25,31.992,32.456,31.796,32.3,3972482
WY,2007-06-26,31.332,32.116,31.288,32.072,4879500
WY,2007-06-27,31.476,31.552,30.892,31.28,4431000
WY,2007-06-28,31.66,32.988,29.864,30.484,3763000
WY,2007-06-29,31.572,31.956,31.404,31.72,4563712
WY,2007-07-02,32.008,32.04,31.6,31.6,4061250
WY,2007-07-03,32.272,32.404,32.06,32.1,2454987
WY,2007-07-04,32.272,32.404,32.06,32.1,0
WY,2007-07-05,32.372,32.616,32.084,32.616,3123500
WY,2007-07-06,32.26,32.408,32.072,32.196,2842880
WY,2007-07-09,32.16,32.372,32.024,32.336,2585872
WY,2007-07-10,31.536,32.08,31.512,32.08,3969740
WY,2007-07-11,31.476,31.588,31.212,31.46,3834930
WY,2007-07-12,31.852,31.888,31.476,31.596,3664500
WY,2007-07-13,32.672,32.788,32.1,32.152,4654500
WY,2007-07-16,32.6,33.0,32.584,32.636,2930627
WY,2007-07-17,33.104,33.3,32.62,32.7,4023250
WY,2007-07-18,33.192,33.408,32.92,32.92,5044302
WY,2007-07-19,33.62,33.7148,33.24,33.28,4995425
WY,2007-07-20,32.56,33.62,32.52,33.02,4100500
WY,2007-07-23,33.052,33.28,32.688,33.112,3259230
WY,2007-07-24,31.9,32.804,31.88,32.4,4491095
WY,2007-07-25,31.692,32.528,31.4,32.2,4635035
WY,2007-07-26,30.288,31.52,29.8,31.484,11188872
WY,2007-07-27,28.8,30.3,28.064,30.06,26584990
WY,2007-07-30,29.352,29.668,28.98,29.02,9120297
WY,2007-07-31,28.496,29.54,28.496,29.0,10641867
WY,2007-08-01,28.0,28.7,27.092,27.924,15316417
WY,2007-08-02,27.492,28.376,27.152,27.868,9729755
WY,2007-08-03,26.64,28.32,26.612,28.016,11412750
WY,2007-08-06,27.14,27.152,25.92,26.9,11129587
WY,2007-08-07,27.344,27.656,26.528,27.58,9265750
WY,2007-08-08,27.992,28.328,27.34,27.34,7849632
WY,2007-08-09,26.508,27.94,26.448,27.448,10013650
WY,2007-08-10,26.568,26.708,24.64,26.408,13267152
WY,2007-08-13,27.46,27.704,26.592,27.14,8927000
WY,2007-08-14,26.188,27.46,26.08,27.408,10195750
WY,2007-08-15,25.312,26.688,25.204,26.012,8127829
WY,2007-08-16,25.188,25.632,23.868,25.02,15012000
WY,2007-08-17,26.0,26.592,24.88,25.776,9870000
WY,2007-08-20,26.1,26.268,25.532,25.78,6037500
WY,2007-08-21,26.396,26.552,25.844,26.232,5077750
WY,2007-08-22,26.8,26.876,26.34,26.78,6320500
WY,2007-08-23,26.7,27.2,26.54,27.072,6217000
WY,2007-08-24,26.82,27.0,26.508,26.68,5538250
