Symbol,Date,Close,High,Low,Open,Volume
XEL,2006-01-02,18.46,18.5,18.33,18.46,0
XEL,2006-01-03,18.57,18.59,18.28,18.52,2137700
XEL,2006-01-04,18.66,18.7,18.39,18.57,1472200
XEL,2006-01-05,18.65,18.72,18.53,18.61,845300
XEL,2006-01-06,18.72,18.74,18.48,18.74,763100
XEL,2006-01-09,18.67,18.73,18.61,18.7,544300
XEL,2006-01-10,18.76,18.76,18.52,18.58,953500
XEL,2006-01-11,18.62,18.79,18.55,18.79,910700
XEL,2006-01-12,18.81,18.83,18.54,18.55,1284900
XEL,2006-01-13,18.82,18.86,18.73,18.78,616900
XEL,2006-01-16,18.82,18.86,18.73,18.78,0
XEL,2006-01-17,19.03,19.07,18.74,18.82,1484000
XEL,2006-01-18,19.08,19.14,18.92,19.03,951500
XEL,2006-01-19,19.13,19.24,19.02,19.17,1298100
XEL,2006-01-20,19.03,19.2,18.93,19.16,1173000
XEL,2006-01-23,19.15,19.2,19.07,19.08,739700
XEL,2006-01-24,19.29,19.34,19.1,19.17,1220000
XEL,2006-01-25,19.22,19.39,19.09,19.27,1444500
XEL,2006-01-26,19.25,19.46,19.15,19.32,4231600
XEL,2006-01-27,19.5,19.5,19.2,19.2,1177200
XEL,2006-01-30,19.28,19.43,19.24,19.42,950900
XEL,2006-01-31,19.42,19.48,19.27,19.27,1641000
XEL,2006-02-01,19.44,19.61,19.21,19.4,3384200
XEL,2006-02-02,18.95,19.21,18.85,19.2,2381100
XEL,2006-02-03,18.96,19.11,18.65,18.85,1443700
XEL,2006-02-06,18.78,18.98,18.76,18.96,1038899
XEL,2006-02-07,18.5,18.75,18.5,18.69,989800
XEL,2006-02-08,18.31,18.53,18.27,18.48,1212300
XEL,2006-02-09,18.64,18.77,18.33,18.4,1311100
XEL,2006-02-10,18.59,18.78,18.5,18.64,815100
XEL,2006-02-13,18.41,18.63,18.35,18.53,637400
XEL,2006-02-14,18.41,18.54,18.33,18.43,922600
XEL,2006-02-15,18.6,18.6,18.34,18.4,860700
XEL,2006-02-16,18.57,18.6,18.48,18.56,631600
XEL,2006-02-17,18.93,19.02,18.55,18.59,1140400
XEL,2006-02-20,18.93,19.02,18.55,18.59,0
XEL,2006-02-21,18.97,19.04,18.83,18.92,2288200
XEL,2006-02-22,19.17,19.2,18.993,19.03,1012500
XEL,2006-02-23,18.95,19.2,18.86,19.18,1118300
XEL,2006-02-24,19.05,19.05,19.03,19.03,1258400
XEL,2006-02-27,18.85,19.03,18.73,19.0,2068499
XEL,2006-02-28,18.56,18.8,18.49,18.78,2188500
XEL,2006-03-01,18.45,18.63,18.41,18.57,1798900
XEL,2006-03-02,18.35,18.47,18.26,18.45,1369000
XEL,2006-03-03,18.23,18.38,18.21,18.35,1428000
XEL,2006-03-06,18.17,18.25,17.94,18.23,1318700
XEL,2006-03-07,18.05,18.18,18.0,18.17,1050800
XEL,2006-03-08,18.2,18.28,17.91,18.0,1372900
XEL,2006-03-09,18.11,18.26,18.07,18.25,1664600
XEL,2006-03-10,18.19,18.24,18.073,18.1,943800
XEL,2006-03-13,18.4,18.43,18.18,18.26,993500
