Symbol,Date,Close,High,Low,Open,Volume
XL,2006-01-02,67.38,67.45,66.89,67.25,0
XL,2006-01-03,68.23,68.23,66.99,67.6,1129500
XL,2006-01-04,69.63,70.0,68.82,68.85,2010600
XL,2006-01-05,69.5,70.0,68.91,70.0,1850300
XL,2006-01-06,69.61,69.75,69.24,69.75,851500
XL,2006-01-09,70.08,70.1,69.3,69.61,814100
XL,2006-01-10,69.35,70.08,69.17,70.08,1269800
XL,2006-01-11,71.35,71.35,69.65,69.7,1376100
XL,2006-01-12,71.29,71.97,71.07,71.6,1333400
XL,2006-01-13,71.13,71.74,70.83,71.3,1298700
XL,2006-01-16,71.13,71.74,70.83,71.3,0
XL,2006-01-17,70.93,71.35,70.73,71.0,1324700
XL,2006-01-18,70.94,71.15,70.64,70.93,807300
XL,2006-01-19,70.3,71.24,70.1,71.01,1021900
XL,2006-01-20,68.9,70.18,68.9,69.74,943400
XL,2006-01-23,69.21,69.44,69.0,69.0,587900
XL,2006-01-24,68.96,69.45,68.64,69.07,744100
XL,2006-01-25,68.86,69.21,68.4,69.11,862300
XL,2006-01-26,69.07,70.2,69.01,69.4,781300
XL,2006-01-27,69.64,69.64,69.1,69.1,662000
XL,2006-01-30,69.51,69.66,69.35,69.46,1206000
XL,2006-01-31,67.66,69.52,67.64,69.52,1773700
XL,2006-02-01,68.4,68.61,67.6,67.8,1318400
XL,2006-02-02,67.32,68.73,66.8,68.73,1217700
XL,2006-02-03,67.25,67.56,66.89,67.19,1004300
XL,2006-02-06,67.2,67.45,66.85,67.0,587700
XL,2006-02-07,67.38,68.57,67.14,68.55,1123900
XL,2006-02-08,66.45,67.08,66.11,66.15,2374900
XL,2006-02-09,65.9,66.95,65.85,66.4,1763600
XL,2006-02-10,66.13,66.36,65.85,66.17,1512100
XL,2006-02-13,65.97,66.25,65.66,66.21,764200
XL,2006-02-14,66.32,66.71,65.83,65.83,1349500
XL,2006-02-15,66.4,66.69,66.02,66.45,797700
XL,2006-02-16,66.05,66.46,65.46,66.3,978700
XL,2006-02-17,66.06,66.28,65.8,66.1,804400
XL,2006-02-20,66.06,66.28,65.8,66.1,0
XL,2006-02-21,66.37,66.65,66.02,66.55,949300
XL,2006-02-22,67.96,68.03,66.75,66.75,853400
XL,2006-02-23,67.93,68.15,67.19,68.15,1095100
XL,2006-02-24,67.44,68.06,66.93,67.7,807700
XL,2006-02-27,67.7,68.03,67.4,67.69,861600
XL,2006-02-28,67.55,67.82,67.05,67.7,854400
XL,2006-03-01,68.14,68.14,67.55,67.57,1597900
XL,2006-03-02,68.08,68.49,67.87,68.45,1355500
XL,2006-03-03,68.1,68.5,67.83,68.07,1027500
XL,2006-03-06,67.27,68.13,67.25,68.02,603300
XL,2006-03-07,67.85,67.98,66.97,67.11,723400
XL,2006-03-08,67.72,68.06,67.54,68.0,361200
XL,2006-03-09,66.87,67.94,66.79,67.87,1219700
XL,2006-03-10,66.6,66.9,66.31,66.88,973600
XL,2006-03-13,66.77,67.2,66.27,66.27,636400
XL,2006-03-14,67.52,67.84,66.53,66.53,926500
XL,2006-03-15,68.4,68.41,67.18,67.35,854100
XL,2006-03-16,67.92,68.6,67.86,68.4,1489500
XL,2006-03-17,67.45,67.96,67.32,67.96,747300
XL,2006-03-20,67.25,67.77,67.0801,67.35,318000
XL,2006-03-21,66.98,67.55,66.93,67.5,802500
XL,2006-03-22,66.71,67.05,66.27,67.05,441000
XL,2006-03-23,65.99,66.7,65.85,66.7,802500
XL,2006-03-24,65.39,65.81,65.35,65.8,576500
XL,2006-03-27,64.49,65.21,64.39,65.2,1396800
XL,2006-03-28,64.18,64.74,63.8,64.2,970600
XL,2006-03-29,64.7,65.27,64.32,64.32,1021099
XL,2006-03-30,64.77,65.01,64.6,64.7,1006000
XL,2006-03-31,64.11,65.07,63.94,64.7,781400
XL,2006-04-03,64.56,65.13,64.49,64.5,1079200
XL,2006-04-04,64.67,64.96,64.15,64.5,554700
XL,2006-04-05,63.8,64.88,63.5,64.56,1071200
XL,2006-04-06,63.29,63.82,63.0,63.74,1011700
XL,2006-04-07,63.75,64.88,63.07,64.75,1997100
XL,2006-04-10,63.25,63.93,63.19,63.93,846000
XL,2006-04-11,63.12,63.2888,62.8,62.95,1028200
XL,2006-04-12,62.96,63.43,62.77,62.99,761300
XL,2006-04-13,62.64,63.03,62.44,62.76,618700
XL,2006-04-14,62.64,63.03,62.44,62.76,0
XL,2006-04-17,62.87,62.934,62.43,62.53,602900
XL,2006-04-18,64.45,64.53,63.08,63.12,1597200
XL,2006-04-19,65.31,65.6,64.6,64.75,1101700
XL,2006-04-20,65.39,65.94,65.12,65.3,968900
XL,2006-04-21,65.5,65.91,65.33,65.88,885900
XL,2006-04-24,65.93,66.06,65.33,65.5,1272200
XL,2006-04-25,66.06,66.43,65.91,66.43,1136100
XL,2006-04-26,66.21,66.38,65.89,66.06,1237300
XL,2006-04-27,66.24,67.01,65.98,66.22,931200
XL,2006-04-28,65.89,66.58,65.41,66.24,1251700
