Symbol,Date,Close,High,Low,Open,Volume
XOM,2006-01-02,56.17,56.69,55.78,56.1,0
XOM,2006-01-03,58.47,58.47,56.42,56.42,23836600
XOM,2006-01-04,58.57,58.84,58.06,58.6,16653099
XOM,2006-01-05,58.28,58.82,57.87,58.57,16997000
XOM,2006-01-06,59.43,59.56,58.76,58.76,17193600
XOM,2006-01-09,59.4,59.87,59.27,59.8,17299400
XOM,2006-01-10,59.86,60.16,59.16,59.2,17656500
XOM,2006-01-11,60.27,60.49,59.32,59.68,17104100
XOM,2006-01-12,59.64,61.0,59.6,60.5,21087600
XOM,2006-01-13,60.97,60.99,59.51,59.51,16961700
XOM,2006-01-16,60.97,60.99,59.51,59.51,0
XOM,2006-01-17,61.54,61.74,61.08,61.26,18118800
XOM,2006-01-18,61.09,61.75,60.12,61.72,16232700
XOM,2006-01-19,61.5,61.7,60.42,60.68,18861500
XOM,2006-01-20,60.53,62.06,60.35,61.81,24678500
XOM,2006-01-23,61.2,61.64,60.12,60.53,18368400
XOM,2006-01-24,60.96,61.53,60.75,60.9,16187300
XOM,2006-01-25,60.21,61.65,59.55,61.34,22996300
XOM,2006-01-26,59.95,61.02,59.57,60.79,21683100
XOM,2006-01-27,61.29,61.53,60.31,60.36,18819000
XOM,2006-01-30,63.11,63.96,62.79,62.88,29373900
XOM,2006-01-31,62.75,63.45,62.3,62.75,22862200
XOM,2006-02-01,61.95,63.08,61.91,62.77,20524900
XOM,2006-02-02,61.95,62.29,61.21,61.9,19395500
XOM,2006-02-03,61.39,61.82,61.03,61.65,17140100
XOM,2006-02-06,61.97,62.61,61.65,61.7,18678200
XOM,2006-02-07,60.55,61.85,60.4,61.59,19336300
XOM,2006-02-08,60.39,60.64,59.68,60.0,21922100
XOM,2006-02-09,59.92,61.39,59.74,60.55,22554900
XOM,2006-02-10,59.43,60.93,58.6,60.05,26186400
XOM,2006-02-13,59.6,60.35,59.11,59.43,16835700
XOM,2006-02-14,59.55,59.9,58.8,59.26,19350200
XOM,2006-02-15,59.76,59.95,59.05,59.81,21419700
XOM,2006-02-16,60.25,60.25,59.51,59.9,18330400
XOM,2006-02-17,60.55,60.68,60.21,60.37,18495900
XOM,2006-02-20,60.55,60.68,60.21,60.37,0
XOM,2006-02-21,60.76,61.3,60.65,61.0,15664400
XOM,2006-02-22,60.26,60.74,59.96,60.6,15626700
XOM,2006-02-23,59.83,60.54,59.63,60.01,17761700
