Symbol,Date,Close,High,Low,Open,Volume
XRAY,2006-01-02,26.845,27.12,26.775,27.0,0
XRAY,2006-01-03,27.015,27.285,26.46,26.805,1054308
XRAY,2006-01-04,27.265,27.465,26.855,26.99,780026
XRAY,2006-01-05,26.955,27.225,26.805,27.155,1048184
XRAY,2006-01-06,27.376,27.376,27.115,27.115,857738
XRAY,2006-01-09,27.645,27.8,27.045,27.35,973154
XRAY,2006-01-10,27.41,27.6,27.125,27.5,845624
XRAY,2006-01-11,28.04,28.24,27.8,28.04,1628712
XRAY,2006-01-12,27.995,28.05,27.705,27.92,870328
XRAY,2006-01-13,28.135,28.345,28.055,28.13,776496
XRAY,2006-01-16,28.135,28.345,28.055,28.13,0
XRAY,2006-01-17,28.02,28.335,27.885,28.1,767162
XRAY,2006-01-18,28.08,28.365,27.99,28.0,610322
XRAY,2006-01-19,28.335,28.3715,27.875,28.05,521730
XRAY,2006-01-20,27.74,28.32,27.67,28.12,737740
XRAY,2006-01-23,27.835,27.835,27.41,27.7,835242
XRAY,2006-01-24,27.345,27.4185,27.055,27.38,521657
XRAY,2006-01-25,27.295,27.295,26.815,27.24,1482998
XRAY,2006-01-26,27.265,27.265,26.93,26.955,898882
XRAY,2006-01-27,27.47,27.865,26.86,26.86,894760
XRAY,2006-01-30,27.11,27.645,27.05,27.445,613298
XRAY,2006-01-31,26.85,27.175,26.73,27.175,823792
XRAY,2006-02-01,26.815,27.0,26.685,26.685,496196
XRAY,2006-02-02,26.805,26.88,26.405,26.66,659668
XRAY,2006-02-03,26.39,26.64,26.245,26.58,1295560
XRAY,2006-02-06,26.385,26.385,26.255,26.255,1930826
XRAY,2006-02-07,26.305,26.795,26.23,26.235,727466
XRAY,2006-02-08,26.37,26.48,26.175,26.36,1135196
XRAY,2006-02-09,27.28,27.585,26.735,26.885,2124626
XRAY,2006-02-10,27.46,27.5,27.08,27.12,1170072
XRAY,2006-02-13,27.61,27.61,27.37,27.46,821410
XRAY,2006-02-14,27.855,28.21,27.08,27.26,1661202
XRAY,2006-02-15,27.59,27.805,27.33,27.795,1075550
XRAY,2006-02-16,27.725,27.915,27.57,27.57,921540
XRAY,2006-02-17,28.005,28.005,27.61,27.61,672374
XRAY,2006-02-20,28.005,28.005,27.61,27.61,0
XRAY,2006-02-21,27.34,27.87,27.145,27.815,765906
XRAY,2006-02-22,27.505,27.75,27.265,27.42,645020
XRAY,2006-02-23,27.58,27.58,27.47,27.47,1232226
XRAY,2006-02-24,27.87,27.875,27.45,27.64,777816
XRAY,2006-02-27,28.32,28.355,27.87,27.965,1312522
XRAY,2006-02-28,28.495,28.567,28.18,28.18,1892906
XRAY,2006-03-01,28.405,28.625,28.13,28.48,1286602
XRAY,2006-03-02,28.235,28.41,27.95,28.28,1191238
XRAY,2006-03-03,28.14,28.305,27.915,28.125,1157312
XRAY,2006-03-06,28.175,28.286,27.8,28.1,1129294
XRAY,2006-03-07,28.07,28.235,27.99,28.105,854604
XRAY,2006-03-08,28.05,28.245,27.755,27.92,975672
XRAY,2006-03-09,27.835,28.2,27.715,27.965,641932
XRAY,2006-03-10,28.015,28.225,27.665,27.74,1007282
XRAY,2006-03-13,28.095,28.25,27.99,28.015,525984
XRAY,2006-03-14,28.35,28.445,27.985,28.065,767680
XRAY,2006-03-15,28.486,28.486,28.445,28.445,430818
XRAY,2006-03-16,28.55,28.62,28.395,28.45,637032
XRAY,2006-03-17,28.705,28.86,28.47,28.595,1045252
XRAY,2006-03-20,28.8,28.895,28.635,28.71,878590
XRAY,2006-03-21,29.005,29.005,28.525,28.74,752198
XRAY,2006-03-22,28.65,28.65,28.31,28.31,558426
XRAY,2006-03-23,28.67,28.69,28.03,28.32,675552
XRAY,2006-03-24,28.775,28.975,28.6,28.7,520951
XRAY,2006-03-27,28.71,28.925,28.495,28.8,446462
XRAY,2006-03-28,28.85,29.205,28.8,28.87,1104166
XRAY,2006-03-29,28.93,29.223,28.65,28.85,781334
XRAY,2006-03-30,29.115,29.155,28.85,29.0,552858
XRAY,2006-03-31,29.075,29.18,28.775,29.1,629554
XRAY,2006-04-03,29.195,29.195,28.645,29.195,896110
XRAY,2006-04-04,28.415,28.97,28.32,28.645,1257802
XRAY,2006-04-05,28.29,28.415,27.935,28.33,1130722
XRAY,2006-04-06,28.105,28.295,27.875,28.205,660752
XRAY,2006-04-07,28.77,29.375,28.53,29.05,2166534
XRAY,2006-04-10,28.72,28.855,28.625,28.835,633724
XRAY,2006-04-11,28.79,28.94,28.7,28.705,1303614
XRAY,2006-04-12,28.73,28.985,28.68,28.88,558258
XRAY,2006-04-13,28.705,28.705,28.205,28.6,656510
XRAY,2006-04-14,28.705,28.705,28.205,28.6,0
XRAY,2006-04-17,27.94,28.205,27.715,28.205,607140
XRAY,2006-04-18,28.3,28.385,27.825,27.94,1153482
XRAY,2006-04-19,29.08,29.125,28.35,28.385,1134512
XRAY,2006-04-20,29.24,29.35,28.875,28.995,859774
