Symbol,Date,Close,High,Low,Open,Volume
YUM,2006-01-02,16.822,17.005,16.7079,16.9907,0
YUM,2006-01-03,16.7754,16.901,16.6139,16.8974,4142889
YUM,2006-01-04,16.944,16.944,16.7754,16.7754,7215360
YUM,2006-01-05,17.6402,17.6653,17.2096,17.2096,7872493
YUM,2006-01-06,17.5899,18.0815,17.5648,17.9416,6701749
YUM,2006-01-09,17.7263,17.7765,17.5469,17.5648,4051760
YUM,2006-01-10,17.7119,17.7801,17.5828,17.6007,4632534
YUM,2006-01-11,17.5289,17.7155,17.4213,17.6509,2802985
YUM,2006-01-12,17.2455,17.4823,17.2455,17.4392,5103228
YUM,2006-01-13,17.2419,17.4572,17.2419,17.3136,3895419
YUM,2006-01-16,17.2419,17.4572,17.2419,17.3136,0
YUM,2006-01-17,17.0302,17.2383,16.9548,17.188,4092169
YUM,2006-01-18,17.127,17.2885,16.9727,16.9907,2108788
YUM,2006-01-19,17.2203,17.2742,17.0409,17.0804,2581433
YUM,2006-01-20,16.8687,17.2024,16.7395,17.1522,4719204
YUM,2006-01-23,16.9727,17.0194,16.8436,16.901,2331176
YUM,2006-01-24,17.0589,17.066,16.7933,17.0122,2867361
YUM,2006-01-25,17.5361,17.5576,17.1378,17.145,5126637
YUM,2006-01-26,17.5218,17.6509,17.4679,17.5828,3561001
YUM,2006-01-27,18.0385,18.0385,17.572,17.572,4537503
YUM,2006-01-30,17.8483,18.0205,17.6653,17.938,3059930
YUM,2006-01-31,17.7514,17.8375,17.633,17.6545,4597420
YUM,2006-02-01,18.0133,18.0492,17.6366,17.6366,4041449
YUM,2006-02-02,17.9416,18.1748,17.8555,17.9775,4650091
YUM,2006-02-03,18.1031,18.1533,17.8734,17.9416,4072940
YUM,2006-02-06,18.3614,18.3973,17.999,18.0169,4796399
YUM,2006-02-07,18.1425,18.6844,18.0564,18.5695,5899423
YUM,2006-02-08,17.9344,18.1389,17.7622,18.1031,4100529
YUM,2006-02-09,17.6832,18.0317,17.676,17.8878,4712516
YUM,2006-02-10,17.9667,17.9882,17.6832,17.7083,3410791
YUM,2006-02-13,17.9739,18.0062,17.7299,17.8878,2415617
YUM,2006-02-14,18.1425,18.2035,17.877,17.9775,2772051
YUM,2006-02-15,18.1533,18.1999,17.8913,18.0133,3560443
YUM,2006-02-16,18.121,18.1641,17.9954,18.0636,2772609
YUM,2006-02-17,17.9416,18.1138,17.938,18.0672,2755888
YUM,2006-02-20,17.9416,18.1138,17.938,18.0672,0
YUM,2006-02-21,17.6294,17.9559,17.4285,17.9129,4865512
YUM,2006-02-22,17.7083,17.9021,17.676,17.7119,2922540
YUM,2006-02-23,17.8985,17.9775,17.6725,17.7191,2889655
YUM,2006-02-24,17.8519,17.9165,17.5971,17.8698,2425371
YUM,2006-02-27,17.7406,17.9344,17.6653,17.8878,3083618
YUM,2006-02-28,17.1163,17.7622,17.0912,17.6509,6765567
YUM,2006-03-01,17.5325,17.5325,17.1163,17.1163,7719496
YUM,2006-03-02,17.2598,17.5253,17.1019,17.5218,5999470
YUM,2006-03-03,17.4356,17.5648,17.1952,17.2275,4031416
YUM,2006-03-06,17.3531,17.4902,17.2885,17.4751,4105824
YUM,2006-03-07,17.0481,17.3567,17.023,17.2311,5163981
YUM,2006-03-08,17.4572,17.511,17.0409,17.0517,4227330
YUM,2006-03-09,17.5828,17.6007,17.4033,17.4572,3879534
YUM,2006-03-10,17.5038,17.615,17.4607,17.5828,3848601
YUM,2006-03-13,17.3782,17.5756,17.3423,17.5289,3113716
YUM,2006-03-14,17.572,17.6545,17.1306,17.2957,2856771
YUM,2006-03-15,17.493,17.5361,17.3603,17.5146,3765553
YUM,2006-03-16,17.9488,18.0492,17.5576,17.5576,4836250
YUM,2006-03-17,18.1031,18.2645,18.0564,18.121,7579319
YUM,2006-03-20,17.9739,18.1676,17.9201,18.0349,2712692
YUM,2006-03-21,17.8088,18.0026,17.8016,17.9523,2784871
YUM,2006-03-22,17.8483,17.9344,17.4643,17.4643,2802149
YUM,2006-03-23,17.5038,17.7622,17.5038,17.7442,4052317
YUM,2006-03-24,17.5074,17.7658,17.4572,17.4572,2350963
