Symbol,Date,Close,High,Low,Open,Volume
ZBH,2006-01-02,67.44,67.94,67.15,67.93,0
ZBH,2006-01-03,68.48,68.66,66.36,67.64,1580600
ZBH,2006-01-04,69.13,69.32,68.1,68.48,1045800
ZBH,2006-01-05,68.4,69.3,68.22,69.13,1142500
ZBH,2006-01-06,68.05,68.8,67.74,68.65,1276800
ZBH,2006-01-09,70.46,70.6,67.7,68.28,1317800
ZBH,2006-01-10,70.16,70.41,67.99,70.4,1727700
ZBH,2006-01-11,71.99,72.6,70.55,70.6,2307200
ZBH,2006-01-12,72.42,72.87,71.3,71.91,1719600
ZBH,2006-01-13,70.6,72.25,70.47,70.51,1552100
ZBH,2006-01-16,70.6,72.25,70.47,70.51,0
ZBH,2006-01-17,70.7,71.41,70.45,70.6,1842000
ZBH,2006-01-18,71.41,71.61,70.5,70.5,1195500
ZBH,2006-01-19,70.72,72.17,70.52,72.15,1369300
ZBH,2006-01-20,69.09,70.54,68.81,70.49,1953400
ZBH,2006-01-23,69.0,69.69,68.554,69.3,812900
ZBH,2006-01-24,66.7,69.33,66.38,68.75,3327200
ZBH,2006-01-25,67.1,67.82,66.73,67.6,1454200
ZBH,2006-01-26,66.61,68.88,66.61,68.6,1651500
ZBH,2006-01-27,69.86,71.25,67.9,68.0,2284500
ZBH,2006-01-30,70.0,70.79,69.67,70.55,1612200
ZBH,2006-01-31,68.95,72.75,68.2,71.5,4903400
ZBH,2006-02-01,68.29,70.0,68.0,69.1,2481500
ZBH,2006-02-02,67.95,68.45,67.17,67.8,2229300
ZBH,2006-02-03,67.12,68.25,66.82,67.85,1632300
ZBH,2006-02-06,66.7,67.24,65.7,67.12,1553300
ZBH,2006-02-07,67.26,69.15,66.53,66.8,2639700
ZBH,2006-02-08,67.63,67.8,66.76,67.26,1218300
ZBH,2006-02-09,68.45,69.2,67.3,67.55,1421300
ZBH,2006-02-10,68.52,68.64,67.75,68.64,1027300
ZBH,2006-02-13,68.63,68.68,67.82,68.54,652200
ZBH,2006-02-14,68.7,69.23,68.07,68.83,990900
ZBH,2006-02-15,68.42,69.02,68.08,68.7,1086900
ZBH,2006-02-16,68.94,68.94,68.22,68.3,951100
ZBH,2006-02-17,69.8,70.1,68.62,68.84,1479700
ZBH,2006-02-20,69.8,70.1,68.62,68.84,0
ZBH,2006-02-21,69.25,69.74,68.68,69.7,1163400
ZBH,2006-02-22,69.6,70.14,69.34,69.6,1096300
ZBH,2006-02-23,69.36,70.11,68.91,69.7,1257100
ZBH,2006-02-24,69.39,69.594,68.53,69.1,817600
ZBH,2006-02-27,70.33,70.63,69.48,69.6,784200
ZBH,2006-02-28,69.18,69.99,68.7,69.95,1014100
ZBH,2006-03-01,69.45,69.86,68.5,69.1,907200
ZBH,2006-03-02,68.62,69.48,68.46,69.03,836500
ZBH,2006-03-03,68.53,69.14,67.6,68.1,1156000
ZBH,2006-03-06,68.33,69.0,67.82,68.32,694400
ZBH,2006-03-07,67.75,68.5,67.59,68.01,859100
ZBH,2006-03-08,68.27,68.42,66.74,67.75,1203900
ZBH,2006-03-09,67.32,68.3,67.25,68.2,810000
ZBH,2006-03-10,67.85,68.08,67.28,67.28,1257500
ZBH,2006-03-13,68.56,68.73,67.82,67.85,1270700
ZBH,2006-03-14,68.57,69.09,68.21,68.65,1340000
ZBH,2006-03-15,68.69,68.96,68.4,68.76,1686200
ZBH,2006-03-16,68.75,69.37,68.68,69.0,717300
ZBH,2006-03-17,69.18,69.46,68.5,69.08,1207000
ZBH,2006-03-20,69.66,70.17,69.22,69.43,1618200
ZBH,2006-03-21,68.66,69.92,68.4,69.45,1063200
ZBH,2006-03-22,69.44,69.49,68.46,68.55,728400
ZBH,2006-03-23,68.89,69.3,67.36,69.3,1513000
ZBH,2006-03-24,68.55,69.3,68.39,69.0,785800
ZBH,2006-03-27,66.0,68.55,65.66,67.35,2872300
ZBH,2006-03-28,65.14,65.94,64.87,65.75,1849700
ZBH,2006-03-29,66.71,66.9,65.4,65.4,1898600
ZBH,2006-03-30,67.25,67.8,66.65,67.42,1646200
ZBH,2006-03-31,67.6,67.84,67.26,67.55,3138400
ZBH,2006-04-03,67.59,67.81,67.08,67.6,1218400
ZBH,2006-04-04,67.46,67.98,67.28,67.59,2697600
ZBH,2006-04-05,67.17,67.74,67.01,67.3,2179800
ZBH,2006-04-06,66.67,67.27,66.27,67.15,1340700
ZBH,2006-04-07,65.95,67.09,65.77,66.48,1859300
ZBH,2006-04-10,66.17,66.67,65.86,65.95,1067200
ZBH,2006-04-11,65.92,66.5,65.56,66.0,1047800
ZBH,2006-04-12,65.49,66.35,65.02,65.6,2297300
ZBH,2006-04-13,66.16,67.39,65.82,67.39,1289700
ZBH,2006-04-14,66.16,67.39,65.82,67.39,0
ZBH,2006-04-17,65.82,66.1,65.54,65.85,1003100
ZBH,2006-04-18,67.31,67.46,65.75,65.75,1270200
ZBH,2006-04-19,66.66,67.4,66.53,67.2,1313900
ZBH,2006-04-20,66.35,67.03,65.96,66.51,949300
ZBH,2006-04-21,66.47,68.8,66.08,67.75,2259600
ZBH,2006-04-24,67.01,67.77,65.9,66.22,1922000
ZBH,2006-04-25,66.14,66.95,65.86,66.94,1514300
ZBH,2006-04-26,65.74,67.1,65.0,65.0,2049200
ZBH,2006-04-27,62.1,63.66,60.25,63.19,7583800
ZBH,2006-04-28,62.9,64.12,62.9,63.05,7389300
ZBH,2006-05-01,62.9,64.8,62.71,63.52,2927700
ZBH,2006-05-02,62.03,63.4,61.93,63.13,1700000
ZBH,2006-05-03,61.0,62.15,60.79,62.0,3102600
ZBH,2006-05-04,60.71,61.37,60.53,61.16,2330000
ZBH,2006-05-05,60.94,61.2,60.444,60.45,1695000
ZBH,2006-05-08,61.9,62.15,61.18,61.35,2493600
ZBH,2006-05-09,61.49,62.62,61.49,62.6,1495500
ZBH,2006-05-10,62.25,62.78,61.35,61.6,1674200
ZBH,2006-05-11,62.63,62.89,61.8,62.31,1881200
ZBH,2006-05-12,62.23,62.96,62.15,62.8,1478900
ZBH,2006-05-15,62.2,62.89,61.73,62.13,1449100
ZBH,2006-05-16,62.74,62.93,62.17,62.18,1518600
ZBH,2006-05-17,61.93,62.72,61.52,62.25,1299100
ZBH,2006-05-18,62.0,62.32,61.02,61.02,1632800
ZBH,2006-05-19,61.62,62.03,61.0,62.0,1786400
ZBH,2006-05-22,61.83,62.15,61.33,61.37,1722600
ZBH,2006-05-23,60.6,62.33,60.46,61.95,1768400
ZBH,2006-05-24,60.88,61.1,59.75,60.65,2132400
ZBH,2006-05-25,61.14,61.68,60.84,61.2,1880400
ZBH,2006-05-26,60.82,61.45,60.72,61.28,1261900
ZBH,2006-05-29,60.82,61.45,60.72,61.28,0
ZBH,2006-05-30,60.44,61.45,60.29,60.47,1627200
ZBH,2006-05-31,60.55,61.13,60.25,60.51,1319400
ZBH,2006-06-01,61.04,61.23,60.42,60.48,1417100
ZBH,2006-06-02,61.21,61.7,60.8,61.0,1479200
ZBH,2006-06-05,61.1,61.48,60.82,61.3,1492900
ZBH,2006-06-06,62.29,62.29,61.28,61.28,2614500
ZBH,2006-06-07,63.24,63.58,62.1901,62.29,3065700
ZBH,2006-06-08,63.77,64.3,63.14,64.3,2392100
ZBH,2006-06-09,63.8,64.31,63.44,63.71,1129000
ZBH,2006-06-12,63.86,64.69,63.75,63.95,1447300
ZBH,2006-06-13,65.25,65.6,64.14,64.2,2509400
ZBH,2006-06-14,65.47,65.47,65.0,65.0,1473000
ZBH,2006-06-15,65.98,66.17,65.34,65.74,1336000
ZBH,2006-06-16,65.94,66.53,65.63,66.35,1430700
ZBH,2006-06-19,65.1,66.546,64.8,66.25,2052299
ZBH,2006-06-20,63.94,64.93,63.64,64.93,2093799
ZBH,2006-06-21,63.61,64.07,63.38,63.75,1821800
ZBH,2006-06-22,63.1,63.7,62.4,63.7,2554400
ZBH,2006-06-23,63.03,63.45,62.66,62.85,691300
ZBH,2006-06-26,58.7,58.91,56.61,57.83,12738400
ZBH,2006-06-27,55.8,57.63,55.68,57.63,6910400
ZBH,2006-06-28,56.74,56.75,56.03,56.27,4038999
ZBH,2006-06-29,57.98,58.05,56.74,56.74,2621400
ZBH,2006-06-30,56.72,58.01,56.61,57.96,2118900
ZBH,2006-07-03,57.08,57.12,56.2,56.22,677100
ZBH,2006-07-04,57.08,57.12,56.2,56.22,0
ZBH,2006-07-05,56.64,57.1,56.18,56.9,1984500
ZBH,2006-07-06,57.32,57.55,56.9,57.1,1321200
ZBH,2006-07-07,57.09,57.36,56.83,57.05,1675900
ZBH,2006-07-10,57.13,57.67,56.93,57.4,910800
ZBH,2006-07-11,57.0,57.35,56.87,56.95,1584600
ZBH,2006-07-12,56.5,57.15,56.16,57.0,1935700
ZBH,2006-07-13,55.48,56.59,55.34,56.3,2008700
ZBH,2006-07-14,54.85,55.79,54.0,54.0,1385200
ZBH,2006-07-17,55.11,55.6,54.85,55.0,1349400
ZBH,2006-07-18,53.98,55.36,53.51,55.3,3079500
ZBH,2006-07-19,54.47,55.25,53.92,53.98,3630800
ZBH,2006-07-20,53.05,54.53,53.0,54.35,2929600
ZBH,2006-07-21,54.5,55.1,52.2,52.2,2710600
ZBH,2006-07-24,55.49,55.63,54.85,55.0,3203200
ZBH,2006-07-25,57.02,57.43,55.22,55.5,4300100
ZBH,2006-07-26,59.85,59.94,56.76,57.02,4927600
ZBH,2006-07-27,60.6,60.89,58.82,59.95,3411900
ZBH,2006-07-28,62.86,63.0,60.23,60.95,3564700
